seed,window,rate,H2,H3,dH,J2,J3
42,18,0.0005,1.232,1.668,0.436,0.4531,0.766
42,19,0.0005,0.953,1.523,0.57,0.1172,0.5356
42,20,0.0005,1.1033,1.1033,0.0,0.1593,0.3933
42,21,0.0005,1.8366,1.8366,0.0,0.988,0.988
42,22,0.0005,-0.0,0.9183,0.9183,0.0974,0.8045
42,23,0.0005,1.6858,1.6858,0.0,1.0504,1.1559
42,24,0.0005,-0.0,0.6194,0.6194,0.0256,0.3995
42,25,0.0005,0.9864,0.9864,0.0,0.3345,0.4212
55,1,0.0005,0.5132,0.7628,0.2496,-0.6478,-0.5297
55,2,0.0005,0.6212,0.9544,0.3332,-0.4638,-0.2506
55,3,0.0005,1.2366,1.658,0.4214,0.2673,0.5741
55,4,0.0005,-0.0,-0.0,0.0,-0.115,-0.0382
55,5,0.0005,0.4395,0.4395,0.0,-0.1362,-0.1362
55,6,0.0005,0.6194,1.1982,0.5788,0.1779,0.6564
55,7,0.0005,1.4183,1.7807,0.3624,0.632,0.8673
55,8,0.0005,0.8167,1.4183,0.6016,0.0587,0.5105
55,9,0.0005,1.371,1.371,0.0,0.5934,0.7178
55,10,0.0005,1.2917,1.2917,0.0,0.3869,0.3869
55,11,0.0005,0.5907,1.4288,0.8381,-0.165,0.7319
55,12,0.0005,1.1033,1.8323,0.729,0.2819,0.8666
55,13,0.0005,0.8031,0.8031,0.0,-0.0747,0.2883
55,14,0.0005,1.4838,1.4838,0.0,0.5685,0.5685
55,15,0.0005,0.7483,1.2754,0.5271,-0.1759,0.3156
55,16,0.0005,0.7732,0.7732,0.0,-0.0737,0.0737
55,17,0.0005,-0.0,-0.0,0.0,-0.2144,-0.2144
55,18,0.0005,0.9913,1.5466,0.5553,0.3466,0.8606
55,19,0.0005,0.6402,0.6402,0.0,-0.0281,0.089
55,20,0.0005,-0.0,0.5665,0.5665,-0.2521,0.1283
55,21,0.0005,-0.0,0.5033,0.5033,-0.5,-0.2604
55,22,0.0005,1.5305,1.5305,0.0,1.5305,1.5305
55,23,0.0005,1.6106,1.6106,0.0,1.0905,1.0905
55,24,0.0005,-0.0,-0.0,0.0,0.0069,0.0069
55,25,0.0005,1.2516,1.7925,0.5409,0.6885,1.1894
123,1,0.0005,0.7356,1.0775,0.3419,-0.2644,-0.0835
123,2,0.0005,1.1439,1.4667,0.3228,0.5074,0.6698
123,3,0.0005,0.9406,1.5284,0.5878,0.3183,0.7637
123,4,0.0005,1.7798,2.0182,0.2384,0.9631,1.0811
123,5,0.0005,-0.0,-0.0,0.0,0.0766,0.1141
123,6,0.0005,1.2799,1.5104,0.2305,0.7277,0.8293
123,7,0.0005,0.6686,0.9934,0.3248,-0.1052,0.0587
123,8,0.0005,1.1033,1.8323,0.729,0.4378,1.1534
123,9,0.0005,-0.0,0.8454,0.8454,-0.115,0.4656
123,10,0.0005,1.7465,2.0226,0.2761,1.1671,1.3216
123,11,0.0005,1.1401,1.4885,0.3484,0.5921,0.7805
123,12,0.0005,-0.0,-0.0,0.0,-0.0827,-0.025
123,13,0.0005,0.953,1.6135,0.6605,0.291,0.954
123,14,0.0005,-0.0,-0.0,0.0,-0.162,0.0015
123,15,0.0005,0.8659,1.6767,0.8108,0.1781,1.1059
123,16,0.0005,0.3712,0.3712,0.0,-0.2004,0.1153
123,17,0.0005,0.8659,1.2776,0.4117,0.2253,0.542
123,18,0.0005,0.4822,0.7196,0.2374,-0.244,-0.1492
123,19,0.0005,0.2864,0.7476,0.4612,-0.3627,-0.0787
123,20,0.0005,0.6686,0.6686,0.0,-0.1501,-0.0452
123,21,0.0005,1.8231,2.0049,0.1818,1.2896,1.4379
123,22,0.0005,-0.0,-0.0,0.0,0.2962,0.3799
123,23,0.0005,1.6412,1.8776,0.2364,0.9871,1.1261
123,24,0.0005,0.6144,1.2332,0.6188,-0.0461,0.4284
123,25,0.0005,0.5033,0.5033,0.0,-0.1032,0.0631
314,1,0.0005,1.1804,1.6248,0.4444,0.0194,0.3323
314,2,0.0005,0.7304,0.9111,0.1807,-0.0561,0.0118
314,3,0.0005,0.8031,1.0975,0.2944,-0.1606,0.0069
314,4,0.0005,0.3095,0.3095,0.0,-0.2904,-0.2219
314,5,0.0005,1.2433,1.2433,0.0,0.4051,0.4051
314,6,0.0005,-0.0,-0.0,0.0,-0.1102,-0.1102
314,7,0.0005,1.1995,1.5016,0.3021,0.6205,0.8086
314,8,0.0005,-0.0,-0.0,0.0,-0.079,-0.032
314,9,0.0005,0.6402,1.2772,0.637,-0.1119,0.5229
314,10,0.0005,-0.0,0.8813,0.8813,-0.2521,0.3543
314,11,0.0005,1.8149,2.1822,0.3673,1.2711,1.5069
314,12,0.0005,0.5226,1.2608,0.7382,0.2148,0.7461
314,13,0.0005,1.319,1.5789,0.2599,0.4868,0.6707
314,14,0.0005,1.6645,2.1281,0.4636,0.6594,1.0657
314,15,0.0005,-0.0,-0.0,0.0,0.0069,0.1087
314,16,0.0005,1.5657,1.9713,0.4056,1.1864,1.5627
314,17,0.0005,1.3472,1.7652,0.418,0.5221,0.8431
314,18,0.0005,0.7345,0.7345,0.0,0.1539,0.2353
314,19,0.0005,0.7732,1.1451,0.3719,0.0457,0.3224
314,20,0.0005,1.6574,1.6574,0.0,0.893,0.9267
