seed,window,rate,drift_hit,drift_nohit,delta_drift,ratio_guarded,guard_triggered,frac_hit
123,9,0.0,,0.8048,,,False,0.0
123,10,0.0,,0.4114,,,False,0.0
123,11,0.0,,0.0767,,,False,0.0
123,12,0.0,,0.0871,,,False,0.0
123,13,0.0,,0.2903,,,False,0.0
123,14,0.0,,0.6951,,,False,0.0
123,15,0.0,,0.6168,,,False,0.0
123,16,0.0,,0.437,,,False,0.0
123,17,0.0,,0.3,,,False,0.0
123,18,0.0,,0.3374,,,False,0.0
123,19,0.0,,0.6043,,,False,0.0
123,20,0.0,,0.6189,,,False,0.0
123,21,0.0,,0.4531,,,False,0.0
123,22,0.0,,0.0851,,,False,0.0
123,23,0.0,,0.3581,,,False,0.0
123,24,0.0,,0.1838,,,False,0.0
123,25,0.0,,0.4645,,,False,0.0
314,2,0.0,,0.1692,,,False,0.0
314,3,0.0,,0.2553,,,False,0.0
314,4,0.0,,0.4543,,,False,0.0
314,5,0.0,,0.2324,,,False,0.0
314,6,0.0,,0.6616,,,False,0.0
314,7,0.0,,0.4596,,,False,0.0
314,8,0.0,,0.0,,,True,0.0
314,9,0.0,,0.0,,,True,0.0
314,10,0.0,,0.0,,,True,0.0
314,11,0.0,,0.2648,,,False,0.0
314,12,0.0,,0.1806,,,False,0.0
314,13,0.0,,0.0687,,,False,0.0
314,14,0.0,,0.4993,,,False,0.0
314,15,0.0,,0.3444,,,False,0.0
314,16,0.0,,0.4904,,,False,0.0
314,17,0.0,,0.3553,,,False,0.0
314,18,0.0,,0.2278,,,False,0.0
314,19,0.0,,0.6972,,,False,0.0
314,20,0.0,,0.5158,,,False,0.0
314,21,0.0,,0.4629,,,False,0.0
314,22,0.0,,0.3462,,,False,0.0
314,23,0.0,,0.4233,,,False,0.0
314,24,0.0,,0.4983,,,False,0.0
314,25,0.0,,0.6376,,,False,0.0
456,2,0.0,,0.1223,,,False,0.0
456,3,0.0,,0.1722,,,False,0.0
456,4,0.0,,0.298,,,False,0.0
456,5,0.0,,0.4412,,,False,0.0
456,6,0.0,,0.1989,,,False,0.0
456,7,0.0,,0.1734,,,False,0.0
456,8,0.0,,0.971,,,False,0.0
456,9,0.0,,0.7933,,,False,0.0
456,10,0.0,,0.4461,,,False,0.0
456,11,0.0,,0.2995,,,False,0.0
456,12,0.0,,0.3876,,,False,0.0
456,13,0.0,,0.3245,,,False,0.0
456,14,0.0,,0.4782,,,False,0.0
456,15,0.0,,0.2559,,,False,0.0
456,16,0.0,,0.3798,,,False,0.0
456,17,0.0,,0.2651,,,False,0.0
456,18,0.0,,0.2755,,,False,0.0
456,19,0.0,,0.3527,,,False,0.0
456,20,0.0,,0.5056,,,False,0.0
456,21,0.0,,0.2347,,,False,0.0
456,22,0.0,,0.5974,,,False,0.0
456,23,0.0,,0.0,,,True,0.0
456,24,0.0,,0.468,,,False,0.0
456,25,0.0,,0.2104,,,False,0.0
789,2,0.0,,0.1747,,,False,0.0
789,3,0.0,,0.2761,,,False,0.0
789,4,0.0,,0.2333,,,False,0.0
789,5,0.0,,0.3061,,,False,0.0
789,6,0.0,,0.4089,,,False,0.0
789,7,0.0,,0.5423,,,False,0.0
789,8,0.0,,0.3287,,,False,0.0
789,9,0.0,,0.5788,,,False,0.0
789,10,0.0,,0.3057,,,False,0.0
789,11,0.0,,0.3386,,,False,0.0
789,12,0.0,,0.2584,,,False,0.0
789,13,0.0,,0.4584,,,False,0.0
789,14,0.0,,0.4134,,,False,0.0
789,15,0.0,,0.437,,,False,0.0
789,16,0.0,,0.171,,,False,0.0
789,17,0.0,,0.3691,,,False,0.0
789,18,0.0,,0.2902,,,False,0.0
789,19,0.0,,0.6339,,,False,0.0
789,20,0.0,,0.4007,,,False,0.0
789,21,0.0,,0.316,,,False,0.0
789,22,0.0,,0.2717,,,False,0.0
789,23,0.0,,0.1553,,,False,0.0
789,24,0.0,,0.3964,,,False,0.0
789,25,0.0,,0.4936,,,False,0.0
999,2,0.0,,0.2198,,,False,0.0
999,3,0.0,,0.1833,,,False,0.0
999,4,0.0,,0.2128,,,False,0.0
999,5,0.0,,0.3461,,,False,0.0
999,6,0.0,,0.3672,,,False,0.0
999,7,0.0,,0.4928,,,False,0.0
999,8,0.0,,0.3834,,,False,0.0
999,9,0.0,,0.2948,,,False,0.0
999,10,0.0,,0.4229,,,False,0.0
999,11,0.0,,0.5194,,,False,0.0
999,12,0.0,,0.2889,,,False,0.0
999,13,0.0,,0.5266,,,False,0.0
999,14,0.0,,0.402,,,False,0.0
999,15,0.0,,0.2716,,,False,0.0
999,16,0.0,,0.3393,,,False,0.0
999,17,0.0,,0.3114,,,False,0.0
999,18,0.0,,0.3202,,,False,0.0
999,19,0.0,,0.1788,,,False,0.0
999,20,0.0,,0.0,,,True,0.0
999,21,0.0,,0.3615,,,False,0.0
999,22,0.0,,0.4218,,,False,0.0
999,23,0.0,,0.4863,,,False,0.0
999,24,0.0,,0.5183,,,False,0.0
999,25,0.0,,0.4476,,,False,0.0
1337,2,0.0,,0.1603,,,False,0.0
1337,3,0.0,,0.3246,,,False,0.0
1337,4,0.0,,0.4639,,,False,0.0
1337,5,0.0,,0.5816,,,False,0.0
1337,6,0.0,,0.3049,,,False,0.0
1337,7,0.0,,0.1697,,,False,0.0
1337,8,0.0,,0.3803,,,False,0.0
1337,9,0.0,,0.6654,,,False,0.0
1337,10,0.0,,0.4606,,,False,0.0
1337,11,0.0,,0.385,,,False,0.0
1337,12,0.0,,0.3287,,,False,0.0
1337,13,0.0,,0.5957,,,False,0.0
1337,14,0.0,,0.6384,,,False,0.0
1337,15,0.0,,0.3982,,,False,0.0
1337,16,0.0,,0.3792,,,False,0.0
1337,17,0.0,,0.5771,,,False,0.0
1337,18,0.0,,0.3163,,,False,0.0
1337,19,0.0,,0.2507,,,False,0.0
1337,20,0.0,,0.369,,,False,0.0
1337,21,0.0,,0.3624,,,False,0.0
1337,22,0.0,,0.7259,,,False,0.0
1337,23,0.0,,0.6532,,,False,0.0
1337,24,0.0,,0.3929,,,False,0.0
1337,25,0.0,,0.4201,,,False,0.0
2024,2,0.0,,0.0727,,,False,0.0
2024,3,0.0,,0.1726,,,False,0.0
2024,4,0.0,,0.2409,,,False,0.0
2024,5,0.0,,0.3632,,,False,0.0
2024,6,0.0,,0.2508,,,False,0.0
2024,7,0.0,,0.3001,,,False,0.0
2024,8,0.0,,0.0548,,,False,0.0
2024,9,0.0,,0.5223,,,False,0.0
2024,10,0.0,,0.247,,,False,0.0
2024,11,0.0,,0.3608,,,False,0.0
2024,12,0.0,,0.4353,,,False,0.0
