window,link_id,age_r_current,max_age_r_so_far
20,"(2656,4833)",0,0
20,"(1738,4113)",0,0
20,"(475,1904)",0,0
20,"(462,2788)",0,0
20,"(627,3121)",0,0
20,"(633,4476)",0,0
20,"(4048,4239)",0,0
20,"(917,1611)",0,0
20,"(3821,4871)",0,20
20,"(4291,4347)",0,0
20,"(4524,4698)",0,0
20,"(986,3818)",0,0
20,"(3683,3710)",0,0
20,"(1976,3882)",0,0
20,"(1404,1850)",0,0
20,"(225,458)",0,0
20,"(2033,4273)",0,0
20,"(2555,3037)",0,0
20,"(3240,4946)",0,0
20,"(844,3770)",0,0
20,"(406,1930)",0,0
20,"(442,2378)",0,0
20,"(1303,2069)",0,0
20,"(2779,3159)",0,0
20,"(491,3731)",0,0
20,"(3483,4480)",0,0
20,"(3526,3618)",0,0
20,"(665,2162)",0,0
20,"(314,1181)",0,0
20,"(1625,4047)",0,0
20,"(2061,4348)",0,0
20,"(2445,4459)",0,0
20,"(2414,2931)",0,0
20,"(522,1108)",0,0
20,"(27,2935)",0,0
20,"(736,1934)",0,0
20,"(1213,4897)",0,0
20,"(331,4100)",0,0
20,"(1325,4958)",0,0
20,"(2331,3426)",0,0
20,"(631,4663)",0,0
20,"(2583,4401)",0,0
20,"(2425,4867)",0,0
20,"(1177,1389)",0,0
20,"(531,4432)",0,0
20,"(1548,1561)",0,0
20,"(399,3867)",0,0
20,"(1833,1959)",0,0
20,"(2068,2270)",0,0
20,"(1532,3953)",0,0
20,"(265,376)",0,0
20,"(3245,4498)",0,0
20,"(1835,4893)",0,0
20,"(2686,3716)",0,0
20,"(1214,3908)",0,0
20,"(414,1115)",0,0
20,"(1699,4889)",0,0
20,"(2992,4991)",0,0
20,"(463,4683)",0,0
20,"(2053,3022)",0,0
20,"(790,4403)",0,0
20,"(1333,3864)",0,0
20,"(153,1195)",0,0
20,"(674,4573)",0,0
20,"(1325,2697)",0,0
20,"(1477,4668)",0,0
20,"(823,3390)",0,0
20,"(3158,3832)",0,0
20,"(1946,2788)",0,0
20,"(77,158)",0,0
20,"(224,2014)",0,0
20,"(1030,1589)",0,0
20,"(612,4639)",0,0
20,"(236,2253)",0,0
20,"(1509,2526)",0,0
20,"(4099,4507)",0,0
20,"(2103,2856)",0,0
20,"(3129,4829)",0,0
20,"(3652,4870)",0,0
20,"(3323,3648)",0,0
20,"(2490,4842)",0,0
20,"(2552,3362)",0,0
20,"(2195,2975)",0,0
20,"(2399,4431)",0,0
20,"(1001,2586)",0,0
20,"(476,1309)",0,0
20,"(556,3404)",0,0
20,"(852,1596)",0,0
20,"(1800,4144)",0,0
20,"(2571,4255)",0,0
20,"(563,4058)",0,0
20,"(2600,3266)",0,0
20,"(916,4999)",0,0
20,"(461,1566)",0,0
20,"(2110,2993)",0,0
20,"(3330,3785)",0,0
20,"(505,4647)",0,0
20,"(2714,3144)",0,0
20,"(1449,4681)",0,0
20,"(3074,3307)",0,0
20,"(2856,3493)",0,0
20,"(2011,2992)",0,0
20,"(2035,3349)",0,0
20,"(3098,4832)",0,0
20,"(3769,4362)",0,0
20,"(2263,2575)",0,0
20,"(1190,4462)",0,0
20,"(1025,2668)",0,0
20,"(649,1743)",0,0
20,"(459,1619)",0,0
20,"(4252,4595)",0,0
20,"(3862,4526)",0,0
20,"(2585,4023)",0,0
20,"(2008,3633)",0,0
20,"(1813,4855)",0,0
20,"(2601,4147)",0,0
20,"(2119,2646)",0,0
20,"(1132,1604)",0,0
20,"(39,1181)",0,0
20,"(356,2923)",0,0
20,"(1369,4814)",0,0
20,"(704,3786)",0,0
20,"(3991,4941)",0,0
20,"(3823,4719)",0,0
20,"(1979,2528)",0,0
20,"(833,3787)",0,0
20,"(953,1866)",0,0
20,"(894,2491)",0,0
20,"(2538,4328)",0,0
20,"(365,1058)",0,0
20,"(609,1684)",0,0
20,"(380,1861)",0,0
20,"(3852,4373)",0,0
20,"(1967,2181)",0,0
20,"(1093,3194)",0,0
20,"(2036,2360)",0,0
20,"(2582,2942)",0,0
20,"(690,3972)",0,0
20,"(358,4847)",0,0
20,"(4018,4298)",0,0
20,"(2469,3595)",0,0
20,"(3540,3850)",0,0
20,"(33,297)",0,0
20,"(4273,4487)",0,0
20,"(1596,2209)",0,0
20,"(1372,4307)",0,0
20,"(1372,4078)",0,0
20,"(1301,3380)",0,0
20,"(2134,3992)",0,0
20,"(2479,3352)",0,0
20,"(21,1527)",0,0
20,"(2635,2702)",0,0
20,"(4098,4383)",0,0
20,"(1722,3265)",0,0
20,"(4057,4202)",0,0
20,"(1634,2743)",0,0
20,"(555,4556)",0,0
20,"(1179,3102)",0,0
20,"(2104,4355)",0,0
20,"(1493,4201)",0,0
20,"(1276,1988)",0,0
20,"(23,2596)",0,0
20,"(1302,3029)",0,0
20,"(1352,2621)",0,0
20,"(1416,1739)",0,0
20,"(1371,2225)",0,0
20,"(1021,4327)",0,0
20,"(1351,3973)",0,0
20,"(3078,4453)",0,0
20,"(1834,4615)",0,0
20,"(122,508)",0,0
20,"(751,3456)",0,0
20,"(17,199)",0,0
20,"(206,1791)",0,0
20,"(704,1659)",0,0
20,"(1538,3282)",0,0
20,"(344,3073)",0,0
20,"(592,2766)",0,0
20,"(132,4996)",0,0
