seed,window,links,v_labels,alive_tracked,mean_social,mean_stability,mean_spread,mean_familiarity,count_social,count_isolated,count_deeply_connected,reciprocal_pairs,asymmetric_pairs,fam_symmetry_mean,fam_symmetry_std,att_overlap_mean,att_overlap_pairs
15,23,2942,27,27,0.4133,0.6728,0.818,15.2029,9,8,15,93,87,0.8949,0.1769,40.3,302
15,24,2854,22,22,0.4807,0.6671,0.818,9.1964,9,5,6,72,70,0.8727,0.1904,45.5,217
15,25,2879,26,26,0.4329,0.6592,0.8229,8.9257,11,9,9,91,85,0.853,0.2165,34.5,293
15,26,2897,23,23,0.4832,0.6717,0.8147,7.6892,11,6,7,88,68,0.857,0.2446,47.4,227
15,27,2866,20,20,0.5329,0.6618,0.8155,7.297,10,3,3,77,53,0.8683,0.2248,48.4,176
15,28,2911,22,22,0.5182,0.6617,0.8312,10.456,10,6,9,95,47,0.861,0.2273,56.0,223
15,29,2788,23,23,0.5217,0.6749,0.8232,11.2404,11,4,15,112,61,0.8618,0.2225,56.6,245
16,20,2954,23,23,0.3072,0.6725,0.8487,15.7649,7,11,16,37,30,0.8907,0.2358,10.3,214
16,21,2980,21,21,0.4405,0.66,0.8159,12.5885,10,7,13,54,47,0.891,0.2191,30.1,196
16,22,2895,18,18,0.548,0.6679,0.8184,9.7159,11,2,8,65,39,0.8501,0.2643,40.2,149
16,23,2846,21,21,0.5037,0.6672,0.8322,12.1129,11,4,9,77,44,0.8104,0.2788,40.5,201
16,24,2819,21,21,0.5833,0.6691,0.8317,14.2791,14,3,12,98,35,0.8214,0.2342,55.3,204
16,25,2967,29,29,0.4731,0.6612,0.8204,18.1669,14,10,21,119,67,0.8409,0.2347,37.2,370
16,26,2935,27,27,0.5214,0.6665,0.8277,13.4993,14,5,19,148,64,0.8271,0.2299,52.4,331
16,27,2845,29,29,0.5172,0.6619,0.8286,12.2436,16,7,16,160,81,0.8368,0.2472,51.6,384
16,28,2876,28,28,0.5203,0.6711,0.8306,13.7254,15,5,17,166,69,0.8,0.277,50.6,365
16,29,2831,26,26,0.5698,0.6486,0.8236,15.238,16,4,14,161,67,0.7983,0.2552,57.3,310
17,20,2976,22,22,0.5,0.6705,0.865,18.4916,12,6,18,63,36,0.9313,0.1829,31.3,210
17,21,2966,18,18,0.6462,0.6585,0.8296,12.8836,13,3,14,77,25,0.8883,0.204,72.1,151
17,22,2935,21,21,0.6032,0.6706,0.8396,20.6435,14,6,15,86,29,0.8356,0.2366,59.0,195
17,23,2991,21,21,0.6468,0.6637,0.8398,15.4427,15,4,17,100,40,0.8598,0.224,70.7,208
17,24,2828,20,20,0.7146,0.6615,0.8234,14.8762,15,3,16,104,38,0.8236,0.259,76.3,188
17,25,2884,18,18,0.7457,0.6688,0.847,12.5316,15,2,13,98,19,0.8764,0.2082,96.6,151
17,26,2832,25,25,0.5056,0.6804,0.8358,21.1505,15,8,22,127,64,0.8716,0.2121,62.6,279
17,27,2934,21,21,0.6245,0.6765,0.8289,12.4061,16,2,16,131,38,0.8729,0.1991,71.4,204
17,28,2944,24,24,0.5567,0.67,0.846,14.0146,16,6,16,137,39,0.8619,0.2244,60.7,262
17,29,2917,19,19,0.7028,0.6711,0.8363,11.4564,16,2,13,127,25,0.8457,0.2268,101.2,171
