window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini
129,4826,2976,0,0,3,1.9819,1,15.6,1,2975,4.54,0.9913,3002.2,1,1.0,40,1,3,832,0.001827,0.0518,0.0,123,46.8,0.0266,0.0111,0,0,0,0,0.067729,0.015625,36,0.7693,6.6567,0.4328
130,4823,2906,0,0,3,1.9783,1,17.8,1,2905,4.38,0.9709,2993.1,1,1.0,38,1,3,829,0.001611,0.0586,0.0,124,50.1,0.0252,0.0108,0,0,0,0,0.09009,0.015625,35,0.8266,6.7108,0.4322
131,4821,2971,0,0,3,1.9362,1,15.3,0,2971,4.49,0.9933,2991.0,0,1.0,37,0,1,804,0.001637,0.0586,0.0,125,51.6,0.027,0.0113,0,1,0,0,0.075314,0.015625,34,0.7925,6.7693,0.4317
132,4819,2866,2,4,1,1.9322,1,15.3,4,2862,4.39,0.9621,2979.1,4,1.0,38,2,1,803,0.001795,0.0597,20.3046,126,50.8,0.0275,0.0127,0,1,0,0,0.094527,0.015625,33,0.8347,6.7942,0.4315
133,4816,2965,1,5,1,1.8834,1,15.4,5,2960,4.51,0.9957,2977.7,5,1.0,38,1,1,803,0.001805,0.0526,21.0084,127,51.6,0.026,0.0107,1,0,0,0,0.097166,0.015625,33,0.8392,6.8347,0.4308
134,4814,3002,2,5,3,1.9785,2,19.5,2994,0,4.47,1.0074,2980.0,8,1.0,39,2,1,821,0.001785,0.0528,32.9218,128,51.2,0.0265,0.0105,1,0,0,0,0.097561,0.015625,34,0.8398,6.8753,0.4302
135,4810,3002,2,4,3,1.9686,2,21.9,2986,0,4.43,1.0067,2982.1,16,1.0,43,8,4,855,0.002045,0.0549,64.0,129,47.0,0.0229,0.0117,0,1,0,0,0.082353,0.015625,37,0.8103,6.9263,0.4293
136,4807,2955,1,5,3,1.9583,2,15.3,8,2942,4.47,0.9918,2979.5,13,1.0,41,1,3,853,0.001841,0.0524,51.1811,130,50.2,0.023,0.0101,1,1,0,0,0.06367,0.015625,36,0.7546,6.9675,0.4288
137,4805,2914,1,5,3,1.9569,2,15.4,8,2901,4.43,0.9801,2973.3,13,1.0,42,1,0,856,0.001968,0.0484,54.1667,131,50.0,0.0251,0.0103,1,0,0,0,0.084677,0.015625,36,0.8155,6.9917,0.4278
138,4804,2882,0,0,3,1.8879,2,15.3,3,2879,4.4,0.9721,2964.6,3,1.0,41,0,1,856,0.001709,0.0675,12.8755,132,52.1,0.0231,0.0126,0,0,0,0,0.105485,0.015625,36,0.8519,7.017,0.4269
139,4804,2872,0,0,3,1.8059,1,15.4,3,2869,4.35,0.9717,2955.8,3,1.0,40,0,1,848,0.0016,0.0491,13.6364,133,54.4,0.0258,0.0091,0,0,0,0,0.080357,0.015625,35,0.8056,7.0483,0.4263
140,4804,3007,1,5,3,1.8365,1,15.3,2999,0,4.55,1.0157,2960.7,8,1.0,42,5,3,875,0.001588,0.0492,31.25,134,52.6,0.0246,0.0108,1,0,0,0,0.07197,0.015625,37,0.7829,7.0824,0.4252
141,4802,2888,1,3,3,1.9975,1,15.4,7,2876,4.4,0.9777,2953.7,12,1.0,44,7,5,887,0.001707,0.0506,32.2195,135,50.5,0.0219,0.0095,0,1,0,0,0.058366,0.015625,39,0.7323,7.1135,0.4243
142,4799,2938,0,0,3,1.9926,2,15.3,4,2929,4.44,0.9952,2952.2,9,1.0,41,0,3,849,0.001494,0.0584,32.5203,136,54.9,0.0248,0.0119,0,1,0,0,0.101167,0.015625,35,0.8456,7.168,0.4243
143,4796,2973,3,5,3,1.987,1,15.3,2949,0,4.52,1.0064,2954.2,24,1.0,42,3,2,868,0.001932,0.0567,85.1852,137,54.5,0.0234,0.0113,3,0,0,0,0.085106,0.015625,36,0.8164,7.2212,0.4232
144,4792,2966,5,5,3,1.9924,1,15.4,2940,0,4.41,1.0036,2955.3,26,1.0,47,5,0,947,0.002144,0.0451,91.8728,138,49.6,0.0231,0.0102,2,0,0,0,0.079861,0.015625,38,0.8043,7.2663,0.4218
145,4789,2921,1,3,3,1.9566,2,15.2,3,2908,4.43,0.9895,2952.1,13,1.0,45,1,3,945,0.001856,0.0517,49.8084,139,51.8,0.0219,0.0107,0,0,0,0,0.066421,0.015625,38,0.7648,7.3106,0.4205
146,4789,2924,1,4,3,1.9798,2,15.3,6,2909,4.46,0.9914,2949.4,15,1.0,45,1,1,934,0.001795,0.0483,53.0035,140,52.8,0.0229,0.0101,0,1,0,0,0.065517,0.015625,37,0.7615,7.3554,0.4198
147,4787,3007,2,5,1,1.9622,2,15.2,2994,0,4.55,1.0176,2954.9,13,1.0,50,7,2,970,0.001766,0.0474,49.2424,141,48.4,0.0214,0.0085,1,0,0,0,0.087591,0.015625,40,0.8216,7.4029,0.419
148,4786,2983,1,3,1,1.9733,2,15.3,2974,0,4.54,1.0086,2957.6,9,1.0,48,1,3,976,0.001701,0.0561,33.0882,142,51.1,0.0206,0.0104,0,0,0,0,0.087719,0.015625,39,0.8219,7.4239,0.4176
149,4786,2867,3,5,0,1.9943,2,15.4,16,2846,4.36,0.9722,2948.9,21,1.0,45,5,8,981,0.001742,0.045,70.3704,143,55.0,0.0224,0.0083,2,3,0,0,0.065744,0.015625,40,0.7623,7.4585,0.4168
150,4784,2979,0,0,0,1.8329,2,15.2,2968,0,4.48,1.0092,2951.8,11,1.0,44,2,3,887,0.001577,0.0496,47.0085,144,54.8,0.0238,0.0111,0,1,0,0,0.061983,0.015625,37,0.7479,7.4874,0.4164
151,4781,2915,1,5,1,1.8464,1,15.3,6,2904,4.42,0.9887,2948.3,11,1.0,43,1,2,885,0.001633,0.0498,40.4412,145,56.9,0.0233,0.01,1,0,0,0,0.106762,0.015625,36,0.8536,7.5373,0.4161
152,4781,2935,1,5,3,1.8132,1,15.2,11,2924,4.47,0.9959,2947.0,11,1.0,43,1,1,891,0.001655,0.0404,42.1456,146,57.8,0.0231,0.0098,1,0,0,0,0.113971,0.015625,37,0.8629,7.574,0.4155
153,4781,2934,2,5,3,1.9329,2,15.3,6,2923,4.44,0.996,2945.8,11,1.0,45,3,1,918,0.001701,0.0586,41.3534,147,55.6,0.0219,0.0102,1,0,0,0,0.058608,0.015625,37,0.7334,7.607,0.4147
154,4780,2882,0,0,3,1.8016,2,15.1,0,2882,4.4,0.9804,2939.7,0,1.0,44,0,1,904,0.001586,0.0464,0.0,148,57.8,0.0225,0.0076,0,0,0,0,0.078571,0.015625,36,0.8011,7.632,0.4141
155,4780,2904,1,4,3,1.871,1,15.2,5,2899,4.47,0.989,2936.3,5,1.0,44,3,3,911,0.001545,0.0498,17.316,149,57.0,0.0232,0.0109,0,1,0,0,0.074689,0.015625,36,0.7908,7.6486,0.4134
156,4778,2916,1,3,1,1.8648,1,15.1,4,2912,4.41,0.9937,2934.4,4,1.0,43,3,4,907,0.001712,0.0613,16.0,150,56.3,0.0233,0.0118,0,2,0,0,0.061303,0.015625,36,0.7451,7.6754,0.4125
157,4778,2933,0,0,3,1.9035,2,15.2,0,2928,4.46,0.9996,2934.2,5,1.0,44,5,4,877,0.001547,0.0551,19.4553,151,55.4,0.0244,0.011,0,1,0,0,0.066176,0.015625,36,0.7639,7.7122,0.4119
