window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini
157,4840,3010,1,3,3,1.9241,2,79.4,2998,0,4.53,1.0038,2998.7,12,1.0,64,4,3,1303,0.000829,0.0267,22.4366,156,76.0,0.0156,0.0056,0,0,0,0,0.082667,0.015625,38,0.811,11.3555,0.4691
158,4839,2860,1,5,3,1.8992,2,81.2,9,2846,4.41,0.958,2985.5,14,1.0,63,1,2,1293,0.000808,0.0318,38.8889,157,78.1,0.0158,0.0056,1,0,0,0,0.079576,0.015625,38,0.8036,11.4324,0.469
159,4837,2992,0,0,3,1.9332,2,78.4,2976,0,4.45,1.002,2986.1,16,1.0,64,2,1,1272,0.00071,0.033,45.1977,158,77.8,0.0159,0.0064,0,0,0,0,0.076923,0.015625,38,0.7969,11.5093,0.4689
160,4835,3060,0,0,3,1.9919,1,80.5,3045,0,4.54,1.0226,2993.3,16,1.0,64,2,2,1277,0.000771,0.0299,42.1348,159,78.8,0.0159,0.0065,0,0,0,0,0.065217,0.015625,39,0.7604,11.5745,0.4689
161,4834,2999,2,5,3,1.997,1,77.7,2984,0,4.46,1.0017,2993.8,15,1.0,66,2,0,1305,0.000821,0.0339,40.4313,160,77.4,0.0159,0.0067,2,0,0,0,0.080729,0.015625,40,0.8065,11.6344,0.4685
162,4833,2943,1,4,3,1.9875,1,81.0,7,2931,4.49,0.9846,2989.0,12,1.0,66,2,2,1328,0.000733,0.0328,31.25,161,78.3,0.0154,0.0067,0,0,0,0,0.081967,0.015625,41,0.8094,11.7164,0.4683
163,4832,2912,2,5,3,1.9819,2,82.0,6,2896,4.38,0.9766,2981.6,16,1.0,66,4,4,1333,0.000967,0.0323,42.4929,162,77.2,0.0157,0.0063,1,0,0,0,0.072776,0.015625,41,0.7853,11.7892,0.4679
164,4831,2932,1,4,1,1.9958,2,84.0,4,2928,4.43,0.9849,2976.9,4,1.0,67,1,0,1326,0.00085,0.0306,10.5263,163,77.1,0.0157,0.0063,0,0,0,0,0.084184,0.015625,41,0.8144,11.8733,0.4676
165,4829,3031,3,4,3,1.972,2,86.5,3018,0,4.53,1.0164,2982.1,13,1.0,69,5,3,1364,0.00092,0.04,32.5815,164,75.7,0.0147,0.0069,0,0,0,0,0.065882,0.015625,42,0.7628,11.9392,0.4674
166,4826,3011,1,4,3,1.9532,2,82.8,3004,0,4.47,1.0088,2984.8,7,1.0,68,1,2,1352,0.000866,0.0384,20.3488,165,77.6,0.0148,0.0058,0,0,0,0,0.068493,0.015625,41,0.7719,11.9995,0.4671
167,4826,2873,0,0,3,1.9309,2,79.5,0,2873,4.38,0.966,2974.2,0,1.0,66,0,2,1308,0.000722,0.0376,0.0,166,79.4,0.0161,0.0063,0,1,0,0,0.072581,0.015625,40,0.7847,12.0425,0.467
168,4823,2871,1,5,3,1.9175,1,83.4,2,2865,4.36,0.9685,2964.3,6,1.0,67,3,2,1335,0.000663,0.0349,10.3359,167,79.2,0.0155,0.0061,1,0,0,0,0.0798,0.015625,42,0.8042,12.1024,0.467
169,4822,2973,1,5,1,1.898,1,79.3,2965,0,4.48,1.0026,2965.2,8,1.0,69,4,2,1350,0.000724,0.0263,20.0,168,77.8,0.0151,0.0057,1,0,0,0,0.07177,0.015625,42,0.7823,12.1741,0.4667
170,4821,2981,1,5,2,1.962,2,80.9,2976,0,4.55,1.0048,2966.7,5,1.0,69,1,1,1354,0.000809,0.0321,11.9332,169,78.8,0.0152,0.0064,1,0,0,0,0.077982,0.015625,41,0.7996,12.2429,0.4668
171,4818,2910,0,0,3,1.9713,2,81.9,0,2905,4.38,0.9827,2961.3,5,1.0,66,0,3,1340,0.000761,0.0441,14.5349,170,83.0,0.0152,0.0075,0,1,0,0,0.093664,0.015625,41,0.8332,12.3008,0.4667
172,4818,2925,1,5,3,1.9678,1,77.4,0,2920,4.44,0.9889,2957.8,5,1.0,65,1,2,1326,0.000734,0.0349,13.9276,171,84.2,0.0161,0.0075,1,1,0,0,0.088472,0.015625,39,0.8234,12.3759,0.4668
173,4818,2945,1,5,3,1.9438,1,82.5,5,2940,4.49,0.9961,2956.6,5,1.0,65,1,1,1316,0.000698,0.0305,13.089,172,85.0,0.0157,0.0071,1,1,0,0,0.07868,0.015625,38,0.8014,12.4545,0.4668
174,4817,2983,1,5,3,1.9247,2,77.3,2974,0,4.48,1.0081,2959.1,9,1.0,67,5,3,1345,0.0007,0.0304,23.4375,173,83.3,0.015,0.006,1,0,0,0,0.093671,0.015625,40,0.8332,12.5406,0.467
175,4816,3001,1,5,3,1.8956,2,83.1,2996,0,4.5,1.0128,2963.1,5,1.0,67,1,1,1344,0.000715,0.0286,12.3762,174,84.3,0.0153,0.0062,1,0,0,0,0.083532,0.015625,40,0.8129,12.6146,0.4668
176,4814,2878,1,4,3,1.8413,2,77.1,4,2874,4.4,0.9739,2955.0,4,1.0,66,1,2,1340,0.000804,0.0295,12.1581,175,84.3,0.0151,0.0057,0,1,0,0,0.117994,0.015625,39,0.8676,12.7326,0.4669
177,4811,3026,2,5,3,1.9259,2,84.2,3008,0,4.48,1.022,2961.9,19,1.0,70,7,3,1397,0.000928,0.0339,39.9061,176,80.4,0.0149,0.0062,2,0,0,0,0.117381,0.015625,39,0.8669,12.85,0.4673
178,4810,2958,0,0,3,1.9094,2,79.6,7,2941,4.44,0.9988,2961.5,17,1.0,69,0,1,1384,0.000828,0.0299,43.1472,177,82.6,0.0144,0.0056,0,1,0,0,0.109726,0.015625,38,0.8576,12.9597,0.4675
179,4809,2995,0,0,3,1.9543,1,77.5,2976,0,4.46,1.0102,2964.7,19,1.0,68,2,3,1380,0.000808,0.0283,42.0792,178,84.8,0.0149,0.0062,0,0,0,0,0.110849,0.015625,39,0.859,13.0705,0.4678
180,4807,2979,4,5,3,1.9919,1,83.6,2954,0,4.43,1.0044,2966.0,25,1.0,73,6,1,1429,0.000829,0.0256,60.0962,179,79.9,0.0138,0.0053,2,0,0,0,0.083721,0.015625,39,0.8134,13.1333,0.4677
181,4803,2909,0,0,3,1.9783,1,76.5,5,2904,4.45,0.9826,2960.6,5,1.0,72,2,3,1444,0.000807,0.0354,9.8765,180,81.8,0.0139,0.0056,0,2,0,0,0.070755,0.015625,39,0.7792,13.1994,0.4675
182,4801,2974,1,5,3,1.976,1,82.3,2965,0,4.53,1.0041,2961.9,9,1.0,73,3,2,1428,0.000672,0.035,21.9512,181,81.6,0.0143,0.0064,1,0,0,0,0.077103,0.015625,40,0.7973,13.2484,0.4676
183,4797,2897,1,5,3,1.9846,1,81.1,0,2892,4.45,0.9801,2955.7,5,1.0,72,1,2,1424,0.000809,0.0297,12.8535,182,82.6,0.0144,0.0065,1,1,0,0,0.081683,0.015625,39,0.8087,13.3202,0.4676
184,4795,2959,0,0,3,1.9865,2,84.4,2959,0,4.46,1.001,2956.0,0,1.0,71,0,1,1404,0.00077,0.0316,0.0,183,83.8,0.0149,0.0062,0,0,0,0,0.077859,0.015625,37,0.7993,13.3981,0.4678
185,4793,2873,0,0,3,1.9837,1,76.4,1,2872,4.42,0.9745,2948.1,1,1.0,70,1,2,1405,0.000697,0.0334,0.0,184,86.0,0.0148,0.0068,0,0,0,0,0.07455,0.015625,37,0.7904,13.4726,0.468
186,4791,2863,2,4,1,1.9668,1,81.1,5,2856,4.38,0.9738,2940.0,7,1.0,73,6,3,1439,0.000695,0.0276,8.5052,185,83.4,0.0147,0.0056,0,0,0,0,0.080201,0.015625,39,0.8052,13.5528,0.4681
187,4791,2860,0,0,3,1.9797,1,77.3,3,2857,4.35,0.9753,2932.4,3,1.0,72,0,1,1423,0.000649,0.0275,7.7519,186,85.6,0.0142,0.0062,0,0,0,0,0.0825,0.015625,39,0.8106,13.6353,0.4683
188,4788,2906,1,5,1,1.9839,1,76.7,3,2898,4.4,0.9919,2929.9,8,1.0,68,1,5,1371,0.00066,0.0353,20.9424,187,87.2,0.0156,0.0066,1,3,0,0,0.075567,0.015625,36,0.7932,13.6756,0.4686
189,4788,2909,0,0,1,1.9788,1,81.5,4,2905,4.39,0.9935,2927.9,4,1.0,67,1,2,1349,0.000722,0.0275,7.772,188,89.4,0.0155,0.0059,0,1,0,0,0.075,0.015625,37,0.7917,13.7506,0.4687
190,4786,2982,0,0,0,1.966,1,76.5,2979,0,4.46,1.0167,2933.0,3,1.0,67,0,0,1339,0.00073,0.0328,7.8947,189,90.4,0.016,0.0063,0,0,0,0,0.085859,0.015625,36,0.818,13.8365,0.469
191,4784,2989,1,4,3,1.9469,1,81.7,2981,0,4.51,1.0172,2938.4,8,1.0,69,3,1,1358,0.000707,0.0335,19.802,190,88.7,0.0148,0.0068,0,0,0,0,0.07177,0.015625,36,0.7823,13.9059,0.469
192,4784,2927,1,3,3,1.9075,1,76.9,5,2917,4.45,0.9965,2937.3,10,1.0,71,4,2,1378,0.000717,0.0291,25.4453,191,87.2,0.0146,0.0064,0,0,0,0,0.089588,0.015625,37,0.8256,13.9785,0.4694
193,4782,2952,1,4,3,1.8979,2,80.7,2948,0,4.53,1.0045,2938.7,4,1.0,70,1,2,1373,0.000688,0.0268,11.236,192,88.9,0.0152,0.0059,0,1,0,0,0.091153,0.015625,37,0.8286,14.0697,0.4696
194,4782,2863,1,3,3,1.9408,2,76.9,1,2862,4.45,0.9766,2931.5,1,1.0,70,2,2,1390,0.000581,0.0287,0.0,193,89.9,0.0147,0.0058,0,0,0,0,0.075718,0.015625,38,0.7936,14.1375,0.4697
195,4781,2910,0,0,3,1.947,2,77.2,0,2910,4.36,0.9934,2929.4,0,1.0,68,0,2,1364,0.000574,0.0271,0.0,194,93.5,0.0156,0.0058,0,0,0,0,0.081281,0.015625,37,0.8078,14.2188,0.4702
196,4781,3019,3,5,1,1.9827,1,82.3,3013,0,4.51,1.0297,2938.6,13,1.0,72,6,2,1413,0.000658,0.0294,28.4974,195,89.2,0.0145,0.0055,1,0,0,0,0.078431,0.015625,39,0.8008,14.2973,0.4704
197,4780,2885,0,0,1,1.9469,1,77.4,0,2885,4.37,0.9835,2933.5,0,1.0,68,0,4,1366,0.000722,0.027,0.0,196,93.9,0.0151,0.0058,0,2,0,0,0.080863,0.015625,37,0.8068,14.3781,0.4706
198,4778,2878,1,3,1,1.93,1,81.3,0,2874,4.44,0.9828,2928.2,4,1.0,66,3,5,1345,0.000624,0.0317,11.1732,197,95.3,0.0159,0.0067,0,1,0,0,0.079156,0.015625,37,0.8026,14.4573,0.4708
199,4776,2784,1,4,2,1.8288,1,60.5,3,2781,4.33,0.9552,2914.5,3,1.0,66,1,1,1317,0.000644,0.0309,8.6705,198,93.7,0.0164,0.0064,0,1,0,0,0.078652,0.015625,36,0.8013,14.5359,0.4713
200,4774,2955,0,0,1,1.8871,2,48.3,2955,0,4.51,1.0126,2918.4,0,1.0,66,0,0,1316,0.000642,0.0272,0.0,199,94.7,0.0158,0.0066,0,0,0,0,0.084469,0.015625,36,0.815,14.604,0.4715
