window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node
95,4928,2919,1,3,3,1.9907,1,170.7,4,2905,4.36,0.9606,3038.6,14,1.0,13,3,0,248,0.022033,0.16,194.4444,53,11.5,0.0859,0.0363,0,0
96,4928,2991,2,5,3,1.9666,1,172.0,1,2976,4.35,0.9858,3034.1,15,1.0,14,3,2,299,0.017149,0.1412,182.9268,54,11.5,0.0727,0.0294,2,0
97,4928,3068,2,4,0,1.9497,2,167.8,3056,0,4.5,1.0101,3037.3,12,1.0,15,3,2,328,0.015319,0.1031,118.2796,55,11.4,0.0701,0.0218,0,1
98,4928,3108,2,5,1,1.971,2,167.4,3092,0,4.48,1.021,3044.0,16,1.0,15,2,2,342,0.015306,0.1183,177.7778,56,12.1,0.0674,0.0283,1,0
99,4925,2989,2,5,3,1.9885,2,175.3,5,2974,4.42,0.9836,3038.8,15,1.0,19,7,3,392,0.01278,0.1176,114.0351,57,10.3,0.0637,0.0255,1,0
100,4925,2939,0,0,3,1.9849,2,167.9,3,2931,4.45,0.9702,3029.3,8,1.0,17,0,2,374,0.014428,0.1364,76.1905,58,12.4,0.0612,0.0275,0,1
101,4922,3080,3,4,3,1.9598,1,175.8,3059,0,4.53,1.0151,3034.1,21,1.0,20,8,5,419,0.010661,0.0853,177.9661,59,9.1,0.0586,0.0191,0,2
102,4922,2964,0,0,3,1.99,1,166.2,10,2949,4.42,0.979,3027.4,15,1.0,20,4,4,359,0.01379,0.093,122.9508,60,9.9,0.0523,0.018,0,1
103,4920,3039,0,0,3,1.9465,1,172.5,3022,0,4.43,1.0035,3028.5,17,1.0,17,2,5,362,0.012937,0.0973,145.6311,61,12.3,0.0575,0.0233,0,0
104,4919,2984,0,0,3,1.9569,1,168.1,10,2974,4.38,0.9867,3024.3,10,1.0,15,0,2,322,0.015301,0.1068,90.0,62,14.3,0.0655,0.024,0,0
105,4916,3037,1,5,3,1.957,1,167.0,3019,0,4.5,1.0038,3025.5,18,1.0,16,5,4,341,0.013107,0.1327,188.8889,63,13.0,0.0714,0.0257,1,1
106,4915,3105,0,0,3,1.9725,1,176.7,3105,0,4.44,1.0249,3033.5,4,1.0,14,1,3,312,0.01661,0.0935,30.6122,64,15.1,0.0794,0.021,0,0
107,4914,3066,3,5,1,1.8875,1,167.2,3053,0,4.47,1.0097,3036.6,13,1.0,13,3,4,325,0.015049,0.1341,168.8312,65,15.2,0.0813,0.03,2,1
108,4914,3053,3,5,3,1.9194,1,176.1,3036,0,4.38,1.0049,3038.1,17,1.0,14,2,1,318,0.016159,0.1238,165.0485,66,14.5,0.0781,0.0264,1,0
109,4914,3034,1,4,3,1.962,2,164.9,15,3009,4.44,0.9988,3037.7,25,1.0,13,3,4,326,0.015439,0.1091,242.4242,67,11.8,0.0675,0.0246,0,3
110,4914,3081,2,5,3,1.9313,2,166.3,3050,0,4.51,1.0129,3041.9,31,1.0,15,6,4,315,0.014552,0.1053,261.9497,68,10.5,0.0691,0.0226,1,0
111,4912,3006,1,5,3,1.9834,2,166.8,12,2994,4.41,0.9893,3038.4,12,1.0,14,1,2,305,0.017336,0.1262,121.2121,69,11.5,0.0766,0.0315,1,0
112,4911,3042,0,0,3,1.9643,2,162.3,3035,0,4.48,1.0011,3038.8,7,1.0,12,0,2,281,0.01836,0.1222,80.4598,70,14.0,0.0792,0.0223,0,1
113,4907,2987,2,5,1,1.9445,1,166.0,6,2976,4.46,0.9846,3033.8,11,1.0,14,5,3,309,0.017794,0.1443,118.2796,71,12.6,0.0779,0.0283,1,0
114,4906,2969,1,5,1,1.9203,1,165.4,3,2961,4.42,0.9806,3027.7,8,1.0,14,4,4,336,0.015347,0.117,55.2107,72,13.0,0.0757,0.0249,1,1
115,4904,2943,1,4,3,1.8986,2,170.9,4,2934,4.38,0.9746,3019.6,9,1.0,14,1,1,308,0.015728,0.1176,109.7561,73,13.9,0.0745,0.0279,0,0
116,4900,3078,0,0,3,1.9803,2,167.0,3072,0,4.51,1.0175,3025.2,6,1.0,12,1,3,309,0.018255,0.1316,71.4286,74,16.1,0.0789,0.0255,0,0
117,4899,3024,0,0,3,1.9657,1,169.4,0,3024,4.48,0.9997,3025.1,0,1.0,10,0,2,265,0.019205,0.16,0.0,75,16.5,0.0876,0.0312,0,2
118,4898,3005,0,0,3,1.906,1,173.8,3,3002,4.46,0.994,3023.1,3,1.0,11,3,2,245,0.022362,0.1781,43.4783,76,15.6,0.1057,0.0453,0,0
119,4898,3061,0,0,3,1.9174,1,164.9,3061,0,4.48,1.0113,3026.8,0,1.0,11,0,0,221,0.022532,0.1455,0.0,77,16.6,0.0987,0.028,0,0
120,4894,3009,3,5,3,1.9621,1,174.1,10,2995,4.46,0.9947,3025.1,14,1.0,14,5,2,296,0.015454,0.1158,144.4444,78,13.7,0.0776,0.0269,1,0
121,4893,2949,1,4,3,1.9725,1,167.6,2,2947,4.43,0.9772,3017.8,2,1.0,15,3,2,308,0.016232,0.1149,23.8095,79,13.5,0.0618,0.0264,0,0
122,4892,2977,1,5,3,1.9464,2,173.7,0,2973,4.35,0.9877,3013.9,4,1.0,13,1,3,315,0.015953,0.1279,49.3827,80,15.8,0.0799,0.0278,1,1
123,4891,3028,2,5,3,1.9547,2,163.5,3021,0,4.52,1.0042,3015.3,7,1.0,12,2,3,307,0.016668,0.1165,52.6316,81,16.7,0.0852,0.0246,1,0
124,4889,3017,1,4,3,1.9197,2,171.0,3005,0,4.5,1.0005,3015.4,12,1.0,14,4,2,306,0.01615,0.1364,139.5349,82,15.1,0.0694,0.0297,0,0
125,4889,3070,0,0,3,1.9269,2,159.8,3065,0,4.47,1.0163,3020.6,5,1.0,12,0,2,296,0.01828,0.134,53.7634,83,17.3,0.0839,0.0241,0,2
126,4889,2928,1,5,3,1.717,1,168.3,1,2919,4.43,0.9722,3011.8,9,1.0,12,2,2,284,0.018461,0.1325,100.0,84,16.8,0.0895,0.0356,1,1
