seed,window,links,v_labels,alive_tracked,mean_social,mean_stability,mean_spread,mean_familiarity,count_social,count_isolated,count_deeply_connected,reciprocal_pairs,asymmetric_pairs,fam_symmetry_mean,fam_symmetry_std,att_overlap_mean,att_overlap_pairs
4,26,2896,31,31,0.5244,0.6618,0.825,10.8268,16,8,15,183,81,0.8103,0.2666,43.0,435
4,27,2879,37,37,0.4335,0.673,0.8272,14.0289,16,11,23,219,117,0.8106,0.2708,36.6,617
4,28,2840,34,34,0.5023,0.6675,0.8242,12.3312,18,7,20,223,131,0.8079,0.2667,46.6,522
4,29,2853,36,36,0.4806,0.6648,0.826,12.1243,18,11,18,214,129,0.815,0.2644,41.3,572
4,30,2878,34,34,0.5444,0.6787,0.8147,9.3755,19,7,15,239,107,0.8053,0.2566,45.1,528
4,31,2862,34,34,0.5427,0.6715,0.8189,10.4255,18,5,12,251,107,0.78,0.2715,47.3,538
4,32,2840,32,32,0.6134,0.668,0.8274,9.1448,21,0,12,254,105,0.7844,0.2785,59.6,487
4,33,2769,33,33,0.5929,0.6662,0.8223,9.408,21,2,12,275,100,0.7919,0.2573,57.8,522
4,34,2827,31,31,0.6671,0.6804,0.841,10.5368,23,0,18,292,94,0.7852,0.2636,76.3,460
4,35,2782,36,36,0.6279,0.6646,0.8207,12.1545,26,5,24,319,117,0.7976,0.2601,58.6,614
4,36,2830,37,37,0.5832,0.6685,0.8237,12.9295,26,7,24,319,116,0.806,0.2569,53.9,638
4,37,2938,38,38,0.6016,0.6641,0.8312,12.4513,27,6,22,328,149,0.8079,0.2615,59.7,677
4,38,2748,37,37,0.6475,0.6616,0.8189,10.1652,25,4,15,300,149,0.816,0.2536,55.4,643
4,39,2720,33,33,0.7099,0.666,0.8268,9.5657,25,1,14,299,98,0.8091,0.2603,60.2,519
4,40,2787,32,32,0.7188,0.6727,0.8328,10.4942,26,2,15,287,96,0.7929,0.2646,67.9,492
4,41,2678,32,32,0.6771,0.6625,0.8281,9.9975,25,5,13,268,89,0.8025,0.2535,59.1,488
4,42,2735,37,37,0.5919,0.6759,0.8201,10.4955,25,10,17,294,138,0.7951,0.2629,48.3,645
4,43,2661,41,41,0.578,0.6583,0.8196,10.0985,26,10,19,318,171,0.8042,0.2596,39.8,779
4,44,2683,42,42,0.5705,0.6669,0.8257,10.787,26,6,20,334,189,0.8119,0.2561,40.1,816
4,45,2665,39,39,0.6105,0.6722,0.8157,10.595,27,6,20,321,162,0.7961,0.2755,47.6,708
4,46,2730,36,36,0.6152,0.6654,0.8267,8.8858,26,5,13,312,132,0.7818,0.2817,52.1,614
4,47,2625,32,32,0.6826,0.6619,0.8162,8.3283,24,1,7,286,93,0.7891,0.2769,54.0,486
4,48,2703,31,31,0.6994,0.663,0.831,9.1515,24,1,14,288,88,0.8018,0.2593,59.4,459
4,49,2733,32,32,0.6697,0.6693,0.8337,9.5353,25,2,11,292,81,0.7917,0.2754,56.3,489
4,50,2713,33,33,0.6469,0.6599,0.8235,9.0474,25,4,9,270,107,0.8133,0.2543,49.8,521
4,51,2681,31,31,0.6546,0.6644,0.8307,12.7407,24,5,13,253,88,0.8039,0.2636,59.8,454
4,52,2577,31,31,0.621,0.662,0.8313,12.3836,22,5,20,245,78,0.8156,0.2536,60.7,454
4,53,2684,34,34,0.6109,0.6747,0.8293,10.364,25,7,20,286,107,0.8152,0.2478,55.1,543
4,54,2472,37,37,0.6052,0.6708,0.8335,11.3039,25,4,21,340,116,0.815,0.2531,59.5,656
4,55,2604,36,36,0.6514,0.666,0.8294,12.2212,27,3,24,362,110,0.8265,0.2501,60.9,621
4,56,2535,41,41,0.6274,0.6667,0.8318,12.3951,31,7,27,416,143,0.8381,0.2445,59.9,796
4,57,2550,39,39,0.6597,0.6598,0.8262,11.8719,31,6,23,427,135,0.8347,0.2456,75.8,728
4,58,2465,34,34,0.7517,0.677,0.8368,11.6726,30,2,20,392,91,0.819,0.2515,90.7,559
4,59,2523,35,35,0.7165,0.6718,0.8397,12.1916,29,3,22,384,86,0.8026,0.2594,73.0,592
4,60,2545,38,38,0.6862,0.6621,0.8288,12.3247,29,5,23,397,133,0.7748,0.2749,64.8,692
