seed,event_id,source_cid,input_atom,rank,candidate_word,probability
15,15_atom_1004,152,EXS.nonbeing,10,ruminate,0.0068
15,15_atom_1008,103,PER.smell,1,express,0.0035
15,15_atom_1008,103,PER.smell,2,manifest,0.0032
15,15_atom_1008,103,PER.smell,3,display,0.0020
15,15_atom_1008,103,PER.smell,4,carry,0.0019
15,15_atom_1008,103,PER.smell,5,evidence,0.0019
15,15_atom_1008,103,PER.smell,6,turn,0.0019
15,15_atom_1008,103,PER.smell,7,slop,0.0018
15,15_atom_1008,103,PER.smell,8,feather,0.0016
15,15_atom_1008,103,PER.smell,9,drive,0.0015
15,15_atom_1008,103,PER.smell,10,run,0.0015
16,16_atom_1002,147,EXS.being,1,buy,0.0070
16,16_atom_1002,147,EXS.being,2,tiller,0.0068
16,16_atom_1002,147,EXS.being,3,extract,0.0064
16,16_atom_1002,147,EXS.being,4,purchase,0.0063
16,16_atom_1002,147,EXS.being,5,bum,0.0061
16,16_atom_1002,147,EXS.being,6,rent,0.0061
16,16_atom_1002,147,EXS.being,7,feather,0.0061
16,16_atom_1002,147,EXS.being,8,share,0.0060
16,16_atom_1002,147,EXS.being,9,take,0.0060
16,16_atom_1002,147,EXS.being,10,profit,0.0060
16,16_atom_1027,219,EXS.being,1,buy,0.0070
16,16_atom_1027,219,EXS.being,2,tiller,0.0068
16,16_atom_1027,219,EXS.being,3,extract,0.0064
16,16_atom_1027,219,EXS.being,4,purchase,0.0063
16,16_atom_1027,219,EXS.being,5,bum,0.0061
16,16_atom_1027,219,EXS.being,6,rent,0.0061
16,16_atom_1027,219,EXS.being,7,feather,0.0061
16,16_atom_1027,219,EXS.being,8,share,0.0060
16,16_atom_1027,219,EXS.being,9,take,0.0060
16,16_atom_1027,219,EXS.being,10,profit,0.0060
18,18_atom_1015,78,PRP.bright,1,leash,0.0113
18,18_atom_1015,78,PRP.bright,2,muzzle,0.0112
18,18_atom_1015,78,PRP.bright,3,knot,0.0110
18,18_atom_1015,78,PRP.bright,4,rope,0.0109
18,18_atom_1015,78,PRP.bright,5,bound,0.0109
18,18_atom_1015,78,PRP.bright,6,strap,0.0108
18,18_atom_1015,78,PRP.bright,7,tie,0.0107
18,18_atom_1015,78,PRP.bright,8,cord,0.0106
18,18_atom_1015,78,PRP.bright,9,gag,0.0106
18,18_atom_1015,78,PRP.bright,10,trammel,0.0105
18,18_atom_1040,167,PRP.bright,1,leash,0.0113
18,18_atom_1040,167,PRP.bright,2,muzzle,0.0112
18,18_atom_1040,167,PRP.bright,3,knot,0.0110
18,18_atom_1040,167,PRP.bright,4,rope,0.0109
18,18_atom_1040,167,PRP.bright,5,bound,0.0109
18,18_atom_1040,167,PRP.bright,6,strap,0.0108
18,18_atom_1040,167,PRP.bright,7,tie,0.0107
18,18_atom_1040,167,PRP.bright,8,cord,0.0106
18,18_atom_1040,167,PRP.bright,9,gag,0.0106
18,18_atom_1040,167,PRP.bright,10,trammel,0.0105
