window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned
11,5000,3707,19,0,19,9,1.2,10,0,0,0,0,0,0,0,0,1.9988,-0.0001,0,32.3,9,0.3494,1.0,1.168,0,0,0,16,24,2025,3447,5512,0.4,89,10,5,1,5,2,11,0.2222,0,0,1,0,1.0,197197,10716,2776
12,5000,3022,9,0,9,5,0.7111,5,0,0,0,0,0,0,0,0,1.9966,-0.0022,0,32.1,10,0.3463,1.0,1.1844,0,0,0,17,24,2132,3613,5786,0.4146,95,5,3,0,1,2,6,0.0,0,0,0,0,1.0,150549,9932,2932
13,5000,2600,9,0,9,7,1.2,7,0,0,0,0,0,0,0,0,1.9971,0.0005,0,32.3,10,0.3449,1.0,1.1838,0,0,0,17,24,2213,3742,5996,0.4146,98,7,6,0,2,0,7,0.0,0,0,1,0,1.0,121528,9942,4152
14,5000,2235,6,0,6,5,0.5,5,0,0,0,0,0,0,0,0,1.9965,-0.0006,0,33.3,10,0.3415,1.0,1.2161,0,0,0,16,24,2237,3774,6051,0.4,98,5,3,0,1,1,4,0.3333,0,0,0,0,1.0,98400,9849,4908
15,5000,1823,2,0,2,4,0.3462,6,0,0,0,0,0,0,0,3,1.9964,-0.0001,0,34.2,10,0.3403,1.0,1.2088,0,0,0,16,24,2252,3787,6079,0.4,97,6,5,0,0,1,1,0.0,0,0,0,0,1.0,76185,10187,5274
16,5000,1492,7,0,7,4,0.6667,6,0,0,0,0,0,0,0,3,1.9952,-0.0012,0,34.3,10,0.3252,1.0,1.2097,0,0,0,16,23,2236,3748,6023,0.4103,94,6,5,0,0,2,5,0.0,0,0,0,0,1.0,57943,9965,6433
17,5000,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9873,-0.008,0,35.0,10,0.3236,1.0,1.2202,0,0,0,15,22,2106,3527,5670,0.4054,91,0,0,0,0,0,0,0.0,0,0,0,0,1.0,41556,9607,6540
18,5000,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9827,-0.0046,0,36.2,10,0.3232,1.0,1.2586,0,0,0,13,20,1868,3094,4995,0.3939,82,0,0,0,0,0,0,0.0,0,0,0,1,0.9828,32952,9165,8483
19,5000,1113,1,0,1,5,0.0,3,0,0,0,0,0,0,0,3,1.9641,-0.0186,0,36.0,10,0.3066,1.0,1.2662,0,0,0,10,14,1640,2719,4383,0.4167,72,3,3,0,0,0,1,0.0,0,0,0,0,1.0,27303,8718,9600
20,5000,1088,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.971,0.0069,0,36.5,10,0.3117,1.0,1.245,0,0,0,7,14,1323,2177,3521,0.3333,60,0,0,0,0,0,0,0.0,0,0,0,0,1.0,20235,8512,10476
21,4979,1056,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9845,0.0135,1,37.3,10,0.3071,1.0,1.1385,0,0,0,5,5,853,1331,2194,0.5,37,0,0,0,0,0,0,0.0,0,0,0,0,1.0,15451,8413,13412
22,4935,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9517,-0.0327,1,36.8,10,0.3798,1.0,1.1408,0,0,0,3,3,633,966,1605,0.5,27,0,0,0,0,0,0,0.0,0,0,0,0,1.0,10862,7899,16108
23,4885,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9574,0.0057,1,35.7,7,0.3591,1.0,1.0556,0,0,0,2,2,430,609,1043,0.5,16,0,0,0,0,0,0,0.0,0,0,0,0,1.0,7986,7587,17025
24,4857,1134,1,0,1,5,1.2,1,0,0,0,0,0,0,0,3,1.9037,-0.0537,1,37.9,7,0.4489,1.0,0.992,0,0,0,2,2,335,463,802,0.5,10,1,1,0,0,1,0,0.0,0,0,0,0,1.0,5405,6740,19957
25,4809,1187,1,0,1,3,0.2963,1,0,0,0,0,0,0,0,3,1.825,-0.0787,1,37.7,6,0.4545,1.0,0.8824,0,0,0,1,2,233,322,558,0.3333,8,1,1,0,0,1,0,0.0,0,0,0,0,1.0,4116,6656,21485
26,4765,1245,1,0,1,3,0.1212,2,0,0,0,0,0,0,0,3,1.371,-0.4541,2,37.1,6,0.5625,1.0,0.5486,0,0,0,0,1,147,189,337,0.0,4,2,2,1,0,0,0,1.0,0,0,0,0,1.0,2171,6031,24742
27,4717,1435,1,0,1,3,0.0,3,0,0,0,0,0,0,0,3,1.8424,0.4714,2,37.4,6,0.5833,1.0,0.425,0,0,0,0,1,123,145,269,0.0,3,3,3,1,0,0,0,1.0,0,0,0,0,1.0,1735,5539,29905
28,4651,1512,1,0,1,3,0.0,4,0,0,0,0,0,0,0,3,1.7925,-0.0499,2,38.6,3,1.0,1.0,0.0,0,0,0,0,0,29,36,65,0.0,2,4,4,1,0,0,0,1.0,0,0,0,0,1.0,1706,5211,31371
29,4607,1616,1,0,1,3,0.0,5,0,0,0,0,0,0,0,3,1.7925,0.0,2,37.6,4,1.0,1.0,0.0,0,0,0,0,0,36,43,79,0.0,2,5,5,1,0,0,0,1.0,0,0,0,0,1.0,1906,4626,34992
30,4562,1692,1,0,1,3,0.0,6,0,0,0,0,0,0,0,3,1.371,-0.4215,2,33.9,5,1.0,1.0,0.0,0,0,0,0,0,41,53,94,0.0,2,6,6,1,0,0,0,1.0,0,0,0,0,1.0,2164,4281,36322
31,4522,1712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,-0.371,2,33.6,6,1.0,1.0,0.0,0,0,0,0,0,31,39,70,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1268,3930,37684
32,4480,1751,1,0,1,4,0.75,1,0,0,0,0,0,0,0,0,1.0,0.0,1,33.1,6,1.0,1.0,0.0,0,0,0,0,0,37,51,88,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,491,3372,40259
33,4453,1835,1,0,1,4,0.25,2,0,0,0,0,0,0,0,0,1.0,0.0,1,33.4,6,1.0,1.0,0.0,0,0,0,0,0,37,51,88,0.0,1,2,2,1,0,0,0,1.0,0,0,0,1,0.9815,366,3168,40107
34,4435,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-1.0,2,33.2,6,1.0,1.0,0.0,0,0,0,0,0,39,55,94,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,297,2824,43489
35,4404,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.5219,1.5219,1,32.8,6,1.0,1.0,0.0,0,0,0,0,0,39,61,100,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,490,2586,48677
36,4382,1927,1,0,1,4,1.0,1,0,0,0,0,0,0,0,3,1.75,0.2281,1,33.6,6,1.0,1.0,0.0,0,0,0,0,0,37,59,96,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,993,2578,47051
37,4368,2060,1,0,1,5,0.2,1,0,0,0,0,0,0,0,3,1.8262,0.0762,1,32.9,6,1.0,1.0,0.0,0,0,0,0,0,37,59,96,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1505,2358,46815
38,4345,2152,2,0,2,5,0.8571,1,0,0,0,0,0,0,0,3,1.8554,0.0291,2,33.7,6,1.0,1.0,0.0,0,0,0,0,0,37,62,99,0.0,1,1,1,0,0,2,0,0.0,0,0,0,0,1.0,2305,2301,46877
39,4323,2106,1,0,1,3,0.1905,1,0,0,0,0,0,0,0,3,1.9591,0.1038,2,32.5,6,1.0,1.0,0.0,0,0,0,0,0,39,66,105,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2235,1882,50355
40,4307,2143,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9056,-0.0535,2,33.5,6,1.0,1.0,0.0,0,0,0,0,0,41,73,114,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1841,2064,49156
41,4289,2122,1,0,1,4,1.0,1,0,0,0,0,0,0,0,0,1.5,-0.4056,1,33.1,6,1.0,1.0,0.0,0,0,0,0,0,46,75,121,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1731,1887,50045
42,4270,2254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-1.5,1,32.8,2,1.0,1.0,0.0,0,0,0,0,0,11,26,37,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,710,1742,51375
43,4253,2243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0,1,33.6,2,1.0,1.0,0.0,0,0,0,0,0,11,27,38,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,350,1415,53365
44,4231,2299,2,0,2,5,1.6,1,0,0,0,0,0,0,0,0,-0.0,0.0,1,33.0,2,1.0,1.0,0.0,0,0,0,0,0,11,27,38,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,296,1231,52949
45,4221,2295,1,0,1,5,0.2286,2,0,0,0,0,0,0,0,0,0.9183,0.9183,1,33.7,1,0.0,0.0,0.0,0,0,0,0,0,9,17,26,0.0,0,2,2,0,0,0,1,0.0,0,0,0,0,1.0,264,1059,53546
46,4206,2383,2,0,2,5,1.4286,1,0,0,0,0,0,0,0,0,1.0,0.0817,2,32.4,2,0.0,0.0,0.0,0,0,0,0,0,10,19,29,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,422,1019,54805
47,4192,2350,2,0,2,5,0.5333,1,0,0,0,0,0,0,0,3,0.65,-0.35,2,33.7,2,0.0,0.0,0.0,0,0,0,0,0,13,23,36,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,700,1011,56322
48,4185,2317,2,0,2,5,1.6,1,0,0,0,0,0,0,0,3,1.2244,0.5744,2,32.9,2,0.0,0.0,0.0,0,0,0,0,0,16,27,43,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,1172,876,55041
49,4173,2316,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.2988,0.0744,2,32.6,2,0.0,0.0,0.0,0,0,0,0,0,23,27,50,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1,0.9773,1446,867,54043
50,4163,2413,3,0,3,5,0.6,1,0,0,0,0,0,0,0,3,1.4488,0.15,1,33.5,2,0.0,0.0,0.0,0,0,0,0,0,24,25,49,0.0,0,1,1,0,0,3,0,0.0,0,0,0,0,1.0,1541,733,55882
51,4154,2356,1,0,1,5,0.32,1,0,0,0,0,0,0,0,3,1.4488,0.0,1,32.5,2,0.0,0.0,0.0,0,0,0,0,0,19,23,42,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1171,730,58354
52,4142,2458,1,0,1,3,0.8889,1,0,0,0,0,0,0,0,0,0.8113,-0.6375,2,33.4,2,0.0,0.0,0.0,0,0,0,0,0,24,33,57,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1064,719,58720
53,4132,2482,3,0,3,3,1.3333,2,0,0,0,0,0,0,0,3,1.5567,0.7454,2,32.5,2,0.0,0.0,0.0,0,0,0,0,0,27,35,62,0.0,0,2,2,1,0,2,0,1.0,0,0,0,0,1.0,1141,610,56723
54,4126,2351,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9852,-0.5714,2,33.3,2,1.0,1.0,0.0,0,0,0,0,0,28,37,65,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,904,586,57119
55,4114,2414,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9183,-0.0669,1,32.3,2,1.0,1.0,0.0,0,0,0,0,0,33,42,75,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1032,552,55878
56,4107,2447,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.7219,-0.1964,1,32.4,2,1.0,1.0,0.0,0,0,0,0,0,32,40,72,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1158,475,57831
57,4100,2415,1,0,1,3,0.6667,1,0,0,0,0,0,0,0,3,0.7219,0.0,1,33.4,2,1.0,1.0,0.0,0,0,0,0,0,29,35,64,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1083,364,58631
58,4095,2414,1,0,1,5,1.0667,1,0,0,0,0,0,0,0,0,1.5,0.7781,1,32.4,2,1.0,1.0,0.0,0,0,0,0,0,26,28,54,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1045,329,54018
59,4088,2311,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.5567,0.0567,2,33.4,2,1.0,1.0,0.0,0,0,0,0,0,17,26,43,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,845,334,55933
60,4083,2464,1,0,1,3,0.0,1,0,0,0,0,0,0,0,3,1.4855,-0.0712,1,32.5,2,1.0,1.0,0.0,0,0,0,0,0,16,22,38,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1340,252,57846
61,4079,2479,1,0,1,3,0.1333,1,0,0,0,0,0,0,0,3,1.7899,0.3045,1,33.6,2,1.0,1.0,0.0,0,0,0,0,0,16,22,38,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2089,239,59261
62,4075,2408,1,0,1,5,0.2667,1,0,0,0,0,0,0,0,3,1.7296,-0.0604,2,32.2,2,1.0,1.0,0.0,0,0,0,0,0,12,14,26,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2675,192,60167
63,4072,2460,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.761,0.0314,2,32.3,2,1.0,1.0,0.0,0,0,0,0,0,14,17,31,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2972,256,57885
64,4068,2430,1,0,1,5,0.8,1,0,0,0,0,0,0,0,3,1.7925,0.0315,1,32.6,2,1.0,1.0,0.0,0,0,0,0,0,15,19,34,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2320,296,58986
65,4066,2609,1,0,1,5,1.1111,1,0,0,0,0,0,0,0,3,1.8366,0.0441,1,32.5,1,0.0,0.0,0.0,0,0,0,0,0,9,12,21,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1581,293,59249
66,4066,2427,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9501,0.1135,2,32.8,1,0.0,0.0,0.0,0,0,0,0,0,11,18,29,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1484,219,62277
67,4066,2492,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.904,-0.0461,1,32.4,1,0.0,0.0,0.0,0,0,0,0,0,13,25,38,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2347,286,59118
68,4062,2474,3,0,3,5,2.0,1,0,0,0,0,0,0,0,3,1.9561,0.0521,1,33.0,1,0.0,0.0,0.0,0,0,0,0,0,13,25,38,0.0,0,1,1,0,0,3,0,0.0,0,0,1,0,1.0,3273,181,58340
69,4059,2499,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8924,-0.0637,1,32.0,1,0.0,0.0,0.0,0,0,0,0,0,13,23,36,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,3210,246,57949
70,4056,2513,2,0,2,4,1.0,2,0,0,0,0,0,0,0,3,1.7652,-0.1272,1,33.1,1,0.0,0.0,0.0,0,0,0,0,0,15,33,48,0.0,0,2,2,0,0,1,1,0.0,0,0,0,0,1.0,3043,267,59790
71,4051,2461,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8631,0.0979,1,32.2,2,0.0,0.0,0.0,0,0,0,0,0,15,33,48,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,3520,315,56737
72,4047,2573,1,0,1,5,0.4,1,0,0,0,0,0,0,0,3,1.65,-0.2131,1,33.5,2,0.0,0.0,0.0,0,0,0,0,0,15,36,51,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2506,321,58273
73,4045,2515,3,0,3,5,0.8,3,0,0,0,0,0,0,0,3,1.7605,0.1105,1,32.3,2,0.0,0.0,0.0,0,0,0,0,0,10,31,41,0.0,0,3,3,0,0,2,1,0.0,0,0,0,0,1.0,2796,245,59891
74,4042,2552,1,0,1,5,1.2,1,0,0,0,0,0,0,0,3,1.7899,0.0294,2,33.5,3,0.0,0.0,0.0,0,0,0,0,0,9,31,40,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2290,345,60567
75,4034,2432,1,0,1,7,0.254,2,0,0,0,0,0,0,0,3,1.9056,0.1157,2,32.2,3,0.0,0.0,0.0,0,0,0,0,0,12,36,48,0.0,1,2,2,0,0,0,1,0.0,0,0,0,0,1.0,1994,289,56357
76,4030,2446,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.371,-0.5347,2,33.1,3,0.0,0.0,0.0,0,0,0,0,0,11,33,44,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1449,242,56746
77,4017,2435,1,0,1,5,0.1714,1,0,0,0,0,0,0,0,3,1.9749,0.604,1,32.5,3,0.0,0.0,0.0,0,0,0,0,0,15,37,52,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1363,260,58547
78,4008,2380,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.922,-0.0529,1,32.1,3,0.0,0.0,0.0,0,0,0,0,0,15,37,52,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1175,267,56834
79,4001,2477,1,0,1,3,0.3333,1,0,0,0,0,0,0,0,3,1.805,-0.117,1,33.1,3,0.0,0.0,0.0,0,0,0,0,0,18,41,59,0.0,1,1,1,0,0,1,0,0.0,0,0,0,1,0.9688,2281,149,56581
80,3993,2445,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7718,-0.0333,1,32.0,3,0.0,0.0,0.0,0,0,0,0,0,14,32,46,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,3251,341,56224
81,3980,2364,1,0,1,5,0.0,1,0,0,0,0,0,0,0,3,1.922,0.1502,1,33.0,3,0.0,0.0,0.0,0,0,0,0,0,16,34,50,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2680,320,56334
82,3968,2413,1,0,1,4,0.4286,1,0,0,0,0,0,0,0,3,1.8586,-0.0635,1,31.9,3,0.0,0.0,0.0,0,0,0,0,0,16,31,47,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2862,204,56426
83,3958,2505,1,0,1,5,0.3273,1,0,0,0,0,0,0,0,3,1.9183,0.0597,2,33.1,3,0.0,0.0,0.0,0,0,0,0,0,17,36,53,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2262,304,56522
84,3953,2349,1,0,1,3,0.4444,1,0,0,0,0,0,0,0,3,1.9219,0.0036,2,31.9,3,0.0,0.0,0.0,0,0,0,0,0,17,41,58,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1338,254,57349
85,3944,2434,1,0,1,4,0.5,1,0,0,0,0,0,0,0,3,1.8464,-0.0755,2,32.9,2,0.0,0.0,0.0,0,0,0,0,0,17,39,56,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,997,243,56671
86,3937,2427,2,0,2,5,1.2,1,0,0,0,0,0,0,0,3,1.8554,0.0089,2,32.1,2,0.0,0.0,0.0,0,0,0,0,0,17,38,55,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,1974,249,58511
87,3927,2335,2,0,2,5,1.6,1,0,0,0,0,0,0,0,3,1.5305,-0.3249,2,31.9,1,0.0,0.0,0.0,0,0,0,0,0,11,30,41,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,1949,267,59561
88,3917,2303,1,0,1,5,0.0,2,0,0,0,0,0,0,0,3,1.9086,0.3781,2,33.3,1,0.0,0.0,0.0,0,0,0,0,0,14,37,51,0.0,0,2,1,0,1,0,0,0.0,0,0,0,0,1.0,2197,256,54378
89,3908,2356,1,0,1,4,0.6,1,0,0,0,0,0,0,0,3,1.571,-0.3377,2,31.9,2,0.0,0.0,0.2,0,0,0,0,0,15,36,51,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1503,275,54826
90,3896,2467,3,0,3,5,1.6,2,0,0,0,0,0,0,0,3,1.7819,0.211,2,33.5,2,0.0,0.0,0.1818,0,0,0,0,0,16,40,56,0.0,0,2,2,0,0,2,1,0.0,0,0,0,0,1.0,1648,246,57756
91,3890,2304,1,0,1,4,0.75,1,0,0,0,0,0,0,0,3,1.7381,-0.0438,2,32.2,2,0.0,0.0,0.1667,0,0,0,0,0,17,40,57,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2147,246,56995
92,3879,2304,1,0,1,4,1.2,1,0,0,0,0,0,0,0,3,1.75,0.0119,2,33.2,2,0.0,0.0,0.1538,0,0,0,0,0,23,52,75,0.0,0,1,1,0,0,1,0,0.0,0,0,1,0,1.0,2087,272,54633
93,3872,2268,2,0,2,5,1.6,1,0,0,0,0,0,0,0,3,1.585,-0.165,2,32.0,2,0.0,0.0,0.1538,0,0,0,0,0,23,50,73,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,1565,275,51765
94,3857,2334,1,0,1,5,1.3333,1,0,0,0,0,0,0,0,0,1.5,-0.085,2,33.0,2,0.0,0.0,0.1429,0,0,0,0,0,24,47,71,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,964,272,53400
95,3856,2312,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.4591,-0.0409,2,32.1,2,0.0,0.0,0.1429,0,0,0,0,0,22,44,66,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,678,274,55005
96,3851,2346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.0409,1,32.3,2,0.0,0.0,0.1429,0,0,0,0,0,27,45,72,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,589,191,54924
97,3847,2356,1,0,1,4,0.6,1,0,0,0,0,0,0,0,3,1.9219,0.4219,1,32.3,2,0.0,0.0,0.1538,0,0,0,0,0,27,42,69,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,655,138,54813
98,3841,2308,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9219,0.0,1,31.9,2,0.0,0.0,0.1667,0,0,0,0,0,24,35,59,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,953,162,55695
99,3835,2451,1,0,1,4,0.1667,1,0,0,0,0,0,0,0,0,0.8113,-1.1106,1,32.5,2,0.0,0.0,0.1818,0,0,0,0,0,25,37,62,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1027,187,56081
100,3829,2332,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.1488,0.3376,1,32.1,2,0.0,0.0,0.0,0,0,0,0,0,21,31,52,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1026,139,54739
101,3817,2380,3,0,3,5,0.64,1,0,0,0,0,0,0,0,3,1.6577,0.5089,1,32.4,2,0.0,0.0,0.0,0,0,0,0,0,19,33,52,0.0,0,1,1,0,0,3,0,0.0,0,0,0,0,1.0,1308,145,56586
102,3815,2404,1,0,1,3,0.2222,2,0,0,0,0,0,0,0,3,1.6172,-0.0406,1,31.9,1,0.0,0.0,0.0,0,0,0,0,0,12,19,31,0.0,0,2,2,0,0,0,1,0.0,0,0,0,0,1.0,1787,181,55632
103,3808,2342,1,0,1,5,1.3333,1,0,0,0,0,0,0,0,3,1.571,-0.0462,2,33.0,2,0.0,0.0,0.0,0,0,0,0,0,18,31,49,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1905,179,54925
104,3805,2347,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.4855,-0.0855,2,31.9,2,0.0,0.0,0.0,0,0,0,0,0,21,32,53,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1,0.9762,1986,166,57037
