window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned
70,3935,2461,1,0,1,5,0.3,1,0,0,0,0,2,0,1,3,1.7527,-0.1975,1,31.8,2,0.0,0.0,0.1667,0,0,0,0,0,16,47,63,0.0,0,1,1,0,0,1,0,0.0,0,0,0,1,0.9524,1648,257,54234
71,3925,2326,1,0,1,5,0.32,1,0,0,0,0,2,0,1,3,1.8424,0.0897,1,32.8,2,0.0,0.0,0.1795,0,0,0,0,0,13,40,53,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1538,261,55054
72,3914,2384,1,0,1,5,1.3333,1,0,0,0,0,2,0,1,3,1.4591,-0.3832,2,32.1,2,0.0,0.0,0.1795,0,0,0,0,0,14,38,52,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1479,233,54726
73,3901,2364,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0.9183,-0.5409,2,33.1,2,0.0,0.0,0.1795,0,0,0,0,0,13,34,47,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,850,210,56272
74,3893,2357,1,0,1,4,0.6,1,0,0,0,0,2,0,1,3,1.3788,0.4605,1,32.1,2,0.0,0.0,0.1944,0,0,0,0,0,16,35,51,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,883,222,54584
75,3885,2356,1,0,1,5,0.8,1,0,0,0,0,2,0,1,3,1.7527,0.3739,1,33.3,2,0.0,0.0,0.1944,0,0,0,0,0,16,31,47,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1221,150,55532
76,3881,2283,1,0,1,4,2.0,1,0,0,0,0,2,0,1,3,1.6767,-0.076,2,31.9,2,0.0,0.0,0.1944,0,0,0,0,0,16,35,51,0.0,0,1,1,0,0,1,0,0.0,0,0,1,0,1.0,1879,166,54097
77,3874,2414,1,0,1,3,0.3333,1,0,0,0,0,2,0,1,3,1.4855,-0.1913,2,32.0,2,0.0,0.0,0.2121,0,0,0,0,0,12,30,42,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2001,194,55065
78,3869,2265,1,0,1,5,1.2,1,0,0,0,0,2,0,1,3,1.3788,-0.1067,2,32.8,1,0.0,0.0,0.0,0,0,0,0,0,9,21,30,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1550,250,53542
79,3868,2381,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1.5219,0.1431,2,31.8,1,0.0,0.0,0.0,0,0,0,0,0,8,21,29,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1525,174,54779
80,3865,2275,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0.9183,-0.6036,1,32.7,1,0.0,0.0,0.0,0,0,0,0,0,8,25,33,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1153,195,52609
81,3859,2247,2,0,2,5,2.0,1,0,0,0,0,2,0,1,0,1.0,0.0817,1,31.7,1,0.0,0.0,0.0,0,0,0,0,0,8,25,33,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,1053,234,53086
82,3851,2313,1,0,1,4,1.2,1,0,0,0,0,2,0,1,0,1.5,0.5,1,33.0,1,0.0,0.0,0.0,0,0,0,0,0,7,22,29,0.0,0,1,1,0,0,1,0,0.0,0,0,1,0,1.0,349,172,53583
83,3848,2257,1,0,1,4,1.0,1,0,0,0,0,2,0,1,3,1.7527,0.2527,2,31.3,1,0.0,0.0,0.0,0,0,0,0,0,11,23,34,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,639,165,54105
84,3842,2303,2,0,2,3,1.3333,2,0,0,0,0,2,0,1,3,1.5219,-0.2308,2,31.9,1,0.0,0.0,0.0,0,0,0,0,0,8,25,33,0.0,0,2,2,0,1,1,0,0.75,0,0,0,0,1.0,1064,151,52942
85,3836,2331,1,0,1,3,0.8,1,0,0,0,0,2,0,1,3,1.5546,0.0327,2,32.5,2,0.75,0.75,0.025,0,0,0,0,0,10,26,36,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1798,132,52797
86,3830,2348,1,0,1,4,0.5,1,0,0,0,0,2,0,1,3,1.5567,0.0021,2,31.9,2,0.75,0.75,0.025,0,0,0,0,0,13,23,36,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1790,131,55237
87,3822,2346,1,0,1,3,0.0,1,0,0,0,0,2,0,1,3,1.4591,-0.0975,2,32.8,2,0.75,0.75,0.025,0,0,0,0,0,13,26,39,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1334,108,53532
88,3821,2294,1,0,1,5,0.96,1,0,0,0,0,2,0,1,3,1.8424,0.3832,2,31.7,2,0.75,0.75,0.025,0,0,0,0,0,13,29,42,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1794,133,54033
89,3818,2374,2,0,2,3,0.0,1,0,0,0,0,2,0,1,0,1.5,-0.3424,2,32.7,2,0.75,0.75,0.025,0,0,0,0,0,16,28,44,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,1509,151,55725
90,3815,2311,1,0,1,4,1.0,2,0,0,0,0,2,0,1,0,1.0,-0.5,2,31.9,2,0.75,0.75,0.0227,0,0,0,0,0,17,28,45,0.0,0,2,2,0,0,0,1,0.0,0,0,0,0,1.0,435,189,56455
91,3812,2226,1,0,1,3,2.0,1,0,0,0,0,2,0,1,0,1.0,0.0,2,32.3,2,0.75,0.75,0.0227,0,0,0,0,0,22,39,61,0.0,0,1,1,0,0,1,0,0.0,1,0,0,0,1.0,462,135,53965
92,3807,2345,2,0,2,4,0.4444,2,0,0,0,0,2,0,1,3,0.971,-0.029,2,32.6,2,0.75,0.75,0.0208,0,0,0,0,0,24,40,64,0.0,0,2,2,1,0,1,0,1.0,0,0,0,0,1.0,778,123,53485
93,3804,2388,1,0,1,3,0.2222,3,0,0,0,0,2,0,1,3,1.9749,1.004,2,32.0,2,0.875,1.0,0.0208,0,0,0,0,0,22,38,60,0.0,0,3,3,1,0,0,0,1.0,0,0,0,0,1.0,1552,93,56529
94,3800,2362,2,0,2,5,0.6,4,0,0,0,0,2,0,1,3,1.9878,0.0128,2,32.8,3,0.9167,1.0,0.0227,0,0,0,0,0,29,40,69,0.0,1,4,4,1,0,1,0,1.0,0,0,0,0,1.0,1475,173,55245
95,3798,2435,1,0,1,4,0.6,1,0,0,0,0,2,0,1,3,1.9878,0.0,2,31.8,4,0.9375,1.0,0.0208,0,0,0,0,0,33,45,78,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2052,144,53645
96,3797,2376,1,0,1,5,0.2462,1,0,0,0,0,2,0,1,3,1.9713,-0.0164,2,32.7,4,1.0,1.0,0.0,0,0,0,0,0,38,48,86,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2872,110,55577
97,3796,2348,2,0,2,4,1.0,2,0,0,0,0,2,0,1,3,1.9329,-0.0384,2,32.0,4,1.0,1.0,0.0,0,0,0,0,0,39,47,86,0.0,1,2,2,0,1,1,0,0.5,0,0,0,0,1.0,3570,154,52786
98,3795,2311,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1.9852,0.0523,2,32.4,4,0.875,1.0,0.0545,0,0,0,0,1,44,48,93,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,3416,188,53748
99,3790,2460,1,0,1,3,1.3333,3,0,0,0,0,2,0,1,3,1.7605,-0.2247,1,31.8,4,0.875,1.0,0.06,0,0,0,0,1,46,53,100,0.0,1,3,3,0,0,0,1,0.0,0,0,0,0,1.0,3032,146,54311
100,3784,2330,1,0,1,5,1.2,1,0,0,0,0,2,0,1,3,1.5305,-0.23,1,31.6,4,0.875,1.0,0.0667,0,0,0,0,1,45,49,95,0.0,2,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2943,209,54641
101,3783,2310,2,0,2,4,0.1875,4,0,0,0,0,2,0,1,3,1.8424,0.3119,2,32.4,4,0.875,1.0,0.075,0,0,0,0,1,40,39,80,0.0,2,4,4,0,0,1,1,0.0,0,0,0,0,1.0,1160,211,53463
102,3780,2318,1,0,1,3,0.2667,1,0,0,0,0,2,0,1,3,1.8464,0.0041,2,31.3,4,0.875,1.0,0.075,0,0,0,0,1,38,38,77,0.0,2,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1277,130,53074
