seed,window,rate,k,tc,H,drift,J,tH,tD,tP,k_star
42,1,0.0,0,1,-0.0,,-0.5,-0.0,0,-0.5,3
42,1,0.0,1,3,0.574,,-0.426,0.574,0,-1.0,3
42,1,0.0,2,4,0.8204,,-0.3406,0.8204,0,-1.161,3
42,1,0.0,3,5,1.1313,,-0.1612,1.1313,0,-1.2925,3
42,1,0.0,4,5,1.1313,,-0.1612,1.1313,0,-1.2925,3
42,2,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
42,2,0.0,1,3,0.8013,0.077,-0.1217,0.8013,0.077,-1.0,3
42,2,0.0,2,4,1.288,0.1491,0.2761,1.288,0.1491,-1.161,3
42,2,0.0,3,5,1.6187,0.1538,0.48,1.6187,0.1538,-1.2925,3
42,2,0.0,4,5,1.6187,0.1538,0.48,1.6187,0.1538,-1.2925,3
42,3,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
42,3,0.0,1,2,0.65,0.2475,0.105,0.65,0.2475,-0.7925,3
42,3,0.0,2,3,1.1582,0.2478,0.406,1.1582,0.2478,-1.0,3
42,3,0.0,3,4,1.5284,0.249,0.6164,1.5284,0.249,-1.161,3
42,3,0.0,4,4,1.5284,0.249,0.6164,1.5284,0.249,-1.161,3
42,4,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
42,4,0.0,1,2,0.3712,0.1265,-0.2948,0.3712,0.1265,-0.7925,3
42,4,0.0,2,3,0.7345,0.1568,-0.1087,0.7345,0.1568,-1.0,3
42,4,0.0,3,3,0.7345,0.2726,0.0071,0.7345,0.2726,-1.0,3
42,4,0.0,4,3,0.7345,0.2726,0.0071,0.7345,0.2726,-1.0,3
42,5,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
42,5,0.0,1,2,0.4022,0.2752,-0.1151,0.4022,0.2752,-0.7925,3
42,5,0.0,2,3,0.6396,0.2812,-0.0792,0.6396,0.2812,-1.0,3
42,5,0.0,3,4,1.2415,0.4041,0.4846,1.2415,0.4041,-1.161,3
42,5,0.0,4,4,1.2415,0.4041,0.4846,1.2415,0.4041,-1.161,3
42,6,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
42,6,0.0,1,2,0.5788,0.0794,-0.1343,0.5788,0.0794,-0.7925,3
42,6,0.0,2,3,1.0351,0.1391,0.1742,1.0351,0.1391,-1.0,3
42,6,0.0,3,4,1.2375,0.2186,0.2951,1.2375,0.2186,-1.161,3
