seed,window,rate,k_star,J,tc,H
1337,23,0.0,3,0.7674,4,1.2752
1337,24,0.0,3,0.1661,3,0.7732
1337,25,0.0,2,1.049,4,1.7899
2024,1,0.0,3,-0.004,5,1.2885
2024,2,0.0,3,-0.1417,5,1.0781
2024,3,0.0,3,0.2448,4,1.2332
2024,4,0.0,3,0.1207,2,0.6723
2024,5,0.0,3,0.8396,5,1.7689
2024,6,0.0,3,0.365,4,1.2752
2024,7,0.0,3,-0.0069,2,0.4855
2024,8,0.0,3,-0.3756,2,0.3621
2024,9,0.0,3,1.2008,4,1.8395
2024,10,0.0,3,0.6601,5,1.7056
2024,11,0.0,3,0.4641,3,1.1033
2024,12,0.0,3,0.1118,2,0.469
2024,13,0.0,3,1.2019,4,1.7783
2024,14,0.0,2,0.1759,3,0.8167
2024,15,0.0,3,0.9846,5,1.8943
2024,16,0.0,3,0.3903,4,1.2772
2024,17,0.0,3,0.8704,4,1.7034
2024,18,0.0,3,0.659,4,1.4047
2024,19,0.0,3,0.6388,4,1.6729
2024,20,0.0,3,0.1187,4,1.0092
2024,21,0.0,3,0.44,5,1.4473
2024,22,0.0,3,0.7376,4,1.614
2024,23,0.0,3,-0.0017,1,-0.0
2024,24,0.0,2,0.1498,4,0.9934
2024,25,0.0,3,0.6958,4,1.4911
7,1,0.0005,0,-0.5,1,-0.0
7,2,0.0005,3,0.0686,5,1.135
7,3,0.0005,3,0.9063,5,1.9369
7,4,0.0005,4,0.6281,4,1.4838
7,5,0.0005,2,0.0526,4,1.0583
7,6,0.0005,4,0.0334,5,1.0144
7,7,0.0005,3,0.6227,2,0.971
7,8,0.0005,4,0.6512,4,1.232
7,9,0.0005,4,1.2636,4,1.7925
7,10,0.0005,4,1.0218,4,1.4183
7,11,0.0005,4,0.704,5,1.5059
7,12,0.0005,4,1.6693,6,2.4591
7,13,0.0005,4,0.5623,4,1.1401
7,14,0.0005,3,0.9894,5,1.9477
7,15,0.0005,3,0.2128,2,0.5436
7,16,0.0005,2,0.029,3,0.8167
7,17,0.0005,3,0.8767,5,1.8074
7,18,0.0005,3,0.0069,1,-0.0
7,19,0.0005,3,1.4245,5,2.1029
7,20,0.0005,3,0.3411,2,0.5917
7,21,0.0005,3,0.991,4,1.7272
7,22,0.0005,3,0.1164,4,1.0389
7,23,0.0005,3,-0.0566,2,0.469
7,24,0.0005,3,1.4705,5,2.1887
7,25,0.0005,3,0.6644,3,1.1488
42,1,0.0005,0,-0.5,1,-0.0
42,2,0.0005,4,0.1973,5,1.1983
42,3,0.0005,3,-0.0084,4,1.0389
42,4,0.0005,3,0.2931,4,1.1863
42,5,0.0005,3,0.4597,4,1.4789
42,6,0.0005,3,0.2091,2,0.6292
42,7,0.0005,3,0.1839,2,0.8524
42,8,0.0005,3,0.0359,3,0.5907
42,9,0.0005,2,0.273,4,1.2075
42,10,0.0005,3,0.669,3,1.2244
42,11,0.0005,3,0.5486,4,1.4466
42,12,0.0005,3,0.0609,2,0.5033
42,13,0.0005,3,0.25,3,0.8659
42,14,0.0005,4,1.2824,5,2.0458
42,15,0.0005,4,0.4128,6,1.4974
42,16,0.0005,4,1.0971,5,2.0649
42,17,0.0005,3,0.472,2,0.7642
42,18,0.0005,3,0.766,5,1.668
42,19,0.0005,4,0.5865,5,1.6282
42,20,0.0005,4,0.453,3,1.1033
42,21,0.0005,2,0.988,4,1.8366
42,22,0.0005,4,1.0619,3,1.3516
42,23,0.0005,4,1.2456,5,1.8676
42,24,0.0005,3,0.3995,2,0.6194
42,25,0.0005,3,0.4212,3,0.9864
55,1,0.0005,0,-0.5,1,-0.0
55,2,0.0005,4,-0.1791,5,0.9544
55,3,0.0005,3,0.5741,5,1.658
55,4,0.0005,3,-0.0382,1,-0.0
55,5,0.0005,1,-0.1362,2,0.4395
55,6,0.0005,3,0.6564,3,1.1982
55,7,0.0005,4,0.9227,6,1.9473
55,8,0.0005,4,0.5664,4,1.4183
55,9,0.0005,3,0.7178,3,1.371
55,10,0.0005,2,0.3869,4,1.2917
55,11,0.0005,3,0.7319,4,1.4288
55,12,0.0005,3,0.8666,4,1.8323
55,13,0.0005,3,0.2883,3,0.8031
55,14,0.0005,2,0.5685,4,1.4838
55,15,0.0005,3,0.3156,5,1.2754
55,16,0.0005,3,0.0737,3,0.7732
55,17,0.0005,2,-0.2144,1,-0.0
55,18,0.0005,4,1.1192,5,1.8811
55,19,0.0005,4,0.2058,3,0.6402
55,20,0.0005,3,0.1283,2,0.5665
55,21,0.0005,3,-0.2604,2,0.5033
55,22,0.0005,2,1.5305,3,1.5305
55,23,0.0005,4,1.1652,5,1.7534
55,24,0.0005,2,0.0069,1,-0.0
55,25,0.0005,3,1.1894,4,1.7925
123,1,0.0005,3,-0.0835,4,1.0775
123,2,0.0005,3,0.6698,4,1.4667
123,3,0.0005,3,0.7637,4,1.5284
123,4,0.0005,3,1.0811,5,2.0182
123,5,0.0005,3,0.1141,1,-0.0
123,6,0.0005,3,0.8293,4,1.5104
123,7,0.0005,3,0.0587,4,0.9934
123,8,0.0005,3,1.1534,4,1.8323
123,9,0.0005,3,0.4656,2,0.8454
123,10,0.0005,3,1.3216,5,2.0226
123,11,0.0005,4,1.1242,5,1.823
123,12,0.0005,4,0.0306,1,-0.0
123,13,0.0005,3,0.954,4,1.6135
123,14,0.0005,3,0.0015,1,-0.0
123,15,0.0005,3,1.1059,4,1.6767
123,16,0.0005,4,0.2905,3,0.7345
123,17,0.0005,4,0.5766,4,1.2776
123,18,0.0005,3,-0.1492,4,0.7196
123,19,0.0005,3,-0.0787,3,0.7476
123,20,0.0005,3,-0.0452,3,0.6686
123,21,0.0005,4,1.6298,6,2.2999
123,22,0.0005,3,0.3799,1,-0.0
123,23,0.0005,3,1.1261,5,1.8776
123,24,0.0005,3,0.4284,4,1.2332
123,25,0.0005,3,0.0631,2,0.5033
314,1,0.0005,3,0.3323,5,1.6248
314,2,0.0005,3,0.0118,4,0.9111
314,3,0.0005,4,0.3957,5,1.3863
314,4,0.0005,4,-0.1654,2,0.3095
314,5,0.0005,2,0.4051,4,1.2433
314,6,0.0005,2,-0.1102,1,-0.0
314,7,0.0005,3,0.8086,4,1.5016
314,8,0.0005,3,-0.032,1,-0.0
314,9,0.0005,3,0.5229,4,1.2772
314,10,0.0005,4,0.4516,3,1.1412
314,11,0.0005,4,1.5173,5,2.1822
314,12,0.0005,3,0.7461,3,1.2608
314,13,0.0005,4,0.6972,6,1.7166
314,14,0.0005,4,1.1195,5,2.1281
314,15,0.0005,3,0.1087,1,-0.0
314,16,0.0005,3,1.5627,4,1.9713
