window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,alpha_t,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied,mean_h_age,max_h_age,mean_h_res,max_h_res,mean_h_str,max_h_str,mature_links,rigid_links,brittle_links,hist_matured,hist_snapped,hist_suppressed,avalanche_events,cascade_links,void_mean_V,void_max_V,void_active_nodes,void_boosted_pairs,void_consumed,void_deposited,void_gamma,void_induced_births
1,5000,4619,36,0,36,5,1.3333,1,0,0,0,0,0,0,0,0,1.9985,1.9985,0,15.6,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,36,0,0.0,0,0,0,1,0.9688,160469,18125,3274,0.0001,0.5,0.02,0,0,0,0.0747,0.1,0.011,0.15,0.1479,0.25,0,0,0,2460,0,0,0,0,0.0,0.0,0,0,0,0.0,1.0,0
2,5000,6187,42,0,42,6,0.6667,2,0,0,0,0,0,0,0,0,1.9984,-0.0,0,17.7,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,2,2,22,7,13,0,0.8167,0,0,0,3,0.9127,254173,3934,3276,0.009267,0.5,0.02,1568,-9,0,0.1329,0.2,0.0148,0.3,0.2969,0.5,0,0,0,164546,0,245,0,0,0.0,0.0,0,0,0,0.0,1.0,0
3,5000,6129,47,0,47,7,0.8333,3,0,0,0,0,0,0,0,0,1.9985,0.0001,0,20.6,2,0.8167,1.0,0.2354,0,0,0,1,1,74,95,171,0.5,0,3,3,20,12,14,1,0.6554,0,0,0,2,0.9444,320761,3808,2908,0.009169,0.491684,0.019963,1510,2,1,0.1619,0.3,0.0176,0.45,0.3633,0.7,0,0,108,231608,1421,237,0,0,0.0038,0.438,182,0,84,401.836,1.008155,2
4,5000,5371,37,0,37,5,1.3333,4,0,0,0,0,0,0,0,0,1.9984,-0.0001,2,22.1,3,0.732,1.0,0.5394,0,0,0,6,1,220,312,539,0.8571,23,4,4,18,7,9,3,0.7813,0,0,1,1,0.971,267767,3678,2939,0.006499,0.491684,0.019963,-758,-9,0,0.1393,0.4,0.0183,0.6,0.3145,0.7,0,101,30,176789,2404,199,0,0,0.0055,0.28,218,0,401,717.75,1.008155,12
5,5000,5492,29,0,29,5,1.3333,5,0,0,0,0,0,0,0,0,1.9984,0.0,0,23.8,4,0.7464,1.0,0.5291,0,0,0,6,2,374,555,937,0.75,29,5,5,14,5,5,5,0.8658,0,0,0,1,0.9762,260121,3758,3406,0.005729,0.491684,0.019963,-637,-14,0,0.141,0.5,0.0172,0.75,0.3197,0.7,114,84,30,164677,1523,164,0,0,0.0043,0.194,178,0,311,436.972,1.008155,10
6,5000,5543,31,0,31,6,1.3333,6,0,0,0,0,0,0,0,0,1.9985,0.0001,0,25.8,5,0.768,1.0,0.5337,0,0,0,6,2,494,725,1227,0.75,36,6,6,11,8,4,8,0.7307,1,0,0,0,1.0,265569,3521,3383,0.00537,0.494514,0.020124,-586,-15,1,0.1424,0.6,0.0162,0.9,0.3253,0.7,83,79,32,169931,1599,121,0,0,0.0048,0.298,187,0,296,466.42,1.013525,6
7,5000,4403,24,0,24,5,1.6,7,0,0,0,0,0,0,0,0,1.9982,-0.0003,2,27.6,6,0.7623,1.0,0.6325,0,0,0,6,4,582,861,1453,0.6,36,7,7,5,8,9,2,0.5667,0,0,0,0,1.0,243270,6598,3408,0.008244,0.494514,0.020124,-1140,97,0,0.1421,0.7,0.0164,1.0,0.3227,0.7,55,55,31,157818,1607,90,0,0,0.0051,0.28,215,0,317,465.95,1.013525,9
8,5000,2857,10,0,10,5,1.3333,8,0,0,0,0,0,0,0,0,1.9985,0.0003,0,27.8,7,0.7437,1.0,0.6433,0,0,0,7,5,688,1021,1721,0.5833,38,8,8,6,1,2,1,0.8571,0,0,0,0,1.0,159216,10400,3104,0.010008,0.494514,0.020124,-2686,82,0,0.143,0.8,0.0172,1.0,0.3194,0.7,32,31,11,107603,1014,60,0,0,0.0047,0.28,187,0,317,293.398,1.013525,6
9,5000,1854,8,0,8,5,1.3333,9,0,0,0,0,0,0,0,0,1.9983,-0.0002,0,28.0,8,0.7492,1.0,0.6467,0,0,0,7,5,761,1111,1884,0.5833,39,9,9,4,1,0,3,0.8286,0,0,0,0,1.0,96007,10234,3530,0.010088,0.504589,0.018017,-3689,106,1,0.1366,0.9,0.0196,1.0,0.2972,0.7,24,26,13,66344,667,48,0,0,0.0043,0.249,177,0,277,196.718,1.023583,11
10,5000,1333,2,0,2,5,1.28,10,0,0,0,0,0,0,0,0,1.9957,-0.0026,0,28.9,9,0.7519,1.0,0.6648,0,0,0,7,7,785,1143,1942,0.5,41,10,10,1,0,1,0,1.0,0,0,0,0,1.0,55304,12879,3887,0.004885,0.504589,0.018017,-521,55,0,0.1144,1.0,0.0093,1.0,0.2626,0.7,7,8,4,39025,371,18,0,0,0.0027,0.492,102,0,231,111.488,1.023583,3
11,5000,999,1,0,1,5,0.0,2,0,0,0,0,0,0,0,0,1.9831,-0.0126,0,29.9,10,0.7535,1.0,0.6577,0,0,0,7,7,803,1166,1983,0.5,41,2,2,1,0,0,0,1.0,0,0,0,0,1.0,31373,12587,4986,0.007037,0.504589,0.018017,-855,57,0,0.0865,1.0,0.0036,1.0,0.2076,0.7,1,1,4,21010,250,9,0,0,0.0023,0.222,84,0,182,74.822,1.023583,2
12,5000,848,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9674,-0.0158,0,30.5,10,0.7552,1.0,0.6577,0,0,0,7,7,807,1172,1993,0.5,41,0,0,0,0,0,0,0.0,0,0,0,0,1.0,19192,12302,7164,0.007741,0.510504,0.017909,-1006,7,1,0.0764,0.49,0.0026,0.36,0.1872,0.695,0,0,0,12761,128,5,0,0,0.002,0.222,71,0,92,37.238,1.028467,1
13,5000,860,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9769,0.0095,0,31.3,10,0.7552,1.0,0.6872,0,0,0,7,7,799,1167,1980,0.5,41,0,0,0,0,0,0,0.0,0,0,0,0,1.0,13980,11761,7931,0.00022,0.510504,0.017909,12,-2,0,0.064,0.316,0.0001,0.03,0.1593,0.7,0,0,3,9184,104,0,0,0,0.0015,0.28,55,0,97,30.25,1.028467,1
14,5000,961,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9366,-0.0403,0,32.8,10,0.7689,1.0,0.6294,0,0,0,6,7,761,1130,1904,0.4615,41,0,0,0,0,0,0,0.0,0,0,0,0,1.0,10002,11253,11090,0.001225,0.510504,0.017909,113,21,0,0.0534,0.322,0.0,0.03,0.1332,0.69,0,0,0,6409,76,0,0,0,0.0011,0.197,40,0,70,21.432,1.028467,1
15,5000,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.921,-0.0157,1,33.0,10,0.775,1.0,0.6458,0,0,0,6,7,696,1009,1718,0.4615,36,0,0,0,0,0,0,0.0,0,0,0,0,1.0,7192,10929,13387,0.001745,0.510217,0.017888,166,6,1,0.0515,0.28,0.0,0.0,0.1287,0.7,0,0,1,4611,39,0,0,0,0.0006,0.197,24,0,44,11.002,1.02884,0
16,5000,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9849,0.0639,1,34.8,10,0.7962,1.0,0.6465,0,0,0,4,6,580,843,1433,0.4,29,0,0,0,0,0,0,0.0,0,0,0,0,1.0,5972,10400,16866,0.00032,0.510217,0.017888,22,-28,0,0.0474,0.28,0.0,0.0,0.1186,0.7,0,0,1,3546,40,0,0,0,0.0006,0.197,24,0,31,11.2,1.02884,0
17,5000,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9576,-0.0273,1,35.2,10,0.8299,1.0,0.6014,0,0,0,1,6,497,706,1210,0.1429,24,0,0,0,0,0,0,0.0,0,0,0,0,1.0,4677,9988,19153,0.001599,0.510217,0.017888,151,-30,0,0.0457,0.278,0.0,0.0,0.1141,0.695,0,0,0,2979,22,0,0,0,0.0005,0.28,16,0,23,6.16,1.02884,0
18,5000,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9035,-0.054,1,35.6,10,0.8329,1.0,0.6903,0,0,0,1,6,364,487,858,0.1429,18,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2899,9280,23002,0.001745,0.50993,0.018,166,-32,1,0.0434,0.26,0.0001,0.06,0.1083,0.65,0,0,0,1806,23,0,0,0,0.0003,0.14,12,0,21,6.44,1.028988,0
19,5000,1310,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8496,-0.0539,1,37.4,10,0.8296,1.0,0.8095,0,0,0,0,5,200,274,479,0.0,10,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2194,8446,25141,0.001393,0.50993,0.018,130,-8,0,0.0434,0.28,0.0001,0.06,0.1081,0.7,0,0,1,1399,11,0,0,0,0.0003,0.14,13,0,8,3.08,1.028988,0
20,4996,1359,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.4355,-0.4141,1,37.2,10,0.8635,1.0,0.7852,0,0,0,0,5,158,229,392,0.0,8,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1689,8424,29180,0.001871,0.50993,0.018,179,2,0,0.0436,0.372,0.0004,0.15,0.1084,0.685,0,0,0,1138,12,0,0,0,0.0003,0.1589,10,0,11,3.36,1.028988,0
21,4988,1494,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.3788,-0.0567,1,37.2,10,0.915,1.0,0.2,0,0,0,0,1,27,49,77,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1154,7985,30521,0.003141,0.508975,0.018094,314,-15,1,0.0433,0.382,0.0006,0.3,0.1075,0.695,0,0,0,846,7,3,0,0,0.0001,0.1589,5,0,8,2.072,1.029082,0
22,4971,1547,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.4591,0.0804,1,37.9,2,1.0,1.0,0.0,0,0,0,0,0,4,5,9,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1048,7336,33548,0.00063,0.508975,0.018094,53,-36,0,0.0436,0.37,0.0005,0.42,0.1085,0.655,0,0,0,845,10,3,0,0,0.0001,0.14,3,0,5,2.914,1.029082,0
23,4956,1581,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.371,-0.0882,1,38.4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1060,6911,34457,0.000968,0.508975,0.018094,87,-27,0,0.0438,0.47,0.0003,0.42,0.1089,0.7,0,0,1,668,9,2,0,0,0.0001,0.14,4,0,5,2.612,1.029082,0
24,4935,1709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-1.371,1,38.6,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,405,6383,35398,0.002217,0.508505,0.018222,215,-29,1,0.0429,0.206,0.0,0.03,0.1072,0.515,0,0,0,321,3,0,0,0,0.0,0.14,1,0,4,0.84,1.029131,0
25,4909,1844,1,0,1,4,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,1,39.6,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,20,6037,40919,0.001442,0.508505,0.018222,135,0,0,0.0435,0.156,0.0001,0.03,0.1086,0.245,0,0,0,82,0,0,0,0,0.0,0.14,1,0,0,0.0,1.029131,0
26,4885,1896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,38.2,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,0,5686,42455,0.001949,0.508505,0.018222,187,-13,0,0.0433,0.22,0.0001,0.03,0.108,0.395,0,0,0,164,0,0,0,0,0.0,0.0007,0,0,1,0.0,1.029131,0
27,4850,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,39.1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,0,4954,45303,0.002568,0.507872,0.018345,252,-24,1,0.0446,0.258,0.0001,0.06,0.1112,0.645,0,0,0,195,0,0,0,0,0.0,0.0007,0,0,0,0.0,1.029131,0
28,4819,2001,1,0,1,4,0.375,1,0,0,0,0,0,0,0,0,0.8113,0.8113,1,39.9,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,88,4900,46597,0.0005,0.507872,0.018345,40,-2,0,0.0433,0.222,0.0001,0.03,0.108,0.555,0,0,0,221,1,0,0,0,0.0,0.0007,0,0,0,0.28,1.029131,0
29,4800,2061,1,0,1,5,1.6,1,0,0,0,0,0,0,0,3,1.0,0.1887,1,40.0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,441,4446,47067,0.001097,0.507872,0.018345,100,17,0,0.0435,0.206,0.0003,0.09,0.1083,0.425,0,0,0,327,0,0,0,0,0.0,0.0007,0,0,0,0.0,1.029131,0
30,4775,2102,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8464,0.8464,2,39.7,1,0.0,0.0,0.0,0,0,0,0,0,0,4,4,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,892,4249,48533,0.001501,0.507661,0.018399,141,-18,1,0.0455,0.306,0.0009,0.24,0.1124,0.675,0,0,0,772,0,5,0,0,0.0,0.0007,0,0,0,0.0,1.029133,0
31,4743,2089,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8464,0.0,1,40.1,1,0.0,0.0,0.0,0,0,0,0,0,0,6,6,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1381,3846,50520,0.00023,0.507661,0.018399,-13,2,0,0.0464,0.332,0.0016,0.39,0.1147,0.665,0,0,0,1203,6,10,0,0,0.0,0.0013,0,0,2,1.804,1.029133,0
32,4709,2248,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9363,0.0898,1,40.3,1,0.0,0.0,0.0,0,0,0,0,0,0,6,6,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1474,3312,50278,0.00155,0.507661,0.018399,146,0,0,0.0465,0.432,0.0013,0.54,0.1148,0.68,0,4,0,1582,12,5,0,0,0.0001,0.14,2,0,0,3.596,1.029133,0
33,4680,2221,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9591,0.0229,1,39.7,1,0.0,0.0,0.0,0,0,0,0,0,0,6,6,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1377,3005,54199,0.001284,0.507509,0.018412,119,-5,1,0.0464,0.508,0.0009,0.54,0.1148,0.68,1,1,0,1244,14,5,0,0,0.0002,0.14,5,0,5,4.564,1.029174,0
34,4661,2282,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9329,-0.0262,1,39.1,1,0.0,0.0,0.0,0,0,0,0,0,0,6,6,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1520,2804,54494,0.000709,0.507509,0.018412,61,0,0,0.0454,0.274,0.0004,0.18,0.1127,0.6,0,0,0,1065,11,0,0,0,0.0,0.14,1,0,8,3.462,1.029174,0
35,4638,2361,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9502,0.0173,1,37.9,1,0.0,0.0,0.0,0,0,0,0,0,0,6,6,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1960,2680,53900,0.001491,0.507509,0.018412,140,-11,0,0.0469,0.288,0.0002,0.06,0.1167,0.68,0,0,0,1398,4,0,0,0,0.0,0.0515,1,0,2,1.12,1.029174,0
36,4618,2389,1,0,1,3,0.3333,1,0,0,0,0,0,0,0,3,1.922,-0.0282,1,35.6,1,0.0,0.0,0.0,0,0,0,0,0,0,6,6,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2159,2430,57116,0.001764,0.507216,0.018455,168,-12,1,0.0464,0.304,0.0003,0.06,0.1153,0.695,0,0,0,1650,9,0,0,0,0.0001,0.1426,2,0,3,2.556,1.029216,0
37,4598,2428,1,0,1,4,0.0,2,0,0,0,0,0,0,0,3,1.7899,-0.1321,1,35.0,1,0.0,0.0,0.0,0,0,0,0,0,0,6,6,0.0,0,2,2,0,0,0,1,0.0,0,0,0,0,1.0,1712,2288,58053,0.00049,0.507216,0.018455,39,2,0,0.0458,0.248,0.0002,0.06,0.1143,0.62,0,0,0,1175,10,0,0,0,0.0001,0.14,2,0,5,2.982,1.029216,0
38,4578,2442,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.5613,-0.2287,2,34.4,2,0.0,0.0,0.0,0,0,0,0,0,3,7,10,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1518,2031,58048,0.00063,0.507216,0.018455,53,-5,0,0.0459,0.336,0.0007,0.18,0.1139,0.655,0,0,0,1141,5,0,0,0,0.0,0.0007,0,0,4,1.4,1.029216,0
39,4560,2420,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.3788,-0.1825,1,35.1,2,0.0,0.0,0.0,0,0,0,0,0,5,7,12,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1643,1880,58056,0.00041,0.507203,0.018453,31,2,1,0.0461,0.28,0.0011,0.3,0.1145,0.7,0,0,1,1378,9,10,0,0,0.0001,0.179,4,0,0,2.71,1.029226,0
40,4541,2402,2,0,2,4,0.6,1,0,0,0,0,0,0,0,3,1.7885,0.4097,1,35.1,2,0.0,0.0,0.0,0,0,0,0,0,5,3,8,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,1321,1692,59455,0.00028,0.507203,0.018453,-18,-8,0,0.0454,0.356,0.001,0.36,0.1125,0.67,0,0,0,1308,7,7,0,0,0.0,0.007,0,0,2,1.966,1.029226,0
41,4521,2315,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8464,0.058,1,35.4,2,0.0,0.0,0.0,0,0,0,0,0,5,3,8,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1431,1687,57788,0.001146,0.507203,0.018453,-105,-14,0,0.0461,0.382,0.0006,0.36,0.1143,0.67,0,0,0,1177,5,2,0,0,0.0001,0.14,2,0,1,1.498,1.029226,0
42,4507,2408,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8464,0.0,1,34.3,2,0.0,0.0,0.0,0,0,0,0,0,8,5,13,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1189,1376,55516,0.00022,0.507205,0.01846,-12,-16,1,0.0458,0.334,0.0002,0.09,0.1138,0.68,0,0,0,1170,4,0,0,0,0.0,0.14,1,0,3,1.12,1.029229,0
43,4491,2557,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9056,0.0592,1,35.3,2,0.0,0.0,0.0,0,0,0,0,0,8,5,13,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1330,954,60123,0.001579,0.507205,0.01846,149,7,0,0.0454,0.26,0.0001,0.06,0.1133,0.65,0,0,0,758,9,0,0,0,0.0001,0.18,3,0,1,2.908,1.029229,0
44,4485,2562,1,0,1,3,0.6667,1,0,0,0,0,0,0,0,3,1.3788,-0.5269,1,35.3,2,0.0,0.0,0.0,0,0,0,0,0,8,5,13,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,855,884,61242,0.001628,0.507205,0.01846,154,-5,0,0.0453,0.256,0.0003,0.09,0.1131,0.64,0,0,0,613,2,0,0,0,0.0001,0.14,2,0,1,0.56,1.029229,0
45,4471,2494,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8424,0.4636,1,35.3,2,0.0,0.0,0.0,0,0,0,0,0,8,5,13,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1319,816,61827,0.000958,0.507123,0.01846,86,0,1,0.0464,0.332,0.0006,0.24,0.1152,0.675,0,0,0,930,2,5,0,0,0.0,0.14,1,0,2,0.56,1.029242,0
46,4458,2645,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8496,0.0072,1,35.1,2,0.0,0.0,0.0,0,0,0,0,0,8,9,17,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2246,710,61445,0.001599,0.507123,0.01846,151,-4,0,0.0464,0.34,0.0005,0.33,0.1153,0.69,0,0,0,1430,7,5,0,0,0.0,0.14,1,0,1,2.05,1.029242,0
47,4449,2522,1,0,1,3,0.2667,1,0,0,0,0,0,0,0,1,1.8512,0.0016,1,34.1,2,0.0,0.0,0.0,0,0,0,0,0,8,9,17,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2709,714,61331,0.00038,0.507123,0.01846,28,-8,0,0.046,0.324,0.0003,0.09,0.1145,0.695,0,0,0,1883,16,0,0,0,0.0001,0.14,2,0,5,4.78,1.029242,0
48,4442,2658,2,0,2,5,1.28,1,0,0,0,0,0,0,0,3,1.8113,-0.0399,1,35.1,2,0.0,0.0,0.0,0,0,0,0,0,5,8,13,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,2849,765,63472,0.001725,0.506843,0.018477,164,-5,1,0.0459,0.318,0.0004,0.09,0.1142,0.695,0,0,0,1885,9,0,0,0,0.0,0.14,1,0,3,2.652,1.029297,0
49,4432,2489,1,0,1,3,0.6667,2,0,0,0,0,0,0,0,3,1.8231,0.0118,2,35.0,1,0.0,0.0,0.0,0,0,0,0,0,6,8,14,0.0,0,2,1,0,1,0,0,0.0,0,0,0,0,1.0,1504,803,63675,0.001774,0.506843,0.018477,-169,-5,0,0.0462,0.344,0.0005,0.09,0.1145,0.68,0,0,0,1111,6,0,0,0,0.0001,0.14,2,0,2,1.818,1.029297,0
50,4427,2573,3,0,3,5,1.3333,1,0,0,0,0,0,0,0,3,1.9242,0.1011,2,35.1,2,0.0,0.0,0.2917,0,0,0,0,0,9,15,24,0.0,0,1,1,0,0,3,0,0.0,0,0,0,0,1.0,1502,545,61777,0.000948,0.506843,0.018477,-85,-2,0,0.0453,0.334,0.0005,0.09,0.1124,0.635,0,0,0,1060,8,0,0,0,0.0,0.181,1,0,4,2.522,1.029297,0
51,4420,2563,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9656,0.0414,2,34.4,2,0.0,0.0,0.1944,0,0,0,0,0,9,18,27,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1895,621,62200,0.001047,0.506942,0.018477,-95,0,1,0.0466,0.328,0.0003,0.09,0.1155,0.685,0,0,0,1436,5,0,0,0,0.0,0.0007,0,0,2,1.672,1.029317,0
52,4417,2613,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9772,0.0116,1,35.3,2,0.0,0.0,0.25,0,0,0,0,0,11,20,31,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2183,531,63953,0.0006,0.506942,0.018477,50,-3,0,0.0461,0.396,0.0001,0.09,0.1148,0.695,0,0,0,1457,12,0,0,0,0.0001,0.14,4,0,2,3.622,1.029317,0
53,4408,2691,1,0,1,5,1.2,1,0,0,0,0,0,0,0,3,1.7783,-0.1989,1,35.3,2,0.0,0.0,0.25,0,0,0,0,0,11,20,31,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2301,558,63545,0.001373,0.506942,0.018477,128,-2,0,0.0464,0.362,0.0001,0.06,0.1155,0.695,0,0,0,1134,6,0,0,0,0.0,0.0007,0,0,4,1.798,1.029317,0
54,4401,2540,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.6226,-0.1558,1,34.5,2,0.0,0.0,0.2188,0,0,0,0,0,11,20,31,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2111,502,62902,0.00033,0.50695,0.018477,-23,0,1,0.0461,0.244,0.0002,0.06,0.1146,0.515,0,0,0,1301,6,0,0,0,0.0,0.0007,0,0,0,1.868,1.029325,0
55,4397,2665,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.4838,-0.1387,1,35.5,2,0.0,0.0,0.2188,0,0,0,0,0,13,22,35,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2455,416,61126,0.001344,0.50695,0.018477,125,-2,0,0.0463,0.344,0.0002,0.06,0.1151,0.695,0,0,0,1711,4,0,0,0,0.0,0.14,1,0,0,1.12,1.029325,0
56,4392,2616,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8512,0.3674,1,35.6,2,0.0,0.0,0.25,0,0,0,0,0,13,18,31,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2942,457,63231,0.000859,0.50695,0.018477,76,-2,0,0.0466,0.352,0.0003,0.09,0.1157,0.695,0,0,0,1923,13,0,0,0,0.0,0.007,0,0,5,3.934,1.029325,0
57,4390,2663,2,0,2,5,0.75,1,0,0,0,0,0,0,0,3,1.7272,-0.124,1,35.6,2,0.0,0.0,0.25,0,0,0,0,0,13,18,31,0.0,0,1,1,0,0,2,0,0.0,0,0,0,1,0.9688,2422,450,63939,0.001324,0.506788,0.01848,123,-1,1,0.046,0.28,0.0004,0.09,0.114,0.62,0,0,0,1809,13,0,0,0,0.0001,0.14,2,0,4,3.832,1.029364,0
58,4386,2568,3,0,3,5,0.8,2,0,0,0,0,0,0,0,3,1.3347,-0.3926,1,34.7,2,0.0,0.0,0.1944,0,0,0,0,0,13,18,31,0.0,0,2,2,0,0,2,1,0.0,0,0,0,0,1.0,1802,374,62625,0.001047,0.506788,0.01848,-95,0,0,0.0469,0.324,0.0005,0.06,0.1159,0.66,0,0,0,1733,8,0,0,0,0.0001,0.14,4,0,3,2.38,1.029364,0
59,4382,2625,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.571,0.2363,2,35.6,2,0.0,0.0,0.175,0,0,0,0,0,13,27,40,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1632,448,61260,0.00048,0.506788,0.01848,-38,-2,0,0.0467,0.306,0.0006,0.18,0.1156,0.605,0,0,0,1672,3,0,0,0,0.0,0.182,1,0,5,0.924,1.029364,0
60,4380,2595,2,0,2,5,1.2,1,0,0,0,0,0,0,0,3,1.5305,-0.0405,1,35.1,2,0.0,0.0,0.1944,0,0,0,0,0,19,36,55,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,1379,389,60794,0.000779,0.50684,0.018488,-68,-5,1,0.0461,0.324,0.0008,0.33,0.1144,0.68,0,0,0,1457,4,5,0,0,0.0,0.182,1,0,2,1.184,1.029376,0
61,4378,2686,1,0,1,5,0.25,1,0,0,0,0,0,0,0,3,1.371,-0.1595,1,35.3,2,0.0,0.0,0.0,0,0,0,0,0,18,29,47,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1012,335,64325,0.001007,0.50684,0.018488,91,6,0,0.0459,0.354,0.0005,0.36,0.114,0.655,0,0,0,1020,11,4,0,0,0.0001,0.14,2,0,2,3.292,1.029376,0
