window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,alpha_t,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied,mean_h_age,max_h_age,mean_h_res,max_h_res,mean_h_str,max_h_str,mature_links,rigid_links,brittle_links,hist_matured,hist_snapped,hist_suppressed,avalanche_events,cascade_links,void_mean_V,void_max_V,void_active_nodes,void_boosted_pairs,void_consumed,void_deposited,void_gamma,void_induced_births
168,3941,2369,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7605,0.2059,1,33.0,2,0.0,0.0,0.5333,0,0,0,0,0,9,16,25,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2094,96,56927,0.00035,0.506664,0.018498,-25,-2,1,0.0469,0.27,0.0003,0.09,0.1166,0.675,0,0,0,1844,6,0,0,0,0.0,0.0005,0,0,0,1.958,1.029865,0
169,3937,2456,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7842,0.0237,1,34.1,2,0.0,0.0,0.5333,0,0,0,0,0,9,16,25,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2088,99,55515,0.000968,0.506664,0.018498,87,0,0,0.0454,0.342,0.0001,0.06,0.1133,0.685,0,0,0,1439,15,0,0,0,0.0001,0.158,3,0,1,4.36,1.029865,0
170,3937,2370,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.585,-0.1992,1,34.2,2,0.0,0.0,0.6667,0,0,0,0,0,9,14,23,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1289,173,58073,0.00011,0.506664,0.018498,1,-3,0,0.0458,0.292,0.0001,0.06,0.1143,0.62,0,0,0,850,4,0,0,0,0.0,0.158,1,0,4,1.12,1.029865,0
171,3936,2363,1,0,1,4,0.6,1,0,0,0,0,0,0,0,3,1.5219,-0.063,1,34.0,2,0.0,0.0,0.6667,0,0,0,0,0,9,14,23,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,985,114,58699,0.00016,0.506665,0.018497,-6,2,1,0.0459,0.276,0.0002,0.03,0.1144,0.69,0,0,0,978,5,0,0,0,0.0,0.158,1,0,2,1.494,1.029868,0
172,3931,2362,2,0,2,4,1.5,1,0,0,0,0,0,0,0,3,1.371,-0.151,1,33.1,2,0.0,0.0,0.6667,0,0,0,0,0,7,12,19,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,810,149,58117,0.00011,0.506665,0.018497,-1,-3,0,0.0471,0.266,0.0003,0.09,0.1171,0.665,0,0,0,902,5,0,0,0,0.0001,0.149,3,0,2,1.468,1.029868,0
173,3928,2434,4,0,4,5,1.6,1,0,0,0,0,0,0,0,3,1.9219,0.551,2,33.8,2,0.0,0.0,0.4444,0,0,0,0,0,8,21,29,0.0,0,1,1,0,0,4,0,0.0,0,0,0,0,1.0,831,149,56518,0.000809,0.506665,0.018497,71,-3,0,0.0468,0.258,0.0009,0.18,0.1161,0.645,0,0,0,816,4,0,0,0,0.0,0.14,1,0,5,1.12,1.029868,0
174,3927,2422,1,0,1,3,0.0,2,0,0,0,0,0,0,0,3,1.9749,0.053,2,33.9,2,0.0,0.0,0.2667,0,0,0,0,0,8,23,31,0.0,0,2,2,0,1,0,0,0.6,0,0,0,0,1.0,1449,130,57386,0.000689,0.506624,0.0185,59,-2,1,0.0464,0.284,0.0012,0.33,0.1145,0.645,0,0,0,1503,1,8,0,0,0.0,0.14,1,0,0,0.28,1.029875,0
175,3920,2416,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8843,-0.0906,2,33.9,2,0.3,0.6,0.3067,0,0,0,0,0,20,33,53,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2156,128,57343,0.00016,0.506624,0.0185,-6,2,0,0.0482,0.384,0.0014,0.42,0.1185,0.67,0,0,0,1982,8,8,0,0,0.0,0.14,1,0,2,2.308,1.029875,0
176,3915,2287,1,0,1,3,0.2857,1,0,0,0,0,0,0,0,3,1.9592,0.0749,1,34.0,2,0.3,0.6,0.3067,0,0,0,0,0,27,37,64,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2272,116,55428,0.001442,0.506624,0.0185,-135,-3,0,0.047,0.428,0.001,0.42,0.116,0.66,0,0,0,1699,13,4,0,0,0.0,0.14,1,0,5,4.078,1.029875,0
177,3912,2393,2,0,2,5,1.0,2,0,0,0,0,0,0,0,3,1.9592,0.0,1,33.2,2,0.6,0.6,0.04,0,0,0,0,0,24,29,53,0.0,0,2,1,0,1,1,0,0.0,0,0,0,0,1.0,2426,114,57045,0.00039,0.506635,0.018502,-29,-3,1,0.048,0.452,0.0011,0.42,0.1187,0.685,0,0,0,1885,7,7,0,0,0.0,0.18,1,0,3,2.408,1.029886,0
