window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied
45,4228,2294,2,0,2,5,0.4444,1,0,0,0,0,0,0,0,3,1.4591,-0.4771,1,32.7,2,1.0,1.0,0.0,0,0,0,0,0,20,20,40,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,1861,1398,51160,0.500061,0.020008,12,7,1
46,4212,2230,1,0,1,5,0.8,1,0,0,0,0,0,0,0,3,1.5219,0.0628,1,33.0,2,1.0,1.0,0.0,0,0,0,0,0,20,20,40,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1443,1234,53857,0.500061,0.020008,-64,-6,0
47,4198,2398,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.5219,0.0,2,34.0,2,1.0,1.0,0.0,0,0,0,0,0,25,27,52,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1324,1157,54297,0.500061,0.020008,104,-12,0
48,4181,2303,1,0,1,5,1.0,1,0,0,0,0,0,0,0,0,1.0,-0.5219,1,33.0,2,1.0,1.0,0.0,0,0,0,0,0,27,31,58,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,976,994,56277,0.50006,0.020011,9,-13,1
49,4165,2354,2,0,2,5,1.3333,1,0,0,0,0,0,0,0,3,1.4591,0.4591,1,33.8,2,1.0,1.0,0.0,0,0,0,0,0,27,31,58,0.0,0,1,1,0,0,2,0,0.0,0,0,0,1,0.9737,918,891,56886,0.50006,0.020011,51,-1,0
50,4149,2405,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7527,0.2936,2,32.7,2,1.0,1.0,0.0,0,0,0,0,0,29,31,60,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1432,807,55235,0.50006,0.020011,102,7,0
51,4138,2382,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7527,0.0,1,33.6,2,1.0,1.0,0.0,0,0,0,0,0,31,35,66,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1947,654,56515,0.500052,0.02001,79,1,1
52,4128,2349,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7527,0.0,1,32.9,2,1.0,1.0,0.0,0,0,0,0,0,31,35,66,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2503,679,56534,0.500052,0.02001,-33,4,0
53,4117,2406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9183,-0.8344,1,33.6,2,1.0,1.0,0.0,0,0,0,0,0,30,29,59,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1199,631,56756,0.500052,0.02001,24,-5,0
54,4108,2331,2,0,2,5,1.0667,2,0,0,0,0,0,0,0,3,1.371,0.4527,1,33.2,2,1.0,1.0,0.0,0,0,0,0,0,28,27,55,0.0,0,2,2,0,0,1,1,0.0,0,0,0,0,1.0,552,562,57635,0.500057,0.020011,-51,-1,1
55,4097,2424,2,0,2,5,0.2286,1,0,0,0,0,0,0,0,3,1.7527,0.3818,1,32.9,2,0.0,0.0,0.0,0,0,0,0,0,15,15,30,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,957,489,55848,0.500057,0.020011,93,-2,0
56,4086,2456,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.6767,-0.076,2,33.9,2,0.0,0.0,0.0,0,0,0,0,0,18,25,43,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1550,442,56427,0.500057,0.020011,125,-7,0
57,4070,2461,4,0,4,5,0.8,1,0,0,0,0,0,0,0,3,1.6855,0.0087,1,32.6,2,0.0,0.0,0.0,0,0,0,0,0,13,24,37,0.0,0,1,1,0,0,4,0,0.0,0,0,0,0,1.0,2422,338,55667,0.500044,0.020011,130,-4,1
58,4060,2386,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8879,0.2024,1,32.9,2,0.0,0.0,0.0,0,0,0,0,0,11,20,31,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2894,359,55608,0.500044,0.020011,-75,10,0
59,4052,2418,2,0,2,5,1.3333,1,0,0,0,0,0,0,0,3,1.75,-0.1379,1,32.6,2,0.0,0.0,0.0,0,0,0,0,0,16,36,52,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,1823,390,55086,0.500044,0.020011,-43,2,0
60,4045,2433,2,0,2,5,2.0,1,0,0,0,0,0,0,0,3,1.8464,0.0964,1,33.3,2,0.0,0.0,0.0,0,0,0,0,0,14,36,50,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,2420,276,56933,0.500047,0.020012,-28,-2,1
61,4041,2470,2,0,2,4,0.75,1,0,0,0,0,0,0,0,3,1.8366,-0.0098,2,32.2,2,0.0,0.0,0.0,0,0,0,0,0,18,37,55,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,2830,350,57879,0.500047,0.020012,37,0,0
62,4035,2494,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7925,-0.0441,2,33.4,2,0.0,0.0,0.0,0,0,0,0,0,23,43,66,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1598,382,56316,0.500047,0.020012,61,3,0
63,4030,2444,1,0,1,3,0.8,1,0,0,0,0,0,0,0,3,1.9056,0.1132,1,32.4,2,0.0,0.0,0.0,0,0,0,0,0,24,51,75,0.0,0,1,1,0,0,1,0,0.0,1,0,0,0,1.0,1399,294,59455,0.500046,0.020012,11,-1,1
64,4022,2534,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7925,-0.1132,1,33.1,2,0.0,0.0,0.0,0,0,0,0,0,24,51,75,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1433,275,60513,0.500046,0.020012,90,-1,0
65,4017,2437,1,0,1,4,0.0,1,0,0,0,0,0,0,0,3,1.8911,0.0986,1,32.2,2,0.0,0.0,0.0,0,0,0,0,0,26,54,80,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1385,265,59790,0.500046,0.020012,-7,2,0
66,4012,2444,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8464,-0.0446,1,32.6,1,0.0,0.0,0.0,0,0,0,0,0,21,41,62,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1813,259,57020,0.500046,0.020012,0,1,1
