window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied
86,3958,2405,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.371,-0.0882,2,32.5,2,0.0,0.0,0.0,0,0,0,0,0,24,30,54,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1002,143,57909,0.50005,0.020012,-4,3,0
87,3957,2441,1,0,1,3,0.381,1,0,0,0,0,0,0,0,3,1.4591,0.0882,1,32.6,2,0.0,0.0,0.0,0,0,0,0,0,25,31,56,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1200,106,57315,0.500046,0.020012,32,1,1
88,3954,2435,2,0,2,5,0.4,2,0,0,0,0,0,0,0,3,1.7899,0.3308,1,33.4,2,0.0,0.0,0.0,0,0,0,0,0,19,27,46,0.0,0,2,2,1,0,1,0,1.0,0,0,0,0,1.0,2005,130,56734,0.500046,0.020012,-6,-2,0
89,3953,2416,1,0,1,3,0.0,3,0,0,0,0,0,0,0,3,1.9363,0.1463,2,32.5,2,1.0,1.0,0.0,0,0,0,0,0,22,31,53,0.0,0,3,3,1,0,0,0,1.0,0,0,0,0,1.0,2753,119,57224,0.500046,0.020012,-25,-1,0
90,3952,2434,2,0,2,5,0.4,4,0,0,0,0,0,0,0,3,1.8163,-0.1199,2,33.3,3,1.0,1.0,0.0,0,0,0,0,0,26,47,73,0.0,1,4,4,1,0,1,0,1.0,0,0,0,0,1.0,3166,167,56287,0.500047,0.020012,-7,-2,1
91,3950,2522,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.6894,-0.1269,2,32.5,4,1.0,1.0,0.0,0,0,0,0,0,31,55,86,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,3374,217,57717,0.500047,0.020012,88,2,0
92,3949,2348,1,0,1,3,2.0,1,0,0,0,0,0,0,0,3,1.8078,0.1184,1,33.5,4,1.0,1.0,0.0,0,0,0,0,0,36,65,101,0.0,1,1,1,0,0,1,0,0.0,1,0,0,0,1.0,2761,155,56218,0.500047,0.020012,-86,-1,0
93,3946,2375,2,0,2,5,1.2,2,0,0,0,0,0,0,0,3,1.7296,-0.0782,1,32.4,4,1.0,1.0,0.0,0,0,0,0,0,35,62,97,0.0,1,2,2,1,0,1,0,1.0,0,0,0,0,1.0,2416,195,55401,0.500053,0.020012,-59,3,1
94,3943,2453,2,0,2,3,0.4444,3,0,0,0,0,0,0,0,3,1.6692,-0.0604,2,33.1,4,1.0,1.0,0.0,0,0,0,0,0,27,53,80,0.0,1,3,3,1,0,1,0,1.0,0,0,0,0,1.0,1875,189,55600,0.500053,0.020012,78,-4,0
95,3941,2433,2,0,2,4,0.5,4,0,0,0,0,0,0,0,3,1.7296,0.0604,2,32.9,4,1.0,1.0,0.0,0,0,0,0,0,29,58,87,0.0,2,4,4,1,0,1,0,1.0,0,0,0,0,1.0,2024,136,55622,0.500053,0.020012,58,-2,0
96,3941,2361,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.4573,-0.2723,2,33.3,4,1.0,1.0,0.0,0,0,0,0,0,25,52,77,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2528,181,57155,0.500054,0.020012,-14,-2,1
97,3939,2397,1,0,1,3,0.0,1,0,0,0,0,0,0,0,3,1.7465,0.2892,1,33.0,4,1.0,1.0,0.0,0,0,0,0,0,29,59,88,0.0,2,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2966,165,56308,0.500054,0.020012,36,-1,0
98,3934,2378,2,0,2,5,1.5,1,0,0,0,0,0,0,0,3,1.9878,0.2413,1,32.4,4,1.0,1.0,0.0,0,0,0,0,0,29,59,88,0.0,2,1,1,0,0,2,0,0.0,0,0,0,0,1.0,2796,215,56990,0.500054,0.020012,17,6,0
99,3931,2428,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9713,-0.0164,2,33.5,4,1.0,1.0,0.0,0,0,0,0,0,30,60,90,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2309,225,55917,0.500048,0.020012,67,-2,1
100,3924,2429,2,0,2,5,1.0,1,0,0,0,0,0,0,0,3,1.983,0.0117,1,32.5,4,1.0,1.0,0.0,0,0,0,0,0,32,56,88,0.0,2,1,1,0,0,2,0,0.0,0,0,0,0,1.0,3382,144,57255,0.500048,0.020012,1,0,0
101,3917,2428,1,0,1,3,0.8889,2,0,0,0,0,0,0,0,3,1.9899,0.0069,1,32.9,4,1.0,1.0,0.0,0,0,0,0,0,32,56,88,0.0,2,2,2,0,0,0,1,0.0,0,0,0,0,1.0,4369,182,58421,0.500048,0.020012,0,0,0
102,3911,2326,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9142,-0.0758,2,32.4,4,1.0,1.0,0.0,0,0,0,0,0,20,35,55,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,4285,298,54579,0.500058,0.020014,-102,-6,1
103,3903,2492,1,0,1,5,2.0,1,0,0,0,0,0,0,0,3,1.9035,-0.0106,1,33.2,4,1.0,1.0,0.0,0,0,0,0,0,22,36,58,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,3840,187,57902,0.500058,0.020014,166,-2,0
104,3901,2396,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9328,0.0293,1,32.4,4,1.0,1.0,0.0,0,0,0,0,0,22,36,58,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,4283,189,55967,0.500058,0.020014,70,1,0
105,3897,2343,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.371,-0.5619,1,33.3,4,1.0,1.0,0.0,0,0,0,0,0,20,36,56,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2854,359,54137,0.500056,0.020013,17,1,1
106,3894,2346,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.371,0.0,1,32.3,4,1.0,1.0,0.0,0,0,0,0,0,20,36,56,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1193,209,56339,0.500056,0.020013,3,2,0
107,3888,2325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.585,0.214,1,32.2,2,0.0,0.0,0.0,0,0,0,0,0,12,21,33,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1115,200,54213,0.500056,0.020013,-18,-1,0
108,3881,2265,1,0,1,5,0.9,1,0,0,0,0,0,0,0,0,-0.0,-1.585,1,33.0,2,0.0,0.0,0.0,0,0,0,0,0,12,21,33,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1095,237,53368,0.500064,0.020013,-78,2,1
109,3879,2337,3,0,3,5,1.6,2,0,0,0,0,0,0,0,3,1.8464,1.8464,1,32.0,2,0.0,0.0,0.0,0,0,0,0,0,11,20,31,0.0,0,2,2,0,0,2,1,0.0,0,0,0,0,1.0,806,216,54091,0.500064,0.020013,72,-5,0
110,3878,2281,1,0,1,3,0.6667,1,0,0,0,0,0,0,0,3,1.7885,-0.058,2,33.1,2,0.0,0.0,0.0,0,0,0,0,0,10,21,31,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1648,153,52608,0.500064,0.020013,16,-5,0
111,3876,2384,1,0,1,3,0.6667,3,0,0,0,0,0,0,0,3,1.9313,0.1428,2,32.2,2,0.0,0.0,0.0,0,0,0,0,0,16,26,42,0.0,0,3,3,0,0,0,1,0.0,0,0,0,0,1.0,3056,146,53895,0.500052,0.020014,119,-6,1
112,3876,2414,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9015,-0.0298,2,33.4,3,0.0,0.0,0.0,0,0,0,0,0,14,18,32,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,3782,150,55666,0.500052,0.020014,30,0,0
113,3871,2361,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9501,0.0486,1,32.2,3,0.0,0.0,0.0,0,0,0,0,0,15,20,35,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,3662,251,55623,0.500052,0.020014,-23,1,0
114,3869,2249,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7925,-0.1576,1,33.3,3,0.0,0.0,0.0,0,0,0,0,0,15,20,35,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2392,271,54919,0.500065,0.020013,-135,4,1
115,3866,2406,1,0,1,3,0.3333,1,0,0,0,0,0,0,0,3,0.971,-0.8215,1,32.2,3,0.0,0.0,0.0,0,0,0,0,0,15,18,33,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,799,248,55213,0.500065,0.020013,157,3,0
116,3863,2345,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9852,0.0143,1,33.0,3,0.0,0.0,0.0,0,0,0,0,0,15,18,33,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,678,187,55624,0.500065,0.020013,96,-4,0
117,3858,2307,2,0,2,4,1.125,1,0,0,0,0,0,0,0,3,0.9852,0.0,1,32.0,3,0.0,0.0,0.0,0,0,0,0,0,19,20,39,0.0,1,1,1,0,0,2,0,0.0,0,0,0,0,1.0,993,121,53577,0.50006,0.020014,58,-4,1
118,3852,2314,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.3788,0.3936,1,32.8,3,0.0,0.0,0.0,0,0,0,0,0,19,20,39,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1350,142,55894,0.50006,0.020014,7,0,0
119,3849,2354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.1212,1,32.0,3,0.0,0.0,0.0,0,0,0,0,0,22,26,48,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,602,195,55839,0.50006,0.020014,47,-1,0
120,3847,2305,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.971,-0.529,1,31.7,3,0.0,0.0,0.0,0,0,0,0,0,22,22,44,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,611,146,55685,0.50006,0.020014,-2,-1,1
121,3843,2374,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.971,0.0,1,32.6,3,0.0,0.0,0.0,0,0,0,0,0,12,14,26,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,948,123,54672,0.50006,0.020014,69,0,0
122,3842,2304,1,0,1,5,0.8,1,0,0,0,0,0,0,0,3,1.8955,0.9245,1,31.9,3,0.0,0.0,0.0,0,0,0,0,0,11,13,24,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1463,147,55972,0.50006,0.020014,-1,-1,0
123,3838,2326,1,0,1,3,1.3333,1,0,0,0,0,0,0,0,3,1.761,-0.1345,1,32.7,1,0.0,0.0,0.0,0,0,0,0,0,7,8,15,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1695,152,56269,0.500058,0.020014,21,2,1
124,3838,2414,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7885,0.0275,2,31.9,1,0.0,0.0,0.0,0,0,0,0,0,7,11,18,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2013,148,56629,0.500058,0.020014,88,-2,0
125,3837,2323,1,0,1,4,0.5,1,0,0,0,0,0,0,0,3,1.922,0.1336,1,32.8,1,0.0,0.0,0.0,0,0,0,0,0,7,13,20,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,3005,189,56194,0.500058,0.020014,-3,-2,0
126,3832,2341,1,0,1,3,0.4444,1,0,0,0,0,0,0,0,3,1.9329,0.0109,1,32.4,1,0.0,0.0,0.0,0,0,0,0,0,7,13,20,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2951,180,55121,0.500056,0.020014,15,1,1
127,3831,2321,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9363,0.0033,2,32.1,1,0.0,0.0,0.0,0,0,0,0,0,6,11,17,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2975,209,54563,0.500056,0.020014,-20,1,0
128,3830,2228,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9749,0.0387,1,33.0,1,0.0,0.0,0.0,0,0,0,0,0,7,13,20,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2638,183,53746,0.500056,0.020014,-113,-1,0
129,3826,2396,2,0,2,5,1.6667,2,0,0,0,0,0,0,0,3,1.8231,-0.1519,1,32.0,1,0.0,0.0,0.0,0,0,0,0,0,4,7,11,0.0,0,2,2,0,0,1,1,0.0,0,0,0,1,0.9608,2166,160,54848,0.500051,0.020014,55,-3,1
130,3825,2277,2,0,2,5,0.5,1,0,0,0,0,0,0,0,3,1.6645,-0.1586,1,32.7,2,0.0,0.0,0.0,0,0,0,0,0,4,7,11,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,1559,263,55006,0.500051,0.020014,-119,2,0
131,3824,2338,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9056,0.2411,2,31.9,2,0.0,0.0,0.0,0,0,0,0,0,10,15,25,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1593,158,54866,0.500051,0.020014,-58,1,0
132,3820,2366,4,0,4,5,0.8333,2,0,0,0,0,0,0,0,3,1.9183,0.0127,1,32.7,2,0.0,0.0,0.0,0,0,0,0,0,13,18,31,0.0,0,2,2,0,0,3,1,0.0,0,0,0,1,0.9608,1633,124,56452,0.500054,0.020015,-30,-1,1
133,3819,2403,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.4591,-0.4591,1,31.8,2,0.0,0.0,0.0,0,0,0,0,0,13,18,31,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1640,195,56182,0.500054,0.020015,37,0,0
134,3815,2281,1,0,1,5,0.2118,1,0,0,0,0,0,0,0,0,1.5,0.0409,1,32.3,2,0.0,0.0,0.0,0,0,0,0,0,20,37,57,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1413,181,55952,0.500054,0.020015,-85,-2,0
135,3813,2235,1,0,1,3,0.1333,2,0,0,0,0,0,0,0,3,1.5305,0.0305,1,32.3,2,0.0,0.0,0.0,0,0,0,0,0,20,35,55,0.0,0,2,2,0,1,0,0,0.6,0,0,0,0,1.0,1443,156,54239,0.500067,0.020015,-131,-4,1
136,3810,2326,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8955,0.365,2,31.7,2,0.6,0.6,0.04,0,0,0,0,0,27,45,72,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1525,135,55022,0.500067,0.020015,91,0,0
137,3807,2337,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8554,-0.0401,1,32.9,2,0.6,0.6,0.04,0,0,0,0,0,33,54,87,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2235,124,55542,0.500067,0.020015,102,-1,0
138,3805,2303,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8092,-0.0462,1,31.7,2,0.6,0.6,0.0444,0,0,0,0,0,32,52,84,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,3005,141,54901,0.50006,0.020015,68,3,1
139,3803,2402,1,0,1,3,0.3333,1,0,0,0,0,0,0,0,3,1.8262,0.017,1,32.9,2,0.6,0.6,0.0444,0,0,0,0,0,32,52,84,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2919,165,54298,0.50006,0.020015,99,-3,0
140,3800,2309,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.585,-0.2413,1,31.9,2,0.6,0.6,0.04,0,0,0,0,0,32,52,84,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2823,148,54247,0.50006,0.020015,6,-1,0
141,3798,2269,1,0,1,3,1.3333,1,0,0,0,0,0,0,0,3,1.5,-0.085,1,33.2,2,0.6,0.6,0.05,0,0,0,0,0,26,43,69,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1904,186,53323,0.500063,0.020015,-34,-3,1
142,3798,2370,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.371,-0.129,1,31.8,2,0.6,0.6,0.0571,0,0,0,0,0,23,40,63,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1552,139,54697,0.500063,0.020015,101,-2,0
143,3798,2291,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.4355,0.0646,1,32.8,2,0.6,0.6,0.0571,0,0,0,0,0,23,42,65,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1653,137,56290,0.500063,0.020015,22,-2,0
144,3796,2310,4,0,4,5,1.2,1,0,0,0,0,0,0,0,3,1.5305,0.095,1,31.9,2,0.6,0.6,0.1333,0,0,0,0,0,13,23,36,0.0,0,1,1,0,0,4,0,0.0,0,0,0,0,1.0,2076,148,53736,0.500059,0.020016,41,-1,1
145,3793,2251,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.5305,0.0,1,31.7,2,0.6,0.6,0.0571,0,0,0,0,0,13,23,36,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2000,148,52016,0.500059,0.020016,-59,1,0
146,3791,2218,1,0,1,5,0.2,1,0,0,0,0,0,0,0,3,1.371,-0.1595,1,32.8,2,0.6,0.6,0.0571,0,0,0,0,0,15,28,43,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1307,175,50792,0.500059,0.020016,-92,0,0
147,3790,2395,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.371,0.0,1,31.5,1,0.0,0.0,0.0,0,0,0,0,0,2,9,11,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1386,115,55826,0.500051,0.020015,85,3,1
148,3788,2309,1,0,1,3,0.8,1,0,0,0,0,0,0,0,0,1.5,0.129,1,32.6,1,0.0,0.0,0.0,0,0,0,0,0,2,15,17,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1079,177,54375,0.500051,0.020015,-86,2,0
149,3787,2301,3,0,3,5,1.3333,1,0,0,0,0,0,0,0,3,1.4591,-0.0409,1,31.6,1,0.0,0.0,0.0,0,0,0,0,0,2,15,17,0.0,0,1,1,0,0,3,0,0.0,0,0,1,0,1.0,821,131,57158,0.500051,0.020015,-94,-4,0
150,3785,2261,3,0,3,5,1.1429,1,0,0,0,0,0,0,0,3,1.5219,0.0628,2,32.5,1,0.0,0.0,0.0,0,0,0,0,0,6,16,22,0.0,0,1,1,0,0,3,0,0.0,0,0,0,0,1.0,1488,140,55304,0.500064,0.020016,-134,-3,1
151,3782,2364,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8631,0.3412,2,31.8,1,0.0,0.0,0.0,0,0,0,0,0,18,24,42,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1966,123,54905,0.500064,0.020016,103,1,0
152,3781,2340,1,0,1,5,1.3333,1,0,0,0,0,0,0,0,3,1.8464,-0.0167,1,31.6,1,0.0,0.0,0.0,0,0,0,0,0,23,34,57,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2263,242,54874,0.500064,0.020016,79,1,0
153,3779,2316,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9056,0.0592,1,32.5,1,0.0,0.0,0.0,0,0,0,0,0,23,32,55,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1854,175,53990,0.500059,0.020015,55,2,1
154,3778,2306,1,0,1,5,0.32,1,0,0,0,0,0,0,0,3,1.8424,-0.0633,1,31.5,1,0.0,0.0,0.0,0,0,0,0,0,24,37,61,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1739,199,55083,0.500059,0.020015,-10,-2,0
155,3778,2237,1,0,1,3,0.0,2,0,0,0,0,0,0,0,3,1.7296,-0.1128,1,33.0,1,0.0,0.0,0.0,0,0,0,0,0,24,37,61,0.0,0,2,2,0,1,0,0,0.6,0,0,0,1,0.9737,1978,153,53912,0.500059,0.020015,-79,-3,0
156,3777,2233,2,0,2,5,1.5,1,0,0,0,0,0,0,0,3,1.9591,0.2296,2,31.7,2,0.6,0.6,0.04,0,0,0,0,0,23,36,59,0.0,0,1,1,0,0,2,0,0.0,0,0,1,0,1.0,2598,131,52050,0.500067,0.020015,-83,0,1
157,3774,2317,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9329,-0.0262,2,32.8,2,0.6,0.6,0.0333,0,0,0,0,0,26,40,66,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2703,145,52681,0.500067,0.020015,84,0,0
158,3771,2369,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9242,-0.0087,1,31.4,2,0.6,0.6,0.0364,0,0,0,0,0,29,44,73,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2916,127,53574,0.500067,0.020015,136,-2,0
159,3771,2281,1,0,1,4,0.9,1,0,0,0,0,0,0,0,3,1.9056,-0.0185,1,31.7,2,0.6,0.6,0.0364,0,0,0,0,0,29,44,73,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2159,229,56159,0.500062,0.020016,48,-2,1
160,3770,2353,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8911,-0.0146,1,32.7,2,0.6,0.6,0.0364,0,0,0,0,0,25,43,68,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2063,170,53143,0.500062,0.020016,72,1,0
161,3769,2213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,-0.3911,1,31.2,2,0.6,0.6,0.05,0,0,0,0,0,14,37,51,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1668,184,52904,0.500062,0.020016,-68,1,0
162,3768,2295,2,0,2,5,0.8,1,0,0,0,0,0,0,0,0,2.0,0.5,1,32.6,2,0.6,0.6,0.08,0,0,0,0,0,9,27,36,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,561,178,53234,0.500061,0.020015,14,2,1
163,3766,2279,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9183,-0.0817,1,31.5,2,0.6,0.6,0.0571,0,0,0,0,0,9,27,36,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,573,164,53444,0.500061,0.020015,-16,-1,0
164,3764,2194,1,0,1,4,0.6667,1,0,0,0,0,0,0,0,3,1.9219,0.0036,1,32.5,2,0.6,0.6,0.0667,0,0,0,0,0,11,27,38,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,914,165,54804,0.500061,0.020015,-101,-1,0
165,3761,2244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,-0.4219,1,31.3,2,0.6,0.6,0.0571,0,0,0,0,0,11,27,38,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1119,195,50659,0.500066,0.020015,-51,1,1
166,3759,2264,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9056,0.4056,1,32.3,2,0.6,0.6,0.0571,0,0,0,0,0,12,32,44,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1151,158,52174,0.500066,0.020015,20,-2,0
167,3757,2281,1,0,1,5,1.2,1,0,0,0,0,0,0,0,3,1.9749,0.0693,1,31.8,1,0.0,0.0,0.0,0,0,0,0,0,8,24,32,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,824,231,55239,0.500066,0.020015,37,-2,0
168,3756,2275,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9749,0.0,1,31.4,1,0.0,0.0,0.0,0,0,0,0,0,5,14,19,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1008,145,53995,0.500063,0.020015,31,-2,1
169,3751,2342,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7885,-0.1865,1,32.6,1,0.0,0.0,0.0,0,0,0,0,0,7,16,23,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1654,150,53526,0.500063,0.020015,67,1,0
170,3747,2290,2,0,2,3,0.3333,1,0,0,0,0,0,0,0,3,1.5656,-0.2229,1,31.6,1,0.0,0.0,0.0,0,0,0,0,0,7,16,23,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,2377,163,54323,0.500063,0.020015,15,4,0
171,3745,2307,1,0,1,5,0.15,1,0,0,0,0,0,0,0,3,1.8727,0.3071,1,32.7,1,0.0,0.0,0.0,0,0,0,0,0,6,12,18,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2820,169,53005,0.50006,0.020015,32,1,1
172,3742,2278,2,0,2,3,0.6667,2,0,0,0,0,0,0,0,3,1.8911,0.0184,2,31.4,1,0.0,0.0,0.0,0,0,0,0,0,12,18,30,0.0,0,2,2,0,0,1,1,0.0,0,0,0,0,1.0,3487,208,52742,0.50006,0.020015,-29,-1,0
173,3740,2295,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9329,0.0419,2,32.6,2,0.0,0.0,0.0,0,0,0,0,0,14,24,38,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2992,133,51329,0.50006,0.020015,-12,-1,0
174,3739,2264,1,0,1,5,0.8,1,0,0,0,0,0,0,0,3,1.7527,-0.1802,1,31.5,2,0.0,0.0,0.0,0,0,0,0,0,15,26,41,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2561,201,55063,0.500064,0.020014,-43,7,1
175,3735,2254,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.6855,-0.0672,1,32.6,2,0.0,0.0,0.0,0,0,0,0,0,15,26,41,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1697,235,51968,0.500064,0.020014,-10,-7,0
176,3730,2369,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9591,0.2737,1,31.3,2,0.0,0.0,0.0,0,0,0,0,0,15,28,43,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1498,201,53623,0.500064,0.020014,105,-10,0
177,3727,2299,1,0,1,4,0.4,1,0,0,0,0,0,0,0,3,1.9772,0.0181,1,32.5,2,0.0,0.0,0.0,0,0,0,0,0,15,28,43,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1926,143,54171,0.50006,0.020016,35,-9,1
178,3721,2271,1,0,1,5,0.4,1,0,0,0,0,0,0,0,3,1.9328,-0.0444,1,31.3,2,0.0,0.0,0.0,0,0,0,0,0,15,28,43,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2922,191,53286,0.50006,0.020016,-28,1,0
179,3718,2311,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9086,-0.0242,2,32.5,2,0.0,0.0,0.0,0,0,0,0,0,18,30,48,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2944,196,53670,0.50006,0.020016,12,2,0
180,3716,2302,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9211,0.0124,1,31.3,2,0.0,0.0,0.0,0,0,0,0,0,19,33,52,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,3135,224,54030,0.50006,0.020015,3,1,1
