window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,alpha_t,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied
34,4492,1990,1,0,1,3,0.0,3,0,0,0,0,3,1,19,3,1.0,0.0,1,33.4,2,1.0,1.0,0.0,0,0,0,0,0,6,14,20,0.0,0,3,3,0,0,0,1,0.0,0,0,0,0,1.0,1567,4160,43162,0.001881,0.516481,0.017803,180,-7,0
35,4457,1999,0,0,0,0,0,0,0,0,0,0,3,1,19,3,0.7219,-0.2781,1,32.8,3,1.0,1.0,0.0,0,0,0,0,0,6,14,20,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1448,3817,43449,0.001968,0.516481,0.017803,189,13,0
36,4433,1983,1,0,1,5,1.2,2,0,0,0,0,3,1,19,0,0.9183,0.1964,1,32.8,3,1.0,1.0,0.0,0,0,0,0,0,9,16,25,0.0,1,2,2,0,0,0,1,0.0,0,0,0,0,1.0,738,3529,44022,0.001813,0.51617,0.017828,173,-7,1
37,4406,2079,0,0,0,0,0,0,0,0,0,0,3,1,19,0,0.8113,-0.107,1,33.3,3,1.0,1.0,0.0,0,0,0,0,0,9,16,25,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,460,3204,44975,0.001057,0.51617,0.017828,96,-16,0
38,4386,2120,0,0,0,0,0,0,0,0,0,0,3,1,19,0,0.8113,0.0,1,33.0,3,1.0,1.0,0.0,0,0,0,0,0,10,18,28,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,693,2971,46210,0.001461,0.51617,0.017828,137,-20,0
39,4365,2061,0,0,0,0,0,0,0,0,0,0,3,1,19,0,0.9183,0.107,1,33.5,3,1.0,1.0,0.0,0,0,0,0,0,10,18,28,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,654,2844,48117,0.000878,0.516102,0.017858,78,-17,1
40,4345,2227,1,0,1,4,0.1667,1,0,0,0,0,3,1,19,3,1.9219,1.0036,1,33.1,3,1.0,1.0,0.0,0,0,0,0,0,10,18,28,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,964,2434,50206,0.001745,0.516102,0.017858,166,2,0
41,4336,2272,0,0,0,0,0,0,0,0,0,0,3,1,19,0,1.0,-0.9219,1,32.9,3,1.0,1.0,0.0,0,0,0,0,0,10,18,28,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1012,2108,52430,0.002179,0.516102,0.017858,211,-19,0
42,4317,2280,0,0,0,0,0,0,0,0,0,0,3,1,19,0,1.5,0.5,1,33.7,3,1.0,1.0,0.0,0,0,0,0,0,13,17,30,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,717,1864,53810,0.002256,0.515616,0.01793,219,-16,1
43,4307,2158,1,0,1,4,0.4286,1,0,0,0,0,3,1,19,0,1.0,-0.5,1,32.8,3,1.0,1.0,0.0,0,0,0,0,0,13,17,30,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,812,1848,51341,0.001314,0.515616,0.01793,-122,14,0
44,4297,2267,0,0,0,0,0,0,0,0,0,0,3,1,19,0,1.0,0.0,1,33.9,3,1.0,1.0,0.0,0,0,0,0,0,13,17,30,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,651,1585,49034,0.00023,0.515616,0.01793,-13,1,0
45,4279,2315,1,0,1,5,0.2286,1,0,0,0,0,3,1,19,0,1.0,0.0,1,32.8,3,1.0,1.0,0.0,0,0,0,0,0,13,23,36,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,932,1432,54066,0.00045,0.5156,0.017933,35,-3,1
46,4271,2311,0,0,0,0,0,0,0,0,0,0,3,1,19,0,1.5,0.5,1,33.4,2,0.0,0.0,0.0,0,0,0,0,0,8,15,23,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,800,1379,52747,0.00014,0.5156,0.017933,-4,2,0
47,4265,2338,1,0,1,5,1.3333,3,0,0,0,0,3,1,19,3,1.585,0.085,1,32.7,2,0.0,0.0,0.0,0,0,0,0,0,10,20,30,0.0,0,3,3,0,0,0,1,0.0,0,0,0,0,1.0,823,1372,56704,0.00033,0.5156,0.017933,23,-5,0
48,4253,2368,2,0,2,3,1.0,1,0,0,0,0,3,1,19,3,1.5567,-0.0283,1,33.2,3,0.0,0.0,0.0,0,0,0,0,0,10,20,30,0.0,1,1,1,0,0,2,0,0.0,1,0,0,0,1.0,916,1089,54242,0.00063,0.515567,0.017939,53,-5,1
49,4245,2490,2,0,2,4,1.0,2,0,0,0,0,3,1,19,3,1.585,0.0283,2,33.2,3,0.0,0.0,0.0,0,0,0,0,0,13,23,36,0.0,1,2,2,1,0,1,0,1.0,1,0,0,0,1.0,997,1074,56095,0.001314,0.515567,0.017939,122,1,0
50,4239,2456,1,0,1,3,0.0,3,0,0,0,0,3,1,19,3,1.8424,0.2574,2,32.8,3,1.0,1.0,0.0,0,0,0,0,0,14,31,45,0.0,1,3,3,1,0,0,0,1.0,0,0,0,0,1.0,878,938,57731,0.000978,0.515567,0.017939,88,2,0
51,4232,2448,2,0,2,5,0.6,4,0,0,0,0,3,1,19,3,1.8424,0.0,2,33.8,3,1.0,1.0,0.0,0,0,0,0,0,21,39,60,0.0,2,4,4,1,0,1,0,1.0,0,0,0,0,1.0,1329,922,55517,0.000898,0.515495,0.01795,80,-6,1
52,4229,2464,0,0,0,0,0,0,0,0,0,0,3,1,19,3,1.9502,0.1078,2,32.6,4,1.0,1.0,0.0,0,0,0,0,0,22,40,62,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1403,913,56283,0.00026,0.515495,0.01795,16,11,0
53,4219,2488,2,0,2,5,2.0,1,0,0,0,0,3,1,19,3,1.9219,-0.0283,1,33.9,4,1.0,1.0,0.0,0,0,0,0,0,29,53,82,0.0,2,1,1,0,0,2,0,0.0,0,0,0,0,1.0,1111,811,56669,0.0005,0.515495,0.01795,40,6,0
54,4213,2375,0,0,0,0,0,0,0,0,0,0,3,1,19,3,1.9219,0.0,1,32.8,4,1.0,1.0,0.0,0,0,0,0,0,29,53,82,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1247,732,55319,0.000829,0.515555,0.01794,-73,6,1
55,4203,2467,1,0,1,5,0.9,1,0,0,0,0,3,1,15,0,1.5,-0.4219,1,33.9,4,1.0,1.0,0.0,0,0,0,0,0,34,48,82,0.0,2,1,1,0,0,1,0,0.0,0,0,0,0,1.0,744,774,54873,0.001017,0.515555,0.01794,92,2,0
56,4193,2409,1,0,1,3,1.0,1,0,0,0,0,3,1,15,0,1.5,0.0,1,32.8,4,1.0,1.0,0.0,0,0,0,0,0,34,48,82,0.0,2,1,1,0,0,1,0,0.0,0,0,0,0,1.0,514,720,54828,0.00044,0.515555,0.01794,34,-11,0
57,4182,2468,0,0,0,0,0,0,0,0,0,0,3,1,15,0,1.5,0.0,2,32.8,4,1.0,1.0,0.0,0,0,0,0,0,36,43,79,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1.0,810,620,57793,0.001027,0.51546,0.017954,93,-7,1
58,4177,2446,0,0,0,0,0,0,0,0,0,0,3,1,11,3,1.9219,0.4219,1,33.6,4,1.0,1.0,0.0,0,0,0,0,0,36,47,83,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1.0,714,564,57296,0.00032,0.51546,0.017954,-22,-1,0
59,4168,2538,1,0,1,5,0.6857,2,0,0,0,0,3,1,11,3,1.8424,-0.0796,1,32.6,4,1.0,1.0,0.0,0,0,0,0,0,31,38,69,0.0,1,2,2,0,0,0,1,0.0,0,0,0,0,1.0,1004,511,59090,0.000799,0.51546,0.017954,70,3,0
60,4164,2492,0,0,0,0,0,0,0,0,0,0,3,1,11,3,1.5219,-0.3204,1,33.5,4,1.0,1.0,0.0,0,0,0,0,0,30,32,62,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1711,497,58550,0.00034,0.515452,0.017954,24,0,1
61,4153,2486,1,0,1,5,0.1778,1,0,0,0,0,3,1,7,3,1.5546,0.0327,1,32.4,4,1.0,1.0,0.0,0,0,0,0,0,29,31,60,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2120,447,55822,0.00016,0.515452,0.017954,-6,8,0
62,4147,2422,1,0,1,5,0.8,1,0,0,0,0,3,1,7,3,1.9878,0.4332,1,33.2,4,1.0,1.0,0.0,0,0,0,0,0,29,31,60,0.0,1,1,1,0,0,1,0,0.0,0,0,0,1,0.9649,2135,408,56204,0.000799,0.515452,0.017954,-70,-4,0
63,4135,2500,0,0,0,0,0,0,0,0,0,0,3,1,7,3,1.9878,0.0,2,32.8,2,0.0,0.0,0.0,0,0,0,0,0,13,17,30,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2595,396,56892,0.00018,0.51545,0.017955,8,-1,1
64,4130,2478,0,0,0,0,0,0,0,0,0,0,3,1,7,3,1.9183,-0.0695,1,32.6,2,0.0,0.0,0.0,0,0,0,0,0,14,22,36,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2858,374,57475,0.00032,0.51545,0.017955,-22,0,0
65,4123,2463,1,0,1,3,0.2857,1,0,0,0,0,3,1,7,3,1.9056,-0.0127,1,33.4,2,0.0,0.0,0.0,0,0,0,0,0,9,21,30,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2805,375,56482,0.00047,0.51545,0.017955,-37,-7,0
66,4116,2450,1,0,1,5,0.4,1,0,0,0,0,3,1,7,3,1.371,-0.5347,1,32.6,2,0.0,0.0,0.0,0,0,0,0,0,9,21,30,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1985,366,57072,0.0006,0.51548,0.017955,-50,0,1
67,4109,2543,1,0,1,5,0.2,1,0,0,0,0,3,1,7,3,1.761,0.39,2,33.8,2,0.0,0.0,0.0,0,0,0,0,0,11,26,37,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,709,270,58191,0.001027,0.51548,0.017955,93,-3,0
68,4105,2416,1,0,1,5,0.5333,1,0,0,0,0,3,1,7,3,1.9242,0.1632,2,32.4,2,0.0,0.0,0.0,0,0,0,0,0,15,22,37,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1093,326,57695,0.00044,0.51548,0.017955,-34,-1,0
69,4101,2450,0,0,0,0,0,0,0,0,0,0,3,1,7,3,1.9056,-0.0185,2,33.7,2,0.0,0.0,0.0,0,0,0,0,0,17,26,43,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1948,288,56095,0.0001,0.51548,0.017956,0,-6,1
70,4095,2560,5,0,5,5,0.72,1,0,0,0,0,3,1,7,3,1.9363,0.0306,1,32.6,2,0.0,0.0,0.0,0,0,0,0,0,19,30,49,0.0,0,1,1,0,0,5,0,0.0,0,0,0,0,1.0,2714,239,59423,0.001196,0.51548,0.017956,110,3,0
71,4091,2455,0,0,0,0,0,0,0,0,0,0,3,1,7,3,1.9363,-0.0,1,33.8,1,0.0,0.0,0.0,0,0,0,0,0,13,25,38,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2532,343,56464,0.00015,0.51548,0.017956,5,2,0
72,4087,2474,2,0,2,4,0.25,1,0,0,0,0,3,1,7,3,1.971,0.0347,1,32.4,1,0.0,0.0,0.0,0,0,0,0,0,27,44,71,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,1794,286,56548,0.00034,0.515472,0.017953,24,5,1
73,4081,2472,0,0,0,0,0,0,0,0,0,0,3,1,7,3,1.8464,-0.1245,1,32.4,1,0.0,0.0,0.0,0,0,0,0,0,25,37,62,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1996,291,55677,0.00012,0.515472,0.017953,-2,-2,0
74,4079,2580,0,0,0,0,0,0,0,0,0,0,3,1,7,3,1.585,-0.2615,1,33.4,1,0.0,0.0,0.0,0,0,0,0,0,29,37,66,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1838,327,58629,0.001156,0.515472,0.017953,106,-5,0
75,4071,2438,0,0,0,0,0,0,0,0,0,0,3,1,7,3,1.4591,-0.1258,1,32.5,1,0.0,0.0,0.0,0,0,0,0,0,29,37,66,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1437,302,58124,0.00046,0.515489,0.017957,-36,-5,1
76,4062,2583,1,0,1,3,0.4444,1,0,0,0,0,3,1,7,3,1.8464,0.3873,1,33.2,1,0.0,0.0,0.0,0,0,0,0,0,29,37,66,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1691,240,59655,0.00154,0.515489,0.017957,145,2,0
77,4058,2451,3,0,3,5,0.9,1,0,0,0,0,3,1,7,3,1.9183,0.0719,1,32.2,1,0.0,0.0,0.0,0,0,0,0,0,27,32,59,0.0,0,1,1,0,0,3,0,0.0,0,0,0,0,1.0,2030,212,61268,0.00023,0.515489,0.017957,13,0,0
78,4056,2569,1,0,1,4,1.5,1,0,0,0,0,3,1,7,3,1.9056,-0.0127,2,33.3,1,0.0,0.0,0.0,0,0,0,0,0,24,34,58,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1872,214,56808,0.001403,0.515306,0.01794,131,6,1
79,4051,2556,3,0,3,5,1.0,1,0,0,0,0,3,1,7,3,1.8366,-0.069,2,32.1,1,0.0,0.0,0.0,0,0,0,0,0,29,42,71,0.0,0,1,1,0,0,3,0,0.0,0,0,0,0,1.0,2624,212,59801,0.00023,0.515306,0.01794,-13,-4,0
80,4050,2479,0,0,0,0,0,0,0,0,0,0,3,1,7,3,1.4573,-0.3793,2,33.3,1,0.0,0.0,0.0,0,0,0,0,0,28,39,67,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2433,334,58576,0.000998,0.515306,0.01794,-90,-2,0
81,4043,2386,0,0,0,0,0,0,0,0,0,0,3,1,7,3,1.4354,-0.0219,1,32.3,1,0.0,0.0,0.0,0,0,0,0,0,33,42,75,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2011,231,57191,0.00191,0.515652,0.017963,-183,-6,1
82,4042,2453,0,0,0,0,0,0,0,0,0,0,3,1,7,3,1.7527,0.3173,1,33.5,1,0.0,0.0,0.0,0,0,0,0,0,19,23,42,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1797,283,56777,0.000769,0.515652,0.017963,67,3,0
83,4040,2376,0,0,0,0,0,0,0,0,0,0,3,1,7,3,1.8911,0.1383,1,32.2,1,0.0,0.0,0.0,0,0,0,0,0,19,23,42,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1273,225,55945,0.0002,0.515652,0.017963,-10,5,0
84,4039,2424,2,0,2,5,0.5,1,0,0,0,0,3,1,7,3,1.4591,-0.4319,1,32.5,1,0.0,0.0,0.0,0,0,0,0,0,14,18,32,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,1350,299,56392,0.00048,0.515634,0.017961,38,2,1
85,4037,2477,1,0,1,3,0.3333,1,0,0,0,0,3,1,7,3,1.9363,0.4771,1,33.5,1,0.0,0.0,0.0,0,0,0,0,0,14,18,32,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1549,218,58089,0.00063,0.515634,0.017961,53,1,0
