window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,alpha_t,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied
50,4132,2311,1,0,1,5,0.5333,3,0,0,0,0,0,0,0,3,1.6645,0.0068,2,33.2,2,0.75,0.75,0.0278,0,0,0,0,0,17,26,43,0.0,0,3,3,0,0,0,1,0.0,0,0,0,0,1.0,2116,1136,54387,0.00056,0.512031,0.01808,-46,-6,0
51,4117,2362,1,0,1,4,0.0,1,0,0,0,0,0,0,0,3,1.9878,0.3233,2,32.7,3,0.75,0.75,0.0278,0,0,0,0,0,19,28,47,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1990,1046,54315,0.00015,0.512031,0.018081,5,-3,1
52,4109,2400,2,0,2,4,2.0,1,0,0,0,0,0,0,0,3,1.9958,0.008,2,33.1,3,0.75,0.75,0.025,0,0,0,0,0,21,31,52,0.0,1,1,1,0,0,2,0,0.0,0,0,2,0,1.0,2963,1064,55333,0.00048,0.512031,0.018081,38,1,0
53,4099,2406,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9958,0.0,2,32.5,3,0.75,0.75,0.025,0,0,0,0,0,19,22,41,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,4077,997,55368,0.00054,0.512031,0.018081,44,6,0
54,4088,2405,3,0,3,5,1.0667,1,0,0,0,0,0,0,0,3,1.9785,-0.0173,1,33.4,3,0.75,0.75,0.0278,0,0,0,0,0,19,24,43,0.0,1,1,1,0,0,3,0,0.0,0,0,0,0,1.0,4736,899,54646,0.00053,0.512008,0.018085,43,-4,1
55,4075,2417,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9037,-0.0748,1,32.8,3,0.0,0.0,0.0,0,0,0,0,0,8,14,22,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,5226,856,55216,0.00022,0.512008,0.018085,12,-6,0
56,4067,2486,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7605,-0.1432,1,33.3,3,0.0,0.0,0.0,0,0,0,0,0,12,16,28,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,3551,916,56334,0.000908,0.512008,0.018085,81,0,0
57,4058,2406,2,0,2,5,1.0667,1,0,0,0,0,0,0,0,3,1.361,-0.3995,1,32.7,3,0.0,0.0,0.0,0,0,0,0,0,12,16,28,0.0,1,1,1,0,0,2,0,0.0,0,0,0,0,1.0,2460,804,56584,0.00011,0.512008,0.018085,1,2,1
58,4052,2402,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9852,-0.3757,1,33.4,3,0.0,0.0,0.0,0,0,0,0,0,12,16,28,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2227,693,55288,0.00014,0.512008,0.018085,-4,-4,0
59,4041,2393,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8586,0.8733,1,32.4,3,0.0,0.0,0.0,0,0,0,0,0,14,23,37,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2218,673,55433,0.00023,0.512008,0.018085,-13,-3,0
60,4034,2412,1,0,1,5,0.4,1,0,0,0,0,0,0,0,3,1.8366,-0.022,1,33.4,3,0.0,0.0,0.0,0,0,0,0,0,14,23,37,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2371,676,56374,0.00016,0.512007,0.018087,6,-7,1
61,4027,2357,3,0,3,5,1.0,1,0,0,0,0,0,0,0,3,1.7925,-0.0441,1,32.1,3,0.0,0.0,0.0,0,0,0,0,0,12,21,33,0.0,1,1,1,0,0,3,0,0.0,0,0,0,0,1.0,2272,628,53675,0.000649,0.512007,0.018087,-55,3,0
62,4018,2383,1,0,1,3,0.1481,1,0,0,0,0,0,0,0,0,0.9183,-0.8742,2,33.0,1,0.0,0.0,0.0,0,0,0,0,0,11,26,37,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1145,598,56061,0.00039,0.512007,0.018087,-29,4,0
63,4011,2382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.9183,2,32.2,1,0.0,0.0,0.0,0,0,0,0,0,19,41,60,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,662,483,58002,0.0004,0.512019,0.018089,-30,-2,1
64,4001,2351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0,1,32.4,1,0.0,0.0,0.0,0,0,0,0,0,21,44,65,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,724,487,55929,0.00041,0.512019,0.018089,-31,0,0
65,3995,2357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1,33.3,1,0.0,0.0,0.0,0,0,0,0,0,21,44,65,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1,0.9792,108,537,55818,0.00035,0.512019,0.018089,-25,-1,0
66,3985,2463,1,0,1,3,1.0,1,0,0,0,0,0,0,0,0,1.0,0.0,1,32.1,1,0.0,0.0,0.0,0,0,0,0,0,17,42,59,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,292,384,56443,0.000908,0.511945,0.018083,81,3,1
67,3974,2396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1,33.3,1,0.0,0.0,0.0,0,0,0,0,0,17,42,59,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,405,357,59936,0.000769,0.511945,0.018083,-67,-4,0
68,3968,2376,4,0,4,5,0.6667,2,0,0,0,0,0,0,0,0,1.5,0.5,1,31.7,1,0.0,0.0,0.0,0,0,0,0,0,21,42,63,0.0,0,2,2,0,0,3,1,0.0,0,0,0,0,1.0,601,291,58083,0.000968,0.511945,0.018083,-87,-2,0
69,3962,2374,2,0,2,5,0.48,2,0,0,0,0,0,0,0,3,1.9056,0.4056,1,33.1,2,0.0,0.0,0.0,0,0,0,0,0,18,33,51,0.0,0,2,2,0,0,1,1,0.0,0,0,0,0,1.0,218,314,55557,0.000988,0.512033,0.018095,-89,-6,1
70,3958,2311,1,0,1,3,0.0,1,0,0,0,0,0,0,0,3,1.8879,-0.0177,2,32.3,2,0.0,0.0,0.0,0,0,0,0,0,27,39,66,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,828,270,54500,0.000729,0.512033,0.018095,-63,3,0
71,3953,2396,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9363,0.0484,2,32.6,2,0.0,0.0,0.0,0,0,0,0,0,31,44,75,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1648,255,55894,0.00032,0.512033,0.018095,22,0,0
72,3945,2398,3,0,3,5,1.2,1,0,0,0,0,0,0,0,3,1.8892,-0.047,1,33.2,2,0.0,0.0,0.0,0,0,0,0,0,28,35,63,0.0,0,1,1,0,0,3,0,0.0,0,0,0,1,0.9785,2284,282,56855,0.00034,0.512025,0.018094,24,1,1
73,3940,2506,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9542,0.065,1,32.3,2,0.0,0.0,0.0,0,0,0,0,0,22,28,50,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2748,245,57588,0.001176,0.512025,0.018094,108,1,0
74,3933,2356,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9591,0.0049,1,33.1,2,0.0,0.0,0.0,0,0,0,0,0,20,34,54,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2330,288,57742,0.00052,0.512025,0.018094,-42,2,0
75,3921,2393,2,0,2,5,1.6,1,0,0,0,0,0,0,0,3,1.9363,-0.0229,1,32.1,2,0.0,0.0,0.0,0,0,0,0,0,20,34,54,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,2117,313,52722,0.00015,0.512026,0.018094,-5,3,1
76,3918,2318,1,0,1,5,0.0,1,0,0,0,0,0,0,0,3,1.8366,-0.0997,1,33.3,2,0.0,0.0,0.0,0,0,0,0,0,20,34,54,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1967,276,52767,0.000849,0.512026,0.018094,-75,-1,0
77,3913,2357,1,0,1,5,1.2,1,0,0,0,0,0,0,0,0,1.0,-0.8366,2,31.8,2,0.0,0.0,0.0,0,0,0,0,0,22,36,58,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1750,368,54136,0.00046,0.512026,0.018094,-36,-2,0
78,3909,2329,3,0,3,5,1.6,1,0,0,0,0,0,0,0,3,1.9183,0.9183,2,32.2,2,0.0,0.0,0.0,0,0,0,0,0,25,36,61,0.0,0,1,1,0,0,3,0,0.0,0,0,1,0,1.0,892,317,55180,0.000739,0.512073,0.018096,-64,-2,1
79,3907,2370,2,0,2,5,0.2286,1,0,0,0,0,0,0,0,3,1.9589,0.0406,2,32.7,2,0.0,0.0,0.0,0,0,0,0,0,28,38,66,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,1809,264,55275,0.00051,0.512073,0.018096,41,0,0
80,3905,2484,2,0,2,5,1.6,1,0,0,0,0,0,0,0,3,1.9589,0.0,2,32.6,2,0.0,0.0,0.0,0,0,0,0,0,20,43,63,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,3063,345,55005,0.001638,0.512073,0.018096,155,-1,0
81,3900,2412,1,0,1,5,2.0,1,0,0,0,0,0,0,0,3,1.849,-0.1099,2,32.2,1,0.0,0.0,0.0,0,0,0,0,0,18,40,58,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,4134,372,53769,0.000928,0.511996,0.018091,83,3,1
82,3893,2371,2,0,2,5,1.6,2,0,0,0,0,0,0,0,3,1.9219,0.0729,2,32.2,1,0.0,0.0,0.0,0,0,0,0,0,21,39,60,0.0,0,2,2,0,0,1,1,0.0,0,0,0,0,1.0,3851,356,53654,0.00051,0.511996,0.018091,-41,3,0
83,3887,2352,1,0,1,4,1.3333,1,0,0,0,0,0,0,0,3,1.7296,-0.1924,2,32.9,2,0.0,0.0,0.0,0,0,0,0,0,23,39,62,0.0,0,1,1,0,0,1,0,0.0,0,0,1,0,1.0,2440,502,53722,0.000699,0.511996,0.018091,-60,-4,0
84,3880,2453,1,0,1,3,0.6667,1,0,0,0,0,0,0,0,3,1.7842,0.0546,2,32.2,2,0.0,0.0,0.0,0,0,0,0,0,25,34,59,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2239,293,54127,0.00051,0.511975,0.018094,41,-3,1
85,3875,2357,1,0,1,5,0.2286,2,0,0,0,0,0,0,0,3,1.7296,-0.0546,2,33.1,2,0.0,0.0,0.0,0,0,0,0,0,26,36,62,0.0,0,2,2,0,0,0,1,0.0,0,0,0,0,1.0,1972,442,53431,0.001057,0.511975,0.018094,-96,5,0
86,3871,2411,1,0,1,3,0.0,1,0,0,0,0,0,0,0,3,1.3093,-0.4203,2,32.2,2,0.0,0.0,0.0,0,0,0,0,0,26,37,63,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1673,364,54991,0.00052,0.511975,0.018094,-42,3,0
87,3868,2316,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.3844,0.0751,2,33.0,2,0.0,0.0,0.0,0,0,0,0,0,29,39,68,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1863,299,53550,0.001461,0.512174,0.0181,-137,-2,1
88,3860,2360,1,0,1,5,0.1333,2,0,0,0,0,0,0,0,3,1.5219,0.1375,1,32.1,2,0.0,0.0,0.0,0,0,0,0,0,28,43,71,0.0,0,2,2,0,0,0,1,0.0,0,0,0,0,1.0,2016,359,52910,0.00054,0.512174,0.0181,44,4,0
