window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
98,4855,3043,0,0,3,1.7381,1,14.3,0,3038,4.52,0.9885,3078.4,5,1.0,61,0,0,1173,0.000921,0.0304,14.2045,97,51.4,0.0168,0.007,0,0,0,0,0.071823,0.015625,39,0.7825,4.6933,0.4112,23,2,36,747,1233,487,0.0008,0.9992,593.9,4.1,0.0528,0,0.004347,0.0,0.9,0
99,4855,3114,1,3,0,1.8609,1,14.4,3106,0,4.56,1.0066,3095.7,10,1.0,63,4,2,1192,0.000902,0.0356,28.169,98,50.8,0.0183,0.0076,0,0,0,0,0.065753,0.015625,42,0.7624,4.759,0.4112,23,2,38,795,1222,538,0.0008,0.9992,587.7,4.0,0.0529,0.010959,0.004977,2.202,1.1202,0
100,4854,3015,0,0,3,1.9685,1,14.5,7,3008,4.53,0.9787,3080.7,7,1.0,62,2,3,1196,0.001166,0.0318,15.1515,99,51.7,0.0176,0.0066,0,0,0,0,0.069364,0.015625,39,0.7747,4.8082,0.411,22,2,38,771,1197,462,0.0008,0.9992,618.4,4.1,0.053,0.008671,0.005329,1.6271,1.0627,0
101,4853,3096,4,5,3,1.9797,1,14.3,3086,0,4.56,1.0081,3080.1,19,1.0,65,4,1,1247,0.001205,0.0294,48.7179,100,50.1,0.0166,0.0061,3,1,0,0,0.058824,0.015625,41,0.7344,4.8621,0.4107,23,2,40,700,1274,513,0.0006,0.9994,584.3,3.9,0.0523,0.002451,0.005055,0.4849,0.9485,0
102,4852,3058,1,5,1,1.9761,1,14.4,5,3053,4.54,0.9912,3085.2,5,1.0,65,1,1,1244,0.001058,0.0292,13.8504,101,51.1,0.0159,0.006,1,0,0,0,0.061008,0.015625,41,0.7439,4.9231,0.4099,23,2,40,767,1252,466,0.0016,0.9984,617.5,3.9,0.0516,0.005305,0.005078,1.0446,1.0045,0
103,4849,3074,1,5,1,1.8919,2,14.4,1,3068,4.57,0.9982,3079.6,6,1.0,65,2,2,1240,0.001077,0.0381,13.9665,102,51.6,0.0173,0.0071,1,0,0,0,0.081744,0.015625,42,0.8089,5.0048,0.4099,23,2,40,803,1196,537,0.0011,0.9989,598.3,4.1,0.0516,0.002725,0.004854,0.5613,0.9561,0
104,4846,3091,1,3,3,1.9123,2,14.3,3094,0,4.63,1.0058,3080.0,4,1.0,66,2,1,1251,0.00094,0.0334,7.9156,103,51.8,0.0167,0.0059,0,0,0,0,0.07455,0.015625,42,0.7904,5.0794,0.4098,23,2,41,784,1242,469,0.0009,0.9991,619.0,4.1,0.0514,0.002571,0.004637,0.5544,0.9554,0
105,4844,3104,1,5,3,1.9585,2,14.3,3123,0,4.58,1.0167,3079.7,8,1.0,67,1,0,1259,0.000937,0.0275,18.8679,104,52.0,0.0162,0.0058,1,0,0,0,0.052632,0.015625,42,0.7031,5.1297,0.4094,23,2,42,774,1244,511,0.001,0.999,629.5,4.0,0.0514,0,0.004195,0.0,0.9,0
106,4840,3123,1,5,3,1.981,2,14.3,3135,0,4.67,1.0165,3088.9,5,1.0,67,1,1,1264,0.000944,0.0274,11.8203,105,51.4,0.0164,0.0064,1,0,0,0,0.06621,0.015625,41,0.764,5.1959,0.4091,23,2,42,779,1267,498,0.0009,0.9991,601.7,4.0,0.0508,0.0,0.003796,0.0,0.9,0
107,4837,3104,0,0,3,1.9859,2,14.3,3107,0,4.57,1.0079,3087.7,5,1.0,65,0,2,1230,0.000894,0.0367,12.5313,106,52.8,0.0169,0.0074,0,2,0,0,0.090465,0.015625,39,0.8273,5.2864,0.4093,23,2,40,774,1252,489,0.0007,0.9993,549.8,4.1,0.0505,0.0,0.003434,0.0,0.9,0
