seed,cid,t,window,pulse_n,trigger,tags,d_social,delta_social,theta_social,R_social,d_stability,delta_stability,theta_stability,R_stability,d_spread,delta_spread,theta_spread,R_spread,d_familiarity,delta_familiarity,theta_familiarity,R_familiarity,v11_b_gen,v11_delta,v11_d_n,v11_d_s,v11_d_r,v11_d_phase,v11_p_capture,v11_captured,v11_n_local,v11_s_avg_local,v11_r_local,v11_theta_avg_local
21,27,77,20,2,unformed,,1.0,0.0,0.0,0.0,0.777175,0.030692,0.0,0.0,0.942806,0.008012,0.0,0.0,18.841559,3.963816,0.0,0.0,32.850024,0.492358,0.930233,0.437212,0.559283,0.042704,0.235382,cold_start,85,0.039842,0.097661,-2.579486
21,77,77,20,2,unformed,,0.5,0.0,0.0,0.0,0.776844,-0.097085,0.0,0.0,0.94316,-0.021362,0.0,0.0,6.491766,-4.1321,0.0,0.0,26.338735,0.544032,0.616279,0.440897,0.328429,0.790523,0.204476,cold_start,57,0.027254,0.112047,3.042306
21,28,78,20,2,unformed,,0.2,0.0,0.0,0.0,0.60407,-0.155608,0.0,0.0,0.945828,-0.01277,0.0,0.0,18.075548,-8.234013,0.0,0.0,32.926766,0.35337,0.127907,0.321797,0.538461,0.425317,0.343715,cold_start,16,0.032931,0.306846,0.350798
21,79,79,20,2,unformed,,0.2,0.0,0.0,0.0,0.785856,-0.032205,0.0,0.0,0.932193,0.015475,0.0,0.0,8.589237,-2.859547,0.0,0.0,33.592103,0.315609,0.383721,0.20786,0.558581,0.112275,0.380953,cold_start,38,0.026086,0.358758,1.251085
21,80,80,20,2,unformed,,0.1,0.1,0.0,0.0,0.772381,-0.005926,0.0,0.0,0.937106,0.058556,0.0,0.0,29.146023,29.146023,0.0,0.0,18.191806,0.538995,0.267442,0.460198,0.79307,0.635269,0.207301,cold_start,26,0.031126,0.177921,-1.632298
21,83,83,20,2,unformed,,0.5,0.1,0.0,0.0,0.664328,-0.160223,0.0,0.0,0.929781,-0.017937,0.0,0.0,7.360905,-2.199104,0.0,0.0,33.316058,0.614247,0.651163,0.324759,0.628405,0.85266,0.16888,cold_start,61,0.031009,0.085469,-0.962082
21,84,84,20,2,unformed,,0.1,-0.1,0.0,0.0,0.669592,-0.231989,0.0,0.0,0.931586,0.002102,0.0,0.0,5.106959,-0.537669,0.0,0.0,19.180211,0.39235,0.104651,0.440472,0.07283,0.951446,0.30909,cold_start,12,0.03119,0.26261,0.164926
21,36,86,20,2,unformed,,0.5,0.3,0.0,0.0,0.69184,-0.058689,0.0,0.0,0.93179,-0.024361,0.0,0.0,10.765558,-3.05389,0.0,0.0,25.65611,0.469514,0.023256,0.368802,0.562469,0.923529,0.250495,cold_start,6,0.029423,0.293587,2.528996
21,86,86,20,2,unformed,,0.2,0.2,0.0,0.0,0.783417,-0.078184,0.0,0.0,0.928611,0.001177,0.0,0.0,23.892073,23.892073,0.0,0.0,12.175672,0.334986,0.104651,0.01962,0.707247,0.508424,0.361367,cold_start,11,0.019629,0.203736,0.248717
21,87,87,20,2,unformed,,0.0,0.0,0.0,0.0,0.775803,-0.091273,0.0,0.0,0.935127,0.012297,0.0,0.0,0.0,0.0,0.0,0.0,12.83727,0.332233,0.151163,0.013613,0.26089,0.903267,0.364086,cold_start,15,0.022192,0.64754,0.241096
21,88,88,20,2,unformed,,0.1,-0.066667,0.0,0.0,0.696386,-0.044698,0.0,0.0,0.947269,0.083273,0.0,0.0,30.61372,10.989198,0.0,0.0,12.519017,0.297527,0.162791,0.010504,0.560286,0.456529,0.400186,cold_start,16,0.028079,0.362471,0.419636
21,44,94,20,2,unformed,,0.5,0.0,0.0,0.0,0.599813,-0.041067,0.0,0.0,0.952809,-0.00647,0.0,0.0,11.229001,4.963237,0.0,0.0,33.126103,0.482455,0.348837,0.378378,0.462857,0.739747,0.241819,cold_start,35,0.027955,0.242108,-3.01628
21,49,99,20,2,unformed,,0.0,0.0,0.0,0.0,0.733223,0.017973,0.0,0.0,0.911799,0.007537,0.0,0.0,0.0,0.0,0.0,0.0,11.728084,0.200294,0.104651,0.082527,0.544017,0.069979,0.521545,cold_start,11,0.017415,0.453222,1.605301
21,0,100,20,3,unformed,,0.181818,0.070707,0.0,0.0,0.77226,0.03237,0.0,0.0,0.939344,-0.001454,0.0,0.0,25.445948,16.517613,0.0,0.0,18.676,0.510024,0.162791,0.249472,0.88026,0.747573,0.224324,cold_start,17,0.021268,0.106059,-1.45639
21,55,105,20,3,unformed,,0.818182,0.040404,0.0,0.0,0.777711,0.005673,0.0,0.0,0.945399,-0.004213,0.0,0.0,17.748532,4.243952,0.0,0.0,34.581941,0.619285,1.069767,0.258665,0.395524,0.753181,0.166578,cold_start,97,0.028692,0.030808,0.492582
21,57,107,20,3,unformed,,0.0,0.0,0.0,0.0,0.673897,-0.127949,0.0,0.0,0.946199,0.023981,0.0,0.0,0.0,0.0,0.0,0.0,11.951868,0.258282,0.069767,0.03451,0.442631,0.48622,0.445338,cold_start,8,0.02506,0.557102,-2.202534
21,9,109,20,3,unformed,,0.090909,-0.009091,0.0,0.0,0.673626,0.018108,0.0,0.0,0.922463,-0.002339,0.0,0.0,8.112389,-0.854085,0.0,0.0,19.515039,0.318853,0.081395,0.269038,0.052216,0.872761,0.377602,cold_start,10,0.023232,0.39963,-1.329614
21,71,121,20,3,unformed,,0.0,0.0,0.0,0.0,0.682719,-0.021472,0.0,0.0,0.90486,-0.021518,0.0,0.0,0.0,0.0,0.0,0.0,18.769951,0.317375,0.069767,0.253732,0.447806,0.498196,0.379124,cold_start,9,0.018128,0.49161,2.56219
21,72,122,20,3,unformed,,0.0,0.0,0.0,0.0,0.735488,-0.041983,0.0,0.0,0.94353,0.002487,0.0,0.0,0.0,0.0,0.0,0.0,18.411011,0.237521,0.081395,0.38906,0.259833,0.219797,0.471249,cold_start,10,0.023768,0.675367,-1.956998
21,24,124,20,3,unformed,,0.636364,0.236364,0.0,0.0,0.689504,0.034933,0.0,0.0,0.943531,0.005231,0.0,0.0,7.912265,2.898828,0.0,0.0,33.290005,0.464074,0.523256,0.298098,0.629419,0.405524,0.254234,cold_start,50,0.023952,0.116131,-0.364004
21,74,124,20,3,unformed,,0.090909,0.090909,0.0,0.0,0.737653,0.025463,0.0,0.0,0.935513,0.013254,0.0,0.0,39.401842,39.401842,0.0,0.0,18.846453,0.458455,0.162791,0.368925,0.305208,0.996897,0.258156,cold_start,17,0.02675,0.285829,0.026326
21,76,126,20,3,unformed,,0.090909,0.090909,0.0,0.0,0.805071,0.005337,0.0,0.0,0.928813,-0.009009,0.0,0.0,41.242392,41.242392,0.0,0.0,12.030516,0.212347,0.023256,0.025224,0.769555,0.031353,0.504699,cold_start,4,0.024812,0.230331,0.182456
21,27,127,20,3,unformed,,1.0,0.0,0.0,0.0,0.770076,-0.007099,0.0,0.0,0.9326,-0.010206,0.0,0.0,22.365544,3.523985,0.0,0.0,32.850024,0.528585,0.72093,0.451538,0.439668,0.502205,0.213264,cold_start,67,0.025516,0.217276,-1.135922
21,77,127,20,3,unformed,,0.636364,0.136364,0.0,0.0,0.669548,-0.107295,0.0,0.0,0.944867,0.001707,0.0,0.0,9.015165,2.523398,0.0,0.0,26.338735,0.248992,0.139535,0.440102,0.005224,0.411107,0.456752,cold_start,16,0.028049,0.435252,1.850334
21,28,128,20,3,unformed,,0.363636,0.163636,0.0,0.0,0.664608,0.060538,0.0,0.0,0.941663,-0.004166,0.0,0.0,16.450122,-1.625426,0.0,0.0,32.926766,0.656043,0.755814,0.329678,0.673295,0.865387,0.150706,cold_start,70,0.02505,0.172012,-1.877521
