seed,from,to,familiarity
0,26,44,16.5114
0,26,107,5.5888
0,26,110,24.1659
0,26,122,4.0853
0,26,127,12.567
0,26,128,30.0163
0,26,130,13.4504
0,26,135,4.3777
0,26,134,3.6556
0,26,139,30.9125
0,41,0,39.9152
0,41,44,3.6242
0,41,2,23.555
0,41,10,15.6263
0,41,26,39.4744
0,41,19,66.9236
0,41,22,21.2339
0,41,42,24.6123
0,41,86,40.9688
0,41,110,5.3107
0,41,107,4.5936
0,41,111,1.292
0,41,122,77.6784
0,41,119,2.1405
0,41,123,1.6867
0,41,126,13.1407
0,41,124,12.9716
0,41,128,28.8982
0,41,127,5.5923
0,41,129,23.6226
0,41,130,33.9218
0,41,135,316.2444
0,41,132,75.4197
0,41,137,70.3786
0,41,142,1.748
0,41,141,1.3097
0,41,143,3.9501
0,42,22,40.801
0,42,19,27.3623
0,42,26,21.8623
0,42,44,25.9653
0,42,2,7.1436
0,42,0,21.2591
0,42,41,11.9218
0,42,10,5.8158
0,42,86,16.902
0,42,107,18.9727
0,42,110,3.3474
0,42,122,24.2129
0,42,119,1.1059
0,42,124,14.0821
0,42,126,10.5297
0,42,131,3.1098
0,42,129,18.4601
0,42,128,16.7823
0,42,127,16.3349
0,42,130,2.4618
0,42,144,6.9866
0,42,135,12.6906
0,42,132,12.6906
0,42,137,26.51
0,42,140,3.8564
0,44,2,41.0291
0,44,0,14.9863
0,44,22,19.6632
0,44,42,24.737
0,44,41,2.599
0,44,86,31.8812
0,44,10,11.0559
0,44,26,16.5114
0,44,110,2.596
0,44,122,9.3525
0,44,107,24.5229
0,44,119,4.4181
0,44,127,7.2853
0,44,130,7.2847
0,44,126,8.1948
0,44,128,6.4812
0,44,131,2.2449
0,44,129,15.3236
0,44,142,11.5832
0,44,143,7.9442
0,86,0,16.1644
0,86,22,18.7763
0,86,44,49.2081
0,86,41,26.891
0,86,19,23.374
0,86,26,11.5777
0,86,2,11.6195
0,86,10,12.343
0,86,42,16.902
0,86,107,18.3714
0,86,119,10.8509
0,86,122,18.5099
0,86,110,1.3562
0,86,124,5.0826
0,86,130,19.1762
0,86,126,6.1477
0,86,128,29.3605
0,86,129,6.6148
0,86,131,15.1856
0,86,141,3.4048
0,86,135,14.0777
0,86,132,7.7769
0,86,140,6.0563
0,86,144,21.3517
0,86,136,3.7854
0,107,86,18.3714
0,107,41,4.5936
0,107,19,31.9206
0,107,44,24.5834
0,107,110,1.9045
0,107,2,30.4997
0,107,10,6.7917
0,107,0,1.7317
0,107,26,5.6417
0,107,42,18.9727
0,107,111,1.9876
0,107,122,25.8777
0,107,22,10.0935
0,107,126,25.4973
0,107,119,13.681
0,107,128,5.079
0,107,124,26.7101
0,107,131,12.2374
0,107,129,18.3783
0,107,137,9.3998
0,107,143,9.4157
0,107,144,25.7124
0,107,142,14.4694
0,107,133,32.9576
0,107,132,8.9283
0,122,44,9.3525
0,122,19,16.5478
0,122,0,5.1417
0,122,22,28.9474
0,122,86,18.5099
0,122,107,24.0814
0,122,10,5.1889
0,122,119,1.5361
0,122,2,2.1705
0,122,42,7.5028
0,122,41,44.4467
0,122,26,4.0853
0,122,127,19.9049
0,122,130,1.8365
0,122,126,12.9331
0,122,129,1.7203
0,122,110,3.9226
0,122,142,1.107
0,122,137,27.9576
0,122,135,29.7001
0,122,132,7.2823
0,122,143,27.7449
0,126,119,5.8047
0,126,127,20.7893
0,126,107,24.5805
0,126,0,1.8614
0,126,41,3.1033
0,126,10,22.0016
0,126,42,6.9127
0,126,122,12.9331
0,126,2,15.3249
0,126,44,8.1948
0,126,130,5.7867
0,126,86,5.7358
0,126,19,12.4288
0,126,124,5.8776
0,126,131,15.8749
0,126,142,22.2685
0,126,143,2.5869
0,128,126,1.3199
0,128,2,33.1576
0,128,122,14.278
0,128,123,2.58
0,128,124,1.8559
0,128,41,20.3759
0,128,19,14.8541
0,128,110,3.0508
0,128,107,5.079
0,128,127,2.5591
0,128,10,15.5836
0,128,86,29.3605
0,128,22,18.4703
0,128,130,2.8035
0,128,26,30.0163
0,128,42,16.7823
0,128,131,2.8591
0,128,119,5.0449
0,128,44,11.4792
0,128,140,58.394
0,128,135,8.5222
