atom,category,step10_count,step10_ratio,pulse_count,pulse_ratio,window_count,window_ratio
CHG.end,CHG,2987,0.001663139385779852,725,0.0020188800089109187,315,0.010005717552887363
EMO.manifest,EMO,2919,0.0016252774914936015,606,0.0016875052212414023,32,0.001016453846642526
ACT.make,ACT,2591,0.0014426495308187467,271,0.0007546434240204951,0,0.0
ACT.create,ACT,2405,0.0013390861140945912,721,0.0020077413605858927,0,0.0
FND.temporality,FND,2267,0.0012622487403960243,249,0.0006933808582328534,0,0.0
COM.teach,COM,2063,0.0011486630575372732,2,5.569324162512879e-06,395,0.012546852169493678
ACT.build,ACT,1547,0.0008613580950121966,509,0.0014173929993595278,0,0.0
CHG.begin,CHG,903,0.000502783684418884,18198,0.05067528055470469,1,3.1764182707578934e-05
BOD.ear,BOD,703,0.00039142517181226514,128,0.00035643674640082425,50,0.0015882091353789467
TIM.period,TIM,594,0.00033073478244165786,0,0.0,0,0.0
EXS.death,EXS,578,0.0003218261014331284,42,0.00011695580741277047,0,0.0
FND.time,FND,498,0.0002772826963904809,36,0.00010024783492523182,0,0.0
PER.soundless,PER,491,0.0002733851484492492,85,0.00023669627690679735,3,9.52925481227368e-05
WLD.art,WLD,473,0.0002633628823146535,1,2.7846620812564394e-06,0,0.0
SOC.public,SOC,440,0.0002449887277345614,566,0.0015761187379911448,0,0.0
ELM.sun,ELM,397,0.00022104664752413834,94,0.00026175823563810534,1,3.1764182707578934e-05
WLD.science,WLD,294,0.00016369701353172967,18,5.012391746261591e-05,13,0.00041293437519852617
PER.fragrance,PER,286,0.0001592426730274649,35,9.746317284397538e-05,0,0.0
PER.see,PER,268,0.0001492204068928692,160,0.0004455459330010303,2,6.352836541515787e-05
VAL.ugliness,VAL,170,9.4654735715626e-05,384,0.0010693102392024727,0,0.0
PER.smell,PER,146,8.129171420283174e-05,3,8.353986243769318e-06,0,0.0
EXS.void,EXS,130,7.238303319430223e-05,7,1.9492634568795075e-05,0,0.0
SPC.nowhere,SPC,116,6.458793731183891e-05,25,6.961655203141099e-05,0,0.0
FND.numberless,FND,116,6.458793731183891e-05,62,0.00017264904903789926,7,0.00022234927895305255
ACT.agitate,ACT,106,5.9020011681507975e-05,14,3.898526913759015e-05,35,0.0011117463947652626
PRP.easy,PRP,74,4.120264966444896e-05,1,2.7846620812564394e-06,0,0.0
STA.peace,STA,68,3.7861894286250395e-05,13,3.6200607056333715e-05,1,3.1764182707578934e-05
SOC.nation,SOC,60,3.340755378198564e-05,65,0.00018100303528166857,0,0.0
WLD.technique,WLD,53,2.9510005840753988e-05,47,0.00013087911781905267,0,0.0
LOG.reason,LOG,52,2.8953213277720892e-05,12,3.341594497507727e-05,0,0.0
ELM.night,ELM,46,2.5612457899522327e-05,0,0.0,0,0.0
EXS.nonbeing,EXS,30,1.670377689099282e-05,52,0.00014480242822533486,11,0.00034940600978336826
PER.feel,PER,30,1.670377689099282e-05,7,1.9492634568795075e-05,10,0.00031764182707578933
ABS.release,ABS,25,1.3919814075827352e-05,1,2.7846620812564394e-06,20,0.0006352836541515787
COM.silence,COM,21,1.1692643823694975e-05,5,1.3923310406282198e-05,0,0.0
FND.mind,FND,10,5.5679256303309405e-06,0,0.0,0,0.0
PRP.new,PRP,9,5.011133067297846e-06,7,1.9492634568795075e-05,0,0.0
CHG.stay,CHG,0,0.0,1,2.7846620812564394e-06,0,0.0
FND.logic,FND,0,0.0,559,0.0015566261034223497,10,0.00031764182707578933
