seed,from,to,familiarity
28,171,193,8.2158
28,171,181,1.8747
28,171,195,26.3616
28,171,184,6.592
28,172,3,16.8143
28,172,64,5.2281
28,172,163,3.239
28,172,89,12.1834
28,172,165,2.4599
28,172,27,20.1029
28,172,140,4.9746
28,172,178,1.7607
28,172,171,4.457
28,172,154,0.9039
28,172,100,1.0275
28,172,108,31.2122
28,172,50,4.0492
28,172,173,1.1825
28,172,160,4.5963
28,172,79,6.6317
28,172,185,2.4811
28,172,188,0.858
28,172,190,14.7313
28,172,73,9.2008
28,172,186,19.1763
28,172,187,4.2098
28,172,193,1.511
28,172,184,25.0396
28,172,200,6.5847
28,172,18,23.2208
28,173,54,12.1881
28,173,18,0.7991
28,173,100,1.4654
28,173,160,5.5771
28,173,50,12.33
28,173,172,1.1825
28,173,79,10.4742
28,173,73,43.2273
28,173,193,0.5618
28,173,187,0.5618
28,173,42,3.2503
28,173,186,20.61
28,173,181,1.911
28,173,3,3.3474
28,173,108,2.995
28,173,64,20.9364
28,50,73,39.4747
28,50,42,39.7187
28,50,140,26.3764
28,50,3,8.8651
28,50,27,20.9667
28,50,89,4.5767
28,50,18,26.334
28,50,100,4.5535
28,50,108,26.0945
28,50,64,19.2767
28,50,79,5.5282
28,50,54,6.7037
28,50,72,35.5916
28,50,165,2.747
28,50,160,2.6356
28,50,163,1.4377
28,50,171,40.7875
28,50,172,7.1993
28,50,173,22.9553
28,50,175,2.2001
28,50,178,7.3052
28,50,186,32.3273
28,50,193,1.4097
28,50,187,2.4609
28,50,168,24.0628
28,50,194,6.4422
28,50,190,11.1949
28,50,195,2.8923
28,50,200,2.6829
28,50,184,27.7844
28,181,72,3.5495
28,181,100,3.5852
28,181,165,4.7616
28,181,160,10.1558
28,181,42,1.9614
28,181,168,29.5213
28,54,73,9.5766
28,54,108,2.171
28,54,140,8.5118
28,54,72,16.7083
28,54,64,9.2514
28,54,173,12.1881
28,54,168,3.5237
28,54,184,6.3444
28,54,165,1.508
28,54,193,15.4323
28,54,171,7.5187
28,54,197,8.843
28,54,194,7.7026
28,186,178,2.338
28,186,165,4.7162
28,186,187,2.1197
28,186,172,20.2428
