seed,rate,window,J3,H3,tc3,drift3,none_ratio,weak_ratio,mid_strong_ratio,n_C
456,0.0,2,0.1124,1.1511,4,0.1223,0.8286,0.0429,0.1286,70
456,0.0,3,-0.0933,0.7345,3,0.1722,0.9286,0.0,0.0714,28
456,0.0,4,0.751,1.614,4,0.298,0.75,0.0833,0.1667,12
456,0.0,5,0.04,0.3912,2,0.4412,0.9231,0.0769,0.0,13
456,0.0,6,-0.3011,-0.0,1,0.1989,1.0,0.0,0.0,9
456,0.0,7,-0.2963,0.3228,2,0.1734,0.9412,0.0588,0.0,17
456,0.0,8,1.8499,2.1714,5,0.971,0.2778,0.2222,0.5,18
456,0.0,9,0.9421,1.1488,3,0.7933,0.8571,0.0,0.1429,7
456,0.0,10,0.8339,1.5488,4,0.4461,0.75,0.125,0.125,8
456,0.0,11,-0.0007,0.6998,3,0.2995,0.9333,0.0,0.0667,15
456,0.0,12,0.1907,0.8031,3,0.3876,0.8333,0.0556,0.1111,18
456,0.0,13,0.5744,1.4108,4,0.3245,0.6667,0.2778,0.0556,18
456,0.0,14,-0.0218,-0.0,1,0.4782,1.0,0.0,0.0,15
456,0.0,15,-0.0755,0.6686,3,0.2559,0.875,0.0625,0.0625,16
456,0.0,16,0.8678,1.7804,5,0.3798,0.7059,0.1176,0.1765,17
456,0.0,17,0.3408,1.2366,4,0.2651,0.8,0.0,0.2,15
456,0.0,19,-0.0023,0.806,4,0.3527,0.8929,0.0714,0.0357,28
456,0.0,20,1.1288,1.7842,4,0.5056,0.5,0.0833,0.4167,12
456,0.0,21,0.9103,1.8366,4,0.2347,0.5556,0.2222,0.2222,9
456,0.0,22,0.0974,-0.0,1,0.5974,1.0,0.0,0.0,14
456,0.0,25,0.7223,1.6729,4,0.2104,0.7333,0.0667,0.2,15
789,0.0,1,-0.0118,1.1492,4,,0.8393,0.0804,0.0804,112
789,0.0,2,0.0648,1.1826,5,0.1747,0.8472,0.0833,0.0694,72
789,0.0,3,-0.1865,0.3298,2,0.2761,0.9394,0.0606,0.0,33
789,0.0,4,0.0962,1.0239,4,0.2333,0.8333,0.125,0.0417,24
789,0.0,5,0.8912,1.8776,5,0.3061,0.6667,0.1905,0.1429,21
