N,seed,plb,rate,quiet_steps,n_windows,policy,hyst_threshold,dominant_k,dominant_k_fraction,switch_count,switches_per_100,time_stable,first_half_dom,second_half_dom,k_dist,mean_margin,pct_close_002,mean_islands_strong,mean_islands_mid,mean_none_ratio,mean_n_C,elapsed
200,2024,0.007,0.005,5000,25,hyst_0.01,0.01,4,0.84,4,4.0,True,4,4,"{""0"": 2, ""1"": 1, ""2"": 0, ""3"": 1, ""4"": 21}",0.237,24.0,0.52,1.2,0.8732,21.4,25.0
200,314,0.007,0.005,5000,25,hyst_0.01,0.01,4,0.92,2,2.0,True,4,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 23}",0.3208,12.0,0.84,1.64,0.8789,19.2,25.3
200,42,0.007,0.005,5000,25,hyst_0.01,0.01,4,0.92,2,2.0,True,4,4,"{""0"": 0, ""1"": 1, ""2"": 0, ""3"": 1, ""4"": 23}",0.3037,8.0,0.56,1.24,0.8741,20.3,25.6
200,456,0.007,0.005,5000,25,hyst_0.01,0.01,4,0.92,2,2.0,True,4,4,"{""0"": 1, ""1"": 1, ""2"": 0, ""3"": 0, ""4"": 23}",0.2646,20.0,0.64,1.68,0.8742,16.8,25.2
200,55,0.007,0.005,5000,25,hyst_0.01,0.01,4,0.88,5,5.0,True,4,4,"{""0"": 1, ""1"": 1, ""2"": 0, ""3"": 1, ""4"": 22}",0.2424,16.0,0.92,1.88,0.9068,20.2,25.5
200,7,0.007,0.005,5000,25,hyst_0.01,0.01,4,1.0,0,0.0,True,4,4,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 25}",0.2196,20.0,0.48,1.12,0.8763,19.3,25.5
200,789,0.007,0.005,5000,25,hyst_0.01,0.01,4,0.92,2,2.0,True,4,4,"{""0"": 1, ""1"": 1, ""2"": 0, ""3"": 0, ""4"": 23}",0.1521,20.0,0.76,1.52,0.8687,20.8,25.7
200,999,0.007,0.005,5000,25,hyst_0.01,0.01,4,0.92,2,2.0,True,4,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 23}",0.2323,8.0,0.76,1.32,0.8764,20.4,25.9
200,123,0.008,0.0005,5000,25,hyst_0.01,0.01,3,0.76,6,6.0,True,3,3,"{""0"": 0, ""1"": 4, ""2"": 0, ""3"": 19, ""4"": 2}",0.0149,92.0,0.92,2.2,0.8606,22.3,26.6
200,1337,0.008,0.0005,5000,25,hyst_0.01,0.01,4,0.76,2,2.0,True,4,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 5, ""4"": 19}",0.0446,72.0,1.08,2.08,0.8407,19.3,26.0
200,2024,0.008,0.0005,5000,25,hyst_0.01,0.01,4,0.6,5,5.0,False,3,4,"{""0"": 1, ""1"": 2, ""2"": 0, ""3"": 7, ""4"": 15}",0.0225,80.0,1.16,2.16,0.8449,22.0,26.3
200,314,0.008,0.0005,5000,25,hyst_0.01,0.01,3,0.6,6,6.0,True,3,3,"{""0"": 1, ""1"": 3, ""2"": 0, ""3"": 15, ""4"": 6}",0.0071,92.0,1.2,2.24,0.8632,20.6,26.6
200,42,0.008,0.0005,5000,25,hyst_0.01,0.01,4,0.6,2,2.0,False,3,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 9, ""4"": 15}",0.013,84.0,1.04,2.28,0.8139,23.5,27.1
200,456,0.008,0.0005,5000,25,hyst_0.01,0.01,4,0.52,3,3.0,False,3,4,"{""0"": 0, ""1"": 2, ""2"": 0, ""3"": 10, ""4"": 13}",0.0115,92.0,0.92,2.24,0.8087,18.6,26.5
200,55,0.008,0.0005,5000,25,hyst_0.01,0.01,3,0.44,7,7.0,False,3,4,"{""0"": 1, ""1"": 2, ""2"": 0, ""3"": 11, ""4"": 11}",0.0375,68.0,1.16,2.24,0.8395,23.5,26.3
200,7,0.008,0.0005,5000,25,hyst_0.01,0.01,4,0.8,5,5.0,True,4,4,"{""0"": 0, ""1"": 2, ""2"": 1, ""3"": 2, ""4"": 20}",0.02,84.0,1.2,2.28,0.8162,21.4,26.9
200,789,0.008,0.0005,5000,25,hyst_0.01,0.01,4,0.72,2,2.0,False,3,4,"{""0"": 0, ""1"": 1, ""2"": 0, ""3"": 6, ""4"": 18}",0.0586,68.0,1.08,2.36,0.8203,23.8,26.5
