atom,category,min_sim,mean_sim,max_sim,n_strong_seeds,n_partial_seeds,n_weak_seeds,match_class
PRP.clean,PRP,0.3941,0.4015,0.4111,0,24,0,all_partial_no_strong
FND.body,FND,0.3885,0.3999,0.4109,0,24,0,all_partial_no_strong
VAL.ugliness,VAL,0.3375,0.3985,0.416,0,24,0,all_partial_no_strong
FND.languageless,FND,0.3464,0.3962,0.436,0,24,0,all_partial_no_strong
COG.unlearned,COG,0.3854,0.3944,0.4077,0,24,0,all_partial_no_strong
PER.numb,PER,0.3824,0.3921,0.4049,0,24,0,all_partial_no_strong
COG.ignorance,COG,0.3734,0.3919,0.4256,0,24,0,all_partial_no_strong
SOC.refuse,SOC,0.3598,0.3914,0.4173,0,24,0,all_partial_no_strong
EMO.worry,EMO,0.3773,0.3895,0.4138,0,24,0,all_partial_no_strong
PRP.far,PRP,0.3791,0.3875,0.3956,0,24,0,all_partial_no_strong
PRP.old,PRP,0.3747,0.3872,0.4858,0,24,0,all_partial_no_strong
EMO.dislike,EMO,0.3715,0.3859,0.4156,0,24,0,all_partial_no_strong
EXS.life,EXS,0.324,0.3856,0.4763,0,24,0,all_partial_no_strong
MAT.drink,MAT,0.3768,0.3856,0.3956,0,24,0,all_partial_no_strong
VAL.truth,VAL,0.3352,0.3847,0.4072,0,24,0,all_partial_no_strong
EMO.pride,EMO,0.3713,0.3836,0.4014,0,24,0,all_partial_no_strong
FND.memoryless,FND,0.3703,0.3836,0.4,0,24,0,all_partial_no_strong
NAT.tree,NAT,0.374,0.3833,0.3907,0,24,0,all_partial_no_strong
EXS.spirit,EXS,0.3578,0.3829,0.418,0,24,0,all_partial_no_strong
BEI.root,BEI,0.3674,0.3827,0.405,0,24,0,all_partial_no_strong
EMO.sorrow,EMO,0.3666,0.3811,0.406,0,24,0,all_partial_no_strong
SPC.outside,SPC,0.3735,0.3806,0.3891,0,24,0,all_partial_no_strong
ELM.fire,ELM,0.3688,0.3804,0.3882,0,24,0,all_partial_no_strong
COM.muteness,COM,0.373,0.3793,0.3905,0,24,0,all_partial_no_strong
PRP.dirty,PRP,0.3715,0.3777,0.3888,0,24,0,all_partial_no_strong
EMO.unhappiness,EMO,0.3612,0.3729,0.3936,0,24,0,all_partial_no_strong
NAT.sea,NAT,0.3621,0.3726,0.38,0,24,0,all_partial_no_strong
SOC.praise,SOC,0.3599,0.3712,0.3859,0,24,0,all_partial_no_strong
ELM.wind,ELM,0.3659,0.3703,0.3752,0,24,0,all_partial_no_strong
EMO.apology,EMO,0.3203,0.3703,0.4209,0,24,0,all_partial_no_strong
NAT.river,NAT,0.3586,0.3653,0.3709,0,24,0,all_partial_no_strong
EMO.courage,EMO,0.3482,0.3631,0.3848,0,24,0,all_partial_no_strong
SPC.inside,SPC,0.3159,0.3621,0.4173,0,24,0,all_partial_no_strong
ACT.dissolve,ACT,0.3471,0.3618,0.3831,0,24,0,all_partial_no_strong
EMO.shame,EMO,0.3193,0.3603,0.4101,0,24,0,all_partial_no_strong
ELM.water,ELM,0.3437,0.3575,0.3695,0,24,0,all_partial_no_strong
BEI.parent,BEI,0.3461,0.3573,0.3709,0,24,0,all_partial_no_strong
EMO.contempt,EMO,0.3386,0.3532,0.3674,0,24,0,all_partial_no_strong
ELM.star,ELM,0.3379,0.3509,0.4284,0,24,0,all_partial_no_strong
PRP.wet,PRP,0.3405,0.3502,0.3621,0,24,0,all_partial_no_strong
EXS.death,EXS,0.331,0.3501,0.381,0,24,0,all_partial_no_strong
PRP.murky,PRP,0.341,0.3497,0.3584,0,24,0,all_partial_no_strong
ACT.receive,ACT,0.3332,0.3458,0.3609,0,24,0,all_partial_no_strong
WLD.nonscience,WLD,0.3069,0.3437,0.3837,0,24,0,all_partial_no_strong
PRP.dry,PRP,0.3306,0.3436,0.355,0,24,0,all_partial_no_strong
WLD.uncultured,WLD,0.3008,0.3308,0.3566,0,24,0,all_partial_no_strong
EXS.matter,EXS,0.3167,0.3258,0.3354,0,24,0,all_partial_no_strong
ABS.foolish,ABS,0.3177,0.3256,0.3377,0,24,0,all_partial_no_strong
EMO.anger,EMO,0.3091,0.3191,0.3406,0,24,0,all_partial_no_strong
ELM.earth,ELM,0.3065,0.3176,0.3283,0,24,0,all_partial_no_strong
ECO.waste,ECO,0.3005,0.3059,0.3108,0,24,0,all_partial_no_strong
COM.conflict,COM,0.2676,0.2805,0.2989,0,0,24,always_unmatched
CHG.decay,CHG,0.2595,0.2682,0.2966,0,0,24,always_unmatched
EMO.despair,EMO,0.2579,0.2661,0.2819,0,0,24,always_unmatched
REL.different,REL,0.2193,0.2511,0.2835,0,0,24,always_unmatched
VAL.sacred,VAL,0.1837,0.2392,0.2814,0,0,24,always_unmatched
ECO.loss,ECO,0.1921,0.2354,0.2655,0,0,24,always_unmatched
STA.war,STA,0.2068,0.2232,0.2458,0,0,24,always_unmatched
EMO.hate,EMO,0.2139,0.2219,0.2392,0,0,24,always_unmatched
LOG.unreason,LOG,0.1932,0.2194,0.2452,0,0,24,always_unmatched
FND.information,FND,0.1666,0.2117,0.2441,0,0,24,always_unmatched
REL.together,REL,0.1617,0.1981,0.2456,0,0,24,always_unmatched
STA.danger,STA,0.1833,0.1961,0.2074,0,0,24,always_unmatched
VAL.evil,VAL,0.1154,0.1792,0.2489,0,0,24,always_unmatched
ACT.destroy,ACT,0.1129,0.116,0.126,0,0,24,always_unmatched
PRP.bright,PRP,0.4921,0.5639,0.5862,23,1,0,mixed_strong_partial
PER.fragrance,PER,0.4832,0.5483,0.5681,23,1,0,mixed_strong_partial
FND.transformation,FND,0.4491,0.5421,0.623,20,4,0,mixed_strong_partial
COG.know,COG,0.4944,0.5354,0.5934,22,2,0,mixed_strong_partial
COG.think,COG,0.492,0.5334,0.5739,23,1,0,mixed_strong_partial
PER.sound,PER,0.4937,0.5331,0.5477,23,1,0,mixed_strong_partial
PER.feel,PER,0.4978,0.5301,0.5532,23,1,0,mixed_strong_partial
FND.unchanging,FND,0.3895,0.5242,0.5627,19,5,0,mixed_strong_partial
FND.mind,FND,0.4797,0.5217,0.5603,20,4,0,mixed_strong_partial
PRP.deep,PRP,0.4356,0.5166,0.6113,16,8,0,mixed_strong_partial
LOG.cause,LOG,0.4991,0.5161,0.5633,23,1,0,mixed_strong_partial
TIM.past,TIM,0.4352,0.5155,0.568,18,6,0,mixed_strong_partial
PRP.clear,PRP,0.4838,0.5137,0.549,18,6,0,mixed_strong_partial
VAL.beauty,VAL,0.4121,0.5136,0.5374,21,3,0,mixed_strong_partial
STA.comfort,STA,0.462,0.5119,0.5352,22,2,0,mixed_strong_partial
ACT.arrive,ACT,0.4988,0.5107,0.5279,22,2,0,mixed_strong_partial
PER.salty,PER,0.4909,0.5096,0.5182,23,1,0,mixed_strong_partial
LOG.effect,LOG,0.415,0.5086,0.6161,15,9,0,mixed_strong_partial
ACT.give,ACT,0.492,0.5084,0.5176,22,2,0,mixed_strong_partial
MAT.naked,MAT,0.4967,0.5055,0.5151,18,6,0,mixed_strong_partial
PRP.shallow,PRP,0.4978,0.5047,0.5145,20,4,0,mixed_strong_partial
STA.health,STA,0.4967,0.5047,0.513,20,4,0,mixed_strong_partial
BEI.human,BEI,0.4838,0.5033,0.5165,17,7,0,mixed_strong_partial
LOG.reason,LOG,0.4553,0.5031,0.5684,14,10,0,mixed_strong_partial
COM.question,COM,0.4794,0.5014,0.5303,11,13,0,mixed_strong_partial
SOC.defend,SOC,0.4886,0.5013,0.5182,14,10,0,mixed_strong_partial
COM.speak,COM,0.4866,0.4991,0.514,6,18,0,mixed_strong_partial
SOC.sleep,SOC,0.4902,0.4986,0.5102,9,15,0,mixed_strong_partial
PRP.impossible,PRP,0.4673,0.4967,0.5261,10,14,0,mixed_strong_partial
MAT.clothing,MAT,0.4796,0.4951,0.5111,9,15,0,mixed_strong_partial
MAT.tool,MAT,0.4792,0.4945,0.5059,4,20,0,mixed_strong_partial
ACT.fall,ACT,0.4871,0.494,0.507,4,20,0,mixed_strong_partial
ELM.night,ELM,0.4838,0.4936,0.508,2,22,0,mixed_strong_partial
EXS.vitality,EXS,0.4717,0.4929,0.5123,2,22,0,mixed_strong_partial
ABS.wise,ABS,0.4554,0.4913,0.5485,6,18,0,mixed_strong_partial
ECO.price,ECO,0.4804,0.4913,0.504,1,23,0,mixed_strong_partial
FND.timeless,FND,0.4727,0.4888,0.5061,3,21,0,mixed_strong_partial
ELM.sun,ELM,0.4749,0.4882,0.5333,2,22,0,mixed_strong_partial
FND.ahistorical,FND,0.4345,0.4879,0.5258,7,17,0,mixed_strong_partial
FND.intuition,FND,0.4508,0.487,0.5291,7,17,0,mixed_strong_partial
ELM.sky,ELM,0.4579,0.486,0.5033,3,21,0,mixed_strong_partial
CHG.retreat,CHG,0.4748,0.4848,0.5001,1,23,0,mixed_strong_partial
PRP.smooth,PRP,0.4757,0.4845,0.501,1,23,0,mixed_strong_partial
EXS.being,EXS,0.4608,0.4841,0.5504,2,22,0,mixed_strong_partial
SOC.nation,SOC,0.4511,0.4829,0.5212,5,19,0,mixed_strong_partial
ACT.calm,ACT,0.4716,0.4827,0.5157,1,23,0,mixed_strong_partial
VAL.correct,VAL,0.4416,0.4801,0.5118,2,22,0,mixed_strong_partial
ACT.lose,ACT,0.463,0.4763,0.5099,1,23,0,mixed_strong_partial
PRP.difficult,PRP,0.452,0.4735,0.5326,3,21,0,mixed_strong_partial
FND.memory,FND,0.4474,0.4714,0.5049,1,23,0,mixed_strong_partial
SOC.public,SOC,0.4313,0.4708,0.5039,2,22,0,mixed_strong_partial
EXS.nonbeing,EXS,0.4265,0.4597,0.5168,1,23,0,mixed_strong_partial
EMO.pleasure,EMO,0.4164,0.4594,0.5195,2,22,0,mixed_strong_partial
PRP.long,PRP,0.4437,0.4573,0.5576,1,23,0,mixed_strong_partial
FND.temporality,FND,0.4059,0.4468,0.5529,2,22,0,mixed_strong_partial
STA.peace,STA,0.3243,0.4386,0.5315,3,21,0,mixed_strong_partial
TIM.now,TIM,0.4062,0.4358,0.5295,2,22,0,mixed_strong_partial
FND.time,FND,0.3805,0.4262,0.5245,1,23,0,mixed_strong_partial
CHG.stay,CHG,0.2812,0.3676,0.4809,0,20,4,occasionally_unmatched
ABS.responsibility,ABS,0.284,0.3515,0.4224,0,21,3,occasionally_unmatched
WLD.religion,WLD,0.2814,0.3396,0.3983,0,21,3,occasionally_unmatched
FND.numberless,FND,0.2692,0.3364,0.5187,1,20,3,occasionally_unmatched
EXS.void,EXS,0.2966,0.33,0.4571,0,22,2,occasionally_unmatched
EMO.forgiveness,EMO,0.2651,0.3285,0.3852,0,19,5,occasionally_unmatched
FND.history,FND,0.2889,0.327,0.3919,0,20,4,occasionally_unmatched
REL.same,REL,0.2715,0.3243,0.3734,0,17,7,occasionally_unmatched
VAL.profane,VAL,0.2766,0.3205,0.3663,0,19,5,occasionally_unmatched
EMO.compassion,EMO,0.2578,0.3169,0.3647,0,16,8,occasionally_unmatched
VAL.falsehood,VAL,0.265,0.3128,0.3742,0,16,8,occasionally_unmatched
SOC.family,SOC,0.2357,0.3125,0.3729,0,15,9,occasionally_unmatched
ABS.other,ABS,0.2483,0.296,0.3344,0,13,11,occasionally_unmatched
VAL.incorrect,VAL,0.25,0.2909,0.3282,0,9,15,occasionally_unmatched
EMO.love,EMO,0.2667,0.2875,0.335,0,3,21,occasionally_unmatched
FND.uninformed,FND,0.2559,0.2862,0.3326,0,6,18,occasionally_unmatched
EMO.trust,EMO,0.2716,0.2846,0.3129,0,2,22,occasionally_unmatched
COM.cooperate,COM,0.2358,0.2826,0.3346,0,8,16,occasionally_unmatched
SOC.attack,SOC,0.2563,0.2758,0.3076,0,2,22,occasionally_unmatched
SOC.criticize,SOC,0.2187,0.2733,0.3154,0,3,21,occasionally_unmatched
VAL.good,VAL,0.1863,0.2609,0.3524,0,5,19,occasionally_unmatched
PRP.easy,PRP,0.6411,0.6673,0.6949,24,0,0,strong_24/24
WLD.artless,WLD,0.6464,0.6606,0.672,24,0,0,strong_24/24
CHG.begin,CHG,0.659,0.6604,0.6612,24,0,0,strong_24/24
TIM.period,TIM,0.6362,0.6447,0.658,24,0,0,strong_24/24
FND.logic,FND,0.6057,0.6425,0.679,24,0,0,strong_24/24
PER.taste,PER,0.5769,0.6274,0.6485,24,0,0,strong_24/24
STA.healing,STA,0.6156,0.6254,0.6547,24,0,0,strong_24/24
COG.learn,COG,0.6006,0.6227,0.6633,24,0,0,strong_24/24
PRP.young,PRP,0.6052,0.6183,0.6231,24,0,0,strong_24/24
PER.smell,PER,0.5791,0.6158,0.6324,24,0,0,strong_24/24
CHG.advance,CHG,0.5975,0.6119,0.673,24,0,0,strong_24/24
TIM.moment,TIM,0.6044,0.6119,0.6243,24,0,0,strong_24/24
BOD.hip,BOD,0.5937,0.611,0.622,24,0,0,strong_24/24
BOD.eye,BOD,0.5853,0.6091,0.6356,24,0,0,strong_24/24
EMO.manifest,EMO,0.5967,0.6089,0.6213,24,0,0,strong_24/24
PER.see,PER,0.5856,0.608,0.6286,24,0,0,strong_24/24
PRP.small,PRP,0.6004,0.6076,0.6175,24,0,0,strong_24/24
BOD.ear,BOD,0.5832,0.6063,0.6302,24,0,0,strong_24/24
SOC.work,SOC,0.5981,0.6052,0.615,24,0,0,strong_24/24
WLD.technique,WLD,0.5918,0.6052,0.6171,24,0,0,strong_24/24
TIM.appear,TIM,0.5696,0.6018,0.6261,24,0,0,strong_24/24
SOC.official,SOC,0.5803,0.5983,0.6031,24,0,0,strong_24/24
BEI.male,BEI,0.5804,0.5968,0.6086,24,0,0,strong_24/24
SPC.direction,SPC,0.5882,0.5958,0.6052,24,0,0,strong_24/24
ECO.buy,ECO,0.5759,0.5942,0.6056,24,0,0,strong_24/24
ACT.obtain,ACT,0.5814,0.5934,0.6138,24,0,0,strong_24/24
ECO.withdraw,ECO,0.5836,0.5923,0.6017,24,0,0,strong_24/24
PER.sweet,PER,0.5198,0.5912,0.6133,24,0,0,strong_24/24
CHG.end,CHG,0.5313,0.5905,0.6367,24,0,0,strong_24/24
ECO.income,ECO,0.5826,0.59,0.5986,24,0,0,strong_24/24
WLD.art,WLD,0.5509,0.5899,0.6019,24,0,0,strong_24/24
COG.enlightenment,COG,0.5584,0.5895,0.6291,24,0,0,strong_24/24
ECO.earn,ECO,0.5789,0.5891,0.6087,24,0,0,strong_24/24
PER.soundless,PER,0.5658,0.589,0.5997,24,0,0,strong_24/24
PRP.new,PRP,0.5662,0.5889,0.6107,24,0,0,strong_24/24
COM.practice,COM,0.5658,0.5886,0.6077,24,0,0,strong_24/24
ACT.build,ACT,0.5788,0.5876,0.5956,24,0,0,strong_24/24
BOD.mouth,BOD,0.5763,0.5865,0.604,24,0,0,strong_24/24
FND.labor,FND,0.5721,0.5848,0.6125,24,0,0,strong_24/24
PER.tasteless,PER,0.5616,0.5846,0.5984,24,0,0,strong_24/24
ACT.make,ACT,0.5749,0.5839,0.591,24,0,0,strong_24/24
WLD.culture,WLD,0.524,0.5839,0.6338,24,0,0,strong_24/24
BOD.face,BOD,0.5728,0.581,0.5893,24,0,0,strong_24/24
PER.delicious,PER,0.508,0.5808,0.6025,24,0,0,strong_24/24
SOC.city,SOC,0.537,0.5807,0.636,24,0,0,strong_24/24
PER.hear,PER,0.558,0.579,0.6036,24,0,0,strong_24/24
WLD.realm,WLD,0.5328,0.5787,0.6058,24,0,0,strong_24/24
PER.odorless,PER,0.5571,0.5776,0.5886,24,0,0,strong_24/24
CHG.grow,CHG,0.5648,0.5746,0.5838,24,0,0,strong_24/24
COM.teach,COM,0.5388,0.57,0.6242,24,0,0,strong_24/24
ELM.light,ELM,0.5178,0.5697,0.5902,24,0,0,strong_24/24
COM.silence,COM,0.547,0.5684,0.5866,24,0,0,strong_24/24
ACT.sit,ACT,0.5521,0.5652,0.5829,24,0,0,strong_24/24
PRP.slow,PRP,0.5498,0.5642,0.5795,24,0,0,strong_24/24
ECO.sell,ECO,0.5474,0.5637,0.5724,24,0,0,strong_24/24
PRP.short,PRP,0.5431,0.5622,0.5719,24,0,0,strong_24/24
ACT.lie_down,ACT,0.5498,0.5618,0.5755,24,0,0,strong_24/24
ACT.stop,ACT,0.5507,0.5613,0.5731,24,0,0,strong_24/24
COM.answer,COM,0.5512,0.561,0.5713,24,0,0,strong_24/24
ACT.exit,ACT,0.5525,0.5608,0.5733,24,0,0,strong_24/24
SOC.pass,SOC,0.5419,0.5603,0.5823,24,0,0,strong_24/24
FND.number,FND,0.5343,0.5523,0.5651,24,0,0,strong_24/24
ECO.save,ECO,0.5403,0.5511,0.566,24,0,0,strong_24/24
ACT.leave,ACT,0.5401,0.5508,0.5645,24,0,0,strong_24/24
ELM.moon,ELM,0.5422,0.5505,0.5594,24,0,0,strong_24/24
PER.blind,PER,0.5337,0.5504,0.5662,24,0,0,strong_24/24
ACT.emit,ACT,0.543,0.5496,0.5621,24,0,0,strong_24/24
ACT.go,ACT,0.5277,0.5469,0.5656,24,0,0,strong_24/24
FND.play,FND,0.5105,0.5453,0.5939,24,0,0,strong_24/24
PRP.sharp,PRP,0.5224,0.5438,0.5892,24,0,0,strong_24/24
ELM.morning,ELM,0.5335,0.5433,0.5507,24,0,0,strong_24/24
PRP.fast,PRP,0.5215,0.5429,0.561,24,0,0,strong_24/24
BOD.head,BOD,0.5318,0.5422,0.5542,24,0,0,strong_24/24
SOC.rest,SOC,0.503,0.5411,0.5574,24,0,0,strong_24/24
ABS.release,ABS,0.5289,0.541,0.5685,24,0,0,strong_24/24
ACT.rise,ACT,0.5215,0.54,0.5563,24,0,0,strong_24/24
WLD.secular,WLD,0.5284,0.5381,0.552,24,0,0,strong_24/24
ACT.stand,ACT,0.5258,0.5372,0.5521,24,0,0,strong_24/24
ECO.pay,ECO,0.5267,0.5365,0.5431,24,0,0,strong_24/24
COG.separate,COG,0.5209,0.5362,0.546,24,0,0,strong_24/24
BOD.hand,BOD,0.5134,0.5337,0.5494,24,0,0,strong_24/24
PRP.aged,PRP,0.5175,0.5323,0.5639,24,0,0,strong_24/24
BEI.beast,BEI,0.5196,0.5296,0.5403,24,0,0,strong_24/24
ACT.take,ACT,0.5165,0.5278,0.537,24,0,0,strong_24/24
WLD.science,WLD,0.5112,0.5274,0.5515,24,0,0,strong_24/24
ECO.money,ECO,0.5085,0.5271,0.5398,24,0,0,strong_24/24
COM.conduct,COM,0.5129,0.5264,0.5609,24,0,0,strong_24/24
COG.instinct,COG,0.5056,0.5253,0.5466,24,0,0,strong_24/24
BEI.child,BEI,0.5132,0.5249,0.5384,24,0,0,strong_24/24
BEI.female,BEI,0.5156,0.5238,0.531,24,0,0,strong_24/24
PER.touch,PER,0.5076,0.5237,0.5401,24,0,0,strong_24/24
PER.deaf,PER,0.5026,0.5233,0.5485,24,0,0,strong_24/24
ACT.ascend,ACT,0.5121,0.5232,0.538,24,0,0,strong_24/24
SOC.homeless,SOC,0.5113,0.5228,0.5433,24,0,0,strong_24/24
ABS.bound,ABS,0.51,0.5189,0.5368,24,0,0,strong_24/24
MAT.bare_hand,MAT,0.5078,0.5186,0.5299,24,0,0,strong_24/24
SOC.citizen,SOC,0.5036,0.5179,0.5217,24,0,0,strong_24/24
PRP.whole,PRP,0.5106,0.5162,0.5243,24,0,0,strong_24/24
PRP.part,PRP,0.5043,0.5144,0.5243,24,0,0,strong_24/24
PRP.multiple,PRP,0.5024,0.5138,0.5283,24,0,0,strong_24/24
