seed,window,lid,n_core,s_avg,r_core,rho,links_total,log10_pbirth,B,b_gen_old
0,31,165,2,0.019768,0.918452,0.000229,2866,-12.4774,12.4774,0.036312
0,31,157,2,0.031853,0.995476,0.000229,2866,-12.2352,12.2352,0.063418
0,31,158,2,0.064489,0.999498,0.000229,2866,-11.9271,11.9271,0.128913
0,32,166,5,0.386849,0.539457,0.000223,2793,-33.7398,33.7398,1.043442
0,32,167,2,0.017065,0.982615,0.000223,2793,-12.5231,12.5231,0.033536
0,32,168,2,0.137261,0.99946,0.000223,2793,-11.6103,11.6103,0.274373
0,32,169,2,0.030073,0.681793,0.000223,2793,-12.4357,12.4357,0.041007
0,32,170,2,0.008799,0.979656,0.000223,2793,-12.8121,12.8121,0.01724
0,32,172,2,0.08887,0.998026,0.000223,2793,-11.7997,11.7997,0.17739
0,32,175,2,0.026859,0.99856,0.000223,2793,-12.3191,12.3191,0.05364
0,32,177,2,0.031344,0.985168,0.000223,2793,-12.2579,12.2579,0.061759
0,32,178,2,0.130572,0.880138,0.000223,2793,-11.6872,11.6872,0.229843
0,32,180,2,0.049094,0.994951,0.000223,2793,-12.0587,12.0587,0.097692
0,32,181,2,0.014118,0.956868,0.000223,2793,-12.617,12.617,0.027018
0,32,182,2,0.007738,0.98227,0.000223,2793,-12.8667,12.8667,0.015201
0,33,184,2,0.023678,0.978389,0.000218,2722,-12.3939,12.3939,0.046332
0,33,186,2,0.012804,0.998224,0.000218,2722,-12.6522,12.6522,0.025562
0,33,187,2,0.017948,0.989931,0.000218,2722,-12.5091,12.5091,0.035534
0,33,183,4,0.377696,0.470999,0.000218,2722,-26.6505,26.6505,0.711579
0,35,193,2,0.017007,0.906559,0.000236,2955,-12.5351,12.5351,0.030835
0,35,194,2,0.039013,0.988701,0.000236,2955,-12.1368,12.1368,0.077144
0,35,195,2,0.022615,0.977923,0.000236,2955,-12.3784,12.3784,0.044231
0,35,188,4,0.375159,0.661584,0.000236,2955,-26.1095,26.1095,0.992796
0,35,191,2,0.052254,0.821062,0.000236,2955,-12.0906,12.0906,0.085808
0,36,197,5,0.367683,0.509213,0.000226,2828,-33.9067,33.9067,0.936144
0,36,198,2,0.631758,0.990844,0.000226,2828,-10.9456,10.9456,1.251946
0,36,199,2,0.631436,0.99871,0.000226,2828,-10.9424,10.9424,1.261243
0,37,203,3,0.354615,0.993712,0.000223,2793,-18.526,18.526,1.057154
0,38,205,4,0.272817,0.60412,0.000225,2808,-26.7094,26.7094,0.659256
0,38,206,2,0.029098,0.527147,0.000225,2808,-12.5595,12.5595,0.030678
0,38,207,2,0.082778,0.914629,0.000225,2808,-11.8661,11.8661,0.151422
0,38,209,2,0.170216,0.979176,0.000225,2808,-11.5234,11.5234,0.333342
0,38,210,2,0.042775,0.852714,0.000225,2808,-12.1833,12.1833,0.07295
0,38,211,2,0.180541,0.999882,0.000225,2808,-11.4887,11.4887,0.36104
0,38,212,2,0.172454,0.995226,0.000225,2808,-11.5107,11.5107,0.343261
0,38,213,2,0.021309,0.937433,0.000225,2808,-12.4447,12.4447,0.039952
0,38,214,2,0.017745,0.574566,0.000225,2808,-12.7368,12.7368,0.020391
