seed,window,phase,lid,n_core,s_avg,r_core,b_gen,phase_sig,links_total
0,62,tracking,353,5,0.336302,0.764811,1.286037,0.08926,2565
0,62,tracking,354,4,0.405342,0.857311,1.390016,0.935316,2565
0,62,tracking,356,2,0.15123,0.959928,0.290339,2.650784,2565
0,62,tracking,358,2,0.091831,0.972179,0.178552,2.458586,2565
0,62,tracking,361,2,0.125335,0.720127,0.180514,3.135264,2565
0,62,tracking,362,2,0.137779,0.753515,0.207637,0.669871,2565
0,62,tracking,363,2,0.042889,0.9077,0.077861,-2.488071,2565
0,62,tracking,364,2,0.055711,0.615849,0.068619,-1.143844,2565
0,62,tracking,365,2,0.043311,0.785518,0.068043,2.683434,2565
0,63,tracking,368,5,0.348559,0.324317,0.565218,2.181585,2560
0,63,tracking,371,2,0.074825,0.998554,0.149434,-2.761856,2560
0,63,tracking,367,5,0.452631,0.64467,1.458988,1.152267,2560
0,64,tracking,372,5,0.284909,0.371262,0.52888,-2.877456,2648
0,64,tracking,375,2,0.196703,0.965927,0.380001,2.27864,2648
0,64,tracking,376,2,0.008005,0.994604,0.015923,3.110588,2648
0,64,tracking,378,2,0.007725,0.970373,0.014991,-1.026547,2648
0,64,tracking,379,2,0.143,0.548717,0.156933,0.227022,2648
0,64,tracking,380,2,0.112125,0.979689,0.219695,-0.986829,2648
0,64,tracking,381,2,0.02838,0.9922,0.056317,-2.71331,2648
0,64,tracking,383,2,0.013597,0.36445,0.009911,-2.072097,2648
0,65,tracking,384,2,0.046863,0.737837,0.069154,1.938985,2567
0,65,tracking,386,2,0.008758,0.891074,0.015608,1.648819,2567
0,65,tracking,388,2,0.010448,0.899435,0.018795,-2.762901,2567
0,65,tracking,390,2,0.268351,0.999222,0.536284,-1.153471,2567
0,65,tracking,391,2,0.008826,0.987664,0.017435,2.609851,2567
0,65,tracking,392,2,0.046463,0.985287,0.091558,-1.680616,2567
0,65,tracking,396,2,0.024667,0.994288,0.049052,1.09709,2567
0,65,tracking,397,2,0.0207,0.999943,0.041397,-0.669451,2567
0,65,tracking,398,2,0.012434,1.0,0.024869,0.394276,2567
0,65,tracking,399,2,0.011718,0.906822,0.021252,1.616496,2567
0,65,tracking,401,2,0.118857,0.595566,0.141575,-2.657277,2567
0,65,tracking,402,2,0.020112,0.998848,0.040177,-2.253929,2567
0,65,tracking,403,2,0.056069,0.96079,0.107741,-2.135714,2567
0,65,tracking,407,2,0.132405,0.970014,0.256869,1.072869,2567
0,65,tracking,408,2,0.048577,0.782829,0.076055,-2.838603,2567
0,66,tracking,409,2,0.010603,0.991969,0.021035,0.525531,2497
0,66,tracking,410,2,0.010729,0.984967,0.021136,0.197239,2497
0,66,tracking,411,2,0.621048,0.999918,1.241993,1.609115,2497
0,66,tracking,412,2,0.055285,0.899108,0.099414,-0.081722,2497
