window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral
73,4978,3170,1,5,3,1.9833,2,12.5,3162,0,4.52,1.027,3088.7,10,1.0,37,1,0,716,0.002946,0.0625,49.7512,72,33.2,0.0293,0.0117,1,0,0,0,0.076923,0.015625,28,0.7969,3.1338,0.452,0,0,0
74,4977,3102,1,5,3,1.9609,2,12.5,3092,0,4.41,1.0039,3089.9,10,1.0,38,1,0,736,0.002629,0.0708,47.3934,73,33.3,0.0301,0.0128,1,0,0,0,0.070755,0.015625,29,0.7792,3.2046,0.4522,0,0,0
75,4977,3091,0,0,3,1.8807,2,12.4,3091,0,4.51,1.0003,3090.0,0,1.0,38,0,0,736,0.002363,0.0659,0.0,74,34.3,0.0305,0.0136,0,0,0,0,0.065868,0.015625,29,0.7628,3.2285,0.4522,0,0,0
76,4974,3067,2,5,1,1.8936,1,12.4,5,3062,4.56,0.9933,3087.8,5,1.0,40,2,0,778,0.002612,0.07,25.5102,75,33.6,0.028,0.0123,2,0,0,0,0.115,0.015625,30,0.8641,3.2635,0.4509,0,0,0
77,4970,3121,2,5,3,1.8752,1,12.5,3114,0,4.51,1.0097,3091.0,7,1.0,42,2,0,804,0.002597,0.044,28.4553,76,32.9,0.0288,0.011,1,0,0,0,0.084,0.015625,32,0.814,3.2955,0.4497,0,0,0
78,4969,3024,4,5,1,1.9544,2,13.7,4,3005,4.43,0.9803,3084.6,19,1.0,47,6,1,880,0.00241,0.045,68.1004,77,30.3,0.0232,0.0086,2,0,0,0,0.110727,0.015625,36,0.8589,3.3163,0.4486,0,0,0
79,4966,3031,1,5,1,1.9984,2,13.0,0,3026,4.5,0.9842,3079.5,5,1.0,46,1,2,902,0.002397,0.0488,18.1818,78,31.5,0.023,0.0095,1,0,0,0,0.087108,0.015625,36,0.8206,3.3581,0.4471,0,0,0
80,4963,3021,0,0,0,1.9727,2,12.9,0,3021,4.38,0.9828,3073.9,0,1.0,44,0,2,873,0.00218,0.0487,0.0,79,33.8,0.0254,0.01,0,1,0,0,0.079646,0.015625,35,0.8038,3.3802,0.4465,0,0,0
81,4956,2981,2,5,1,1.957,1,12.7,4,2972,4.5,0.9726,3065.1,9,1.0,44,2,2,882,0.002176,0.0496,37.9747,80,34.5,0.0254,0.0117,1,0,0,0,0.095041,0.015625,33,0.8356,3.4009,0.4468,0,0,0
82,4952,3082,0,0,1,1.9357,1,12.5,3077,0,4.48,1.005,3066.7,5,1.0,42,0,2,867,0.002218,0.0526,20.7469,81,36.8,0.0259,0.0103,0,0,0,0,0.089069,0.015625,32,0.8246,3.4252,0.4465,0,0,0
83,4947,3117,2,5,1,1.9494,1,13.6,3107,0,4.5,1.0148,3071.5,10,1.0,43,2,1,872,0.002095,0.0421,36.2319,82,36.8,0.0257,0.0082,1,0,0,0,0.066667,0.015625,32,0.7656,3.4603,0.4468,0,0,0
84,4938,3028,0,0,3,1.9215,1,12.7,0,3024,4.39,0.9872,3067.3,4,1.0,43,0,0,855,0.002243,0.0558,17.2414,83,37.8,0.0253,0.01,0,0,0,0,0.072961,0.015625,32,0.7858,3.5055,0.4468,0,0,0
85,4936,3090,1,4,1,1.9156,1,12.4,3086,0,4.43,1.0067,3069.5,4,1.0,44,2,1,884,0.001877,0.0448,11.4504,84,38.0,0.0245,0.0094,0,0,0,0,0.097015,0.015625,32,0.8389,3.5764,0.4469,0,0,0
86,4933,2943,0,0,1,1.8449,1,12.4,0,2943,4.4,0.9626,3057.5,0,1.0,44,0,0,874,0.001883,0.0442,0.0,85,39.0,0.0218,0.008,0,0,0,0,0.068273,0.015625,32,0.7711,3.6125,0.4472,0,0,0
87,4931,3047,0,0,0,1.9313,1,13.0,0,3047,4.45,0.9969,3056.5,0,1.0,44,0,0,873,0.001751,0.0468,0.0,86,40.0,0.0254,0.01,0,0,0,0,0.080851,0.015625,32,0.8067,3.6508,0.4473,0,0,0
88,4931,3002,2,4,2,1.9957,1,13.2,6,2996,4.48,0.9839,3051.3,6,1.0,46,2,0,897,0.001706,0.0395,24.0964,87,39.2,0.0236,0.0081,0,0,0,0,0.075099,0.015625,33,0.7919,3.6904,0.4473,0,0,0
89,4928,3024,2,4,3,1.9641,1,12.5,8,3011,4.44,0.9919,3048.7,13,1.0,48,5,3,918,0.001789,0.0358,47.619,88,36.7,0.0219,0.0078,0,1,0,0,0.064516,0.015625,32,0.7578,3.719,0.447,0,0,0
90,4927,3024,1,5,3,1.9652,2,12.7,7,3007,4.47,0.9927,3046.3,17,1.0,51,4,1,945,0.002007,0.039,61.5942,89,35.5,0.0209,0.009,1,0,0,0,0.067376,0.015625,35,0.7681,3.758,0.4461,0,0,0
91,4927,3160,1,5,3,1.96,2,12.3,3157,0,4.62,1.0389,3058.9,21,1.0,54,6,3,974,0.001996,0.0415,65.2174,90,32.8,0.022,0.0092,1,0,0,0,0.071217,0.015625,37,0.7806,3.7996,0.4446,0,0,0
92,4926,2980,3,5,3,1.9833,2,12.2,15,2961,4.53,0.9769,3051.5,19,1.0,53,3,4,990,0.001842,0.0435,62.9139,91,34.2,0.0217,0.0085,1,0,0,0,0.062112,0.015625,37,0.7484,3.8337,0.4433,0,0,0
93,4926,3096,0,0,1,1.9482,2,12.6,3087,0,4.45,1.0132,3055.7,9,1.0,54,4,3,975,0.00164,0.0367,31.0345,92,34.5,0.0188,0.0068,0,0,0,0,0.06,0.015625,36,0.7396,3.8804,0.4427,0,0,0
94,4926,2984,0,0,3,1.8959,1,12.8,4,2975,4.41,0.9787,3048.9,9,1.0,54,5,5,981,0.001594,0.0357,33.3333,93,35.1,0.0208,0.008,0,2,0,0,0.082143,0.015625,38,0.8098,3.9161,0.4418,0,0,0
95,4926,3017,0,0,3,1.836,1,12.6,4,3008,4.43,0.9905,3045.8,9,1.0,50,0,4,950,0.001578,0.0433,34.6154,94,38.8,0.022,0.009,0,0,0,0,0.061372,0.015625,35,0.7454,3.9667,0.441,0,0,0
96,4925,3096,2,5,1,1.7605,1,12.9,3088,0,4.43,1.0149,3050.6,8,1.0,50,3,3,960,0.00147,0.0365,24.2215,95,39.7,0.0222,0.0079,1,0,0,0,0.083056,0.015625,34,0.8119,4.0231,0.4405,0,0,0
97,4925,2958,1,3,1,1.9027,1,12.9,2,2956,4.41,0.9725,3041.8,2,1.0,49,3,4,957,0.001666,0.0451,0.0,96,41.3,0.0222,0.0091,0,0,0,0,0.07377,0.015625,34,0.7882,4.0682,0.44,0,0,0
98,4924,3074,0,0,0,1.9261,2,12.6,3074,0,4.52,1.0096,3044.9,0,1.0,47,0,2,931,0.001632,0.044,0.0,97,44.0,0.0229,0.0096,0,0,0,0,0.068,0.015625,33,0.7702,4.1282,0.4398,0,0,0
99,4924,3052,0,0,0,1.9313,1,12.5,3052,0,4.43,1.0021,3045.5,0,1.0,44,0,3,884,0.001457,0.048,0.0,98,43.7,0.0234,0.0098,0,1,0,0,0.076,0.015625,31,0.7944,4.1762,0.4401,0,0,0
100,4924,2963,2,3,3,1.9853,1,12.1,3,2953,4.4,0.9754,3037.7,10,1.0,48,8,4,923,0.001389,0.038,18.1659,99,41.0,0.0212,0.0081,0,0,0,0,0.054852,0.015625,35,0.7151,4.2311,0.4399,0,0,0
101,4923,2967,2,5,3,1.9628,1,12.2,2,2955,4.44,0.9789,3030.9,12,1.0,50,7,5,960,0.00157,0.0391,41.0448,100,40.3,0.0201,0.0083,1,0,0,0,0.053381,0.015625,37,0.7073,4.2667,0.4393,0,0,0
102,4922,3070,1,5,3,1.9911,2,12.2,3063,0,4.51,1.0116,3034.7,7,1.0,49,3,4,969,0.001495,0.0463,18.3824,101,41.9,0.0225,0.0095,1,0,0,0,0.078292,0.015625,36,0.8004,4.3023,0.439,0,0,0
103,4921,3034,0,0,3,1.9727,2,12.2,5,3029,4.55,0.9998,3034.6,5,1.0,48,0,1,939,0.001609,0.0524,19.305,102,43.8,0.0222,0.0101,0,0,0,0,0.06367,0.015625,35,0.7546,4.3434,0.4386,0,0,0
104,4917,3022,1,3,3,1.9679,1,12.7,11,3011,4.46,0.9962,3033.4,11,1.0,49,5,4,952,0.001532,0.0438,37.5,103,43.8,0.0219,0.0092,0,0,0,0,0.063745,0.015625,35,0.7549,4.3674,0.4385,0,0,0
105,4917,3011,1,5,3,1.9657,1,12.4,14,2997,4.48,0.9933,3031.3,14,1.0,50,1,0,955,0.001541,0.048,53.4351,104,43.9,0.0221,0.0096,1,0,0,0,0.062731,0.015625,35,0.7509,4.3969,0.4378,0,0,0
106,4917,2999,2,5,3,1.9849,2,12.9,4,2985,4.46,0.9904,3028.2,14,1.0,53,5,2,1000,0.001506,0.039,51.8519,105,42.2,0.0203,0.0083,1,0,0,0,0.067376,0.015625,35,0.7681,4.4288,0.4376,0,0,0
107,4916,3011,0,0,3,1.976,2,12.8,0,3006,4.4,0.9949,3026.6,5,1.0,51,0,2,990,0.001345,0.0385,16.7224,106,44.9,0.0204,0.0081,0,0,0,0,0.054487,0.015625,34,0.7132,4.4769,0.4379,0,0,0
108,4915,3017,0,0,3,1.9657,1,14.6,0,3010,4.47,0.9971,3025.6,7,1.0,52,2,1,999,0.00156,0.0436,20.8333,107,45.0,0.0223,0.0087,0,0,0,0,0.077181,0.015625,36,0.7976,4.5306,0.4375,0,0,0
109,4912,3008,0,0,3,1.9589,1,13.8,0,3008,4.49,0.9947,3024.0,0,1.0,51,0,1,993,0.00132,0.0372,0.0,108,46.9,0.0206,0.0078,0,0,0,0,0.057432,0.015625,35,0.7279,4.5812,0.4374,0,0,0
110,4910,3000,1,4,3,1.9387,1,12.3,1,2999,4.38,0.9928,3021.7,1,1.0,49,2,4,1008,0.001276,0.041,0.0,109,49.4,0.0215,0.0087,0,0,0,0,0.061433,0.015625,36,0.7457,4.6256,0.4373,0,0,0
111,4910,3045,3,5,1,1.9919,1,12.6,3033,0,4.51,1.007,3023.9,12,1.0,51,3,1,1023,0.001411,0.0429,44.2804,110,48.3,0.0222,0.0093,1,0,0,0,0.064286,0.015625,36,0.7569,4.6863,0.4371,0,0,0
112,4909,3055,0,0,3,1.9194,2,12.6,3049,0,4.48,1.0093,3026.9,6,1.0,52,2,1,1028,0.001499,0.0369,15.8228,111,48.4,0.0197,0.0082,0,0,0,0,0.058462,0.015625,36,0.7327,4.7171,0.4367,0,0,0
113,4909,3056,1,3,3,1.9129,1,12.5,3049,0,4.45,1.0087,3029.6,7,1.0,51,2,3,1026,0.00139,0.0526,22.0588,112,48.2,0.0205,0.0086,0,0,0,0,0.070175,0.015625,37,0.7773,4.7697,0.4364,0,0,0
114,4908,2991,2,5,1,1.9438,1,12.3,14,2977,4.43,0.9884,3026.0,14,1.0,53,4,2,1044,0.001398,0.0446,49.4297,113,46.5,0.0195,0.0093,1,1,0,0,0.055762,0.015625,40,0.7198,4.7809,0.4357,0,0,0
