window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
94,4842,3104,0,0,3,1.8164,1,15.1,3105,0,4.59,1.0057,3095.3,8,1.0,60,5,4,1127,0.00079,0.033,20.2899,93,49.6,0.0192,0.0074,0,1,0,0,0.090659,0.015625,40,0.8277,5.323,0.4353,18,4,38,800,1229,498,0.0007,0.9993,590.4,3.8,0.0526,0.005495,0.007274,0.7554,1.1223,0
95,4840,3105,1,4,3,1.9193,1,15.3,3106,0,4.6,1.0052,3097.0,7,1.0,59,1,2,1108,0.001171,0.0347,22.8013,94,49.7,0.0186,0.0067,0,0,0,0,0.091483,0.015625,40,0.8292,5.4145,0.4355,16,4,39,764,1248,512,0.0008,0.9992,613.8,3.9,0.0527,0.003155,0.006882,0.4584,1.2708,0
96,4840,3009,3,5,3,1.9629,1,15.2,9,2990,4.56,0.9742,3088.6,19,1.0,63,9,5,1157,0.001496,0.0347,53.6723,95,47.4,0.0166,0.007,1,0,0,0,0.128,0.015625,44,0.8779,5.5425,0.4354,17,5,41,746,1237,477,0.0008,0.9992,611.3,3.9,0.053,0.008,0.006988,1.1448,0.9276,0
97,4836,3113,1,5,3,1.9494,2,15.2,3107,0,4.61,1.0118,3092.5,22,1.0,61,8,10,1166,0.00126,0.0351,50.3209,96,48.8,0.017,0.0068,1,1,0,0,0.086486,0.015625,45,0.8193,5.6128,0.4348,19,4,38,800,1230,512,0.0013,0.9987,598.4,3.7,0.0543,0.032432,0.009411,3.4461,0.5,0
98,4836,3068,1,5,3,1.957,2,14.9,4,3054,4.54,0.9928,3090.1,14,1.0,60,1,2,1138,0.00066,0.0337,34.8525,97,50.5,0.0182,0.0079,1,0,0,0,0.082902,0.015625,42,0.8115,5.6724,0.434,19,4,37,803,1216,500,0.0011,0.9989,579.7,3.9,0.054,0.005181,0.009008,0.5752,1.2124,0
99,4835,3110,0,0,3,1.9315,2,15.0,3110,0,4.61,1.0084,3092.9,9,1.0,57,0,3,1119,0.001483,0.0383,22.8571,98,53.9,0.0192,0.0075,0,0,0,0,0.098361,0.015625,42,0.8411,5.7653,0.4339,19,3,35,791,1243,498,0.0012,0.9988,568.1,3.9,0.053,0.008197,0.008931,0.9178,1.0411,0
100,4834,2966,1,5,3,1.9121,1,14.9,5,2951,4.43,0.9627,3080.8,15,1.0,60,6,3,1150,0.001103,0.0355,50.1672,99,52.1,0.0177,0.007,1,0,0,0,0.080645,0.015625,43,0.8063,5.8394,0.4333,20,4,36,778,1162,470,0.0008,0.9992,617.8,3.9,0.0546,0.012903,0.009309,1.386,0.807,0
101,4829,3109,0,0,3,1.9307,1,15.0,3151,0,4.64,1.022,3088.0,5,1.0,58,0,2,1132,0.00086,0.0343,14.8368,100,54.9,0.018,0.0073,0,0,0,0,0.085714,0.015625,41,0.8177,5.9166,0.4333,19,4,35,786,1239,501,0.0007,0.9993,634.5,4.0,0.0529,0.008571,0.009239,0.9277,1.0361,0
102,4828,3059,1,4,3,1.9197,1,14.9,4,3050,4.6,0.9915,3085.2,9,1.0,58,2,2,1147,0.001155,0.0442,24.4648,101,55.8,0.0186,0.0075,0,0,0,0,0.070796,0.015625,41,0.7793,5.9667,0.4329,19,4,35,781,1219,469,0.0008,0.9992,636.8,4.1,0.0528,0.00885,0.009202,0.9617,1.0192,0
103,4826,2999,0,0,3,1.9062,1,15.0,0,2999,4.58,0.9747,3077.0,0,1.0,57,0,1,1118,0.00112,0.0362,0.0,102,57.8,0.0178,0.0087,0,0,0,0,0.108635,0.015625,39,0.8562,6.0197,0.4332,19,3,35,797,1177,471,0.0008,0.9992,610.9,4.0,0.0527,0.0,0.008326,0.0,1.5,0
