window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,alpha_t,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied,mean_h_age,max_h_age,mean_h_res,max_h_res,mean_h_str,max_h_str,mature_links,rigid_links,brittle_links,hist_matured,hist_snapped,hist_suppressed,avalanche_events,cascade_links,void_mean_V,void_max_V,void_active_nodes,gen_births,gen_candidates,gen_max_T,gen_max_delta,void_consumed,void_deposited,proliferation_pi,void_induced_births,void_total_mass,void_variance,void_isolated_high,void_active_neighbor_high,void_diffusion_events,void_to_active,void_c_diff,cascade_splashes,r0_to_rplus,rplus_to_r0,total_rplus,total_r0,amplified_pairs,echo_deposits,echo_latent_total,reforms_alive,reformations,v_energy,v_recurrence_n,v_motifs,v_labels,v_born,v_died,v_torque_n,v_torque_mean,v_torque_success
464,3030,1844,1,0,1,5,0.1538,1,0,0,0,0,0,0,0,3,1.7899,-0.044,1,28.0,1,0.0,0.0,0.0,0,0,0,0,0,9,19,28,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1607,263,38784,0.00061,0.507447,0.018163,51,3,0,0.0475,0.386,0.0016,0.27,0.1171,0.665,0,0,0,1390,5,9,0,0,0.0001,0.0026,0,6,6,0.000614,0.000579,3,1.4,0.05423,0,0.8974,0.0,0,0,451,253,0.001,0,8,3,15,1829,361078,0,0.0,0,0,505.1097,1050,3,217,1,0,784,0.519077,30.1361
465,3029,1898,1,0,1,4,0.5,1,0,0,0,0,0,0,0,3,1.9502,0.1603,2,27.6,1,0.0,0.0,0.0,0,0,0,0,0,15,22,37,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2712,210,38759,0.001146,0.507327,0.018156,105,3,1,0.0483,0.314,0.0014,0.42,0.1186,0.68,0,0,0,1727,9,8,0,0,0.0001,0.0011,0,0,0,0.000504,0.0,1,2.238,0.094836,0,0.8928,0.0,0,0,71,59,0.001,0,7,13,3,1895,361290,2,0.1949,0,0,512.0848,1045,1,217,0,0,783,0.534158,48.0366
466,3029,1927,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8727,-0.0775,2,27.1,1,0.0,0.0,0.0,0,0,0,0,0,17,28,45,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2834,263,41189,0.00039,0.507327,0.018156,29,-3,0,0.0496,0.414,0.0011,0.42,0.1215,0.685,0,0,0,1864,6,4,0,0,0.0001,0.001,0,6,6,0.000659,0.000459,1,1.81,0.062273,0,0.8994,0.0,0,0,167,100,0.001,0,9,9,0,1927,361282,0,0.0,0,0,505.1797,1044,0,216,0,1,781,0.5196,38.8544
467,3029,1798,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8113,-0.0614,1,28.1,1,0.0,0.0,0.0,0,0,0,0,0,17,27,44,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,3152,251,38187,0.001097,0.507327,0.018156,-100,0,0,0.0475,0.514,0.0007,0.39,0.1165,0.685,1,0,0,2055,10,2,0,0,0.0001,0.001,0,6,6,0.000427,0.000395,1,2.866,0.111234,0,0.9015,0.0,0,0,16,8,0.001,0,8,4,0,1798,359682,0,0.0,0,0,505.4068,1044,0,214,0,2,775,0.508197,39.4711
468,3026,1855,1,0,1,5,0.4571,2,0,0,0,0,0,0,0,3,1.7274,-0.0839,1,28.1,1,0.0,0.0,0.0,0,0,0,0,0,17,27,44,0.0,0,2,2,0,0,0,1,0.0,0,0,0,0,1.0,3036,227,38856,0.00053,0.507349,0.018158,-43,-2,1,0.0484,0.312,0.0003,0.06,0.1197,0.62,0,0,0,1887,12,0,0,0,0.0002,0.1806,3,4,4,0.001461,0.000242,2,4.128,0.129378,0,1.2312,1.6e-05,2,1,137,104,0.0012,0,12,4,5,1850,359056,0,0.0,0,0,491.6828,1049,1,215,1,0,777,0.497893,37.5374
469,3024,1743,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.1488,-0.5786,1,26.8,2,0.0,0.0,0.0,0,0,0,0,0,15,20,35,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2240,356,37665,0.001215,0.507349,0.018158,-112,3,0,0.0464,0.316,0.0003,0.09,0.1153,0.68,0,0,0,1773,10,0,0,0,0.0001,0.007,0,4,4,0.00114,0.000234,0,3.008,0.114743,0,0.9093,0.0,0,0,143,112,0.001,0,0,4,0,1743,358012,0,0.0,0,0,500.0524,1044,0,213,0,2,768,0.523459,47.2276
470,3019,1746,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.371,0.2221,1,28.1,2,0.0,0.0,0.0,0,0,0,0,0,16,22,38,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1418,278,35784,0.001186,0.507349,0.018158,-109,3,0,0.0469,0.304,0.0001,0.09,0.117,0.695,0,0,0,1301,8,0,0,0,0.0001,0.001,0,3,3,0.001026,0.000689,3,2.414,0.091637,0,0.9002,0.0,0,0,55,51,0.001,0,0,0,0,1746,357442,0,0.0,0,0,493.7452,1044,0,211,0,2,764,0.529536,38.2418
471,3017,1717,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.971,-0.4,1,28.0,2,0.0,0.0,0.0,0,0,0,0,0,16,22,38,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,803,244,35625,0.001471,0.507551,0.018144,-138,5,1,0.0457,0.27,0.0001,0.03,0.1137,0.675,0,0,0,591,11,0,0,0,0.0002,0.1233,1,7,7,0.000803,0.000633,1,3.162,0.128129,0,1.0294,5e-06,1,0,276,184,0.0011,0,11,7,0,1717,357164,0,0.0,0,0,490.3519,1044,0,208,0,3,755,0.526752,38.9427
472,3012,1730,1,0,1,4,0.5,1,0,0,0,0,0,0,0,3,1.5,0.529,1,27.9,2,0.0,0.0,0.0,0,0,0,0,0,15,20,35,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,764,223,36735,0.00023,0.507551,0.018144,13,-4,0,0.046,0.252,0.0002,0.03,0.1141,0.615,0,0,0,638,4,0,0,0,0.0001,0.0039,0,2,2,0.000895,0.000741,1,1.12,0.046243,0,0.9103,0.0,0,0,251,150,0.001,0,11,2,5,1725,355852,0,0.0,0,0,484.1875,1049,1,209,1,0,756,0.533723,33.0693
473,3010,1827,1,0,1,5,0.6,1,0,0,0,0,0,0,0,3,1.8911,0.3911,1,26.6,2,0.0,0.0,0.0,0,0,0,0,0,15,20,35,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1098,256,37284,0.001196,0.507551,0.018144,110,-3,0,0.0464,0.3,0.0005,0.09,0.115,0.635,0,0,0,759,3,0,0,0,0.0001,0.0039,0,2,2,0.000315,0.000311,0,0.842,0.032841,0,0.9128,0.0,0,0,6,4,0.001,0,12,10,5,1822,355538,0,0.0,0,0,484.5824,1049,1,209,1,1,757,0.513698,36.5764
