window,label_id,age,n_core,visible_total,n_seen,near_phase_ratio,theta_variance,share,type_tag,world_jaccard,partner_jaccard
21,115,0,2,24,1,0.2917,0.8517,0.058252,local,1.0,1.0
21,118,-1,3,67,1,0.3284,0.9421,0.019417,neutral,,
21,119,-1,2,24,0,0.375,0.885,0.019417,isolated|local,,
21,120,-1,2,26,0,0.4231,0.7575,0.029126,isolated|local,,
21,121,-1,2,25,0,0.2,0.7173,0.029126,isolated|local,,
21,122,-1,2,25,1,0.28,0.9059,0.058252,local,,
21,123,-1,2,25,0,0.28,0.88,0.048544,isolated|local,,
21,124,-1,2,26,0,0.2308,0.9314,0.038835,isolated|local,,
22,3,18,5,253,3,0.2095,0.916,0.065574,social|wide,1.0,1.0
22,4,18,4,149,3,0.2886,0.9572,0.032787,social,0.9933,1.0
22,5,18,4,153,2,0.5033,0.9784,0.04918,familiar,0.9935,1.0
22,16,17,5,263,5,0.2548,0.9484,0.04918,social|wide,0.9962,1.0
22,33,14,4,153,0,0.2484,0.8761,0.032787,isolated,1.0,1.0
22,48,12,3,72,2,0.3472,0.8695,0.032787,neutral,1.0,1.0
22,57,11,4,152,4,0.2368,0.9703,0.016393,social,1.0,1.0
22,76,7,4,152,0,0.25,0.9468,0.057377,isolated,0.5296,0.0
22,83,6,3,66,1,0.2121,0.9701,0.04918,neutral,1.0,1.0
22,87,5,5,283,8,0.2473,0.9399,0.07377,social|wide,0.9965,0.8889
22,101,4,2,25,1,0.56,0.8321,0.016393,familiar|local,1.0,0.0
22,103,4,2,25,0,0.36,0.8141,0.02459,isolated|local,1.0,1.0
22,112,2,5,286,1,0.2483,0.9533,0.057377,wide,1.0,0.0
22,114,1,5,253,6,0.3083,0.9372,0.040984,social|wide,1.0,0.8333
22,115,1,2,24,0,0.25,0.8125,0.02459,isolated|local,1.0,0.0
22,118,0,3,67,1,0.2388,0.9921,0.032787,neutral,1.0,1.0
22,119,0,2,24,0,0.25,0.9352,0.032787,isolated|local,1.0,1.0
22,120,0,2,26,0,0.1538,0.9329,0.032787,isolated|alien|local,1.0,1.0
22,121,0,2,25,0,0.24,0.8221,0.016393,isolated|local,1.0,1.0
22,122,0,2,25,1,0.24,0.7458,0.040984,local,1.0,1.0
22,126,-1,5,286,3,0.2552,0.9365,0.114754,social|wide,,
22,127,-1,2,26,0,0.3846,0.7728,0.04918,isolated|local,,
22,129,-1,2,26,0,0.1538,0.7277,0.04918,isolated|alien|local,,
23,3,19,5,252,3,0.2381,0.9264,0.06,social|wide,0.996,1.0
23,5,19,4,153,2,0.4575,0.8764,0.09,neutral,1.0,1.0
23,16,18,5,260,5,0.2385,0.9601,0.07,social|wide,0.9886,0.6667
23,33,15,4,150,1,0.3333,0.8946,0.04,neutral,0.9804,0.0
23,48,13,3,72,1,0.5139,0.9888,0.05,familiar,1.0,0.5
