window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate
137,4787,2956,1,5,1,1.9017,2,32.9,2948,0,4.47,1.0079,2932.8,8,1.0,10,1,3,214,0.022892,0.1857,129.0323
138,4786,2878,2,5,3,1.9299,2,33.8,8,2860,4.46,0.9831,2927.6,18,1.0,10,2,2,222,0.022485,0.1481,233.7662
139,4786,2900,0,0,3,1.9416,2,32.7,9,2891,4.38,0.9915,2925.0,9,1.0,8,2,4,226,0.024544,0.1646,98.5915
140,4785,3028,0,0,3,1.9622,1,33.8,3035,0,4.51,1.0364,2936.2,8,1.0,9,3,2,198,0.025189,0.2424,111.1111
141,4784,2924,2,5,1,1.9599,1,32.7,0,2915,4.34,0.9962,2935.1,9,1.0,8,2,3,231,0.021935,0.1829,125.0
142,4784,2909,0,0,3,1.9787,1,33.9,0,2904,4.4,0.992,2932.6,5,1.0,10,5,3,202,0.025799,0.1864,90.9091
143,4784,2857,1,5,3,1.967,1,32.6,0,2847,4.43,0.9766,2925.4,10,1.0,10,1,1,212,0.024333,0.1515,166.6667
144,4781,2866,0,0,3,1.9489,1,33.4,2,2859,4.4,0.9816,2919.7,7,1.0,8,2,4,206,0.024654,0.1967,94.3396
145,4778,2917,0,0,3,1.9604,1,33.0,0,2917,4.4,0.9992,2919.5,0,1.0,6,0,2,159,0.037284,0.2222,0.0
146,4774,2927,0,0,3,1.9075,1,32.6,2926,0,4.42,1.0023,2920.2,1,1.0,6,1,1,150,0.036202,0.2195,0.0
147,4769,2917,2,5,1,1.93,1,33.9,1,2907,4.43,0.999,2919.9,10,1.0,9,5,2,197,0.023761,0.1786,166.6667
148,4766,2967,1,5,3,1.9413,1,32.8,2959,0,4.51,1.0146,2924.4,8,1.0,11,4,2,226,0.019731,0.122,102.5641
149,4763,2946,0,0,3,1.9457,2,34.0,2943,0,4.48,1.0067,2926.4,3,1.0,9,0,2,217,0.022986,0.1207,54.5455
150,4763,2912,2,5,1,1.9319,1,32.8,6,2901,4.44,0.9955,2925.1,11,1.0,12,5,2,268,0.019868,0.0978,100.0
151,4761,2887,4,5,2,1.9661,1,33.9,12,2865,4.44,0.9882,2921.4,22,1.0,16,5,1,343,0.014262,0.1261,207.5472
152,4758,2916,1,4,3,1.9735,2,32.7,6,2905,4.42,0.9983,2920.9,11,1.0,15,3,4,372,0.013542,0.0952,91.8367
153,4754,2895,2,4,3,1.9944,2,33.4,12,2874,4.46,0.992,2918.4,21,1.0,19,8,4,359,0.013309,0.0804,200.0
154,4751,2904,0,0,3,1.9966,2,32.9,9,2891,4.53,0.9955,2917.1,13,1.0,16,0,3,331,0.015945,0.087,119.2661
155,4749,3035,0,0,3,1.9988,1,32.6,3039,0,4.64,1.0404,2929.5,9,1.0,14,0,2,326,0.015632,0.098,96.7742
156,4747,2795,0,0,3,1.9955,1,33.7,0,2795,4.33,0.9583,2916.7,0,1.0,13,0,1,289,0.018424,0.1045,0.0
157,4747,2917,2,5,3,1.9875,1,32.5,2909,0,4.4,1.0001,2916.8,8,1.0,13,2,2,318,0.016034,0.1087,93.0233
158,4747,2985,1,3,3,1.9499,1,33.7,2975,0,4.47,1.0211,2923.3,10,1.0,14,4,3,316,0.016066,0.1327,71.7624
159,4746,2913,3,5,3,1.9086,2,32.5,3,2895,4.48,0.9968,2922.3,18,1.0,14,3,3,350,0.013644,0.113,168.2243
160,4746,2961,0,0,3,1.6791,2,32.5,2946,0,4.49,1.012,2926.0,15,1.0,12,0,2,298,0.017975,0.1149,180.7229
161,4745,2932,1,3,3,1.7985,1,33.8,2919,0,4.44,1.0019,2926.5,13,1.0,12,1,1,280,0.01939,0.1413,147.7273
162,4743,2988,0,0,3,1.8049,1,32.8,2980,0,4.5,1.019,2932.4,8,1.0,11,0,1,263,0.020773,0.1395,97.561
163,4741,2945,0,0,3,1.8951,1,33.9,2940,0,4.51,1.0039,2933.6,5,1.0,12,2,1,255,0.020351,0.1467,54.7945
164,4740,2892,0,0,3,1.9085,1,32.8,3,2889,4.44,0.9872,2929.6,3,1.0,11,0,1,248,0.021901,0.1471,44.7761
165,4740,2997,0,0,3,1.9737,1,33.9,2997,0,4.52,1.0208,2936.0,0,1.0,8,0,3,234,0.023681,0.1711,0.0
166,4740,2859,2,5,3,1.9562,1,32.7,4,2850,4.36,0.9762,2928.7,9,1.0,10,2,0,221,0.023352,0.1833,150.0
167,4739,2986,3,5,3,1.9498,1,33.6,2967,0,4.58,1.0177,2934.2,19,1.0,16,9,3,320,0.016496,0.1313,187.5
168,4738,2958,2,4,3,1.9837,2,32.5,2942,0,4.52,1.0073,2936.4,16,1.0,20,8,4,364,0.01251,0.0813,136.3636
169,4738,2961,3,5,1,1.9662,2,33.6,2941,0,4.5,1.0076,2938.8,20,1.0,18,3,5,381,0.012275,0.1071,200.0
170,4738,2975,1,3,3,1.9372,2,32.5,2959,0,4.54,1.0111,2942.2,16,1.0,19,5,4,355,0.013176,0.0857,115.3846
171,4737,2879,0,0,3,1.93,2,33.3,0,2869,4.45,0.9805,2936.2,10,1.0,16,0,3,318,0.014232,0.1176,90.9091
172,4737,2851,1,4,3,1.9446,1,32.8,4,2838,4.43,0.9737,2928.1,13,1.0,20,6,2,342,0.013246,0.0917,125.0
173,4735,2994,2,5,3,1.9052,1,32.5,2977,0,4.49,1.0206,2934.5,18,1.0,17,3,6,378,0.012219,0.1058,180.8511
