window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp
89,4912,3120,2,4,3,1.9505,1,16.4,11,3109,4.62,0.9946,3136.8,11,1.0,61,3,1,1153,0.001088,0.0299,31.0559,88,44.6,0.0177,0.0069,0,0,0,0,0.05988,0.015625,40,0.7391,5.3658,0.4291,24,6,31,779,1251,498
90,4911,3079,1,4,3,1.9491,1,16.3,4,3075,4.52,0.9833,3131.3,4,1.0,61,1,1,1142,0.001238,0.0376,11.7302,89,45.0,0.018,0.0064,0,0,0,0,0.057803,0.015625,39,0.7297,5.4236,0.4289,24,6,31,771,1216,516
91,4911,3200,1,5,3,1.9535,2,16.3,3239,0,4.66,1.0325,3142.0,5,1.0,61,1,1,1145,0.001168,0.0408,13.1579,90,46.0,0.0179,0.0071,1,0,0,0,0.061224,0.015625,39,0.7448,5.4848,0.429,24,6,31,871,1182,553
92,4910,3093,1,3,3,1.9853,2,16.3,2,3086,4.52,0.9859,3137.4,7,1.0,60,1,2,1140,0.001165,0.0369,20.4678,91,46.2,0.0187,0.0073,0,0,0,0,0.073864,0.015625,39,0.7885,5.5587,0.4288,22,6,32,792,1251,465
93,4910,3028,1,4,3,1.9787,2,16.2,5,3018,4.48,0.9684,3126.9,10,1.0,62,6,4,1151,0.00108,0.0364,28.5714,92,44.2,0.0178,0.0075,0,0,0,0,0.061625,0.015625,39,0.7464,5.6175,0.4283,24,6,32,775,1175,502
94,4910,3145,1,5,3,1.9667,2,16.3,3151,0,4.58,1.0096,3130.1,9,1.0,63,1,0,1168,0.001162,0.0303,23.622,93,44.5,0.0167,0.0055,1,0,0,0,0.063131,0.015625,40,0.7525,5.6806,0.4276,24,6,33,836,1260,491
95,4910,3079,2,4,1,1.9583,2,16.4,13,3066,4.47,0.9852,3125.2,13,1.0,65,5,3,1218,0.001092,0.0281,23.8904,94,44.1,0.016,0.007,0,0,0,0,0.061224,0.015625,42,0.7448,5.7266,0.427,24,6,35,758,1268,455
96,4909,3082,1,3,1,1.9634,2,16.4,3,3079,4.59,0.9875,3121.1,3,1.0,66,1,0,1209,0.001155,0.0277,7.8125,95,44.4,0.0166,0.0061,0,0,0,0,0.050378,0.015625,41,0.6898,5.7543,0.4264,25,6,35,837,1196,511
97,4909,3090,1,4,3,1.9518,2,16.5,4,3086,4.57,0.991,3118.1,4,1.0,67,1,0,1225,0.001079,0.0359,10.3896,96,44.7,0.0158,0.0071,0,0,0,0,0.048718,0.015625,41,0.6793,5.7979,0.4259,25,6,36,835,1159,534
98,4908,3082,1,4,1,1.9461,2,16.4,5,3077,4.61,0.9895,3114.7,5,1.0,62,3,8,1220,0.001063,0.0243,14.4092,97,46.5,0.016,0.0049,0,1,0,0,0.07027,0.015625,40,0.7776,5.8411,0.4255,23,6,33,827,1177,536
99,4908,3130,2,5,1,1.9776,2,16.3,3128,0,4.63,1.0059,3116.6,7,1.0,63,2,1,1179,0.001229,0.0373,17.9487,98,46.5,0.0167,0.0064,1,0,0,0,0.069652,0.015625,37,0.7757,5.8834,0.4254,23,5,35,810,1269,519
100,4908,3185,2,4,3,1.9251,2,16.3,3243,0,4.61,1.0388,3129.4,8,1.0,66,5,2,1219,0.001074,0.0277,20.8333,99,45.3,0.0165,0.0063,0,0,0,0,0.060453,0.015625,37,0.7415,5.9338,0.4251,22,6,38,805,1264,519
101,4908,3135,1,4,3,1.8992,2,16.4,3133,0,4.56,1.0031,3130.4,7,1.0,65,4,5,1238,0.001162,0.0351,18.4211,100,46.8,0.0153,0.0067,0,0,0,0,0.072682,0.015625,39,0.785,6.0014,0.4249,21,7,37,816,1247,503
102,4907,3115,1,3,3,1.973,2,16.6,3,3112,4.58,0.9955,3129.0,3,1.0,64,1,2,1221,0.00105,0.0327,7.9156,101,48.6,0.0171,0.0064,0,0,0,0,0.067839,0.015625,38,0.7697,6.0693,0.4254,21,6,37,803,1168,529
103,4906,3043,1,5,3,1.9667,2,16.4,3,3035,4.55,0.9751,3120.8,8,1.0,64,1,1,1234,0.001124,0.0321,22.5352,102,49.5,0.0168,0.0067,1,0,0,0,0.066845,0.015625,37,0.7662,6.1361,0.4257,22,6,36,727,1225,524
104,4904,3157,0,0,3,1.9542,2,16.3,3174,0,4.66,1.0168,3126.3,5,1.0,64,3,3,1212,0.00099,0.0334,13.4771,103,50.5,0.0161,0.0062,0,0,0,0,0.066838,0.015625,38,0.7662,6.1618,0.4258,22,7,35,779,1293,487
105,4902,3127,1,4,3,1.9229,1,16.2,3125,0,4.55,1.0008,3126.6,4,1.0,65,2,1,1221,0.00086,0.0319,10.1266,104,50.6,0.0169,0.0067,0,0,0,0,0.054054,0.015625,39,0.7109,6.2159,0.4258,24,6,35,813,1267,494
106,4899,3060,3,4,1,1.9243,1,16.2,8,3052,4.48,0.9807,3120.2,8,1.0,65,5,5,1251,0.001015,0.0304,17.1149,105,51.3,0.0153,0.006,0,0,0,0,0.058548,0.015625,40,0.7331,6.2744,0.4255,24,5,36,749,1252,537
107,4898,3081,0,0,3,1.9424,2,16.1,8,3073,4.59,0.9886,3116.5,8,1.0,63,0,2,1228,0.000934,0.0399,18.0412,106,53.4,0.0167,0.0068,0,2,0,0,0.052369,0.015625,38,0.7016,6.3118,0.4255,24,5,34,792,1268,489
