window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
139,4814,3111,2,5,3,1.8689,1,15.3,3131,0,4.66,1.0194,3078.4,7,1.0,69,2,2,1365,0.000989,0.028,16.9903,138,70.6,0.015,0.0057,1,0,0,0,0.10514,0.015625,40,0.8514,6.9061,0.4396,25,4,40,809,1273,490,0.001,0.999,553.3,4.1,0.0526,0.002336,0.003555,0.6573,0.8972,0
140,4813,3094,1,3,1,1.9597,2,15.3,3095,0,4.56,1.0058,3080.3,3,1.0,70,1,0,1364,0.000741,0.0259,6.6964,139,70.6,0.0152,0.0053,0,0,0,0,0.092873,0.015625,40,0.8318,6.9687,0.4397,25,5,40,815,1240,461,0.0008,0.9992,557.5,4.2,0.0525,0,0.003216,0.0,0.8,0
141,4810,3044,3,4,0,1.9448,2,15.2,10,3029,4.62,0.9893,3076.8,15,1.0,72,6,4,1394,0.000731,0.0282,37.1287,140,67.8,0.0141,0.0062,0,1,0,0,0.087059,0.015625,42,0.8205,7.0323,0.4396,28,5,39,777,1246,449,0.0013,0.9987,557.5,4.1,0.0505,0.009412,0.003806,2.4728,1.2,0
142,4808,2951,1,5,1,1.972,2,15.3,12,2940,4.5,0.9632,3064.9,11,1.0,73,1,0,1390,0.001165,0.0299,28.2776,141,67.9,0.014,0.0063,1,0,0,0,0.0798,0.015625,42,0.8042,7.0921,0.4392,28,5,40,778,1162,475,0.0009,0.9991,589.6,4.2,0.0505,0,0.003444,0.0,0.8,0
143,4805,3089,1,4,1,1.8967,2,15.3,3124,0,4.62,1.0192,3071.1,6,1.0,72,3,4,1399,0.0007,0.0277,14.2518,142,68.8,0.014,0.005,0,0,0,0,0.08776,0.015625,44,0.822,7.1522,0.439,28,4,40,826,1207,499,0.001,0.999,590.3,4.1,0.0516,0.009238,0.003995,2.3121,1.2,0
144,4800,3041,1,3,3,1.9302,2,19.8,7,3034,4.48,0.9911,3068.3,7,1.0,72,1,1,1367,0.001189,0.0272,17.9949,143,68.0,0.0143,0.006,0,1,0,0,0.098765,0.015625,44,0.8418,7.1991,0.4384,28,4,40,786,1211,489,0.0009,0.9991,583.1,4.1,0.051,0.0,0.003615,0.0,0.8,0
145,4797,3049,0,0,3,1.9103,2,22.2,7,3042,4.57,0.9943,3066.4,7,1.0,71,0,1,1365,0.000616,0.0263,16.2037,144,70.0,0.0147,0.005,0,0,0,0,0.098684,0.015625,44,0.8417,7.2451,0.4383,28,4,39,781,1230,470,0.0012,0.9988,557.3,4.2,0.051,0.002193,0.00348,0.6303,0.8891,0
146,4795,3045,1,4,3,1.9028,1,17.5,13,3032,4.59,0.9937,3064.4,13,1.0,75,8,4,1407,0.000739,0.0366,29.148,145,67.1,0.0141,0.0061,0,0,0,0,0.075431,0.015625,45,0.7929,7.3076,0.4379,30,4,41,745,1244,499,0.001,0.999,509.8,4.1,0.0515,0.00431,0.003559,1.2112,1.0634,0
147,4793,3070,1,4,3,1.8928,1,15.1,3062,0,4.61,1.0025,3065.2,11,1.0,75,1,1,1406,0.000941,0.0242,25.1142,146,68.1,0.0138,0.0051,0,0,0,0,0.085714,0.015625,44,0.8177,7.3736,0.4376,30,4,41,773,1236,491,0.0013,0.9987,562.4,3.9,0.0515,0.002198,0.003429,0.6409,0.8923,0
148,4793,3101,2,5,1,1.8338,2,15.3,3121,0,4.63,1.0211,3072.0,16,1.0,75,2,2,1430,0.000766,0.0307,34.0426,147,67.7,0.0136,0.0055,2,0,0,0,0.061475,0.015625,44,0.7458,7.4351,0.4373,31,4,40,783,1230,505,0.0017,0.9983,563.8,4.0,0.0515,0.002049,0.003298,0.6214,0.8864,0
