seed,window,rate,k,H,drift,type_count,J,term_H,term_drift,term_penalty,k_star
42,11,0.0,2,1.0263,0.3287,4,0.194,1.0263,0.3287,-1.161,2
42,11,0.0,3,1.0263,0.3287,4,0.194,1.0263,0.3287,-1.161,2
42,11,0.0,4,1.0263,0.3287,4,0.194,1.0263,0.3287,-1.161,2
42,12,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
42,12,0.0,1,0.5746,0.2452,2,0.0273,0.5746,0.2452,-0.7925,2
42,12,0.0,2,1.1181,0.2582,3,0.3763,1.1181,0.2582,-1.0,2
42,12,0.0,3,1.1181,0.2582,3,0.3763,1.1181,0.2582,-1.0,2
42,12,0.0,4,1.1181,0.2582,3,0.3763,1.1181,0.2582,-1.0,2
42,13,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
42,13,0.0,1,0.4262,0.0669,2,-0.2994,0.4262,0.0669,-0.7925,2
42,13,0.0,2,0.8405,0.1011,3,-0.0584,0.8405,0.1011,-1.0,2
42,13,0.0,3,0.8405,0.1011,3,-0.0584,0.8405,0.1011,-1.0,2
42,13,0.0,4,0.8405,0.1011,3,-0.0584,0.8405,0.1011,-1.0,2
42,14,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
42,14,0.0,1,0.3712,0.0244,2,-0.3969,0.3712,0.0244,-0.7925,2
42,14,0.0,2,0.7345,0.0361,3,-0.2294,0.7345,0.0361,-1.0,2
42,14,0.0,3,0.7345,0.0361,3,-0.2294,0.7345,0.0361,-1.0,2
42,14,0.0,4,0.7345,0.0361,3,-0.2294,0.7345,0.0361,-1.0,2
42,15,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
42,15,0.0,1,0.9913,0.2871,3,0.2784,0.9913,0.2871,-1.0,2
42,15,0.0,2,1.5466,0.3202,4,0.7058,1.5466,0.3202,-1.161,2
42,15,0.0,3,1.5466,0.3202,4,0.7058,1.5466,0.3202,-1.161,2
42,15,0.0,4,1.5466,0.3202,4,0.7058,1.5466,0.3202,-1.161,2
42,16,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
42,16,0.0,1,0.5436,0.289,2,0.0401,0.5436,0.289,-0.7925,2
42,16,0.0,2,1.0613,0.2949,3,0.3562,1.0613,0.2949,-1.0,2
42,16,0.0,3,1.0613,0.2949,3,0.3562,1.0613,0.2949,-1.0,2
42,16,0.0,4,1.0613,0.2949,3,0.3562,1.0613,0.2949,-1.0,2
42,17,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
42,17,0.0,1,-0.0,0.2559,1,-0.2441,-0.0,0.2559,-0.5,2
42,17,0.0,2,-0.0,0.3714,1,-0.1286,-0.0,0.3714,-0.5,2
42,17,0.0,3,-0.0,0.3714,1,-0.1286,-0.0,0.3714,-0.5,2
42,17,0.0,4,-0.0,0.3714,1,-0.1286,-0.0,0.3714,-0.5,2
42,18,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,1
42,18,0.0,1,0.3228,0.1734,2,-0.2963,0.3228,0.1734,-0.7925,1
42,18,0.0,2,0.3228,0.1734,2,-0.2963,0.3228,0.1734,-0.7925,1
42,18,0.0,3,0.3228,0.1734,2,-0.2963,0.3228,0.1734,-0.7925,1
42,18,0.0,4,0.3228,0.1734,2,-0.2963,0.3228,0.1734,-0.7925,1
42,19,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
42,19,0.0,1,1.1981,0.3388,3,0.5369,1.1981,0.3388,-1.0,2
42,19,0.0,2,1.8352,0.6372,4,1.3114,1.8352,0.6372,-1.161,2
42,19,0.0,3,1.8352,0.6372,4,1.3114,1.8352,0.6372,-1.161,2
42,19,0.0,4,1.8352,0.6372,4,1.3114,1.8352,0.6372,-1.161,2
42,20,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
42,20,0.0,1,-0.0,0.4548,1,-0.0452,-0.0,0.4548,-0.5,2
42,20,0.0,2,-0.0,0.7133,1,0.2133,-0.0,0.7133,-0.5,2
42,20,0.0,3,-0.0,0.7133,1,0.2133,-0.0,0.7133,-0.5,2
42,20,0.0,4,-0.0,0.7133,1,0.2133,-0.0,0.7133,-0.5,2
42,21,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
42,21,0.0,1,0.9133,0.338,3,0.2513,0.9133,0.338,-1.0,2
42,21,0.0,2,1.4832,0.4631,4,0.7853,1.4832,0.4631,-1.161,2
42,21,0.0,3,1.4832,0.4631,4,0.7853,1.4832,0.4631,-1.161,2
42,21,0.0,4,1.4832,0.4631,4,0.7853,1.4832,0.4631,-1.161,2
42,22,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
42,22,0.0,1,1.2516,0.1622,3,0.4138,1.2516,0.1622,-1.0,2
42,22,0.0,2,1.8879,0.2148,4,0.9417,1.8879,0.2148,-1.161,2
42,22,0.0,3,1.8879,0.2148,4,0.9417,1.8879,0.2148,-1.161,2
