window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral
41,4964,3124,1,5,1,1.9881,1,14.9,3,3116,4.48,0.9805,3186.1,8,1.0,58,1,3,1038,0.001881,0.0343,25.3165,40,22.5,0.0217,0.0081,1,0,0,0,0.080997,0.015625,39,0.8071,1.8887,0.3682,24,3,31
42,4963,3204,2,5,1,1.9942,2,15.0,3205,0,4.72,1.0079,3188.8,9,1.0,61,4,1,1080,0.001845,0.0377,24.9307,41,22.3,0.0201,0.0074,1,0,0,0,0.075472,0.015625,39,0.793,1.9642,0.37,24,4,33
43,4961,3101,0,0,1,1.9964,2,14.9,2,3099,4.52,0.975,3180.4,2,1.0,60,2,3,1072,0.001995,0.0487,6.6445,42,22.2,0.0195,0.01,0,1,0,0,0.094156,0.015625,39,0.8341,2.0583,0.3709,24,3,33
44,4958,3181,1,4,0,1.9858,1,14.9,3178,0,4.59,1.001,3180.7,6,1.0,60,4,4,1073,0.001563,0.0367,18.9873,43,22.4,0.0204,0.0076,0,1,0,0,0.051988,0.015625,41,0.6994,2.1073,0.3723,23,3,34
45,4958,3126,0,0,3,1.9647,1,14.8,2,3124,4.56,0.9844,3175.5,2,1.0,56,2,6,1057,0.001704,0.0386,0.0,44,24.7,0.019,0.0073,0,0,0,0,0.091988,0.015625,40,0.8301,2.1992,0.374,23,3,30
46,4956,3166,2,5,1,1.9153,1,14.8,9,3157,4.66,0.9973,3174.6,9,1.0,57,2,1,1026,0.001847,0.0504,27.5229,45,24.5,0.0199,0.0087,1,1,0,0,0.089021,0.015625,40,0.8245,2.2883,0.3755,23,4,30
47,4955,3226,2,5,3,1.8237,1,14.7,3251,0,4.72,1.0251,3183.0,12,1.0,58,2,1,1055,0.001691,0.0387,36.9231,46,25.0,0.021,0.0093,1,0,0,0,0.110119,0.015625,40,0.8581,2.3984,0.3775,25,4,29
48,4951,3164,2,3,3,1.7914,2,14.8,4,3147,4.65,0.9946,3181.2,17,1.0,62,11,7,1110,0.001645,0.0345,50.4451,47,24.1,0.0188,0.0069,0,0,0,0,0.08908,0.015625,41,0.8246,2.4875,0.3791,25,5,32
49,4949,3192,1,5,3,1.861,2,14.8,3171,0,4.59,1.0036,3182.4,23,1.0,63,5,4,1099,0.001693,0.034,66.2651,48,23.4,0.0173,0.007,1,0,0,0,0.110482,0.015625,42,0.8586,2.5979,0.3804,22,6,35
50,4945,3188,0,0,3,1.8708,2,14.7,3175,0,4.63,1.0019,3183.1,14,1.0,62,0,1,1093,0.001568,0.0305,40.8163,49,24.8,0.0194,0.0072,0,0,0,0,0.069252,0.015625,42,0.7744,2.6672,0.3821,22,5,35
