seed,global_k,global_sw,div_ratio,regime,mean_bnd_links,mean_bnd_weight,concept_entropy,merge_count,split_count,corr_div_ent,A_persist,A_max_streak,A_mean_isl,B_persist,B_max_streak,B_mean_isl,r0_concept,r1_concept,r2_concept,r3_concept
30,4,45.8,0.36,short_burst,678.0,18.7853,1.525,0,0,0.1189,0.12,1,0.12,0.0,0,0.0,A,B,A,B
31,4,33.3,0.32,short_burst,670.6,18.6166,1.5401,0,0,0.1492,0.04,1,0.04,0.04,1,0.04,A,B,A,B
32,4,41.7,0.32,short_burst,668.4,18.8303,1.5384,0,0,-0.0219,0.08,1,0.08,0.08,1,0.08,A,B,A,B
33,4,20.8,0.68,long_drift,675.2,18.7866,1.5499,0,0,0.1275,0.12,1,0.16,0.12,2,0.12,A,B,A,B
34,4,37.5,0.24,short_burst,660.7,18.3823,1.5258,0,0,0.342,0.12,1,0.12,0.12,1,0.12,A,B,A,B
35,4,29.2,0.16,short_burst,666.3,18.5067,1.5362,0,0,-0.1099,0.12,1,0.12,0.04,1,0.04,A,B,A,B
36,4,37.5,0.52,long_drift,658.1,18.3674,1.5338,0,0,-0.1534,0.08,2,0.08,0.16,1,0.16,A,B,A,B
37,4,54.2,0.56,long_drift,670.6,18.5973,1.5418,0,0,0.2612,0.0,0,0.0,0.08,1,0.12,A,B,A,B
38,4,41.7,0.88,long_drift,673.2,18.7203,1.5351,0,0,-0.2205,0.04,1,0.04,0.08,1,0.08,A,B,A,B
39,4,50.0,0.44,short_burst,676.2,19.0047,1.5282,0,0,0.3187,0.08,1,0.08,0.04,1,0.04,A,B,A,B
4,4,41.7,0.36,short_burst,666.0,18.5311,1.5459,0,0,-0.2588,0.08,1,0.08,0.04,1,0.04,A,B,A,B
40,4,25.0,0.16,short_burst,675.5,18.8113,1.509,0,0,-0.0752,0.04,1,0.04,0.0,0,0.0,A,B,A,B
41,4,33.3,0.48,long_drift,672.8,18.6334,1.5419,0,0,-0.0944,0.04,1,0.04,0.12,1,0.12,A,B,A,B
42,4,33.3,0.24,short_burst,675.2,18.865,1.5289,0,0,0.0461,0.08,1,0.08,0.04,1,0.04,A,B,A,B
43,4,41.7,0.4,long_drift,675.8,18.9391,1.5494,0,0,0.175,0.08,1,0.08,0.08,1,0.08,A,B,A,B
44,4,54.2,0.4,short_burst,669.2,18.6786,1.5585,0,0,-0.1646,0.12,1,0.12,0.08,1,0.08,A,B,A,B
