seed,cid,t,window,pulse_n,trigger,tags,d_social,delta_social,theta_social,R_social,d_stability,delta_stability,theta_stability,R_stability,d_spread,delta_spread,theta_spread,R_spread,d_familiarity,delta_familiarity,theta_familiarity,R_familiarity,v11_b_gen,v11_delta,v11_d_n,v11_d_s,v11_d_r,v11_d_phase,v11_p_capture,v11_captured,v11_n_local,v11_s_avg_local,v11_r_local,v11_theta_avg_local
0,7,157,20,4,none,,0.0,0.0,0.0,0.0,0.777212,0.015864,0.084839,0.186987,0.946638,0.024256,0.038184,0.63523,0.0,0.0,0.0,0.0,11.171952,0.433071,0.05814,0.322224,0.928957,0.422962,0.276638,FALSE,7,0.021103,0.066123,0.143829
0,9,159,20,4,none,,0.857143,0.190476,0.285714,0.666664,0.620061,-0.017654,0.090542,-0.194978,0.938858,-0.000412,0.005046,-0.081697,5.608132,-1.095344,2.599606,-0.42135,34.316202,0.52674,0.744186,0.239431,0.407773,0.715571,0.214338,TRUE,69,0.047585,0.066782,0.961246
0,10,160,20,4,MAD_DT_Normal,gain_familiarity,0.625,0.125,0.208333,0.599997,0.697576,0.015124,0.052798,0.286444,0.938647,0.001753,0.012067,0.145245,16.995578,8.281492,7.768386,1.06605,25.243286,0.538468,0.662791,0.447676,0.774428,0.268978,0.207599,FALSE,61,0.026211,0.205412,0.121915
0,64,164,20,4,none,,0.0,0.0,0.0,0.0,0.731905,0.008926,0.058242,0.153261,0.901324,-0.002664,0.016112,-0.16534,0.0,0.0,0.0,0.0,11.326248,0.236438,0.034884,0.256286,0.013638,0.640943,0.472642,TRUE,5,0.025573,0.858979,-0.936052
0,65,165,20,4,none,,0.125,-0.041667,0.125,-0.333331,0.655804,-0.057613,0.098769,-0.583303,0.940934,0.013438,0.02804,0.479225,22.962148,-2.417491,5.792974,-0.417314,12.747784,0.321801,0.093023,0.024603,0.470091,0.699488,0.374581,FALSE,10,0.03447,0.478068,-1.655928
0,66,166,20,4,none,,0.125,-0.041667,0.125,-0.333331,0.682407,-0.07034,0.084757,-0.829896,0.936699,-0.009421,0.027289,-0.345227,22.916224,-2.412656,5.448055,-0.442847,12.506674,0.261948,0.046512,0.022037,0.388475,0.590768,0.440914,TRUE,6,0.03864,0.593228,0.174616
0,19,169,20,4,MAD_DT_Normal,loss_stability|gain_familiarity,0.75,0.25,0.283333,0.88235,0.568108,-0.058023,0.043084,-1.346696,0.929576,0.015614,0.01632,0.956693,11.488141,9.696044,3.603126,2.691008,35.367998,0.456613,0.430233,0.321776,0.121118,0.953325,0.259454,FALSE,42,0.023168,0.097755,-2.459103
0,22,172,20,4,MAD_DT_Normal,gain_social|loss_spread,0.875,0.375,0.325,1.153843,0.654282,0.007821,0.077329,0.10114,0.943292,-0.007295,0.006099,-1.195825,9.981324,-1.535386,3.175229,-0.483551,33.827521,0.429811,0.430233,0.222937,0.496087,0.569987,0.279106,FALSE,42,0.033858,0.190745,0.485058
0,26,176,20,4,MAD_DT_Normal,gain_social|loss_spread,0.5,0.214286,0.166667,1.285707,0.743774,0.026931,0.028469,0.94592,0.931115,-0.005344,0.005063,-1.055336,9.482975,-2.650215,4.927802,-0.537809,33.641408,0.266576,0.372093,0.265339,0.293616,0.135256,0.43539,FALSE,37,0.066233,0.298474,-1.941074
0,41,191,20,4,MAD_DT_Normal,gain_social|loss_spread|loss_familiarity,1.0,0.142857,0.095238,1.499984,0.714026,0.018237,0.045832,0.397897,0.927773,-0.018765,0.0092,-2.039346,11.655562,-1.588695,0.577497,-2.750998,34.166557,0.369643,0.755814,0.438653,0.055675,0.228429,0.328813,FALSE,70,0.025093,0.272577,-1.69812
