window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini
40,4992,3044,1,5,3,1.9342,1,213.2,3,3033,4.43,0.9933,3064.5,11,1.0,8,4,6,220,0.022954,0.2281,222.2222,21,7.2,0.1272,0.056,1,1,0,0,0.22807,0.015625,13,0.9315,2.959,0.5566
41,4991,3018,1,5,3,1.977,1,220.6,8,3005,4.4,0.9862,3060.1,13,1.0,8,1,1,168,0.03269,0.2292,270.8333,22,8.1,0.1375,0.051,1,0,0,0,0.229167,0.015625,8,0.9318,3.0215,0.5503
42,4990,3008,1,5,1,1.9936,2,220.2,8,2995,4.47,0.9846,3055.1,13,1.0,9,3,2,208,0.024213,0.2121,171.875,23,8.1,0.1263,0.0502,1,0,0,0,0.212121,0.015625,11,0.9263,3.1276,0.5435
43,4987,3115,0,0,1,1.9785,2,217.8,3110,0,4.59,1.0177,3060.8,5,1.0,7,2,4,203,0.02374,0.1935,71.4286,24,10.3,0.1344,0.0417,0,0,0,0,0.193548,0.015625,11,0.9193,3.2082,0.5413
44,4984,3067,0,0,3,1.9797,1,220.3,3067,0,4.49,1.0018,3061.4,0,1.0,6,0,1,164,0.033822,0.2326,0.0,25,9.2,0.1535,0.0514,0,1,0,0,0.232558,0.015625,7,0.9328,3.278,0.5427
45,4983,3029,1,5,1,1.9936,1,213.8,7,3022,4.42,0.9904,3058.3,7,1.0,7,3,2,182,0.027944,0.2093,150.0,26,7.0,0.1434,0.0566,1,0,0,0,0.209302,0.015625,9,0.9253,3.278,0.5361
46,4981,2986,0,0,1,1.9656,1,218.5,0,2986,4.37,0.9785,3051.5,0,1.0,6,0,1,153,0.03477,0.2564,0.0,27,9.2,0.1581,0.0562,0,0,0,0,0.25641,0.015625,7,0.9391,3.3115,0.5336
47,4981,2991,2,5,0,1.9469,1,218.0,3,2978,4.47,0.982,3045.7,13,1.0,10,5,1,206,0.023587,0.1791,196.9697,28,6.1,0.1063,0.0366,2,0,0,0,0.253731,0.015625,9,0.9384,3.401,0.5297
48,4979,3053,0,0,0,1.9628,1,213.8,3053,0,4.43,1.0022,3046.4,0,1.0,10,0,0,206,0.024383,0.1449,0.0,29,7.1,0.1051,0.0246,0,0,0,0,0.188406,0.015625,9,0.9171,3.4735,0.5277
49,4976,3045,2,4,1,1.9432,1,202.6,1,3039,4.5,0.9996,3046.3,6,1.0,13,6,3,251,0.017062,0.1304,79.3651,30,6.1,0.0779,0.0272,0,0,0,0,0.144928,0.015625,14,0.8922,3.517,0.5258
50,4972,3065,0,0,3,1.9322,1,182.3,3055,0,4.42,1.0056,3048.0,10,1.0,13,6,6,206,0.019127,0.119,123.2877,63,11.4,0.0697,0.0228,0,1,3,0,0.119048,0.015625,16,0.8688,3.5884,0.5247
51,4972,3151,1,5,1,1.9698,1,186.0,3155,0,4.57,1.0331,3058.7,5,1.0,13,1,1,199,0.021407,0.1236,58.8235,64,12.2,0.0843,0.0251,1,0,3,0,0.179775,0.015625,12,0.9131,3.6895,0.5269
52,4970,2974,0,0,1,1.9431,1,171.5,2,2967,4.47,0.9749,3050.6,7,1.0,15,7,5,229,0.01921,0.1282,82.1918,65,11.0,0.0817,0.0298,0,0,3,0,0.217949,0.015625,15,0.9283,3.7921,0.5272
53,4969,2975,1,3,1,1.8892,1,173.4,0,2968,4.36,0.9775,3043.4,7,1.0,13,2,4,233,0.019573,0.1011,61.7284,66,13.5,0.0744,0.0198,0,0,3,0,0.179775,0.015625,14,0.9131,3.837,0.526
54,4967,3039,0,0,1,1.8841,1,164.6,0,3039,4.39,0.9987,3043.0,0,1.0,11,0,2,186,0.023998,0.141,0.0,67,16.5,0.0994,0.0284,0,0,3,0,0.217949,0.015625,10,0.9283,3.914,0.5276
55,4965,3009,1,5,3,1.9322,1,169.6,0,3004,4.44,0.9899,3039.8,5,1.0,10,1,2,199,0.021165,0.1618,76.9231,68,18.7,0.1013,0.0427,1,0,3,0,0.176471,0.015625,9,0.9115,4.0463,0.528
56,4963,3019,0,0,3,1.9553,1,168.7,0,3019,4.51,0.9938,3037.8,0,1.0,9,0,1,174,0.027321,0.1754,0.0,69,17.6,0.1118,0.0392,0,0,2,0,0.263158,0.015625,8,0.9406,4.1516,0.5302
57,4962,3009,1,3,3,1.9629,1,163.4,3,3006,4.42,0.9914,3035.1,3,1.0,9,1,1,184,0.02457,0.1579,55.5556,70,15.4,0.1103,0.0335,0,0,1,0,0.210526,0.015625,8,0.9258,4.3095,0.5334
58,4961,3089,1,5,3,1.9926,1,171.1,3081,0,4.59,1.0161,3040.2,8,1.0,9,1,1,202,0.021319,0.2143,145.4545,71,14.6,0.1071,0.0457,1,1,1,0,0.214286,0.015625,8,0.9271,4.3809,0.5345
59,4961,3071,0,0,3,1.9678,2,165.2,3063,0,4.46,1.0092,3043.1,8,1.0,9,0,0,177,0.029925,0.1528,111.1111,72,15.6,0.1131,0.0346,0,0,1,0,0.291667,0.015625,7,0.9464,4.4503,0.5377
60,4961,3036,0,0,3,1.9337,1,171.2,3,3028,4.43,0.9979,3042.4,8,1.0,7,0,2,177,0.029061,0.2,160.0,73,17.9,0.1364,0.0369,0,1,1,0,0.2,0.015625,7,0.9219,4.5413,0.5405
61,4961,3113,1,5,3,1.9787,1,166.2,3099,0,4.53,1.0209,3049.2,14,1.0,7,2,2,169,0.030993,0.1918,191.1765,74,17.4,0.1347,0.0341,1,1,1,0,0.191781,0.015625,9,0.9185,4.6371,0.5407
62,4960,3119,0,0,3,1.9569,1,164.9,3111,0,4.51,1.0207,3055.8,8,1.0,7,0,0,134,0.036171,0.186,186.0465,75,18.4,0.1434,0.0194,0,0,1,0,0.186047,0.015625,7,0.916,4.7534,0.542
63,4960,3155,1,5,3,1.9539,1,171.2,3150,0,4.55,1.0307,3065.7,10,1.0,7,1,1,159,0.029654,0.1923,204.0816,76,16.4,0.1378,0.0411,1,1,1,0,0.192308,0.015625,8,0.9187,4.9265,0.5405
64,4959,3012,0,0,3,1.918,1,164.7,0,3012,4.41,0.9841,3060.6,0,1.0,6,0,1,138,0.038199,0.2157,0.0,77,19.3,0.1647,0.0543,0,1,1,0,0.215686,0.015625,7,0.9276,5.0049,0.5397
65,4959,3074,1,5,3,1.9242,1,174.2,3069,0,4.42,1.004,3061.9,5,1.0,7,1,0,139,0.036284,0.225,125.0,78,17.4,0.1542,0.053,1,0,1,0,0.225,0.015625,7,0.9306,5.1049,0.5374
66,4959,3094,1,4,1,1.976,1,165.9,3086,0,4.48,1.0095,3065.0,8,1.0,7,1,1,159,0.030723,0.22,170.2128,21,7.1,0.156,0.0475,0,0,0,0,0.22,0.015625,8,0.929,5.1649,0.5335
67,4958,3113,1,3,2,1.8628,2,170.3,3105,0,4.53,1.0142,3069.5,8,1.0,9,3,1,175,0.028123,0.1875,129.0323,22,6.3,0.1125,0.0357,0,0,0,0,0.1875,0.015625,9,0.9167,5.1649,0.529
68,4957,3123,0,0,1,1.8834,2,169.1,3123,0,4.56,1.0157,3074.6,0,1.0,9,0,0,175,0.025888,0.2222,0.0,23,7.3,0.1037,0.0478,0,0,0,0,0.222222,0.015625,9,0.9297,5.1649,0.5281
69,4957,3006,0,0,0,1.9432,1,166.7,3,3003,4.4,0.9798,3068.1,3,1.0,9,3,3,177,0.026637,0.1957,22.7273,24,7.7,0.1304,0.044,0,1,0,0,0.195652,0.015625,11,0.9201,5.1649,0.5272
70,4957,3133,1,5,0,1.8787,1,173.9,3128,0,4.58,1.0191,3074.3,5,1.0,8,1,2,181,0.028329,0.3061,108.6957,25,9.2,0.1429,0.0755,1,0,0,0,0.367347,0.015625,9,0.9575,5.1649,0.5296
71,4957,2956,1,5,1,1.9252,1,169.0,0,2947,4.43,0.9651,3063.0,9,1.0,8,1,1,188,0.024484,0.2889,204.5455,26,8.5,0.1333,0.0711,1,0,0,0,0.288889,0.015625,8,0.9459,5.1649,0.5307
72,4955,3100,0,0,3,1.9837,2,175.0,3095,0,4.46,1.0109,3066.5,5,1.0,5,0,3,174,0.026236,0.2449,116.2791,27,9.4,0.1837,0.0493,0,2,0,0,0.244898,0.015625,8,0.9362,5.1649,0.5322
73,4955,3161,2,4,3,1.956,1,166.2,3155,0,4.53,1.0293,3076.0,11,1.0,9,6,2,167,0.024707,0.1864,196.4286,28,5.8,0.1271,0.0423,0,0,0,0,0.20339,0.015625,8,0.9232,5.3329,0.5291
74,4953,3150,3,5,3,1.9715,1,175.0,3135,0,4.54,1.0226,3083.3,18,1.0,12,6,3,227,0.020565,0.1413,204.5455,29,5.0,0.0906,0.0309,2,0,0,0,0.217391,0.015625,11,0.9281,5.3982,0.5231
75,4952,3001,0,0,1,1.9683,2,172.0,4,2983,4.43,0.9758,3075.5,18,1.0,10,0,2,227,0.023079,0.16,268.6567,30,6.1,0.1111,0.0375,0,0,0,0,0.16,0.015625,11,0.9023,5.5182,0.5194
76,4951,3034,1,5,3,1.9568,1,166.1,9,3011,4.45,0.9878,3071.5,23,1.0,11,1,0,216,0.023859,0.1667,287.5,31,6.5,0.1071,0.0394,1,0,0,0,0.190476,0.015625,9,0.918,5.6134,0.5166
77,4949,2967,1,5,3,1.9785,1,168.3,7,2956,4.4,0.9691,3061.6,11,1.0,9,4,6,261,0.019341,0.1746,188.6792,32,7.6,0.1012,0.0443,1,0,0,0,0.174603,0.015625,13,0.9105,5.661,0.5135
78,4948,3109,1,4,3,1.9708,2,168.3,3102,0,4.51,1.014,3066.1,7,1.0,11,5,3,240,0.018952,0.1585,65.7895,33,7.0,0.093,0.0276,0,0,0,0,0.158537,0.015625,12,0.9014,5.7464,0.5112
79,4947,3026,0,0,3,1.9156,2,176.2,0,3021,4.4,0.9882,3062.3,5,1.0,9,0,2,221,0.022506,0.2154,83.3333,34,9.3,0.1033,0.0542,0,1,0,0,0.215385,0.015625,11,0.9275,5.8079,0.5107
80,4947,3054,1,4,3,1.871,1,163.0,3,3042,4.52,0.9976,3061.5,12,1.0,12,5,2,236,0.019399,0.1447,159.4203,35,7.8,0.0789,0.0304,0,0,0,0,0.184211,0.015625,12,0.9152,5.8737,0.5101
81,4946,3018,2,4,1,1.899,1,168.4,5,3013,4.43,0.9871,3057.4,5,1.0,12,2,2,254,0.019409,0.1639,83.3333,36,8.2,0.0874,0.0367,0,1,0,0,0.245902,0.015625,11,0.9365,5.9393,0.5103
82,4944,2993,0,0,1,1.7322,2,165.0,0,2993,4.39,0.9809,3051.2,0,1.0,11,0,1,230,0.022449,0.1552,0.0,37,9.7,0.092,0.0374,0,0,0,0,0.206897,0.015625,10,0.9245,6.0255,0.5102
