window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
58,4772,2950,1,5,3,1.8987,1,11.9,3,2942,4.54,0.9896,2981.0,8,1.0,45,4,5,816,0.002426,0.0598,33.0579,57,28.6,0.0258,0.0122,1,0,0,0,0.083665,0.015625,33,0.8132,2.6801,0.3652,0.003693
59,4769,2815,4,4,3,1.9502,1,11.8,14,2796,4.4,0.9493,2965.2,19,1.0,52,11,4,870,0.002217,0.046,76.6129,58,25.5,0.0212,0.0099,0,0,0,0,0.072797,0.015625,35,0.7854,2.7146,0.3664,0.00376
60,4766,2940,0,0,3,1.9566,2,11.8,11,2924,4.49,0.9923,2962.8,16,1.0,50,4,6,868,0.002102,0.0495,56.1798,59,27.4,0.0205,0.0081,0,0,0,0,0.070671,0.015625,35,0.7789,2.7605,0.3677,0.003814
61,4765,2999,2,4,1,1.9222,1,11.7,2980,0,4.58,1.011,2966.3,19,1.0,52,4,2,876,0.001973,0.049,75.9494,60,27.3,0.0239,0.0099,0,0,0,0,0.069388,0.015625,35,0.7748,2.8095,0.3694,0.003856
62,4760,2916,0,0,3,1.9205,1,11.7,8,2898,4.46,0.9846,2961.5,18,1.0,52,6,6,883,0.001908,0.0469,69.3878,61,25.9,0.024,0.0089,0,0,0,0,0.078125,0.015625,37,0.8,2.8407,0.3706,0.003884
63,4757,2942,3,5,3,1.9197,1,11.7,13,2909,4.41,0.994,2959.6,33,1.0,53,5,4,928,0.001903,0.0491,118.0812,62,26.2,0.0233,0.0095,2,0,0,0,0.070175,0.015625,39,0.7773,2.9008,0.3717,0.003898
64,4754,2940,1,4,0,1.9542,1,11.7,7,2933,4.51,0.994,2957.7,7,1.0,51,1,3,913,0.002176,0.0458,23.9726,63,28.0,0.0234,0.0103,0,0,0,0,0.075163,0.015625,38,0.7921,2.9433,0.3722,0.003898
65,4753,3007,1,5,1,1.9819,2,11.7,2996,0,4.54,1.015,2962.4,11,1.0,51,1,1,911,0.001929,0.0433,37.6712,64,29.0,0.0225,0.0091,1,0,0,0,0.076667,0.015625,37,0.7962,3.01,0.3739,0.003884
66,4751,2904,2,5,1,1.9591,2,11.7,10,2889,4.39,0.9821,2956.9,15,1.0,50,2,3,905,0.002136,0.0402,61.4754,65,29.6,0.022,0.0093,1,0,0,0,0.072289,0.015625,36,0.7839,3.0823,0.3757,0.003856
67,4750,2897,1,5,3,1.9986,2,11.7,9,2888,4.41,0.9816,2951.2,9,1.0,49,1,2,923,0.002094,0.0456,35.1562,66,30.9,0.0225,0.0103,1,0,0,0,0.087452,0.015625,36,0.8213,3.1697,0.3778,0.003814
