seed,window_id,step_start,step_end,island_count,max_island_size,island_sizes_str,loop3,loop4,loop5,strength_entropy,X_total,C,B,active_links
55,1,300,500,2,5,"[5, 3]",0,0,0,1.429,0.4675,0.3846,0.0829,193
55,2,500,700,1,4,[4],0,0,0,1.4293,0.5438,0.3844,0.1593,182
55,3,700,900,0,0,[],0,0,0,1.6122,0.5079,0.3057,0.2022,178
55,4,900,1100,1,5,[5],0,0,0,1.5415,0.4952,0.3361,0.1591,220
55,5,1100,1300,2,5,"[5, 3]",0,0,0,1.6861,0.4223,0.2738,0.1485,202
55,6,1300,1500,4,4,"[4, 3, 3, 3]",0,0,0,1.4458,0.5401,0.3773,0.1628,215
55,7,1500,1700,1,3,[3],0,0,0,1.4051,0.4446,0.3948,0.0498,201
55,8,1700,1900,2,4,"[4, 3]",0,0,0,1.4296,0.5634,0.3843,0.1791,201
55,9,1900,2100,1,5,[5],0,0,0,1.4196,0.4795,0.3886,0.0909,209
55,10,2100,2300,1,5,[5],0,0,0,1.2237,0.544,0.473,0.071,183
55,11,2300,2500,2,3,"[3, 3]",0,0,0,1.3787,0.4895,0.4062,0.0833,192
55,12,2500,2700,3,5,"[5, 3, 3]",0,0,0,1.5488,0.4823,0.333,0.1493,221
55,13,2700,2900,1,4,[4],0,0,0,1.539,0.5172,0.3372,0.18,200
55,14,2900,3100,2,6,"[6, 4]",0,0,0,1.6366,0.4904,0.2951,0.1952,210
55,15,3100,3300,1,3,[3],0,0,0,1.733,0.3925,0.2536,0.1389,216
55,16,3300,3500,1,4,[4],0,0,0,1.5107,0.5092,0.3494,0.1598,219
55,17,3500,3700,2,3,"[3, 3]",0,0,0,1.4485,0.5102,0.3762,0.134,194
55,18,3700,3900,2,3,"[3, 3]",0,0,0,1.6429,0.4396,0.2924,0.1472,197
55,19,3900,4100,1,3,[3],0,0,0,1.3144,0.4747,0.4339,0.0407,221
55,20,4100,4300,1,3,[3],0,0,0,1.2148,0.5618,0.4768,0.085,200
55,21,4300,4500,1,3,[3],0,0,0,1.4566,0.4069,0.3727,0.0342,234
55,22,4500,4700,5,5,"[5, 4, 4, 4, 3]",0,0,0,1.7933,0.3936,0.2277,0.1659,223
55,23,4700,4900,3,4,"[4, 3, 3]",0,0,0,1.4852,0.4314,0.3604,0.0711,197
55,24,4900,5100,3,5,"[5, 4, 3]",0,0,0,1.4945,0.4844,0.3564,0.1281,203
55,25,5100,5300,0,0,[],0,0,0,1.6069,0.4419,0.308,0.134,209
7,1,300,500,2,4,"[4, 3]",0,0,0,1.3171,0.6048,0.4327,0.172,186
7,2,500,700,2,4,"[4, 3]",0,0,0,1.5591,0.4479,0.3285,0.1194,201
7,3,700,900,0,0,[],0,0,0,0.8862,0.6864,0.6183,0.0681,191
7,4,900,1100,3,6,"[6, 4, 3]",0,0,0,1.6081,0.4625,0.3074,0.1551,187
7,5,1100,1300,0,0,[],0,0,0,1.5605,0.4723,0.3279,0.1444,187
7,6,1300,1500,3,3,"[3, 3, 3]",0,0,0,1.3858,0.5089,0.4032,0.1058,208
7,7,1500,1700,2,3,"[3, 3]",0,0,0,1.6123,0.5056,0.3056,0.2,170
7,8,1700,1900,1,5,[5],0,0,0,1.4853,0.4296,0.3603,0.0693,202
7,9,1900,2100,0,0,[],0,0,0,1.3929,0.4719,0.4001,0.0718,195
7,10,2100,2300,1,3,[3],0,0,0,1.2127,0.5539,0.4777,0.0761,197
7,11,2300,2500,2,5,"[5, 4]",0,0,0,1.6493,0.4399,0.2897,0.1502,213
7,12,2500,2700,1,4,[4],0,0,0,1.341,0.5839,0.4225,0.1614,223
7,13,2700,2900,2,5,"[5, 4]",0,0,0,1.7184,0.326,0.2599,0.0661,227
7,14,2900,3100,2,3,"[3, 3]",0,0,0,1.4338,0.4979,0.3825,0.1154,234
7,15,3100,3300,1,5,[5],0,0,0,1.6049,0.4306,0.3088,0.1218,197
7,16,3300,3500,3,4,"[4, 4, 3]",0,0,0,1.3178,0.5441,0.4325,0.1116,215
7,17,3500,3700,3,5,"[5, 3, 3]",0,0,0,1.6381,0.4097,0.2945,0.1152,191
7,18,3700,3900,2,4,"[4, 3]",0,0,0,1.5183,0.5013,0.3461,0.1552,232
7,19,3900,4100,3,6,"[6, 4, 4]",0,0,0,1.3559,0.5935,0.416,0.1774,186
7,20,4100,4300,0,0,[],0,0,0,1.2444,0.5294,0.4641,0.0653,199
7,21,4300,4500,2,5,"[5, 4]",0,0,0,1.7752,0.337,0.2355,0.1015,197
7,22,4500,4700,3,5,"[5, 4, 3]",0,0,0,1.5444,0.4244,0.3349,0.0896,201
7,23,4700,4900,5,5,"[5, 5, 3, 3, 3]",0,0,0,1.6369,0.4504,0.295,0.1553,206
7,24,4900,5100,2,3,"[3, 3]",0,0,0,1.2926,0.5049,0.4433,0.0616,211
7,25,5100,5300,0,0,[],0,0,0,1.4053,0.4298,0.3948,0.035,200
789,1,300,500,4,5,"[5, 5, 3, 3]",0,0,0,1.6746,0.4837,0.2788,0.2049,205
789,2,500,700,1,3,[3],0,0,0,1.3084,0.5408,0.4365,0.1043,211
789,3,700,900,4,7,"[7, 4, 3, 3]",0,0,0,1.5068,0.4945,0.351,0.1435,230
789,4,900,1100,1,3,[3],0,0,0,1.3233,0.4907,0.4301,0.0606,198
789,5,1100,1300,0,0,[],0,0,0,1.4226,0.4878,0.3873,0.1005,189
789,6,1300,1500,2,5,"[5, 4]",0,0,0,1.3014,0.5903,0.4395,0.1508,199
789,7,1500,1700,2,3,"[3, 3]",0,0,0,1.5162,0.5266,0.347,0.1796,206
789,8,1700,1900,2,6,"[6, 4]",0,0,0,1.5849,0.4246,0.3174,0.1071,224
789,9,1900,2100,2,4,"[4, 3]",0,0,0,1.4035,0.5663,0.3956,0.1707,205
789,10,2100,2300,2,4,"[4, 3]",0,0,0,1.4395,0.4549,0.3801,0.0749,187
789,11,2300,2500,1,5,[5],0,0,0,1.3806,0.4892,0.4054,0.0838,191
789,12,2500,2700,4,5,"[5, 3, 3, 3]",0,0,0,1.5818,0.537,0.3187,0.2183,197
789,13,2700,2900,2,4,"[4, 3]",0,0,0,1.4712,0.4744,0.3664,0.108,213
789,14,2900,3100,3,3,"[3, 3, 3]",0,0,0,1.7189,0.4684,0.2597,0.2087,230
789,15,3100,3300,4,5,"[5, 3, 3, 3]",0,0,0,1.5712,0.4184,0.3233,0.095,242
789,16,3300,3500,3,4,"[4, 4, 3]",0,0,0,1.2579,0.574,0.4582,0.1157,216
789,17,3500,3700,0,0,[],0,0,0,1.4725,0.4093,0.3658,0.0435,207
789,18,3700,3900,2,5,"[5, 3]",0,0,0,1.4753,0.4178,0.3646,0.0531,207
789,19,3900,4100,0,0,[],0,0,0,1.4701,0.4796,0.3669,0.1127,204
789,20,4100,4300,1,3,[3],0,0,0,1.4052,0.4491,0.3948,0.0543,184
789,21,4300,4500,1,3,[3],0,0,0,1.5927,0.4201,0.3141,0.106,217
789,22,4500,4700,0,0,[],0,0,0,1.4536,0.4779,0.374,0.104,202
789,23,4700,4900,2,4,"[4, 3]",0,0,0,1.4928,0.4855,0.3571,0.1284,218
