rate,seed,window,from_k,to_k,dH3,dH4,d_none,d_hit,margin_before,margin_after,d_dr3,d_dr4
0.002,42,17,3,4,0.2163,0.0913,-0.0568,0.0284,-0.0059,0.0617,-0.1963,-0.1647
0.002,42,18,4,3,0.2934,0.2934,-0.0182,0.1091,0.0617,0.0,-0.0815,-0.1432
0.002,42,19,3,4,-0.0872,0.0557,-0.0143,-0.1286,0.0,0.0915,0.1631,0.2433
0.002,55,1,3,4,0.1916,0.168,-0.0214,-0.0171,-0.0876,0.0715,,
0.002,55,3,4,3,-0.7584,-0.8665,-0.15,-0.0333,0.0153,0.0,0.2031,0.1848
0.002,55,6,3,4,0.7728,0.8944,-0.3462,0.1231,-0.0071,0.1483,0.0386,0.0429
0.002,55,7,4,3,-1.971,-2.2464,0.5,-0.2,0.1483,0.0,0.2929,0.2886
0.002,55,8,3,4,2.1213,2.2921,-0.4211,0.1579,0.0,0.0596,-0.1291,-0.1291
0.002,55,9,4,3,-1.3471,-1.5179,0.2632,-0.1579,0.0596,0.0,-0.1692,-0.1692
0.002,55,11,3,4,0.4838,0.7941,0.0655,0.1875,0.0,0.2138,0.2817,0.3166
0.002,55,18,4,3,0.8585,0.8585,-0.1941,0.0,0.1556,0.0,-0.2674,-0.423
0.002,55,19,3,4,0.3252,0.5088,-0.1059,0.1333,0.0,0.2071,-0.1471,-0.0125
0.002,55,20,4,3,-1.1526,-1.2309,0.2947,-0.0807,0.2071,-0.0525,0.2678,0.1364
0.002,55,21,3,4,1.1651,1.2416,-0.3492,0.0383,-0.0525,0.0706,0.0593,0.0561
0.002,55,24,4,3,-0.6496,-0.6496,0.0962,0.0,0.1573,0.0,-0.05,-0.2073
0.002,123,1,3,4,0.4975,0.5707,-0.0907,0.0151,-0.0731,0.003,,
0.002,123,3,4,3,-1.609,-1.609,0.2414,-0.1034,0.1103,0.0,0.1999,0.0896
0.002,123,9,3,4,0.4773,0.3523,-0.125,-0.0625,-0.0065,0.072,-0.1684,-0.0964
0.002,123,10,4,3,0.3172,0.3172,-0.2045,0.0,0.072,0.0,0.1207,0.0487
0.002,123,12,3,4,1.371,1.9219,-0.4,0.2,0.0,0.5328,-0.2369,-0.0941
0.002,123,14,4,3,-0.6432,-0.6432,0.0446,0.0,0.0766,0.0,0.0039,-0.0727
