seed,cid,n_core,v14_q0,lifespan,n_cognition,n_consciousness,n_skip,n_ingestions,c_max,C_at_run_end,final_state,n_con_bin
12,27,5,32,25000.0,62,5,72,5,57.0,0,reaped,5-9
12,67,5,33,25000.0,76,7,76,7,69.0,69,hosted,5-9
12,75,5,34,25000.0,66,7,71,7,59.0,59,hosted,5-9
12,92,5,35,24000.0,59,7,65,7,52.0,52,hosted,5-9
12,107,5,34,22500.0,77,8,54,8,69.0,69,hosted,5-9
12,161,5,34,16500.0,50,5,76,5,45.0,45,hosted,5-9
12,177,5,32,15500.0,57,5,62,5,52.0,0,reaped,5-9
12,185,5,33,14000.0,27,5,107,5,23.0,22,hosted,5-9
12,190,5,34,13500.0,25,5,101,5,22.0,20,hosted,5-9
12,193,5,32,13000.0,49,8,85,8,41.0,41,hosted,5-9
12,246,8,55,8000.0,66,5,71,5,61.0,61,hosted,5-9
13,1,5,32,25000.0,71,11,56,11,60.0,60,hosted,10-19
13,8,5,33,25000.0,74,8,31,8,66.0,66,hosted,5-9
13,30,5,34,25000.0,56,5,55,5,51.0,51,hosted,5-9
13,42,5,33,25000.0,65,6,28,6,59.0,59,hosted,5-9
13,46,4,26,25000.0,55,7,36,7,48.0,48,hosted,5-9
13,47,5,34,25000.0,61,5,49,5,56.0,56,hosted,5-9
13,50,5,32,25000.0,65,6,43,6,59.0,59,hosted,5-9
13,57,4,26,19500.0,68,7,0,7,61.0,0,reaped,5-9
13,84,5,33,20500.0,39,5,32,5,34.0,0,reaped,5-9
13,95,5,32,22000.0,53,7,46,7,46.0,46,hosted,5-9
13,123,5,34,19500.0,51,5,46,5,46.0,46,hosted,5-9
14,0,5,32,18000.0,51,5,7,5,46.0,0,reaped,5-9
14,22,5,33,25000.0,78,5,33,5,73.0,73,hosted,5-9
14,36,5,33,25000.0,53,5,51,5,48.0,48,hosted,5-9
14,37,5,33,25000.0,73,6,34,6,67.0,67,hosted,5-9
14,72,5,35,25000.0,60,5,36,5,55.0,55,hosted,5-9
14,84,5,33,25000.0,62,5,60,5,57.0,57,hosted,5-9
14,86,5,34,25000.0,55,6,54,6,49.0,49,hosted,5-9
14,114,5,33,22000.0,58,10,46,10,48.0,48,hosted,10-19
14,117,5,32,21000.0,36,5,70,5,31.0,31,hosted,5-9
14,118,4,25,21000.0,52,8,40,8,44.0,44,hosted,5-9
14,167,5,33,15000.0,30,5,85,5,26.0,25,hosted,5-9
15,0,4,25,24500.0,57,7,34,7,46.0,0,reaped,5-9
15,1,5,34,25000.0,82,10,13,10,72.0,72,hosted,10-19
15,27,5,35,25000.0,61,6,52,6,55.0,55,hosted,5-9
15,29,5,33,25000.0,80,8,25,8,72.0,72,hosted,5-9
15,68,5,33,25000.0,64,6,56,6,58.0,58,hosted,5-9
15,69,5,34,25000.0,57,6,49,6,51.0,51,hosted,5-9
15,72,5,32,25000.0,79,8,29,8,71.0,71,hosted,5-9
15,84,4,25,25000.0,53,9,57,9,44.0,44,hosted,5-9
15,126,4,25,21500.0,55,6,49,6,49.0,49,hosted,5-9
15,130,5,33,21000.0,66,9,33,9,57.0,57,hosted,5-9
15,132,4,26,21000.0,55,8,30,8,47.0,47,hosted,5-9
15,143,4,25,19000.0,42,5,50,5,37.0,37,hosted,5-9
16,6,4,25,25000.0,72,8,31,8,64.0,64,hosted,5-9
16,13,4,26,25000.0,63,8,58,8,55.0,55,hosted,5-9
16,28,4,26,25000.0,61,9,44,9,52.0,52,hosted,5-9
16,47,4,26,25000.0,48,5,64,5,43.0,43,hosted,5-9
16,106,5,33,25000.0,69,6,57,6,63.0,63,hosted,5-9
16,111,5,32,24500.0,83,13,31,13,70.0,70,hosted,10-19
16,114,5,33,23500.0,52,8,70,8,44.0,44,hosted,5-9
16,133,5,33,19500.0,62,7,53,7,55.0,0,reaped,5-9
16,134,5,32,22000.0,71,9,51,9,62.0,62,hosted,5-9
16,138,4,26,21500.0,52,5,33,5,47.0,0,reaped,5-9
16,181,5,33,16500.0,57,5,64,5,52.0,52,hosted,5-9
17,20,5,33,25000.0,74,8,30,8,66.0,66,hosted,5-9
17,24,4,26,18500.0,52,6,0,6,42.0,0,reaped,5-9
17,25,5,34,25000.0,87,7,17,7,80.0,80,hosted,5-9
17,37,5,35,25000.0,65,5,40,5,60.0,60,hosted,5-9
17,40,5,34,25000.0,82,10,39,10,72.0,72,hosted,10-19
17,65,4,25,25000.0,69,7,9,7,62.0,0,reaped,5-9
17,78,5,32,25000.0,85,9,30,9,76.0,76,hosted,5-9
17,87,5,33,23500.0,50,6,49,6,44.0,44,hosted,5-9
17,91,5,32,22000.0,52,7,58,7,45.0,45,hosted,5-9
17,117,5,32,19500.0,40,7,78,7,33.0,33,hosted,5-9
17,129,5,34,18500.0,64,9,48,9,55.0,55,hosted,5-9
17,134,5,33,18000.0,61,6,41,6,55.0,55,hosted,5-9
17,185,5,33,10500.0,61,7,32,7,54.0,54,hosted,5-9
18,24,5,32,25000.0,69,7,20,7,62.0,62,hosted,5-9
18,30,5,34,23500.0,77,7,0,7,68.0,0,reaped,5-9
18,35,5,35,24000.0,70,5,10,5,65.0,0,reaped,5-9
18,85,5,32,19000.0,66,7,0,7,57.0,0,reaped,5-9
18,91,5,33,21500.0,48,5,19,5,43.0,0,reaped,5-9
18,105,5,33,22000.0,76,7,17,7,69.0,69,hosted,5-9
18,113,5,34,20000.0,56,6,40,6,50.0,50,hosted,5-9
18,122,5,32,19000.0,48,6,33,6,42.0,42,hosted,5-9
18,132,5,35,17500.0,51,6,37,6,45.0,45,hosted,5-9
