N,window,ghost_count_mean,ghost_residual_Q_mean
2500,67,110.91666666666667,3.3333333333333335
2500,68,111.91666666666667,3.5833333333333335
2500,69,112.70833333333333,3.3333333333333335
5000,20,4.083333333333333,40.791666666666664
5000,21,7.958333333333333,76.45833333333333
5000,22,11.916666666666666,101.54166666666667
5000,23,15.541666666666666,123.875
5000,24,19.875,142.0
5000,25,24.083333333333332,160.54166666666666
5000,26,27.791666666666668,160.75
5000,27,31.541666666666668,168.45833333333334
5000,28,35.708333333333336,174.83333333333334
5000,29,39.625,173.125
5000,30,42.875,159.75
5000,31,46.208333333333336,150.75
5000,32,49.041666666666664,133.41666666666666
5000,33,53.083333333333336,135.875
5000,34,57.083333333333336,130.75
5000,35,60.25,117.16666666666667
5000,36,63.708333333333336,112.33333333333333
5000,37,66.45833333333333,97.08333333333333
5000,38,69.79166666666667,85.875
5000,39,72.95833333333333,82.375
5000,40,76.41666666666667,76.83333333333333
5000,41,79.375,72.29166666666667
5000,42,82.29166666666667,62.666666666666664
5000,43,85.75,61.916666666666664
5000,44,88.91666666666667,59.583333333333336
5000,45,92.29166666666667,53.166666666666664
5000,46,95.08333333333333,52.458333333333336
5000,47,98.125,48.75
5000,48,101.5,46.083333333333336
5000,49,104.375,34.416666666666664
5000,50,106.16666666666667,30.041666666666668
5000,51,108.54166666666667,30.041666666666668
5000,52,110.91666666666667,28.791666666666668
5000,53,114.08333333333333,29.5
5000,54,116.91666666666667,29.166666666666668
5000,55,119.08333333333333,26.416666666666668
5000,56,121.875,26.875
5000,57,124.125,25.0
5000,58,127.0,25.708333333333332
5000,59,129.91666666666666,26.5
5000,60,131.875,23.791666666666668
5000,61,133.95833333333334,20.333333333333332
5000,62,135.54166666666666,18.0
5000,63,137.83333333333334,18.583333333333332
5000,64,140.0,18.625
5000,65,142.25,18.583333333333332
5000,66,144.375,19.5
5000,67,146.5,17.291666666666668
5000,68,148.16666666666666,16.375
5000,69,150.45833333333334,17.083333333333332
10000,20,3.6666666666666665,36.25
10000,21,8.041666666666666,74.79166666666667
10000,22,11.708333333333334,104.66666666666667
10000,23,14.791666666666666,126.125
10000,24,19.5,155.375
10000,25,23.291666666666668,172.70833333333334
10000,26,27.375,194.83333333333334
10000,27,31.041666666666668,210.0
10000,28,34.291666666666664,220.375
10000,29,37.666666666666664,233.25
10000,30,41.5,241.125
10000,31,44.75,243.45833333333334
10000,32,48.166666666666664,255.125
10000,33,52.458333333333336,255.91666666666666
10000,34,55.875,255.08333333333334
10000,35,60.208333333333336,260.7916666666667
10000,36,63.791666666666664,262.0833333333333
10000,37,67.125,262.7083333333333
10000,38,71.375,256.5416666666667
10000,39,74.91666666666667,247.875
10000,40,78.875,238.375
10000,41,81.58333333333333,225.125
10000,42,85.125,218.79166666666666
10000,43,88.625,211.125
10000,44,91.91666666666667,203.54166666666666
10000,45,95.04166666666667,190.91666666666666
10000,46,99.16666666666667,187.91666666666666
10000,47,103.125,179.75
10000,48,107.25,175.75
10000,49,110.625,164.33333333333334
10000,50,114.04166666666667,153.125
10000,51,117.08333333333333,139.79166666666666
10000,52,120.66666666666667,135.16666666666666
10000,53,124.0,124.83333333333333
10000,54,127.70833333333333,115.70833333333333
10000,55,131.45833333333334,113.625
10000,56,134.16666666666666,96.875
10000,57,137.45833333333334,93.875
10000,58,140.5,83.33333333333333
10000,59,143.16666666666666,80.625
10000,60,145.70833333333334,80.41666666666667
10000,61,149.0,79.0
10000,62,151.66666666666666,68.875
10000,63,154.83333333333334,66.20833333333333
10000,64,157.5,63.916666666666664
10000,65,160.54166666666666,59.083333333333336
10000,66,163.45833333333334,55.708333333333336
10000,67,166.375,53.625
10000,68,169.83333333333334,54.208333333333336
10000,69,172.25,47.75
