atom,category,obs_rank1_ratio_mean,obs_rank1_ratio_std,uni_baseline_rank1_ratio_mean,uni_baseline_rank1_ratio_std,delta_ratio,z_score_uniform,n_seeds_obs_appeared,n_seeds_baseline_appeared
PRP.shallow,PRP,0.0025543528337124786,0.002204107370994997,3.8402470361689474e-05,2.1490992766234074e-05,0.002515950363350789,117.0699925646881,24,23
COG.learn,COG,0.01560828764558756,0.008743872349777628,0.0015655550658977896,0.00014145308972932625,0.01404273257968977,99.27483808632857,24,24
FND.temporality,FND,0.001249091575295015,0.0007310494553485595,4.609459827109255e-05,1.89884464143514e-05,0.0012029969770239225,63.35415498314289,24,22
PRP.deep,PRP,0.017227416342659885,0.01127032352826618,0.003443728007296033,0.000240913723771303,0.013783688335363852,57.21420979922493,24,24
CHG.begin,CHG,0.0005109349917598938,0.00026076223742194023,1.3673227181622938e-05,1.1893581756545128e-05,0.0004972617645782708,41.80925265045779,24,18
PRP.clear,PRP,0.0034290494926024206,0.004899092240479575,0.0008307429483847,8.187663491994836e-05,0.0025983065442177207,31.734408073293583,15,24
EXS.being,EXS,0.07847814687737949,0.03129683403541675,0.05746795009312872,0.0008131569991420317,0.02101019678425077,25.837810910339325,24,24
ACT.build,ACT,0.0008707411988979932,0.0003242281650102091,0.0002119572732314101,6.089523382864393e-05,0.0006587839256665831,10.81831670965198,24,24
EXS.death,EXS,0.00033843731538976777,0.00031797095739780637,4.523097815689925e-05,2.7343089623555304e-05,0.00029320633723286854,10.72323359465126,16,23
VAL.ugliness,VAL,9.59794918431567e-05,6.258014495174165e-05,6.111049487501655e-06,1.1166250964066787e-05,8.986844235565504e-05,8.04821982282625,23,7
COM.teach,COM,0.001210840758186776,0.001700600379483569,0.000520523836736015,8.774956257360676e-05,0.0006903169214507611,7.866898719542951,23,24
FND.numberless,FND,6.655283836380994e-05,0.00031917620019109586,1.2848049508658422e-05,1.0406195231895375e-05,5.370478885515152e-05,5.160847712192094,1,17
ACT.agitate,ACT,5.983845476186493e-05,8.017905570768753e-05,1.7187313747681674e-05,1.370639062460296e-05,4.2651141014183256e-05,3.111770427556945,12,18
PRP.multiple,PRP,0.01076280090334356,0.004566418013651018,0.009966269684843312,0.00030003693898869246,0.0007965312185002488,2.6547771790535024,24,24
FND.time,FND,0.00027628101542135,0.00038283289803505463,0.00021897999068925893,6.300447658538358e-05,5.730102473209105e-05,0.9094754505965426,17,24
FND.mind,FND,5.309471565606534e-06,1.7705579330323718e-05,2.780391823668933e-06,5.478437745739774e-06,2.529079741937601e-06,0.46164250819575386,2,5
BOD.hip,BOD,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BOD.hand,BOD,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BOD.foot,BOD,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BOD.face,BOD,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BOD.head,BOD,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BOD.mouth,BOD,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BEI.beast,BEI,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ECO.sell,ECO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ECO.waste,ECO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ECO.withdraw,ECO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ELM.darkness,ELM,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BEI.male,BEI,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BEI.plant,BEI,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BEI.child,BEI,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BEI.female,BEI,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ECO.buy,ECO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ELM.light,ELM,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ECO.currency,ECO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ECO.earn,ECO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ECO.pay,ECO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ECO.income,ECO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
COM.muteness,COM,0.0,0.0,0.0,0.0,0.0,0.0,0,0
COM.speak,COM,0.0,0.0,0.0,0.0,0.0,0.0,0,0
COG.remember,COG,0.0,0.0,0.0,0.0,0.0,0.0,0,0
COG.unlearned,COG,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.young,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
REL.alone,REL,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ELM.earth,ELM,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ELM.fire,ELM,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BEI.root,BEI,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ECO.save,ECO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.small,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
SOC.awake,SOC,0.0,0.0,0.0,0.0,0.0,0.0,0,0
REL.together,REL,0.0,0.0,0.0,0.0,0.0,0.0,0,0
REL.different,REL,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.wet,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BOD.eye,BOD,0.0,0.0,0.0,0.0,0.0,0.0,0,0
STA.healing,STA,0.0,0.0,0.0,0.0,0.0,0.0,0,0
STA.comfort,STA,0.0,0.0,0.0,0.0,0.0,0.0,0,0
SOC.refuse,SOC,0.0,0.0,0.0,0.0,0.0,0.0,0,0
SOC.praise,SOC,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ABS.foolish,ABS,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ABS.exempt,ABS,0.0,0.0,0.0,0.0,0.0,0.0,0,0
WLD.uncultured,WLD,0.0,0.0,0.0,0.0,0.0,0.0,0,0
WLD.unskilled,WLD,0.0,0.0,0.0,0.0,0.0,0.0,0,0
SOC.stateless,SOC,0.0,0.0,0.0,0.0,0.0,0.0,0,0
STA.health,STA,0.0,0.0,0.0,0.0,0.0,0.0,0,0
COG.forget,COG,0.0,0.0,0.0,0.0,0.0,0.0,0,0
SOC.obstruct,SOC,0.0,0.0,0.0,0.0,0.0,0.0,0,0
SOC.individual,SOC,0.0,0.0,0.0,0.0,0.0,0.0,0,0
COG.instinct,COG,0.0,0.0,0.0,0.0,0.0,0.0,0,0
COG.intention,COG,0.0,0.0,0.0,0.0,0.0,0.0,0,0
COG.mindless,COG,0.0,0.0,0.0,0.0,0.0,0.0,0,0
CHG.decay,CHG,0.0,0.0,0.0,0.0,0.0,0.0,0,0
COG.ignorance,COG,0.0,0.0,0.0,0.0,0.0,0.0,0,0
CHG.stay,CHG,0.0,0.0,0.0,0.0,0.0,0.0,0,0
COG.confusion,COG,0.0,0.0,0.0,0.0,0.0,0.0,0,0
SOC.sleep,SOC,0.0,0.0,0.0,0.0,0.0,0.0,0,0
SOC.rest,SOC,0.0,0.0,0.0,0.0,0.0,0.0,0,0
SOC.defend,SOC,0.0,0.0,0.0,0.0,0.0,0.0,0,0
SOC.official,SOC,0.0,0.0,0.0,0.0,0.0,0.0,0,0
STA.pain,STA,0.0,0.0,0.0,0.0,0.0,0.0,0,0
STA.illness,STA,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.happiness,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.fear,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.doubt,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.dislike,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.satisfaction,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.respect,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.pride,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.pleasure,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.patience,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.love,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.like,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.old,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.narrow,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.near,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.murky,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.low,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.weak,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.long,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.single,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.short,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.rough,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.wide,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.part,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.possible,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.smooth,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.strong,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.soft,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
FND.memory,FND,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.courage,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.anxiety,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.hate,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.hope,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EXS.absence,EXS,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.worry,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.wish,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.unhappiness,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.sorrow,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.trust,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.shame,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PER.blind,PER,0.0,0.0,0.0,0.0,0.0,0.0,0,0
MAT.food,MAT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
MAT.naked,MAT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
MAT.tool,MAT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
NAT.flower,NAT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PER.delicious,PER,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PER.deaf,PER,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PER.numb,PER,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PER.odorless,PER,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PER.bitter,PER,0.0,0.0,0.0,0.0,0.0,0.0,0,0
FND.memoryless,FND,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ELM.water,ELM,0.0,0.0,0.0,0.0,0.0,0.0,0,0
FND.body,FND,0.0,0.0,0.0,0.0,0.0,0.0,0,0
FND.intuition,FND,0.0,0.0,0.0,0.0,0.0,0.0,0,0
FND.information,FND,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EXS.matter,EXS,0.0,0.0,0.0,0.0,0.0,0.0,0,0
FND.consciousness,FND,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EXS.physical_body,EXS,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.contempt,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.desire,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.despair,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ELM.wind,ELM,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.apology,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.joy,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
EMO.anger,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.high,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.heavy,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.hard,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.fast,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
FND.unconscious,FND,0.0,0.0,0.0,0.0,0.0,0.0,0,0
FND.unchanging,FND,0.0,0.0,0.0,0.0,0.0,0.0,0,0
FND.spatiality,FND,0.0,0.0,0.0,0.0,0.0,0.0,0,0
MAT.drink,MAT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
LOG.unreason,LOG,0.0,0.0,0.0,0.0,0.0,0.0,0,0
FND.uninformed,FND,0.0,0.0,0.0,0.0,0.0,0.0,0,0
MAT.bare_hand,MAT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
MAT.clothing,MAT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
NAT.river,NAT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
NAT.sea,NAT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
NAT.tree,NAT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.cold,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.clean,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.blunt,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.aged,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PER.untouched,PER,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PER.tasteless,PER,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PER.touch,PER,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.far,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.dry,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.large,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.dirty,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PER.salty,PER,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PER.stench,PER,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PER.sweet,PER,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.dark,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.light,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PRP.hot,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0
VAL.sacred,VAL,0.0,0.0,0.0,0.0,0.0,0.0,0,0
VAL.incorrect,VAL,0.0,0.0,0.0,0.0,0.0,0.0,0,0
WLD.secular,WLD,0.0,0.0,0.0,0.0,0.0,0.0,0,0
VAL.good,VAL,0.0,0.0,0.0,0.0,0.0,0.0,0,0
STA.wound,STA,0.0,0.0,0.0,0.0,0.0,0.0,0,0
TIM.come,TIM,0.0,0.0,0.0,0.0,0.0,0.0,0,0
STA.wealth,STA,0.0,0.0,0.0,0.0,0.0,0.0,0,0
STA.poverty,STA,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ACT.sink,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ACT.sit,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ACT.stand,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ACT.take,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ACT.fall,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ACT.give,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ACT.obtain,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ACT.rise,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ACT.leave,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ACT.go,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ACT.lose,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ACT.lie_down,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ACT.calm,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ACT.descend,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ACT.destroy,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ACT.move,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ACT.dissolve,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ACT.emit,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ABS.self,ABS,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ACT.exit,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ABS.wise,ABS,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ACT.abandon,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ACT.arrive,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ACT.ascend,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0
SPC.outside,SPC,0.0,0.0,5.223350465922861e-07,2.5050308821783044e-06,-5.223350465922861e-07,-0.20851441405707472,0,1
EXS.spirit,EXS,0.0,0.0,6.119711345455258e-07,2.9349104584108822e-06,-6.119711345455258e-07,-0.20851441405707474,0,1
SOC.pass,SOC,0.0,0.0,1.2217709814730647e-06,5.859407787217245e-06,-1.2217709814730647e-06,-0.20851441405707474,0,1
COG.think,COG,0.0,0.0,6.183007117877794e-07,2.9652660444785248e-06,-6.183007117877794e-07,-0.20851441405707477,0,1
VAL.evil,VAL,0.0,0.0,5.194243946628104e-07,2.4910718859015333e-06,-5.194243946628104e-07,-0.20851441405707477,0,1
SOC.request,SOC,0.0,0.0,5.194243946628104e-07,2.4910718859015333e-06,-5.194243946628104e-07,-0.20851441405707477,0,1
SOC.village,SOC,0.0,0.0,5.841148790414909e-07,2.801316550143178e-06,-5.841148790414909e-07,-0.20851441405707477,0,1
ABS.bound,ABS,0.0,0.0,5.541295953967347e-07,2.657512181604183e-06,-5.541295953967347e-07,-0.20851441405707477,0,1
SPC.reverse,SPC,0.0,0.0,5.541295953967347e-07,2.657512181604183e-06,-5.541295953967347e-07,-0.20851441405707477,0,1
ELM.star,ELM,0.0,0.0,5.141938058157377e-07,2.4659868630232537e-06,-5.141938058157377e-07,-0.2085144140570748,0,1
COG.separate,COG,0.0,0.0,1.0911469197147493e-06,3.649277605379865e-06,-1.0911469197147493e-06,-0.299003539250111,0,2
FND.labor,FND,0.0,0.0,2.5396924668696627e-06,8.464543173210226e-06,-2.5396924668696627e-06,-0.30003892884705674,0,2
ECO.money,ECO,0.0,0.0,1.0946419471866438e-06,3.639455029107575e-06,-1.0946419471866438e-06,-0.30077084025820733,0,2
CHG.end,CHG,0.001673064705119648,0.002215953999120809,0.0017201298815590661,0.000137186128528308,-4.7065176439418195e-05,-0.34307533089766007,19,24
ECO.price,ECO,0.0,0.0,1.7222135939897483e-06,4.589209158963437e-06,-1.7222135939897483e-06,-0.37527459183811623,0,3
ECO.loss,ECO,0.0,0.0,1.645402721267612e-06,4.380460235745714e-06,-1.645402721267612e-06,-0.37562325251595496,0,3
SOC.citizen,SOC,0.0,0.0,1.7211613380737872e-06,4.572833666298602e-06,-1.7211613380737872e-06,-0.3763883542842595,0,3
VAL.beauty,VAL,0.0,0.0,1.5951144673963496e-06,4.2322160597844785e-06,-1.5951144673963496e-06,-0.3768981651370557,0,3
SOC.work,SOC,0.0,0.0,1.515452526976298e-06,4.019447977017223e-06,-1.515452526976298e-06,-0.3770300139823914,0,3
SPC.place,SPC,0.0,0.0,1.5185882062962186e-06,4.021130889670461e-06,-1.5185882062962186e-06,-0.37765202077783383,0,3
SOC.attack,SOC,0.0,0.0,2.254426653369162e-06,5.083676965101976e-06,-2.254426653369162e-06,-0.44346378986020785,0,4
SOC.criticize,SOC,0.0,0.0,2.3566700830800004e-06,5.304031415513475e-06,-2.3566700830800004e-06,-0.444316765580819,0,4
EMO.forgiveness,EMO,0.0,0.0,2.5829233449341273e-06,5.785790997791675e-06,-2.5829233449341273e-06,-0.4464252763226289,0,4
ABS.release,ABS,1.4507977776879782e-05,4.923832065619246e-05,2.281725915985216e-05,1.7246671598422803e-05,-8.309281382972378e-06,-0.4817904333339458,2,21
ACT.stop,ACT,0.0,0.0,3.3895054070806703e-06,6.803804223782314e-06,-3.3895054070806703e-06,-0.4981779744973915,0,5
STA.war,STA,0.0,0.0,2.7604654241526015e-06,5.395220166977852e-06,-2.7604654241526015e-06,-0.5116501901161309,0,5
EXS.vitality,EXS,0.0,0.0,3.651938102448732e-06,6.721342816603897e-06,-3.651938102448732e-06,-0.5433345987690525,0,6
COM.answer,COM,0.0,0.0,3.476307599512668e-06,6.071740968475921e-06,-3.476307599512668e-06,-0.5725388513049928,0,6
FND.history,FND,0.0,0.0,3.7828084311159607e-06,5.920749656882246e-06,-3.7828084311159607e-06,-0.638907005081501,0,7
REL.same,REL,0.0,0.0,4.763051714627707e-06,7.027661842574351e-06,-4.763051714627707e-06,-0.6777576698088422,0,8
BEI.parent,BEI,0.0,0.0,5.597128227157655e-06,7.895019931193404e-06,-5.597128227157655e-06,-0.7089441541551116,0,9
ABS.other,ABS,0.0,0.0,6.758470979502292e-06,8.00083705670021e-06,-6.758470979502292e-06,-0.8447204875697958,0,11
COM.cooperate,COM,0.0,0.0,9.610753403938284e-06,1.0617436530866778e-05,-9.610753403938284e-06,-0.9051858587520738,0,13
EXS.void,EXS,7.244418616584972e-05,0.0002629329731411533,0.00011425568238466399,4.5081431764904595e-05,-4.181149621881427e-05,-0.9274660227487288,2,24
ABS.responsibility,ABS,0.0,0.0,2.2009835026916193e-05,2.2902423035741303e-05,-2.2009835026916193e-05,-0.9610264814586585,0,18
ELM.moon,ELM,0.0,0.0,1.7277597125024012e-05,1.7804569230341846e-05,-1.7277597125024012e-05,-0.9704024231925932,0,16
VAL.correct,VAL,0.0,0.0,1.2406032344183045e-05,1.1791616741991034e-05,-1.2406032344183045e-05,-1.0521061374055705,0,16
EXS.life,EXS,0.0,0.0,1.4936801981359118e-05,1.4098229136700697e-05,-1.4936801981359118e-05,-1.059480721764937,0,16
LOG.reason,LOG,2.7422959812690873e-05,9.540264224589124e-05,4.682070010054276e-05,1.8256666423173166e-05,-1.9397740287851887e-05,-1.0625017644639856,2,24
VAL.truth,VAL,0.0,0.0,2.435808634477467e-05,2.2855255987404435e-05,-2.435808634477467e-05,-1.0657542561850302,0,19
EXS.presence,EXS,0.0,0.0,1.722357011462559e-05,1.6045267206185217e-05,-1.722357011462559e-05,-1.073436166147869,0,18
VAL.profane,VAL,0.0,0.0,2.1024792264247934e-05,1.712465476408244e-05,-2.1024792264247934e-05,-1.2277498468667358,0,18
COM.secret,COM,0.0,0.0,1.3408031251827121e-05,9.413965110008054e-06,-1.3408031251827121e-05,-1.424270336159728,0,18
SOC.family,SOC,0.0,0.0,2.9367491684112033e-05,2.0553074596262396e-05,-2.9367491684112033e-05,-1.4288612414929176,0,21
FND.ahistorical,FND,0.0,0.0,4.110747023061614e-05,2.8375342821337858e-05,-4.110747023061614e-05,-1.4487039148546923,0,21
TIM.now,TIM,0.0,0.0,1.876322059420282e-05,1.2806088406690528e-05,-1.876322059420282e-05,-1.4651796862810968,0,19
FND.language,FND,0.0,0.0,1.7774949848435257e-05,1.1982960074213694e-05,-1.7774949848435257e-05,-1.4833521716128746,0,19
STA.danger,STA,0.0,0.0,1.8256180249436375e-05,1.2147282293902425e-05,-1.8256180249436375e-05,-1.5029024441623815,0,20
PRP.slow,PRP,0.0,0.0,4.4501063352126286e-05,2.880438934584697e-05,-4.4501063352126286e-05,-1.5449403498131256,0,24
TIM.indefinite,TIM,0.0,0.0,3.179429951750572e-05,1.948201306979192e-05,-3.179429951750572e-05,-1.6319822496580074,0,22
BEI.human,BEI,0.0,0.0,3.2611768658753926e-05,1.9541518756231153e-05,-3.2611768658753926e-05,-1.6688451427735165,0,22
WLD.outer_realm,WLD,0.0,0.0,5.864918195475856e-05,3.4018082003006814e-05,-5.864918195475856e-05,-1.7240590445273967,0,24
SPC.inside,SPC,0.0,0.0,3.445777732661581e-05,1.9019071900964077e-05,-3.445777732661581e-05,-1.8117486229635182,0,23
COG.know,COG,0.0,0.0,6.622650663343311e-05,3.120331425217512e-05,-6.622650663343311e-05,-2.122418987233595,0,24
PRP.easy,PRP,3.825884627057763e-05,5.572553676508223e-05,0.0001580295555298751,5.6196524521802344e-05,-0.00011977070925929748,-2.131283211523704,10,24
