seed,cycle_id,cycle_type,step_start,step_end,node_id
456,215,C→Dust→A→C,81,4893,104
456,216,C→Dust→B→C,892,3778,166
456,217,C→Dust→A→C,156,1046,181
456,218,C→Dust→A→C,1046,1444,181
456,219,C→Dust→B→C,1444,4716,181
456,220,C→Dust→A→C,66,1425,40
456,221,C→Dust→A→C,1425,3244,40
456,222,C→Dust→B→C,3244,5120,40
456,223,C→Dust→A→C,786,2855,45
456,224,C→Dust→A→C,2855,3760,45
456,225,C→Dust→A→C,3760,5221,45
456,226,C→Dust→B→C,138,4435,138
456,227,C→Dust→A→C,165,1642,193
456,228,C→Dust→A→C,1642,1975,193
456,229,C→Dust→B→C,1975,4889,193
456,230,C→Dust→B→C,1215,2324,5
456,231,C→Dust→A→C,2324,2970,5
456,232,C→Dust→A→C,117,2750,189
456,233,C→Dust→A→C,2750,4458,189
456,234,C→Dust→B→C,4458,5056,189
456,235,C→Dust→A→C,154,2283,186
456,236,C→Dust→B→C,234,1455,191
456,237,C→Dust→A→C,1455,1788,191
456,238,C→Dust→A→C,1788,3167,191
456,239,C→Dust→B→C,998,3247,39
456,240,C→Dust→B→C,2110,4539,107
456,241,C→Dust→A→C,4539,4916,107
456,242,C→Dust→B→C,3474,4808,152
456,243,C→Dust→A→C,964,1546,44
456,244,C→Dust→B→C,87,3403,114
456,245,C→Dust→A→C,87,737,121
456,246,C→Dust→B→C,737,2590,121
456,247,C→Dust→B→C,1564,3474,185
456,248,C→Dust→A→C,1682,1913,27
456,249,C→Dust→A→C,1913,2672,27
456,250,C→Dust→A→C,2672,3928,27
456,251,C→Dust→A→C,3928,4529,27
456,252,C→Dust→A→C,4529,5197,27
456,253,C→Dust→A→C,1116,1666,49
456,254,C→Dust→A→C,1666,1731,49
456,255,C→Dust→B→C,1731,4139,49
456,256,C→Dust→A→C,2492,3339,6
456,257,C→Dust→A→C,3339,5252,6
456,258,C→Dust→A→C,1818,2451,171
456,259,C→Dust→A→C,2451,3946,171
456,260,C→Dust→A→C,3946,4811,171
456,261,C→Dust→A→C,1116,1561,109
456,262,C→Dust→A→C,2658,3126,109
456,263,C→Dust→B→C,3126,3805,109
456,264,C→Dust→B→C,3033,4456,141
456,265,C→Dust→A→C,4456,5146,141
456,266,C→Dust→B→C,222,2571,153
456,267,C→Dust→A→C,2571,2934,153
456,268,C→Dust→A→C,2934,3951,153
456,269,C→Dust→A→C,102,2590,182
456,270,C→Dust→A→C,2590,4435,182
456,271,C→Dust→B→C,186,1283,36
456,272,C→Dust→A→C,1283,1682,36
456,273,C→Dust→A→C,1682,3985,36
456,274,C→Dust→A→C,121,2119,90
456,275,C→Dust→B→C,2119,4021,90
