window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
97,4770,3013,1,4,0,1.6494,1,15.4,3005,0,4.5,1.0138,2972.1,8,1.0,42,1,1,774,0.002097,0.0449,33.4728,96,45.0,0.0262,0.0087,0,0,0,0,0.089796,0.015625,31,0.826,5.2938,0.451,0.002776
98,4765,2907,0,0,0,1.7627,1,15.3,4,2903,4.5,0.9802,2965.9,4,1.0,40,0,2,747,0.001882,0.0533,17.9372,97,46.5,0.0273,0.0102,0,0,0,0,0.093333,0.015625,31,0.8326,5.3383,0.4513,0.002831
99,4761,2905,1,3,1,1.8474,1,15.2,4,2901,4.48,0.9814,2960.1,4,1.0,41,1,0,762,0.001701,0.0519,18.9573,98,46.4,0.0287,0.0109,0,0,0,0,0.09434,0.015625,31,0.8344,5.3902,0.4523,0.002887
100,4761,2870,3,4,1,1.9386,1,15.3,15,2855,4.39,0.9724,2951.5,15,1.0,44,3,0,806,0.001931,0.049,63.8298,99,44.1,0.0239,0.0106,0,0,0,0,0.093878,0.015625,32,0.8336,5.4473,0.453,0.002943
101,4759,3013,1,3,3,1.9822,2,15.2,2994,0,4.56,1.0188,2957.3,19,1.0,48,7,3,847,0.002002,0.0412,65.4545,100,41.2,0.0237,0.0092,0,0,0,0,0.089347,0.015625,36,0.8251,5.4714,0.4536,0.003
102,4757,2930,1,5,3,1.9919,2,15.3,10,2912,4.5,0.9916,2954.7,18,1.0,49,4,3,840,0.001809,0.0391,72.2892,101,41.0,0.0238,0.0089,1,0,0,0,0.066406,0.015625,34,0.7647,5.5026,0.4542,0.003057
103,4756,2891,0,0,3,1.9887,2,15.1,7,2874,4.44,0.9804,2948.7,17,1.0,49,5,5,840,0.001664,0.0438,69.9588,102,41.9,0.0227,0.0086,0,0,0,0,0.075697,0.015625,33,0.7936,5.5385,0.4549,0.003113
104,4756,2989,1,3,3,1.9899,1,15.3,2975,0,4.51,1.0124,2952.5,14,1.0,49,5,5,865,0.001839,0.0417,51.7928,103,42.5,0.0232,0.0095,0,0,0,0,0.083333,0.015625,35,0.8125,5.5612,0.4552,0.003169
105,4754,2954,0,0,3,1.9865,1,15.1,2950,0,4.47,1.0005,2952.7,4,1.0,46,1,4,849,0.001781,0.0467,12.3967,104,46.1,0.025,0.0101,0,0,0,0,0.081712,0.015625,33,0.8088,5.6076,0.456,0.003224
106,4753,2928,2,5,3,1.9467,1,15.1,0,2918,4.47,0.9924,2950.3,10,1.0,45,2,3,842,0.002005,0.0568,44.2478,105,45.7,0.0252,0.0119,2,0,0,0,0.082969,0.015625,32,0.8117,5.6294,0.4565,0.003278
107,4751,2982,1,3,1,1.9528,1,15.1,2975,0,4.54,1.0097,2953.3,7,1.0,44,5,6,837,0.001812,0.0488,25.7511,106,47.4,0.0268,0.0119,0,0,0,0,0.069106,0.015625,33,0.7739,5.6863,0.4572,0.003331
108,4749,2873,1,3,3,1.9086,2,15.1,7,2866,4.46,0.9753,2945.7,7,1.0,40,0,4,760,0.00189,0.0431,29.1262,107,48.5,0.0268,0.0096,0,0,0,0,0.066986,0.015625,29,0.7667,5.7485,0.4578,0.003383
109,4748,2915,1,5,3,1.7899,2,15.2,12,2903,4.46,0.9906,2942.8,12,1.0,40,1,1,778,0.002052,0.0737,51.8868,108,49.4,0.0262,0.0131,1,1,0,0,0.073733,0.015625,30,0.7881,5.7946,0.4577,0.003434
110,4747,3016,2,5,3,1.7529,2,15.1,3003,0,4.53,1.0225,2949.7,13,1.0,42,2,0,795,0.002088,0.051,51.3834,109,48.0,0.0259,0.0105,2,0,0,0,0.094118,0.015625,31,0.834,5.8887,0.4574,0.003482
