seed,rate,window,n_C,k_star_D1,k_star_D2,J3_D1,J3_D2,J4_D1,J4_D2,H3_D1,H3_D2,H2_D1,dH32_D1,dH32_D2,dJ34_D1,none_ratio,mid_share,strong_share,weak_share,none_D2,weak_D2,mid_D2,strong_D2
55,0.0,6,10,3,3,1.3168,1.3168,1.3168,1.3168,2.1219,2.1219,1.571,0.5509,0.5509,0.0,0.6,0.1,0.1,0.2,6,2,1,1
55,0.0,7,12,3,3,0.3646,0.3646,0.3646,0.3646,0.65,0.65,-0.0,0.65,0.65,0.0,0.8333,0.0,0.0,0.1667,10,2,0,0
55,0.0,8,15,3,3,0.0874,0.0874,0.0874,0.0874,0.6998,0.6998,0.6998,0.0,0.0,0.0,0.9333,0.0667,0.0,0.0,14,0,1,0
55,0.0,9,19,3,3,0.0129,0.0129,0.0129,0.0129,0.8795,0.8795,0.5907,0.2888,0.2888,0.0,0.8947,0.0,0.0526,0.0526,17,1,0,1
55,0.0,10,12,3,3,1.3517,1.3517,1.3517,1.3517,1.9591,1.9591,1.5,0.4591,0.4591,0.0,0.5833,0.25,0.0,0.1667,7,2,3,0
55,0.0,11,5,3,3,1.5053,1.5053,1.5053,1.5053,1.9219,1.9219,1.5219,0.4,0.4,0.0,0.2,0.2,0.4,0.2,1,1,1,2
55,0.0,12,18,3,3,1.2478,1.2478,1.2478,1.2478,1.7652,1.7652,1.7652,0.0,0.0,0.0,0.7222,0.1667,0.1111,0.0,13,0,3,2
55,0.0,13,13,3,3,0.8991,0.8991,0.8991,0.8991,1.8811,1.8811,1.352,0.5291,0.5291,0.0,0.6923,0.0769,0.0769,0.1538,9,2,1,1
55,0.0,14,17,3,3,0.1613,0.1613,0.1613,0.1613,0.5226,0.5226,-0.0,0.5226,0.5226,0.0,0.8824,0.0,0.0,0.1176,15,2,0,0
55,0.0,15,10,3,3,1.2491,1.2491,1.2491,1.2491,1.8464,1.8464,1.4855,0.3609,0.3609,0.0,0.6,0.0,0.3,0.1,6,1,0,3
55,0.0,16,14,3,3,1.242,1.242,1.242,1.242,1.8774,1.8774,1.2871,0.5903,0.5903,0.0,0.5714,0.2143,0.0,0.2143,8,3,3,0
55,0.0,17,18,3,3,0.8338,0.8338,0.8338,0.8338,1.9183,1.9183,1.5003,0.418,0.418,0.0,0.6111,0.2222,0.0556,0.1111,11,2,4,1
55,0.0,18,21,3,3,0.7266,0.7266,0.7266,0.7266,1.4942,1.4942,1.2467,0.2475,0.2475,0.0,0.7619,0.0,0.1905,0.0476,16,1,0,4
55,0.0,19,19,3,3,0.6548,0.6548,0.6548,0.6548,1.523,1.523,1.523,0.0,0.0,0.0,0.7895,0.1053,0.1053,0.0,15,0,2,2
55,0.0,20,19,3,3,0.7366,0.7366,0.7366,0.7366,1.7843,1.7843,1.3605,0.4238,0.4238,0.0,0.7368,0.0526,0.1053,0.1053,14,2,1,2
55,0.0,21,9,3,3,0.0015,0.0015,0.0015,0.0015,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9,0,0,0
55,0.0,22,12,3,3,1.1617,1.1617,1.1617,1.1617,1.8962,1.8962,1.2075,0.6887,0.6887,0.0,0.5833,0.0833,0.0833,0.25,7,3,1,1
55,0.0,23,15,3,3,0.1514,0.1514,0.1514,0.1514,0.6998,0.6998,0.6998,0.0,0.0,0.0,0.9333,0.0667,0.0,0.0,14,0,1,0
55,0.0,24,14,3,3,0.8883,0.8883,0.8883,0.8883,1.8074,1.8074,1.2917,0.5157,0.5157,0.0,0.7143,0.0714,0.0714,0.1429,10,2,1,1
55,0.0,25,29,3,3,0.9157,0.9157,0.9157,0.9157,2.0606,2.0606,1.6764,0.3842,0.3842,0.0,0.6552,0.1379,0.1034,0.1034,19,3,4,3
123,0.0,1,117,3,3,-0.246,-0.246,-0.246,-0.246,1.0465,1.0465,0.6997,0.3468,0.3468,0.0,0.8547,0.0171,0.0598,0.0684,100,8,2,7
123,0.0,2,86,3,3,0.163,0.163,0.163,0.163,1.3114,1.3114,1.1059,0.2055,0.2055,0.0,0.8372,0.0581,0.0698,0.0349,72,3,5,6
123,0.0,3,40,3,3,-0.0033,-0.0033,-0.0033,-0.0033,0.9414,0.9414,0.569,0.3724,0.3724,0.0,0.875,0.05,0.0,0.075,35,3,2,0
123,0.0,4,18,3,3,0.7778,0.7778,0.7778,0.7778,1.685,1.685,1.1221,0.5629,0.5629,0.0,0.6667,0.1667,0.0,0.1667,12,3,3,0
123,0.0,5,21,3,3,-0.0657,-0.0657,-0.0657,-0.0657,0.549,0.549,0.549,0.0,0.0,0.0,0.9524,0.0476,0.0,0.0,20,0,1,0
123,0.0,6,13,3,3,1.3474,1.3474,1.3474,1.3474,1.9501,1.9501,1.5262,0.4239,0.4239,0.0,0.5385,0.3077,0.0,0.1538,7,2,4,0
123,0.0,7,11,3,3,1.1882,1.1882,1.1882,1.1882,1.4949,1.4949,1.4949,0.0,0.0,0.0,0.5455,0.0,0.4545,0.0,6,0,0,5
123,0.0,8,12,3,3,1.3461,1.3461,1.3461,1.3461,2.1887,2.1887,1.9591,0.2296,0.2296,0.0,0.4167,0.1667,0.25,0.1667,5,2,2,3
123,0.0,9,15,3,3,0.5788,0.5788,0.5788,0.5788,0.5665,0.5665,0.5665,0.0,0.0,0.0,0.8667,0.1333,0.0,0.0,13,0,2,0
123,0.0,10,17,3,3,0.7326,0.7326,0.7326,0.7326,1.6137,1.6137,1.3216,0.2921,0.2921,0.0,0.7647,0.0588,0.1176,0.0588,13,1,1,2
123,0.0,11,14,3,3,0.4109,0.4109,0.4109,0.4109,1.6267,1.6267,1.2917,0.335,0.335,0.0,0.7857,0.0714,0.0714,0.0714,11,1,1,1
123,0.0,12,20,3,3,0.4113,0.4113,0.4113,0.4113,1.6166,1.6166,1.1918,0.4248,0.4248,0.0,0.75,0.1,0.05,0.1,15,2,2,1
123,0.0,13,12,3,3,0.107,0.107,0.107,0.107,0.8167,0.8167,0.4138,0.4029,0.4029,0.0,0.8333,0.0833,0.0,0.0833,10,1,1,0
123,0.0,14,19,3,3,1.5519,1.5519,1.5519,1.5519,2.1493,2.1493,1.9785,0.1708,0.1708,0.0,0.4737,0.2632,0.2105,0.0526,9,1,5,4
123,0.0,15,15,3,3,0.5224,0.5224,0.5224,0.5224,0.9056,0.9056,0.9056,0.0,0.0,0.0,0.8667,0.1333,0.0,0.0,13,0,2,0
123,0.0,16,11,3,3,0.3286,0.3286,0.3286,0.3286,0.684,0.684,-0.0,0.684,0.684,0.0,0.8182,0.0,0.0,0.1818,9,2,0,0
123,0.0,17,24,3,3,0.4157,0.4157,0.4157,0.4157,1.4082,1.4082,0.9,0.5082,0.5082,0.0,0.75,0.0417,0.0833,0.125,18,3,1,2
123,0.0,18,24,3,3,-0.1654,-0.1654,-0.1654,-0.1654,0.4972,0.4972,0.4972,0.0,0.0,0.0,0.9583,0.0417,0.0,0.0,23,0,1,0
123,0.0,19,17,3,3,1.5687,1.5687,1.5687,1.5687,2.2569,2.2569,1.8078,0.4491,0.4491,0.0,0.5294,0.1176,0.1765,0.1765,9,3,2,3
123,0.0,20,9,3,3,0.3297,0.3297,0.3297,0.3297,0.5033,0.5033,-0.0,0.5033,0.5033,0.0,0.8889,0.0,0.0,0.1111,8,1,0,0
123,0.0,21,7,3,3,0.6019,0.6019,0.6019,0.6019,1.1488,1.1488,1.1488,0.0,0.0,0.0,0.8571,0.0,0.1429,0.0,6,0,0,1
123,0.0,22,10,2,2,0.007,0.007,0.007,0.007,0.9219,0.9219,0.9219,0.0,0.0,0.0,0.9,0.0,0.1,0.0,9,0,0,1
123,0.0,23,13,3,3,0.3422,0.3422,0.3422,0.3422,1.1451,1.1451,0.7732,0.3719,0.3719,0.0,0.8462,0.0769,0.0,0.0769,11,1,1,0
