seed,rate,window,J3,H3,none_ratio,mid_share,strong_share,weak_share,n_C
789,0.0,4,0.0962,1.0239,0.8333,0.0417,0.0,0.125,24
789,0.0,5,0.8912,1.8776,0.6667,0.0476,0.0952,0.1905,21
789,0.0,6,1.139,1.8911,0.6667,0.1111,0.2222,0.0,9
789,0.0,9,1.2561,1.9698,0.7059,0.1176,0.1176,0.0588,17
789,0.0,10,0.5914,1.4466,0.7778,0.0,0.1111,0.1111,9
789,0.0,11,0.6737,1.4961,0.7647,0.1176,0.0,0.1176,17
789,0.0,12,0.2993,1.0409,0.8333,0.1667,0.0,0.0,12
789,0.0,13,0.7157,1.4183,0.75,0.0,0.0833,0.1667,12
789,0.0,14,1.3674,2.2464,0.5,0.2,0.1,0.2,10
789,0.0,15,0.2832,1.1387,0.875,0.0417,0.0417,0.0417,24
789,0.0,16,0.1643,1.1542,0.8571,0.0476,0.0952,0.0,21
789,0.0,17,0.4197,1.2116,0.7692,0.0769,0.0,0.1538,26
789,0.0,18,-0.0412,0.6686,0.9375,0.0625,0.0,0.0,16
789,0.0,19,1.6269,2.2855,0.45,0.25,0.15,0.15,20
789,0.0,20,0.9371,1.8289,0.5556,0.0556,0.1111,0.2778,18
789,0.0,21,0.2951,1.1401,0.8235,0.0588,0.0,0.1176,17
789,0.0,22,0.6027,1.6235,0.76,0.12,0.08,0.04,25
789,0.0,23,0.5366,1.6738,0.6875,0.125,0.0625,0.125,16
789,0.0,24,1.0237,1.7882,0.6667,0.2778,0.0556,0.0,18
999,0.0,1,-0.1841,1.1084,0.8679,0.0377,0.0472,0.0472,106
999,0.0,2,0.6915,1.7642,0.7468,0.1266,0.0633,0.0633,79
999,0.0,3,0.3394,1.4486,0.8,0.0333,0.0667,0.1,30
999,0.0,4,0.7724,1.8521,0.6923,0.1538,0.0385,0.1154,26
999,0.0,5,0.7991,1.614,0.6667,0.0,0.1667,0.1667,12
999,0.0,6,-0.0638,0.569,0.95,0.0,0.05,0.0,20
999,0.0,7,0.949,1.6172,0.6364,0.0909,0.0,0.2727,11
999,0.0,8,1.0149,1.7925,0.6667,0.0,0.1667,0.1667,6
999,0.0,9,0.9774,1.9751,0.6429,0.1429,0.0714,0.1429,14
999,0.0,10,1.133,1.871,0.5789,0.3158,0.1053,0.0,19
999,0.0,11,0.8983,1.6714,0.7308,0.0769,0.0385,0.1538,26
999,0.0,12,0.303,1.0141,0.75,0.0625,0.0,0.1875,16
999,0.0,13,0.9396,1.574,0.7647,0.0588,0.1765,0.0,17
999,0.0,14,0.0064,0.7654,0.913,0.0435,0.0,0.0435,23
999,0.0,15,-0.0882,0.6402,0.9412,0.0,0.0588,0.0,17
999,0.0,16,0.2838,0.9445,0.7778,0.0,0.0556,0.1667,18
999,0.0,17,0.2684,1.2495,0.8571,0.0476,0.0476,0.0476,21
999,0.0,18,-0.135,0.3373,0.9375,0.0,0.0,0.0625,16
999,0.0,19,-0.3212,-0.0,1.0,0.0,0.0,0.0,15
999,0.0,21,0.3609,0.7919,0.7619,0.0,0.0,0.2381,21
999,0.0,22,0.9003,1.771,0.7,0.1,0.1,0.1,10
999,0.0,23,-0.0137,-0.0,1.0,0.0,0.0,0.0,11
999,0.0,24,1.0638,1.838,0.7222,0.0556,0.1111,0.1111,18
999,0.0,25,0.5005,0.8454,0.7273,0.0,0.0,0.2727,11
1337,0.0,1,0.0909,1.3833,0.8261,0.0696,0.0696,0.0348,115
1337,0.0,2,-0.0956,0.905,0.9111,0.0444,0.0444,0.0,90
1337,0.0,3,0.1337,0.9701,0.8235,0.0,0.0294,0.1471,34
1337,0.0,4,1.1309,1.9595,0.6667,0.1333,0.1667,0.0333,30
1337,0.0,5,0.0816,-0.0,1.0,0.0,0.0,0.0,13
1337,0.0,6,0.0714,0.9274,0.8696,0.0435,0.0,0.087,23
1337,0.0,7,0.2174,1.2087,0.8261,0.1304,0.0,0.0435,23
1337,0.0,8,-0.1197,-0.0,1.0,0.0,0.0,0.0,11
1337,0.0,10,0.5363,1.2366,0.8,0.0,0.1333,0.0667,15
1337,0.0,11,-0.115,-0.0,1.0,0.0,0.0,0.0,13
1337,0.0,12,0.2067,1.0389,0.8667,0.0,0.0667,0.0667,15
1337,0.0,13,1.164,1.5683,0.6316,0.3684,0.0,0.0,19
1337,0.0,14,0.8129,1.3355,0.7222,0.0,0.0556,0.2222,18
1337,0.0,15,0.4448,1.2075,0.8333,0.0833,0.0833,0.0,12
