seed,rate,window,k_star,is_switch,J2,J3,J4,dJ34,dJ32,H2,H3,H4,dH32,dH43,none_ratio,mid_strong_ratio,n_C
55,0.0005,8,4,0,0.0587,0.5105,0.5664,0.0559,0.4518,0.8167,1.4183,1.4183,0.6016,0.0,0.75,0.0833,12
55,0.0005,9,3,1,0.5934,0.7178,0.7178,0.0,0.1244,1.371,1.371,1.371,0.0,0.0,0.8,0.2,10
55,0.0005,10,2,0,0.3869,0.3869,0.3869,0.0,0.0,1.2917,1.2917,1.2917,0.0,0.0,0.8571,0.1429,14
55,0.0005,11,3,0,-0.165,0.7319,0.7319,0.0,0.8969,0.5907,1.4288,1.4288,0.8381,0.0,0.6316,0.0526,19
55,0.0005,8,4,0,0.0587,0.5105,0.5664,0.0559,0.4518,0.8167,1.4183,1.4183,0.6016,0.0,0.75,0.0833,12
55,0.0005,9,3,0,0.5934,0.7178,0.7178,0.0,0.1244,1.371,1.371,1.371,0.0,0.0,0.8,0.2,10
55,0.0005,10,2,1,0.3869,0.3869,0.3869,0.0,0.0,1.2917,1.2917,1.2917,0.0,0.0,0.8571,0.1429,14
55,0.0005,11,3,0,-0.165,0.7319,0.7319,0.0,0.8969,0.5907,1.4288,1.4288,0.8381,0.0,0.6316,0.0526,19
55,0.0005,12,3,0,0.2819,0.8666,0.8666,0.0,0.5847,1.1033,1.8323,1.8323,0.729,0.0,0.5333,0.1333,15
55,0.0005,9,3,0,0.5934,0.7178,0.7178,0.0,0.1244,1.371,1.371,1.371,0.0,0.0,0.8,0.2,10
55,0.0005,10,2,0,0.3869,0.3869,0.3869,0.0,0.0,1.2917,1.2917,1.2917,0.0,0.0,0.8571,0.1429,14
55,0.0005,11,3,1,-0.165,0.7319,0.7319,0.0,0.8969,0.5907,1.4288,1.4288,0.8381,0.0,0.6316,0.0526,19
55,0.0005,12,3,0,0.2819,0.8666,0.8666,0.0,0.5847,1.1033,1.8323,1.8323,0.729,0.0,0.5333,0.1333,15
55,0.0005,13,3,0,-0.0747,0.2883,0.2883,0.0,0.363,0.8031,0.8031,0.8031,0.0,0.0,0.8889,0.1111,18
55,0.0005,12,3,0,0.2819,0.8666,0.8666,0.0,0.5847,1.1033,1.8323,1.8323,0.729,0.0,0.5333,0.1333,15
55,0.0005,13,3,0,-0.0747,0.2883,0.2883,0.0,0.363,0.8031,0.8031,0.8031,0.0,0.0,0.8889,0.1111,18
55,0.0005,14,2,1,0.5686,0.5686,0.5686,0.0,0.0,1.4838,1.4838,1.4838,0.0,0.0,0.7857,0.2143,14
55,0.0005,15,3,0,-0.1758,0.3156,0.3156,0.0,0.4914,0.7483,1.2754,1.2754,0.5271,0.0,0.8065,0.0645,31
55,0.0005,16,3,0,-0.0737,0.0737,0.0737,0.0,0.1474,0.7732,0.7732,0.7732,0.0,0.0,0.9231,0.0769,13
55,0.0005,13,3,0,-0.0747,0.2883,0.2883,0.0,0.363,0.8031,0.8031,0.8031,0.0,0.0,0.8889,0.1111,18
55,0.0005,14,2,0,0.5686,0.5686,0.5686,0.0,0.0,1.4838,1.4838,1.4838,0.0,0.0,0.7857,0.2143,14
55,0.0005,15,3,1,-0.1758,0.3156,0.3156,0.0,0.4914,0.7483,1.2754,1.2754,0.5271,0.0,0.8065,0.0645,31
55,0.0005,16,3,0,-0.0737,0.0737,0.0737,0.0,0.1474,0.7732,0.7732,0.7732,0.0,0.0,0.9231,0.0769,13
55,0.0005,17,2,0,-0.2144,-0.2144,-0.2144,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,4
55,0.0005,15,3,0,-0.1758,0.3156,0.3156,0.0,0.4914,0.7483,1.2754,1.2754,0.5271,0.0,0.8065,0.0645,31
55,0.0005,16,3,0,-0.0737,0.0737,0.0737,0.0,0.1474,0.7732,0.7732,0.7732,0.0,0.0,0.9231,0.0769,13
55,0.0005,17,2,1,-0.2144,-0.2144,-0.2144,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,4
55,0.0005,18,4,0,0.3466,0.8606,1.1192,0.2586,0.514,0.9913,1.5466,1.8811,0.5553,0.3345,0.6923,0.1538,13
55,0.0005,19,4,0,-0.0281,0.089,0.2058,0.1168,0.1171,0.6402,0.6402,0.6402,0.0,0.0,0.9412,0.0588,17
55,0.0005,16,3,0,-0.0737,0.0737,0.0737,0.0,0.1474,0.7732,0.7732,0.7732,0.0,0.0,0.9231,0.0769,13
55,0.0005,17,2,0,-0.2144,-0.2144,-0.2144,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,4
55,0.0005,18,4,1,0.3466,0.8606,1.1192,0.2586,0.514,0.9913,1.5466,1.8811,0.5553,0.3345,0.6923,0.1538,13
55,0.0005,19,4,0,-0.0281,0.089,0.2058,0.1168,0.1171,0.6402,0.6402,0.6402,0.0,0.0,0.9412,0.0588,17
55,0.0005,20,3,0,-0.2521,0.1283,0.1283,0.0,0.3804,-0.0,0.5665,0.5665,0.5665,0.0,0.8667,0.0,15
55,0.0005,18,4,0,0.3466,0.8606,1.1192,0.2586,0.514,0.9913,1.5466,1.8811,0.5553,0.3345,0.6923,0.1538,13
55,0.0005,19,4,0,-0.0281,0.089,0.2058,0.1168,0.1171,0.6402,0.6402,0.6402,0.0,0.0,0.9412,0.0588,17
55,0.0005,20,3,1,-0.2521,0.1283,0.1283,0.0,0.3804,-0.0,0.5665,0.5665,0.5665,0.0,0.8667,0.0,15
55,0.0005,21,3,0,-0.5,-0.2604,-0.2604,0.0,0.2396,-0.0,0.5033,0.5033,0.5033,0.0,0.8889,0.0,18
55,0.0005,22,2,0,1.5305,1.5305,1.5305,0.0,0.0,1.5305,1.5305,1.5305,0.0,0.0,0.4444,0.5556,9
55,0.0005,20,3,0,-0.2521,0.1283,0.1283,0.0,0.3804,-0.0,0.5665,0.5665,0.5665,0.0,0.8667,0.0,15
55,0.0005,21,3,0,-0.5,-0.2604,-0.2604,0.0,0.2396,-0.0,0.5033,0.5033,0.5033,0.0,0.8889,0.0,18
55,0.0005,22,2,1,1.5305,1.5305,1.5305,0.0,0.0,1.5305,1.5305,1.5305,0.0,0.0,0.4444,0.5556,9
55,0.0005,23,4,0,1.0905,1.0905,1.1653,0.0748,0.0,1.6106,1.6106,1.7534,0.0,0.1428,0.7143,0.2857,14
55,0.0005,24,2,0,0.0069,0.0069,0.0069,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,4
55,0.0005,21,3,0,-0.5,-0.2604,-0.2604,0.0,0.2396,-0.0,0.5033,0.5033,0.5033,0.0,0.8889,0.0,18
55,0.0005,22,2,0,1.5305,1.5305,1.5305,0.0,0.0,1.5305,1.5305,1.5305,0.0,0.0,0.4444,0.5556,9
55,0.0005,23,4,1,1.0905,1.0905,1.1653,0.0748,0.0,1.6106,1.6106,1.7534,0.0,0.1428,0.7143,0.2857,14
55,0.0005,24,2,0,0.0069,0.0069,0.0069,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,4
55,0.0005,25,3,0,0.6885,1.1894,1.1894,0.0,0.5009,1.2516,1.7925,1.7925,0.5409,0.0,0.6667,0.1667,12
55,0.0005,22,2,0,1.5305,1.5305,1.5305,0.0,0.0,1.5305,1.5305,1.5305,0.0,0.0,0.4444,0.5556,9
