window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
284,4644,2855,0,0,3,1.9926,2,14.6,2846,0,4.49,1.0089,2829.8,9,1.0,66,0,1,1280,0.000531,0.0282,23.8727,271,125.2,0.0163,0.006,0,1,0,0,0.05641,0.015625,45,0.723,11.9627,0.3553,0.003
285,4644,2732,0,0,3,1.9698,1,14.5,4,2724,4.35,0.9686,2820.5,8,1.0,65,0,1,1280,0.000604,0.0376,22.4719,272,128.1,0.0155,0.0068,0,0,0,0,0.048387,0.015625,45,0.6771,11.9977,0.355,0.003
286,4641,2816,0,0,3,1.9787,1,14.5,2,2814,4.42,0.9986,2820.1,2,1.0,65,2,2,1259,0.00043,0.04,2.9499,273,128.2,0.0164,0.0072,0,1,0,0,0.082857,0.015625,45,0.8114,12.0805,0.3549,0.003
287,4641,2915,1,5,3,1.9749,1,14.5,2918,0,4.59,1.0329,2829.9,5,1.0,65,1,1,1269,0.000606,0.0307,13.2979,274,129.2,0.0164,0.0056,1,0,0,0,0.061381,0.015625,46,0.7454,12.1419,0.3548,0.003
288,4641,2783,0,0,3,1.9326,1,14.6,0,2778,4.41,0.985,2825.4,5,1.0,67,5,3,1282,0.000611,0.0319,12.8535,275,126.3,0.0151,0.0065,0,0,0,0,0.051597,0.015625,48,0.6972,12.1787,0.3544,0.003
289,4640,2848,0,0,3,1.9585,1,14.5,2843,0,4.46,1.0072,2827.6,5,1.0,67,0,0,1280,0.000566,0.0281,13.2626,276,127.3,0.0154,0.0055,0,0,0,0,0.05102,0.015625,48,0.6937,12.2272,0.3542,0.003
290,4639,2864,1,3,3,1.9732,1,14.6,2853,0,4.44,1.0116,2831.0,11,1.0,71,7,3,1305,0.000577,0.0286,27.1739,277,119.1,0.0146,0.006,0,0,0,0,0.046875,0.015625,47,0.6667,12.2533,0.354,0.003
291,4638,2841,4,4,3,1.9438,1,14.7,2824,0,4.44,1.0032,2832.0,17,1.0,77,11,5,1363,0.000681,0.0264,43.257,278,110.8,0.014,0.0051,0,0,0,0,0.055156,0.015625,49,0.7167,12.3012,0.3536,0.003
292,4637,2783,0,0,3,1.9542,2,14.6,6,2772,4.46,0.9843,2827.3,11,1.0,75,5,7,1373,0.000712,0.0253,22.113,279,114.6,0.0137,0.0054,0,0,0,0,0.064516,0.015625,48,0.7578,12.3266,0.3534,0.003
293,4637,2861,0,0,3,1.8944,1,14.6,2853,0,4.45,1.0108,2830.5,8,1.0,73,2,4,1334,0.000544,0.0301,22.409,280,118.6,0.0147,0.0064,0,0,0,0,0.07377,0.015625,46,0.7882,12.373,0.3534,0.003
294,4635,2846,0,0,3,1.9257,1,14.4,2843,0,4.52,1.0049,2832.0,3,1.0,70,3,6,1341,0.000577,0.0318,8.4507,281,124.6,0.0147,0.0061,0,0,0,0,0.05305,0.015625,46,0.7055,12.4128,0.3532,0.003
295,4633,2774,2,5,1,1.9542,1,14.6,2,2767,4.41,0.9814,2826.5,7,1.0,68,2,4,1324,0.000562,0.0367,19.4444,282,127.2,0.0155,0.007,1,0,0,0,0.055118,0.015625,45,0.7165,12.4627,0.3529,0.003
296,4633,2871,1,3,1,1.9241,1,14.4,2864,0,4.43,1.0142,2830.7,7,1.0,69,3,2,1319,0.000524,0.027,15.5844,283,126.2,0.0157,0.0054,0,0,0,0,0.051597,0.015625,47,0.6972,12.5143,0.3526,0.003
297,4633,2790,0,0,0,1.966,2,14.5,0,2785,4.43,0.987,2826.8,5,1.0,68,0,1,1304,0.000581,0.0431,13.5135,284,129.0,0.0151,0.0064,0,0,0,0,0.058376,0.015625,45,0.7323,12.565,0.3523,0.003
298,4633,2909,1,5,0,1.987,1,14.4,2907,0,4.52,1.0272,2834.9,5,1.0,69,1,0,1319,0.000655,0.0347,12.7551,285,128.2,0.0154,0.0064,1,0,0,0,0.054591,0.015625,44,0.7138,12.6122,0.352,0.003
299,4630,2756,1,5,1,1.9687,1,14.4,9,2742,4.37,0.9747,2827.4,14,1.0,73,5,1,1344,0.000643,0.0293,36.2694,286,122.1,0.0139,0.0062,1,0,0,0,0.073171,0.015625,47,0.7865,12.6634,0.3516,0.003
300,4629,2848,0,0,1,1.9657,2,14.5,2839,0,4.43,1.0066,2829.4,9,1.0,69,1,5,1344,0.000564,0.0332,22.3325,287,129.7,0.0147,0.007,0,1,0,0,0.061611,0.015625,47,0.7464,12.7037,0.3513,0.003
301,4628,2713,2,4,3,1.9076,1,14.4,8,2706,4.33,0.963,2818.4,7,1.0,69,3,3,1302,0.000614,0.035,18.1347,288,130.5,0.0152,0.0068,0,0,0,0,0.0625,0.015625,44,0.75,12.7637,0.3511,0.003
302,4627,2807,0,0,3,1.9439,1,14.6,4,2803,4.41,0.9963,2817.3,4,1.0,66,0,3,1293,0.000595,0.0288,10.8992,289,137.3,0.0158,0.0057,0,0,0,0,0.04712,0.015625,44,0.6684,12.8003,0.3508,0.003
303,4626,2888,0,0,3,1.9269,1,14.4,2883,0,4.52,1.0226,2824.0,5,1.0,66,1,1,1285,0.000479,0.0327,12.9534,290,138.3,0.0153,0.0066,0,0,0,0,0.062972,0.015625,44,0.7519,12.8457,0.3505,0.003
304,4626,2879,1,5,3,1.9017,1,14.5,2866,0,4.48,1.0176,2829.3,13,1.0,67,5,4,1307,0.00059,0.03,26.57,291,134.1,0.0147,0.0059,1,1,0,0,0.06682,0.015625,44,0.7662,12.8779,0.3504,0.003
305,4626,2847,3,5,3,1.9195,1,14.4,2825,0,4.45,1.0057,2831.0,22,1.0,73,12,6,1362,0.000741,0.029,47.1698,292,123.9,0.0137,0.0057,1,0,0,0,0.066964,0.015625,45,0.7667,12.9003,0.3501,0.003
