window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
134,4857,3060,0,0,3,1.9382,2,16.0,3,3052,4.55,0.9881,3097.0,8,1.0,68,0,1,1324,0.000918,0.0496,21.3904,133,65.0,0.0157,0.0075,0,1,0,0,0.075718,0.015625,43,0.7936,7.9538,0.4242,26,3,39,768,1241,475,0.001,0.999,654.7,4.0,0.0516,0.0,0.004628,0.0,0.9,0
135,4857,3067,0,0,3,1.9065,1,15.9,3,3059,4.58,0.9912,3094.1,8,1.0,68,0,0,1324,0.000721,0.0381,19.5599,134,66.0,0.0145,0.0063,0,0,0,0,0.057143,0.015625,43,0.7266,7.9895,0.4234,26,3,39,842,1224,469,0.0007,0.9993,618.7,4.0,0.0516,0,0.004187,0.0,0.9,0
136,4857,3138,1,4,3,1.967,1,16.0,3148,0,4.6,1.0186,3100.2,10,1.0,70,4,2,1355,0.000751,0.0268,23.4742,135,65.1,0.0152,0.006,0,0,0,0,0.053571,0.015625,43,0.7083,8.0096,0.4231,26,3,41,793,1239,510,0.0007,0.9993,697.7,4.0,0.0515,0.006696,0.004426,1.5129,1.0513,0
137,4857,2997,2,5,3,1.9775,1,15.8,10,2978,4.57,0.9698,3090.4,19,1.0,70,2,2,1375,0.000989,0.0312,47.0297,136,64.0,0.0156,0.0065,2,1,0,0,0.059952,0.015625,45,0.7394,8.0408,0.4222,27,3,40,745,1182,486,0.0009,0.9992,731.2,3.8,0.0517,0.002398,0.004233,0.5665,0.9567,0
138,4855,3059,1,5,2,1.9519,2,15.7,12,3047,4.57,0.9908,3087.4,12,1.0,71,1,0,1378,0.000952,0.0315,26.4317,137,64.1,0.0149,0.0061,1,0,0,0,0.05042,0.015625,45,0.6901,8.0618,0.4209,27,3,41,744,1205,496,0.0008,0.9992,716.2,4.0,0.0517,0,0.00383,0.0,0.9,0
139,4853,3085,0,0,3,1.9436,2,15.8,9,3076,4.56,0.9993,3087.2,9,1.0,71,0,0,1377,0.000825,0.0301,21.8447,138,65.1,0.0147,0.0064,0,0,0,0,0.046296,0.015625,45,0.6625,8.0757,0.4197,27,3,41,735,1257,508,0.0008,0.9992,713.2,4.1,0.0517,0,0.003465,0.0,0.9,0
140,4852,2974,0,0,3,1.9305,1,17.9,5,2969,4.38,0.9667,3076.4,5,1.0,70,0,1,1377,0.000699,0.0284,12.5628,139,67.0,0.015,0.006,0,0,0,0,0.052133,0.015625,45,0.7003,8.0994,0.419,27,3,40,745,1169,512,0.0006,0.9994,705.8,4.0,0.0518,0.00237,0.003361,0.7051,0.9705,0
141,4852,3068,1,5,3,1.9015,1,15.7,4,3059,4.56,0.9975,3075.6,9,1.0,73,5,2,1400,0.000759,0.026,20.2703,140,65.2,0.014,0.0051,1,0,0,0,0.045553,0.015625,46,0.657,8.1298,0.4181,27,4,42,784,1203,503,0.0007,0.9993,669.5,3.9,0.0521,0.006508,0.00366,1.7778,1.0778,0
142,4851,3115,2,5,3,1.8647,1,15.7,3133,0,4.66,1.021,3082.4,14,1.0,75,2,0,1434,0.0009,0.0323,31.4607,141,64.4,0.0138,0.006,2,0,0,0,0.047312,0.015625,47,0.6697,8.1556,0.4175,27,4,44,820,1210,513,0.0014,0.9986,672.7,3.9,0.0521,0,0.003312,0.0,0.9,0
143,4850,3083,1,5,3,1.9207,2,17.4,3075,0,4.61,1.0002,3082.4,8,1.0,76,1,0,1451,0.000776,0.0333,19.7044,142,64.5,0.0135,0.0054,1,0,0,0,0.05,0.015625,47,0.6875,8.1794,0.4167,27,4,45,756,1248,503,0.0009,0.9991,671.2,3.9,0.0519,0,0.002996,0.0,0.9,0
