window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,pd_p_count,pd_d_count,pd_both_count,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,perstep_scans,perstep_contacts,perstep_boosts,perstep_boosted_pairs,perstep_total_boosts_cum
186,4803,2997,1,0,1,5,0.48,1,0,0,0,0,0,0,0,3,1.9238,0.1176,1,36.7,1,0.0,0.0,0.0,0,0,5,4,9,0.0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,10,0,0,0,2937
187,4803,2931,1,0,1,4,0.3333,1,0,0,0,0,0,0,0,3,1.8092,-0.1146,1,37.7,1,0.0,0.0,0.0,0,0,4,5,9,0.0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,10,100,10,8,2947
188,4803,2978,3,0,3,5,2.0,1,0,0,0,0,0,0,0,3,1.944,0.1348,2,36.8,1,0.0,0.0,0.0,0,0,7,8,15,0.0,0,1,0,0,1,1,0,0,3,0,0.0,0,0,0,10,140,9,6,2956
189,4803,2971,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9698,0.0258,2,36.8,1,0.0,0.0,0.0,0,0,11,17,28,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,320,71,24,3027
190,4803,2993,1,0,1,3,0.0,1,0,0,0,0,0,0,0,3,1.9501,-0.0198,1,38.2,1,0.0,0.0,0.0,0,0,11,17,28,0.0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,10,0,0,0,3027
191,4802,2865,2,0,2,5,2.0,1,0,0,0,0,0,0,0,3,1.9852,0.0351,1,36.9,1,0.0,0.0,0.0,0,0,11,17,28,0.0,0,1,0,0,1,1,0,0,2,0,0.0,0,0,0,10,0,0,0,3027
192,4801,2957,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.953,-0.0322,2,38.4,1,0.0,0.0,0.0,0,0,14,19,33,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,300,52,21,3079
193,4801,2965,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9803,0.0274,1,36.9,1,0.0,0.0,0.0,0,0,14,19,33,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,0,0,0,3079
194,4801,2901,1,0,1,5,0.6667,2,0,0,0,0,0,0,0,3,1.9899,0.0096,1,37.7,2,0.0,0.0,0.0,0,0,14,19,33,0.0,0,0,0,0,2,2,0,0,0,1,0.0,0,0,0,10,0,0,0,3079
195,4801,2888,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9952,0.0053,1,36.3,2,0.0,0.0,0.0,0,0,18,24,42,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,200,27,13,3106
196,4801,2872,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9749,-0.0203,1,36.3,2,0.0,0.0,0.0,0,0,18,24,42,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,0,0,0,3106
197,4801,2946,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9899,0.015,1,37.7,2,0.0,0.0,0.0,0,0,15,22,37,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,0,0,0,3106
198,4801,2944,1,0,1,5,0.8,1,0,0,0,0,0,0,0,3,1.9094,-0.0806,1,36.8,2,0.0,0.0,0.0,0,0,12,19,31,0.0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,10,0,0,0,3106
199,4801,2931,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9899,0.0806,1,37.8,2,0.0,0.0,0.0,0,0,10,11,21,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,80,15,6,3121
200,4801,2926,1,0,1,3,0.3333,1,0,0,0,0,0,0,0,3,1.9839,-0.0061,1,34.3,2,0.0,0.0,0.0,0,0,10,11,21,0.0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,10,0,0,0,3121
