window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
41,4969,3125,0,0,3,1.9053,1,16.6,0,3125,4.53,0.9793,3191.2,0,1.0,57,0,1,958,0.001674,0.0379,0.0,40,26.0,0.0226,0.0083,0,0,0,0,0.075862,0.015625,41,0.794,3.0138,0.4101,32,6,19,810,1271,476,1.0,0.0,0,0,0,0.003448,0.007006,0.4922,1.1523,0
42,4968,3206,1,5,1,1.9053,1,16.5,3220,0,4.63,1.0093,3194.3,4,1.0,58,1,0,959,0.00202,0.041,14.1343,41,26.6,0.0213,0.0082,1,0,0,0,0.09215,0.015625,40,0.8304,3.1059,0.4108,33,6,19,834,1271,478,1.0,0.0,0,0,0,0,0.006339,0.0,1.2,0
43,4965,3120,0,0,1,1.9144,1,16.5,0,3120,4.57,0.9789,3187.3,0,1.0,56,0,2,959,0.002073,0.0391,0.0,42,28.3,0.0235,0.0094,0,0,0,0,0.064057,0.015625,40,0.7561,3.17,0.4119,33,6,17,798,1237,520,1.0,0.0,0,0,0,0.007117,0.006413,1.1098,0.967,0
44,4962,3137,0,0,3,1.8467,1,16.5,0,3137,4.55,0.9857,3182.5,0,1.0,56,0,0,940,0.001668,0.0389,0.0,43,29.3,0.0235,0.009,0,0,0,0,0.077739,0.015625,40,0.799,3.2477,0.4121,33,6,17,768,1252,513,1.0,0.0,0,0,0,0,0.005802,0.0,1.2,0
45,4959,2964,0,0,3,1.8862,1,16.5,3,2961,4.38,0.9375,3161.7,3,1.0,58,3,1,954,0.001849,0.0353,10.7914,44,29.3,0.0212,0.008,0,0,0,0,0.060071,0.015625,41,0.7399,3.3078,0.4132,33,6,19,719,1168,499,1.0,0.0,0,0,0,0.0,0.00525,0.0,1.2,0
46,4957,3162,2,4,3,1.952,1,16.5,3158,0,4.57,1.0007,3161.9,6,1.0,59,5,4,992,0.002057,0.0364,17.3611,45,28.7,0.0212,0.0086,0,0,0,0,0.096026,0.015625,43,0.8373,3.4038,0.4134,33,7,19,855,1251,503,1.0,0.0,0,0,0,0.009934,0.005696,1.7441,0.8,0
47,4956,3140,0,0,3,1.9689,1,18.3,0,3135,4.56,0.9937,3159.8,5,1.0,55,0,4,940,0.001325,0.0379,17.9211,46,30.5,0.0212,0.0086,0,0,0,0,0.106897,0.015625,39,0.8538,3.5107,0.414,33,4,18,778,1266,553,1.0,0.0,0,0,0,0.003448,0.005482,0.6291,1.1113,0
48,4952,3212,0,0,3,1.9077,1,24.0,3238,0,4.67,1.024,3167.8,6,1.0,56,6,5,963,0.0018,0.0358,12.5,47,30.8,0.0215,0.0083,0,0,0,0,0.083582,0.015625,41,0.8131,3.5943,0.4144,35,4,17,790,1310,512,1.0,0.0,0,0,0,0.01791,0.006665,2.6871,0.8,0
49,4950,3117,1,5,3,1.9289,1,21.5,0,3107,4.57,0.9855,3163.0,10,1.0,54,1,3,951,0.001289,0.0449,34.749,48,32.7,0.0229,0.0098,1,0,0,0,0.11236,0.015625,38,0.8609,3.7066,0.4155,36,3,15,814,1248,496,1.0,0.0,0,0,0,0.007491,0.006744,1.1107,0.9668,0
50,4947,3166,0,0,3,1.9358,1,23.7,3165,0,4.6,1.002,3163.6,5,1.0,52,0,2,903,0.001659,0.0506,19.7628,49,33.1,0.025,0.0108,0,0,0,0,0.089494,0.015625,37,0.8254,3.7961,0.4166,34,3,15,863,1225,496,0.0005,0.9995,595.8,3.5,0.0578,0.0,0.006102,0.0,1.2,0
51,4946,3148,1,5,1,1.8221,1,23.9,0,3138,4.55,0.9955,3162.2,10,1.0,51,1,2,917,0.00195,0.0428,33.7838,50,34.7,0.0241,0.0094,1,0,0,0,0.085526,0.015625,38,0.8173,3.8817,0.4175,32,3,16,816,1261,497,0.0005,0.9995,605.5,3.6,0.0573,0.006579,0.006147,1.0702,0.9789,0
52,4944,3194,1,5,1,1.6548,1,17.2,3213,0,4.71,1.016,3167.5,5,1.0,52,1,0,926,0.001529,0.0488,18.4502,51,35.0,0.0226,0.01,1,0,0,0,0.10453,0.015625,37,0.8505,3.9862,0.4194,32,4,16,765,1314,504,0.0006,0.9994,612.6,3.8,0.0556,0,0.005562,0.0,1.2,0
53,4937,3147,0,0,0,1.6881,2,16.5,0,3147,4.58,0.9941,3165.5,0,1.0,51,0,1,919,0.001826,0.0344,0.0,52,35.7,0.0233,0.0087,0,0,0,0,0.113402,0.015625,37,0.8622,4.0996,0.4214,32,3,16,808,1226,536,0.0004,0.9996,613.5,3.7,0.056,0.0,0.005032,0.0,1.2,0
54,4933,3070,2,5,0,1.7365,1,16.3,5,3060,4.57,0.9726,3156.4,10,1.0,53,2,0,959,0.002333,0.0464,34.0136,53,35.3,0.0234,0.0105,2,0,0,0,0.092715,0.015625,38,0.8315,4.1923,0.421,32,3,18,787,1211,504,0.0009,0.9991,592.1,3.8,0.055,0,0.004553,0.0,1.2,0
55,4930,3097,0,0,3,1.8208,1,16.2,0,3097,4.6,0.9829,3150.8,0,1.0,53,0,0,957,0.002122,0.0478,0.0,54,36.3,0.0228,0.0095,0,0,0,0,0.10757,0.015625,38,0.8547,4.2999,0.4211,32,3,18,754,1253,518,0.0009,0.9991,607.8,3.5,0.055,0,0.004119,0.0,1.2,0
56,4929,3117,0,0,3,1.8567,1,16.3,0,3117,4.56,0.9903,3147.6,0,1.0,52,0,1,949,0.001885,0.0444,0.0,55,36.9,0.0211,0.0086,0,0,0,0,0.092593,0.015625,37,0.8313,4.3925,0.4225,31,3,18,810,1271,459,0.0014,0.9986,615.8,3.6,0.055,0.0,0.003727,0.0,1.2,0
57,4928,3129,1,5,3,1.9547,1,16.3,0,3124,4.52,0.9947,3145.8,5,1.0,52,1,1,970,0.001878,0.0475,17.5439,56,37.8,0.0237,0.0108,1,1,0,0,0.064407,0.015625,38,0.7574,4.4569,0.4223,30,3,19,792,1266,520,0.0007,0.9993,553.0,3.7,0.0546,0.00339,0.003695,0.9175,1.0248,0
58,4926,3201,1,5,3,1.9952,1,16.4,3205,0,4.63,1.0219,3153.0,17,1.0,56,9,5,1007,0.001454,0.0333,59.2334,57,35.8,0.0194,0.0073,1,0,0,0,0.07,0.015625,39,0.7768,4.5135,0.4226,29,6,21,829,1268,508,0.0007,0.9993,573.0,3.6,0.0539,0.016667,0.00493,3.3805,0.8,0
59,4925,3111,3,4,3,1.9007,2,16.3,3,3098,4.61,0.9879,3149.0,13,1.0,58,3,1,1022,0.001251,0.0375,42.2078,58,35.5,0.0195,0.0084,0,0,0,0,0.084375,0.015625,39,0.8148,4.5979,0.4225,30,6,22,815,1191,533,0.0008,0.9992,606.1,3.4,0.0532,0.0,0.004461,0.0,1.2,0
60,4923,3153,0,0,3,1.9281,2,16.2,3165,0,4.6,1.0046,3150.6,0,1.0,54,0,4,1011,0.00177,0.0403,0.0,59,37.9,0.0201,0.0091,0,1,0,0,0.080586,0.015625,38,0.8061,4.6785,0.4228,29,5,20,839,1286,476,0.0008,0.9992,595.2,3.7,0.0529,0.014652,0.005431,2.6977,0.8,0
