cid,window,prev_social,prev_stability,prev_spread,prev_familiarity,current_social,current_stability,current_spread,current_familiarity,delta_social,delta_stability,delta_spread,delta_familiarity,tags,n_tags,state
26,29,0.9032,0.661,0.8418,11.349,0.7353,0.726,0.8087,8.3975,-0.1679,0.065,-0.0331,-2.9515,loss_social|loss_familiarity,2,hosted
41,29,1.0,0.6487,0.8482,11.3256,1.0,0.674,0.8549,9.8545,0.0,0.0253,0.0067,-1.4711,,0,hosted
42,29,0.9355,0.6062,0.8365,10.6964,1.0,0.7113,0.8582,13.9471,0.0645,0.1051,0.0217,3.2507,gain_stability|gain_familiarity,2,hosted
44,29,0.7419,0.6679,0.8452,6.104,0.6765,0.7056,0.8463,5.8422,-0.0655,0.0377,0.0011,-0.2618,,0,hosted
52,29,0.6774,0.6502,0.8335,8.715,0.5882,0.6776,0.8477,6.46,-0.0892,0.0274,0.0142,-2.255,loss_familiarity,1,hosted
82,29,0.5806,0.6454,0.8348,11.5485,0.7059,0.6849,0.8621,12.8093,0.1252,0.0394,0.0274,1.2608,gain_social,1,hosted
86,29,0.6129,0.6895,0.8316,16.0764,0.7059,0.7301,0.8624,17.4705,0.093,0.0406,0.0308,1.3941,,0,hosted
88,29,0.0968,0.6536,0.7889,7.2332,0.1176,0.6434,0.8117,7.385,0.0209,-0.0102,0.0228,0.1518,,0,hosted
90,29,0.2903,0.6433,0.8501,6.4887,0.2941,0.7176,0.8244,8.0921,0.0038,0.0742,-0.0257,1.6034,,0,hosted
92,29,0.0645,0.6705,0.85,15.0319,0.1176,0.6792,0.7777,7.0433,0.0531,0.0087,-0.0724,-7.9887,loss_familiarity,1,hosted
93,29,0.0968,0.707,0.8354,11.959,0.0882,0.6337,0.8268,4.3951,-0.0085,-0.0733,-0.0086,-7.5639,loss_familiarity,1,hosted
94,29,0.1613,0.6356,0.8185,71.1558,0.1765,0.6731,0.7443,26.1993,0.0152,0.0376,-0.0742,-44.9564,loss_familiarity,1,hosted
