window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,alpha_t,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied,mean_h_age,max_h_age,mean_h_res,max_h_res,mean_h_str,max_h_str,mature_links,rigid_links,brittle_links,hist_matured,hist_snapped,hist_suppressed,avalanche_events,cascade_links,void_mean_V,void_max_V,void_active_nodes,gen_births,gen_candidates,gen_max_T,gen_max_delta,void_consumed,void_deposited,proliferation_pi,void_induced_births,void_total_mass,void_variance,void_isolated_high,void_active_neighbor_high,void_diffusion_events,void_to_active,void_c_diff,cascade_splashes,circ_proximity_restored,circ_proximity_restore_total,circ_heat_events,circ_heat_total,circ_capture_events,circ_capture_total,circ_dynamic_bg_prob,circ_pi_tension_snap,circ_pi_tension_entropy,circ_pi_tension_energy
21,4999,1952,6,0,6,4,0.2,21,0,0,0,0,2,0,10,1,1.9936,-0.0057,2,35.8,20,0.9482,1.0,0.3706,0,0,0,1,3,534,827,1365,0.25,19,21,21,5,0,1,0,1.0,0,0,0,0,1.0,23402,6864,30681,0.001007,0.51185,0.018767,91,15,1,0.072,1.0,0.0085,1.0,0.159,0.7,15,15,3,15796,164,17,0,0,0.0069,0.1688,1093,8192,8192,0.494493,0.22938,3563,47.596,13.812925,3200,34.375,0.000195,0,1078,60723,53468,0.0088,0,31808,11.836,1062,0.6878,94287,373.1341,0.005059,0.084016,0.00014,0.765034
22,4998,1954,6,0,6,4,0.6667,22,0,0,0,0,2,0,10,1,1.9727,-0.0209,2,35.1,21,0.9523,1.0,0.4125,0,0,0,1,3,458,651,1113,0.25,13,22,22,5,0,1,0,1.0,0,0,0,1,0.9853,19794,6257,32532,0.00012,0.51185,0.018767,2,-23,0,0.0699,1.0,0.0087,1.0,0.1537,0.7,15,15,1,13701,111,20,0,0,0.0065,0.1189,1087,7632,7632,0.351606,0.217404,3453,31.568,13.434797,3104,32.4864,0.000157,0,1073,62245,55520,0.0091,0,32022,11.1521,1064,0.6555,94680,363.6358,0.005072,0.056807,0.005673,0.751427
23,4991,1953,6,0,6,3,1.3333,23,0,0,0,0,2,0,10,3,1.9649,-0.0078,2,36.2,22,0.9569,1.0,0.4028,0,0,0,1,2,451,638,1092,0.3333,10,23,23,5,0,1,0,1.0,0,0,0,0,1.0,15974,6038,33676,0.00011,0.51185,0.018767,1,-17,0,0.0673,1.0,0.0093,1.0,0.147,0.7,15,15,2,11876,99,20,0,0,0.0068,0.163,1149,7436,7436,0.377625,0.307702,3458,28.1,13.6402,3116,34.1889,0.000174,0,1123,61215,54816,0.0069,0,31676,11.3199,1273,0.7067,96320,365.8225,0.005015,0.050691,0.020926,0.761245
24,4991,2012,5,0,5,3,0.0,24,0,0,0,0,2,0,10,1,1.9386,-0.0263,2,36.0,23,0.9645,1.0,0.3281,0,0,0,1,2,448,634,1085,0.3333,9,24,24,5,0,0,0,1.0,0,0,0,0,1.0,13094,5530,39041,0.000699,0.511808,0.01881,60,-31,1,0.0637,1.0,0.008,1.0,0.1393,0.7,15,15,3,9764,97,17,0,0,0.0065,0.2092,1107,6981,6981,0.19981,0.101766,3449,28.066,13.130971,3084,32.2866,0.000152,0,1085,63093,57224,0.008,0,31268,10.1405,798,0.5658,98318,353.0232,0.005046,0.048211,0.007817,0.730696
25,4989,2224,6,0,6,5,0.32,25,0,0,0,0,2,0,10,1,1.9313,-0.0073,2,37.1,24,0.9613,1.0,0.375,0,0,0,1,2,424,562,989,0.3333,7,25,25,5,0,0,1,1.0,0,0,0,0,1.0,11940,4754,42491,0.002189,0.511808,0.01881,212,-10,0,0.0621,1.0,0.007,1.0,0.138,0.7,15,15,1,8645,79,15,0,0,0.0066,0.2417,1119,5829,5829,0.338578,0.197982,3468,22.702,13.094998,3082,32.8739,0.000172,0,1083,67313,62583,0.006,0,34977,9.9789,835,0.5412,106561,341.3576,0.00497,0.035522,0.026291,0.721756
26,4988,2208,6,0,6,5,1.0,26,0,0,0,0,2,0,10,1,1.9106,-0.0207,2,37.0,25,0.9654,1.0,0.375,0,0,0,1,2,445,587,1035,0.3333,7,26,26,4,1,0,1,0.92,0,0,0,0,1.0,11136,4780,44530,0.002035,0.511808,0.01881,196,-19,0,0.0602,1.0,0.0057,1.0,0.1362,0.695,12,12,0,8101,77,12,0,0,0.0065,0.1442,1156,6036,6036,0.317349,0.242384,3493,22.112,13.066497,3064,32.4967,0.000138,0,1123,71210,66475,0.0056,0,36625,11.8965,918,0.5585,111137,352.7795,0.004964,0.034873,0.007313,0.738892
27,4980,2244,4,0,4,4,0.4,27,0,0,0,0,2,0,10,3,1.9123,0.0017,2,38.1,26,0.9694,1.0,0.4036,0,0,0,1,2,457,625,1085,0.3333,8,27,27,3,0,0,1,1.0,0,0,0,0,1.0,9036,4489,46923,0.002379,0.511266,0.018891,232,-17,1,0.0562,1.0,0.0044,1.0,0.129,0.7,9,9,1,6800,61,9,0,0,0.0066,0.1764,1136,5615,5615,0.501332,0.430361,3463,17.08,13.189929,3003,33.0215,0.000138,0,1118,71579,67186,0.0062,0,36058,11.9909,678,0.4378,111408,355.4691,0.00496,0.027184,0.020706,0.744032
28,4973,2450,5,0,5,5,0.5,28,0,0,0,0,2,0,10,3,1.9235,0.0112,2,37.8,27,0.971,1.0,0.4036,0,0,0,1,2,477,649,1129,0.3333,8,28,28,3,0,1,1,1.0,0,0,0,0,1.0,8232,4028,49460,0.002131,0.511266,0.018891,206,-7,0,0.0549,1.0,0.0042,1.0,0.1266,0.69,9,9,0,6474,49,9,0,0,0.0061,0.0803,1107,5162,5162,0.279845,0.209489,3568,13.806,12.926991,3081,30.2519,0.000105,0,1074,75757,71882,0.0059,0,39852,11.4363,628,0.3682,116983,342.9809,0.004978,0.02,0.001699,0.747305
29,4961,2357,4,0,4,4,0.375,29,0,0,0,0,2,0,10,3,1.8728,-0.0507,2,39.0,28,0.9736,1.0,0.3798,0,0,0,0,2,433,605,1040,0.0,7,29,29,2,1,1,0,0.8,0,0,0,0,1.0,7982,3878,53027,0.001225,0.511266,0.018891,113,-6,0,0.0558,1.0,0.0037,1.0,0.1304,0.695,7,7,0,6540,42,10,0,0,0.0061,0.1402,1101,4906,4906,0.432778,0.361098,3437,12.212,13.222956,2981,30.3136,0.000108,0,1052,78384,74834,0.0063,0,40756,11.9658,896,0.4545,122861,348.7974,0.004939,0.017819,0.011241,0.765789
30,4958,2403,1,0,1,3,0.0,30,0,0,0,0,2,0,10,3,1.914,0.0412,2,38.1,29,0.9682,1.0,0.4211,0,0,0,0,3,453,626,1082,0.0,7,30,30,1,0,0,0,1.0,0,0,0,0,1.0,5993,3678,52086,0.001677,0.511001,0.018928,159,-11,1,0.0514,1.0,0.0022,1.0,0.1228,0.69,4,4,0,5004,47,5,0,0,0.0063,0.1218,1112,4727,4727,0.412496,0.272798,3456,13.516,13.56185,2935,31.0546,0.000111,0,1077,77542,74229,0.0048,0,38050,11.3105,427,0.233,119267,345.0458,0.004983,0.019559,0.050722,0.755293
