seed,plb,rate,quiet,dom_k,k_dist,switches,switch_rate_per100,first_half_dom,second_half_dom,stable,n_windows,elapsed
123,0.008,0.002,5000,3,"{'3': 9, '1': 6, '4': 9, '2': 1}",11,11.0,4,3,False,25,26.4
1337,0.008,0.002,5000,4,"{'4': 14, '3': 7, '1': 3, '0': 1}",12,12.0,4,4,True,25,26.8
2024,0.008,0.002,5000,4,"{'0': 2, '3': 6, '4': 15, '1': 2}",10,10.0,3,4,False,25,26.8
314,0.008,0.002,5000,4,"{'0': 1, '4': 20, '3': 3, '1': 1}",6,6.0,4,4,True,25,26.5
42,0.008,0.002,5000,4,"{'0': 2, '1': 3, '3': 6, '4': 13, '2': 1}",12,12.0,3,4,False,25,27.0
456,0.008,0.002,5000,4,"{'3': 4, '1': 3, '4': 18}",9,9.0,4,4,True,25,26.5
55,0.008,0.002,5000,4,"{'0': 1, '1': 2, '4': 18, '3': 4}",9,9.0,4,4,True,25,26.9
7,0.008,0.002,5000,4,"{'3': 7, '1': 3, '4': 15}",10,10.0,4,4,True,25,26.3
789,0.008,0.002,5000,4,"{'0': 2, '1': 2, '4': 18, '3': 2, '2': 1}",10,10.0,4,4,True,25,26.6
999,0.008,0.002,5000,4,"{'0': 1, '4': 17, '3': 7}",9,9.0,3,4,False,25,26.8
123,0.008,0.005,5000,4,"{'4': 21, '3': 3, '0': 1}",5,5.0,4,4,True,25,26.8
1337,0.008,0.005,5000,4,"{'0': 2, '4': 22, '3': 1}",4,4.0,4,4,True,25,26.5
2024,0.008,0.005,5000,4,"{'0': 1, '3': 2, '4': 21, '1': 1}",6,6.0,4,4,True,25,26.5
314,0.008,0.005,5000,4,"{'0': 1, '1': 1, '4': 22, '3': 1}",4,4.0,4,4,True,25,26.4
42,0.008,0.005,5000,4,"{'0': 1, '3': 4, '4': 20}",6,6.0,4,4,True,25,26.8
456,0.008,0.005,5000,4,"{'3': 3, '0': 1, '4': 21}",4,4.0,4,4,True,25,26.9
55,0.008,0.005,5000,4,"{'3': 1, '4': 24}",1,1.0,4,4,True,25,26.5
7,0.008,0.005,5000,4,"{'4': 21, '1': 1, '3': 3}",6,6.0,4,4,True,25,26.6
789,0.008,0.005,5000,4,"{'4': 24, '1': 1}",2,2.0,4,4,True,25,26.9
999,0.008,0.005,5000,4,"{'0': 1, '3': 1, '4': 23}",2,2.0,4,4,True,25,26.9
123,0.01,0.0,5000,3,"{'0': 1, '1': 3, '3': 21}",6,6.0,3,3,True,25,28.9
1337,0.01,0.0,5000,3,"{'1': 3, '3': 21, '2': 1}",4,4.0,3,3,True,25,28.6
2024,0.01,0.0,5000,3,"{'3': 23, '2': 1, '1': 1}",4,4.0,3,3,True,25,28.9
314,0.01,0.0,5000,3,"{'1': 1, '3': 21, '0': 3}",3,3.0,3,3,True,25,29.6
42,0.01,0.0,5000,3,{'3': 25},0,0.0,3,3,True,25,28.8
456,0.01,0.0,5000,3,"{'1': 2, '3': 21, '0': 1, '2': 1}",6,6.0,3,3,True,25,28.5
55,0.01,0.0,5000,3,"{'0': 2, '1': 2, '3': 21}",4,4.0,3,3,True,25,28.4
7,0.01,0.0,5000,3,"{'1': 2, '3': 22, '2': 1}",5,5.0,3,3,True,25,28.8
789,0.01,0.0,5000,3,"{'3': 22, '2': 2, '1': 1}",4,4.0,3,3,True,25,28.7
999,0.01,0.0,5000,3,"{'3': 24, '0': 1}",2,2.0,3,3,True,25,29.1
123,0.01,0.0005,5000,3,"{'3': 20, '4': 5}",4,4.0,3,3,True,25,28.9
1337,0.01,0.0005,5000,3,"{'0': 1, '3': 17, '4': 7}",7,7.0,3,3,True,25,29.0
2024,0.01,0.0005,5000,3,"{'3': 17, '4': 8}",8,8.0,3,3,True,25,29.0
314,0.01,0.0005,5000,3,"{'3': 11, '1': 4, '4': 8, '2': 1, '0': 1}",14,14.0,4,3,False,25,29.1
42,0.01,0.0005,5000,3,"{'0': 1, '4': 7, '3': 15, '1': 1, '2': 1}",10,10.0,3,3,True,25,29.4
456,0.01,0.0005,5000,4,"{'3': 9, '0': 2, '4': 10, '1': 3, '2': 1}",11,11.0,4,3,False,25,28.8
55,0.01,0.0005,5000,3,"{'0': 1, '4': 5, '3': 15, '1': 3, '2': 1}",14,14.0,3,3,True,25,28.9
7,0.01,0.0005,5000,3,"{'0': 1, '3': 12, '4': 10, '2': 2}",7,7.0,4,3,False,25,29.2
789,0.01,0.0005,5000,3,"{'0': 1, '3': 20, '4': 3, '1': 1}",7,7.0,3,3,True,25,28.9
999,0.01,0.0005,5000,3,"{'3': 17, '1': 2, '4': 4, '2': 2}",11,11.0,3,3,True,25,29.0
123,0.01,0.001,5000,3,"{'3': 16, '4': 7, '1': 2}",10,10.0,3,3,True,25,28.7
1337,0.01,0.001,5000,4,"{'0': 2, '3': 7, '4': 12, '1': 4}",16,16.0,3,4,False,25,28.7
