seed,rate,window,k_star,J_star,eta,type_count_kstar,H_kstar,drift_kstar,flags
456,0.0,10,2,0.4283,0.4744,3,1.0613,0.367,low_eta
456,0.0,11,2,-0.1735,0.4744,3,0.6998,0.1267,low_eta
456,0.0,12,2,0.0605,0.4744,2,0.5033,0.3497,low_eta
456,0.0,13,2,-0.1996,0.4744,3,0.6144,0.186,low_eta
456,0.0,14,2,-0.2593,0.4744,1,-0.0,0.2407,low_eta
456,0.0,15,1,-0.2764,0.4744,2,0.3373,0.1788,low_eta
456,0.0,16,2,0.5205,0.4744,4,1.3216,0.3599,low_eta
456,0.0,17,2,0.1522,0.4744,4,1.2366,0.0766,low_eta
456,0.0,18,2,0.1811,0.4744,3,0.9056,0.2755,low_eta
456,0.0,19,2,-0.255,0.4744,3,0.4427,0.3023,low_eta
456,0.0,20,2,0.9746,0.4744,3,1.4834,0.4912,low_eta
456,0.0,21,2,0.4405,0.4744,3,1.2244,0.2161,low_eta
456,0.0,22,2,-0.0631,0.4744,1,-0.0,0.4369,low_eta
456,0.0,23,0,-0.5,0.4744,1,-0.0,0.0,low_eta
456,0.0,24,2,0.7668,0.4744,3,1.2988,0.468,low_eta
456,0.0,25,2,0.4631,0.4744,3,1.371,0.0921,low_eta
789,0.0,1,2,-0.2343,0.4792,3,0.7657,,"drift_missing,low_eta"
789,0.0,2,2,-0.1988,0.4792,4,0.7876,0.1746,low_eta
789,0.0,3,2,-0.2295,0.4792,1,-0.0,0.2705,low_eta
789,0.0,4,2,-0.2955,0.4792,3,0.4972,0.2073,low_eta
789,0.0,5,2,0.3983,0.4792,4,1.28,0.2793,low_eta
789,0.0,6,2,1.0582,0.4792,4,1.8911,0.3281,low_eta
789,0.0,7,2,0.4717,0.4792,2,0.7219,0.5423,low_eta
789,0.0,8,1,-0.1713,0.4792,1,-0.0,0.3287,low_eta
789,0.0,9,2,1.0794,0.4792,4,1.7034,0.537,low_eta
789,0.0,10,2,0.2904,0.4792,3,0.9864,0.304,low_eta
789,0.0,11,2,0.3608,0.4792,3,1.0224,0.3384,low_eta
789,0.0,12,2,0.1133,0.4792,3,1.0409,0.0724,low_eta
789,0.0,13,2,0.1725,0.4792,3,0.8167,0.3558,low_eta
789,0.0,14,2,0.9857,0.4792,4,1.761,0.3857,low_eta
789,0.0,15,2,0.0518,0.4792,4,0.9,0.3128,low_eta
789,0.0,16,2,0.0899,0.4792,4,1.1542,0.0967,low_eta
789,0.0,17,2,-0.1283,0.4792,3,0.6219,0.2498,low_eta
789,0.0,18,2,-0.28,0.4792,3,0.6686,0.0514,low_eta
789,0.0,19,2,1.2753,0.4792,4,1.9406,0.4957,low_eta
789,0.0,20,2,0.3348,0.4792,4,1.0975,0.3983,low_eta
789,0.0,21,2,-0.119,0.4792,3,0.6402,0.2408,low_eta
789,0.0,22,2,0.4977,0.4792,4,1.404,0.2547,low_eta
789,0.0,23,2,0.1186,0.4792,4,1.1863,0.0933,low_eta
789,0.0,24,2,0.9688,0.4792,4,1.7882,0.3416,low_eta
789,0.0,25,2,0.0068,0.4792,3,0.5132,0.4936,low_eta
999,0.0,1,2,-0.3154,0.4827,4,0.8456,,"drift_missing,low_eta"
999,0.0,2,2,0.5162,0.4827,4,1.4654,0.2118,low_eta
999,0.0,3,2,0.0335,0.4827,4,1.0138,0.1807,low_eta
999,0.0,4,2,0.4578,0.4827,4,1.4125,0.2063,low_eta
999,0.0,5,2,0.3846,0.4827,3,1.0409,0.3437,low_eta
999,0.0,6,2,-0.2525,0.4827,3,0.569,0.1785,low_eta
999,0.0,7,2,0.142,0.4827,3,0.8659,0.2761,low_eta
999,0.0,8,2,0.6291,0.4827,3,1.2516,0.3775,low_eta
