seed,rate,window,k,eta,type_count,H_k,drift_k,J_k,flags
42,0.0,1,3,0.4678,4,0.8204,,-0.3406,"drift_missing,low_eta"
42,0.0,1,4,0.4678,4,0.8204,,-0.3406,"drift_missing,low_eta"
42,0.0,2,0,0.4678,1,-0.0,0.0,-0.5,low_eta
42,0.0,2,1,0.4678,3,0.8013,0.077,-0.1217,low_eta
42,0.0,2,2,0.4678,4,1.288,0.1491,0.2761,low_eta
42,0.0,2,3,0.4678,4,1.288,0.1491,0.2761,low_eta
42,0.0,2,4,0.4678,4,1.288,0.1491,0.2761,low_eta
42,0.0,3,0,0.4678,1,-0.0,0.0,-0.5,low_eta
42,0.0,3,1,0.4678,2,0.65,0.2475,0.105,low_eta
42,0.0,3,2,0.4678,3,1.1582,0.2478,0.406,low_eta
42,0.0,3,3,0.4678,3,1.1582,0.2478,0.406,low_eta
42,0.0,3,4,0.4678,3,1.1582,0.2478,0.406,low_eta
42,0.0,4,0,0.4678,1,-0.0,0.0,-0.5,low_eta
42,0.0,4,1,0.4678,2,0.3712,0.1265,-0.2948,low_eta
42,0.0,4,2,0.4678,3,0.7345,0.1568,-0.1087,low_eta
42,0.0,4,3,0.4678,3,0.7345,0.1568,-0.1087,low_eta
42,0.0,4,4,0.4678,3,0.7345,0.1568,-0.1087,low_eta
42,0.0,5,0,0.4678,1,-0.0,0.0,-0.5,low_eta
42,0.0,5,1,0.4678,2,0.4022,0.2752,-0.1151,low_eta
42,0.0,5,2,0.4678,3,0.6396,0.2812,-0.0792,low_eta
42,0.0,5,3,0.4678,3,0.6396,0.2812,-0.0792,low_eta
42,0.0,5,4,0.4678,3,0.6396,0.2812,-0.0792,low_eta
42,0.0,6,0,0.4678,1,-0.0,0.0,-0.5,low_eta
42,0.0,6,1,0.4678,2,0.5788,0.0794,-0.1343,low_eta
42,0.0,6,2,0.4678,3,1.0351,0.1391,0.1742,low_eta
42,0.0,6,3,0.4678,3,1.0351,0.1391,0.1742,low_eta
42,0.0,6,4,0.4678,3,1.0351,0.1391,0.1742,low_eta
42,0.0,7,0,0.4678,1,-0.0,0.0,-0.5,low_eta
42,0.0,7,1,0.4678,2,0.6292,0.0239,-0.1394,low_eta
42,0.0,7,2,0.4678,3,1.2155,0.0774,0.2929,low_eta
42,0.0,7,3,0.4678,3,1.2155,0.0774,0.2929,low_eta
42,0.0,7,4,0.4678,3,1.2155,0.0774,0.2929,low_eta
42,0.0,8,0,0.4678,1,-0.0,0.0,-0.5,low_eta
42,0.0,8,1,0.4678,1,-0.0,0.2895,-0.2105,low_eta
42,0.0,8,2,0.4678,1,-0.0,0.4235,-0.0765,low_eta
42,0.0,8,3,0.4678,1,-0.0,0.4235,-0.0765,low_eta
42,0.0,8,4,0.4678,1,-0.0,0.4235,-0.0765,low_eta
42,0.0,9,0,0.4678,1,-0.0,0.0,-0.5,low_eta
42,0.0,9,1,0.4678,2,0.5917,0.2746,0.0738,low_eta
42,0.0,9,2,0.4678,3,1.1488,0.4001,0.5489,low_eta
42,0.0,9,3,0.4678,3,1.1488,0.4001,0.5489,low_eta
42,0.0,9,4,0.4678,3,1.1488,0.4001,0.5489,low_eta
42,0.0,10,0,0.4678,1,-0.0,0.0,-0.5,low_eta
42,0.0,10,1,0.4678,1,-0.0,0.2746,-0.2254,low_eta
42,0.0,10,2,0.4678,1,-0.0,0.4001,-0.0999,low_eta
42,0.0,10,3,0.4678,1,-0.0,0.4001,-0.0999,low_eta
42,0.0,10,4,0.4678,1,-0.0,0.4001,-0.0999,low_eta
42,0.0,11,0,0.4678,1,-0.0,0.0,-0.5,low_eta
42,0.0,11,1,0.4678,3,0.6396,0.2505,-0.1099,low_eta
42,0.0,11,2,0.4678,4,1.0263,0.3287,0.194,low_eta
42,0.0,11,3,0.4678,4,1.0263,0.3287,0.194,low_eta
42,0.0,11,4,0.4678,4,1.0263,0.3287,0.194,low_eta
42,0.0,12,0,0.4678,1,-0.0,0.0,-0.5,low_eta
42,0.0,12,1,0.4678,2,0.5746,0.2452,0.0273,low_eta
42,0.0,12,2,0.4678,3,1.1181,0.2582,0.3763,low_eta
42,0.0,12,3,0.4678,3,1.1181,0.2582,0.3763,low_eta
42,0.0,12,4,0.4678,3,1.1181,0.2582,0.3763,low_eta
42,0.0,13,0,0.4678,1,-0.0,0.0,-0.5,low_eta
42,0.0,13,1,0.4678,2,0.4262,0.0669,-0.2994,low_eta
42,0.0,13,2,0.4678,3,0.8405,0.1011,-0.0584,low_eta
42,0.0,13,3,0.4678,3,0.8405,0.1011,-0.0584,low_eta
42,0.0,13,4,0.4678,3,0.8405,0.1011,-0.0584,low_eta
42,0.0,14,0,0.4678,1,-0.0,0.0,-0.5,low_eta
42,0.0,14,1,0.4678,2,0.3712,0.0244,-0.3969,low_eta
42,0.0,14,2,0.4678,3,0.7345,0.0361,-0.2294,low_eta
42,0.0,14,3,0.4678,3,0.7345,0.0361,-0.2294,low_eta
42,0.0,14,4,0.4678,3,0.7345,0.0361,-0.2294,low_eta
42,0.0,15,0,0.4678,1,-0.0,0.0,-0.5,low_eta
42,0.0,15,1,0.4678,3,0.9913,0.2871,0.2784,low_eta
42,0.0,15,2,0.4678,4,1.5466,0.3202,0.7058,low_eta
42,0.0,15,3,0.4678,4,1.5466,0.3202,0.7058,low_eta
42,0.0,15,4,0.4678,4,1.5466,0.3202,0.7058,low_eta
42,0.0,16,0,0.4678,1,-0.0,0.0,-0.5,low_eta
42,0.0,16,1,0.4678,2,0.5436,0.289,0.0401,low_eta
42,0.0,16,2,0.4678,3,1.0613,0.2949,0.3562,low_eta
