seed,window,rate,frac_hit_C,drift4_hit,drift4_nohit,ratio
7,18,0.0005,0.0,,0.4001,
7,19,0.0005,0.0,,0.5392,
7,20,0.0005,0.0,,0.5392,
7,21,0.0005,0.0,,0.4173,
7,22,0.0005,0.0,,0.1806,
7,23,0.0005,0.0,,0.1897,
7,24,0.0005,0.0,,0.4368,
7,25,0.0005,0.0,,0.3809,
42,2,0.0005,0.0,,0.2692,
42,3,0.0005,0.0,,0.1136,
42,4,0.0005,0.0,,0.2543,
42,5,0.0005,0.0,,0.1415,
42,6,0.0005,0.0,,0.3714,
42,7,0.0005,0.0,,0.0,
42,8,0.0005,0.0,,0.234,
42,9,0.0005,0.0,,0.2265,
42,10,0.0005,0.0,,0.2984,
42,11,0.0005,0.0,,0.2413,
42,12,0.0005,0.0,,0.3481,
42,13,0.0005,0.0,,0.3122,
42,14,0.0005,0.1538,,0.3225,
42,15,0.0005,0.0556,0.0,0.2405,
42,16,0.0005,0.0,,0.2359,
42,17,0.0005,0.0,,0.5003,
42,18,0.0005,0.0,,0.3821,
42,19,0.0005,0.0526,,0.1848,
42,20,0.0005,0.0,,0.1222,
42,21,0.0005,0.0,,0.3124,
42,22,0.0005,0.1111,,0.5974,
42,23,0.0005,0.0909,1.0,0.4863,2.056
42,24,0.0005,0.0,,0.4863,
42,25,0.0005,0.0,,0.3481,
55,2,0.0005,0.0,,0.1223,
55,3,0.0005,0.0,,0.1917,
55,4,0.0005,0.0,,0.385,
55,5,0.0005,0.0,,0.2168,
55,6,0.0005,0.0,,0.351,
55,7,0.0005,0.0833,,0.3163,
55,8,0.0005,0.0,,0.2198,
55,9,0.0005,0.0,,0.2224,
55,10,0.0005,0.0,,0.2562,
55,11,0.0005,0.0,,0.2443,
55,12,0.0005,0.0,,0.1786,
55,13,0.0005,0.0,,0.1222,
55,14,0.0005,0.0,,0.2457,
55,15,0.0005,0.0,,0.2368,
55,16,0.0005,0.0,,0.1531,
55,17,0.0005,0.0,,0.2856,
55,18,0.0005,0.1538,,0.3122,
55,19,0.0005,0.0,,0.3881,
55,20,0.0005,0.0,,0.2479,
55,21,0.0005,0.0,,0.0,
55,22,0.0005,0.0,,1.0,
55,23,0.0005,0.0714,,0.688,
55,24,0.0005,0.0,,0.475,
55,25,0.0005,0.0,,0.4369,
123,2,0.0005,0.0,,0.3635,
123,3,0.0005,0.0,,0.3777,
123,4,0.0005,0.0,,0.3443,
123,5,0.0005,0.0,,0.5766,
123,6,0.0005,0.0,,0.4478,
123,7,0.0005,0.0,,0.2262,
123,8,0.0005,0.0,,0.3345,
123,9,0.0005,0.0,,0.385,
123,10,0.0005,0.0,,0.5816,
123,11,0.0005,0.1538,,0.5499,
123,12,0.0005,0.0,,0.3898,
123,13,0.0005,0.0,,0.338,
123,14,0.0005,0.0,,0.338,
123,15,0.0005,0.0,,0.3122,
123,16,0.0005,0.0714,,0.2194,
123,17,0.0005,0.0,,0.3628,
123,18,0.0005,0.0,,0.2738,
123,19,0.0005,0.0,,0.1434,
123,20,0.0005,0.0625,,0.0302,
123,21,0.0005,0.2727,0.0,0.6417,
123,22,0.0005,0.0,,0.7408,
123,23,0.0005,0.0,,0.5069,
123,24,0.0005,0.0,,0.3395,
123,25,0.0005,0.0,,0.186,
314,2,0.0005,0.0,,0.2135,
314,3,0.0005,0.1111,,0.1769,
314,4,0.0005,0.0,,0.1041,
314,5,0.0005,0.0,,0.3228,
314,6,0.0005,0.0,,0.3898,
314,7,0.0005,0.0625,,0.385,
314,8,0.0005,0.0,,0.385,
314,9,0.0005,0.0,,0.2479,
314,10,0.0005,0.05,,0.2479,
314,11,0.0005,0.0,,0.6172,
314,12,0.0005,0.0,,0.4847,
314,13,0.0005,0.05,,0.2897,
314,14,0.0005,0.0,,0.1652,
314,15,0.0005,0.0,,0.5069,
314,16,0.0005,0.0,,0.6207,
314,17,0.0005,0.0,,0.1749,
314,18,0.0005,0.0,,0.4194,
314,19,0.0005,0.0,,0.2725,
314,20,0.0005,0.0,,0.3966,
314,21,0.0005,0.0,,0.5392,
314,22,0.0005,0.0,,0.0,
314,23,0.0005,0.0,,0.4548,
314,24,0.0005,0.0,,0.4548,
314,25,0.0005,0.1111,,0.3714,
456,2,0.0005,0.0,,0.0897,
456,3,0.0005,0.0,,0.2427,
456,4,0.0005,0.0,,0.0698,
456,5,0.0005,0.0769,,0.286,
456,6,0.0005,0.0,,0.2351,
456,7,0.0005,0.0625,,0.2378,
456,8,0.0005,0.0,,0.4123,
456,9,0.0005,0.25,,0.2809,
456,10,0.0005,0.125,0.4369,0.2407,1.815
456,11,0.0005,0.0,,0.5183,
456,12,0.0005,0.0455,,0.4275,
456,13,0.0005,0.0,,0.2438,
456,14,0.0005,0.0,,0.3481,
456,15,0.0005,0.0,,0.0,
456,16,0.0005,0.0,,0.3714,
456,17,0.0005,0.0,,0.072,
456,18,0.0005,0.0435,,0.0366,
456,19,0.0005,0.0,,0.2525,
456,20,0.0005,0.0,,0.44,
456,21,0.0005,0.0,,0.5369,
456,22,0.0005,0.0,,0.6291,
456,23,0.0005,0.0,,0.3287,
456,24,0.0005,0.0,,0.3287,
456,25,0.0005,0.0,,0.2119,
789,2,0.0005,0.0,,0.0649,
789,3,0.0005,0.0588,,0.1459,
789,4,0.0005,0.0,,0.1427,
789,5,0.0005,0.0,,0.1848,
789,6,0.0005,0.0,,0.1684,
789,7,0.0005,0.0,,0.1886,
789,8,0.0005,0.0,,0.4596,
789,9,0.0005,0.0,,0.1865,
789,10,0.0005,0.0,,0.0967,
789,11,0.0005,0.0,,0.1122,
789,12,0.0005,0.0,,0.4369,
789,13,0.0005,0.0,,0.0,
789,14,0.0005,0.0,,0.2479,
789,15,0.0005,0.0,,0.3268,
789,16,0.0005,0.0,,0.1028,
789,17,0.0005,0.0,,0.306,
789,18,0.0005,0.0,,0.3495,
789,19,0.0005,0.0769,,0.2311,
789,20,0.0005,0.0,,0.208,
789,21,0.0005,0.0,,0.1351,
789,22,0.0005,0.0,,0.4067,
789,23,0.0005,0.0,,0.3592,
789,24,0.0005,0.0,,0.3592,
789,25,0.0005,0.0,,0.4369,
999,2,0.0005,0.0,,0.3281,
999,3,0.0005,0.0,,0.2468,
999,4,0.0005,0.0,,0.3874,
999,5,0.0005,0.0556,,0.1005,
999,6,0.0005,0.0769,0.0,0.1826,
999,7,0.0005,0.0,,0.2073,
999,8,0.0005,0.0,,0.4113,
999,9,0.0005,0.0,,0.4041,
999,10,0.0005,0.0,,0.3908,
999,11,0.0005,0.0,,0.3122,
999,12,0.0005,0.0,,1.0,
999,13,0.0005,0.0,,0.8618,
999,14,0.0005,0.0,,0.4173,
999,15,0.0005,0.0,,0.5579,
999,16,0.0005,0.0,,0.2492,
999,17,0.0005,0.0,,0.4259,
999,18,0.0005,0.0,,0.4001,
999,19,0.0005,0.0,,0.0,
999,20,0.0005,0.0,,0.4863,
999,21,0.0005,0.0,,0.4225,
999,22,0.0005,0.0,,0.367,
999,23,0.0005,0.1429,,0.4466,
999,24,0.0005,0.0,,0.4672,
999,25,0.0005,0.0,,0.2168,
1337,2,0.0005,0.0,,0.3815,
1337,3,0.0005,0.0,,0.476,
1337,4,0.0005,0.0,,0.2881,
1337,5,0.0005,0.0556,,0.3774,
1337,6,0.0005,0.0,,0.3734,
1337,7,0.0005,0.0769,,0.3732,
1337,8,0.0005,0.0,,0.2073,
1337,9,0.0005,0.0,,0.3592,
1337,10,0.0005,0.0,,0.2025,
1337,11,0.0005,0.0,,0.3693,
1337,12,0.0005,0.04,,0.2107,
1337,13,0.0005,0.0,,0.5579,
1337,14,0.0005,0.0,,0.4369,
1337,15,0.0005,0.0,,0.3248,
