window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
36,4987,3090,3,5,1,1.9498,1,12.9,3071,0,4.51,1.0024,3082.6,19,1.0,51,7,3,816,0.002427,0.0463,69.1057,35,23.0,0.0293,0.011,2,0,0,0,0.092664,0.015625,42,0.8314,1.7551,0.3863,0.003
37,4987,3114,1,3,1,1.9785,1,12.9,3108,0,4.48,1.0092,3085.6,6,1.0,50,1,2,801,0.002352,0.0628,25.641,36,24.4,0.0307,0.0119,0,0,0,0,0.087866,0.015625,40,0.8222,1.8137,0.3884,0.003
38,4985,3054,0,0,0,1.9853,2,12.8,6,3048,4.41,0.9907,3082.6,6,1.0,48,0,2,792,0.002036,0.0488,24.8963,37,26.2,0.0266,0.0105,0,0,0,0,0.089431,0.015625,38,0.8253,1.9031,0.3902,0.003
39,4982,3041,0,0,0,1.983,1,12.9,6,3035,4.5,0.9878,3078.6,6,1.0,44,0,4,744,0.002142,0.0469,28.7081,38,27.0,0.0307,0.0103,0,0,0,0,0.084507,0.015625,35,0.8151,1.9454,0.3932,0.003
40,4982,3067,1,4,1,1.9387,1,12.9,10,3057,4.48,0.9966,3077.5,10,1.0,42,1,3,747,0.002104,0.0502,46.729,39,28.1,0.0225,0.011,0,0,0,0,0.063927,0.015625,35,0.7556,2.0093,0.3936,0.003
41,4982,3029,0,0,1,1.9363,1,12.9,3,3026,4.45,0.9857,3072.9,3,1.0,42,0,0,724,0.002181,0.0531,13.5135,40,29.1,0.028,0.0134,0,0,0,0,0.084071,0.015625,35,0.8141,2.0757,0.3955,0.003
42,4981,3078,1,5,0,1.9502,1,12.8,3071,0,4.5,1.0015,3073.4,7,1.0,43,1,0,746,0.002091,0.0407,31.8182,41,29.4,0.0283,0.0098,1,0,0,0,0.081448,0.015625,35,0.8082,2.1526,0.3973,0.003
43,4980,2989,3,3,3,1.8765,1,12.8,9,2970,4.37,0.9751,3065.3,19,1.0,52,16,7,831,0.00229,0.052,80.1688,42,25.0,0.027,0.0105,0,0,0,0,0.096,0.015625,41,0.8372,2.1966,0.3983,0.003
44,4976,3010,0,0,3,1.8765,2,12.9,3,3002,4.41,0.9836,3060.1,8,1.0,46,0,6,813,0.002089,0.0482,34.188,43,28.2,0.0286,0.0103,0,0,0,0,0.076305,0.015625,39,0.7952,2.2287,0.3995,0.003
45,4976,2966,1,3,3,1.9701,1,12.8,6,2960,4.45,0.9721,3051.1,6,1.0,45,2,3,798,0.002179,0.0503,25.7732,44,28.6,0.0286,0.0111,0,0,0,0,0.065327,0.015625,37,0.7608,2.2941,0.4002,0.003
46,4975,3075,1,5,3,1.9957,1,12.9,3067,0,4.42,1.0071,3053.4,8,1.0,44,1,2,782,0.00237,0.0453,33.6134,45,29.3,0.0286,0.0107,1,0,0,0,0.078189,0.015625,36,0.8002,2.3517,0.4015,0.003
47,4975,3010,1,4,1,1.9926,2,12.8,0,3010,4.39,0.9871,3049.3,0,1.0,43,1,2,771,0.002288,0.0561,0.0,46,29.3,0.0313,0.0134,0,0,0,0,0.070093,0.015625,35,0.7771,2.3984,0.4037,0.003
48,4975,3077,0,0,1,1.8861,2,12.9,3075,0,4.47,1.0082,3051.9,2,1.0,42,2,3,778,0.002236,0.0529,5.4054,47,29.8,0.0293,0.012,0,0,0,0,0.063492,0.015625,35,0.7539,2.4513,0.4045,0.003
49,4973,3069,2,5,3,1.8937,1,12.9,3051,0,4.48,1.0051,3053.5,18,1.0,47,11,6,838,0.002252,0.0373,77.5862,48,27.4,0.0242,0.0083,1,0,0,0,0.074689,0.015625,38,0.7908,2.5053,0.4058,0.003
50,4972,3176,0,0,3,1.864,1,12.9,3172,0,4.55,1.0391,3066.1,14,1.0,47,0,0,817,0.002379,0.0481,53.8462,49,28.4,0.028,0.0099,0,0,0,0,0.088889,0.015625,36,0.8242,2.546,0.4063,0.003
51,4972,3076,0,0,3,1.8503,1,12.9,3063,0,4.49,1.0029,3067.1,13,1.0,49,4,2,841,0.002339,0.0466,48.6891,50,28.2,0.0269,0.0107,0,0,0,0,0.078853,0.015625,36,0.8018,2.5818,0.4067,0.003
52,4972,3093,1,5,1,1.9049,1,12.8,3084,0,4.47,1.0076,3069.5,9,1.0,48,1,2,854,0.002081,0.0489,35.4331,51,29.6,0.0245,0.0102,1,0,0,0,0.071429,0.015625,36,0.7812,2.642,0.4085,0.003
53,4972,3044,0,0,1,1.8481,1,12.8,0,3044,4.44,0.9925,3067.1,0,1.0,47,0,1,832,0.002061,0.0602,0.0,52,31.3,0.0275,0.0113,0,0,0,0,0.083333,0.015625,35,0.8125,2.6883,0.41,0.003
54,4972,3044,0,0,0,1.8979,1,12.9,0,3044,4.37,0.9932,3064.9,0,1.0,44,0,3,818,0.001781,0.0535,0.0,53,32.9,0.029,0.011,0,0,0,0,0.065844,0.015625,34,0.7627,2.75,0.4124,0.003
55,4972,3060,2,5,1,1.9347,1,12.8,7,3048,4.39,0.9985,3064.4,12,1.0,47,7,4,848,0.002,0.0451,43.4783,54,30.6,0.0226,0.0095,1,0,0,0,0.112782,0.015625,34,0.8615,2.8064,0.4142,0.003
56,4972,3018,0,0,1,1.9251,1,12.8,2,3011,4.34,0.9863,3060.0,7,1.0,44,2,5,841,0.001984,0.0442,27.6498,55,32.0,0.0248,0.0095,0,0,0,0,0.10177,0.015625,34,0.8465,2.8684,0.4163,0.003
57,4972,3057,3,5,3,1.8808,1,12.9,8,3041,4.47,0.9991,3059.7,16,1.0,49,10,5,853,0.00211,0.0451,68.9655,56,28.2,0.0236,0.0085,1,0,0,0,0.077869,0.015625,37,0.7993,2.9257,0.4166,0.003
