seed,from,to,familiarity
0,264,59,16.5957
0,264,128,40.202
0,264,258,24.7859
0,264,188,45.1066
0,264,197,5.7645
0,264,26,8.2763
0,264,276,4.9937
0,264,61,28.0024
0,264,325,59.067
0,264,336,1.9368
0,264,368,48.6318
0,264,353,42.0235
0,264,367,0.6361
0,264,375,0.6148
0,264,372,33.7659
0,264,362,11.8425
0,264,407,2.5249
0,264,386,1.0232
0,264,398,0.6004
0,264,397,1.062
0,264,401,1.0562
0,264,391,1.1556
0,264,392,1.4148
0,264,413,4.8389
0,264,390,2.8771
0,264,403,0.6999
0,264,379,26.2987
0,264,358,0.8478
0,264,409,4.5954
0,264,411,0.9747
0,264,297,11.5795
0,264,424,46.0478
0,264,427,1.0695
0,264,384,25.4848
0,264,432,3.1111
0,264,412,8.2599
0,264,431,2.982
0,276,59,4.7384
0,276,264,14.3158
0,276,197,20.6917
0,276,61,10.0944
0,276,128,14.3048
0,276,0,21.6573
0,276,58,30.5302
0,276,188,11.175
0,276,15,23.6976
0,276,26,1.7918
0,276,258,49.172
0,276,2,33.5982
0,276,166,0.9069
0,276,297,17.0952
0,276,314,7.2932
0,276,336,19.1081
0,276,325,0.5749
0,276,354,2.8108
0,276,352,3.2426
0,276,358,3.0953
0,276,353,35.8382
0,276,344,5.901
0,276,367,17.273
0,276,368,22.7268
0,276,379,3.7552
0,276,372,19.8681
0,276,391,1.2637
0,276,375,4.326
0,276,397,0.9086
0,276,403,3.9569
0,276,398,2.3296
0,276,408,1.0054
0,276,383,10.4089
0,276,384,1.8507
0,276,402,0.7697
0,276,390,0.6268
0,276,412,5.7741
0,276,413,2.0307
0,276,410,0.5941
0,276,420,5.9361
0,276,409,5.6051
0,276,419,7.0637
0,276,426,4.8452
0,276,427,4.8452
0,276,407,7.8183
0,276,425,14.4557
0,276,434,3.6337
0,276,418,1.8854
0,276,424,14.7095
0,297,61,32.2619
0,297,15,0.9578
0,297,26,29.3057
0,297,0,23.8564
0,297,58,10.4283
0,297,2,9.9589
0,297,59,4.8409
0,297,197,8.6319
0,297,276,10.2394
0,297,258,14.6907
0,297,188,2.0464
0,297,128,3.6045
0,297,336,8.1793
0,297,325,36.5807
0,297,344,1.3412
0,297,352,16.6911
0,297,353,19.8201
0,297,354,5.099
0,297,358,0.6283
0,297,362,4.0459
0,297,368,3.9147
0,297,314,0.8031
0,297,398,3.2801
0,297,367,0.6037
0,297,388,0.6767
0,297,372,10.073
0,297,413,0.6444
0,297,264,11.5795
0,297,418,11.021
0,297,425,7.9129
